Date,Open,High,Low,Close,Volume
2015-04-03,59.55,61.0,58.3,60.8,3528500
2015-04-10,61.14,62.5,60.87,62.26,3695600
2015-04-17,62.29,65.71,62.11,64.9,4255700
2015-04-24,65.03,66.07,64.18,65.9,3625200
2015-05-01,66.31,67.01,64.85,65.02,3973000
2015-05-08,65.32,65.61,63.1,64.52,2873200
2015-05-15,64.54,65.23,63.87,64.38,2847400
2015-05-22,64.13,64.43,62.91,63.63,2488600
2015-05-29,63.07,63.24,60.69,61.1,3536800
2015-06-05,61.05,61.82,59.96,60.83,3409300
2015-06-12,60.86,61.61,59.58,60.26,2928800
2015-06-19,59.9,61.36,59.64,59.95,3702300
2015-06-26,60.31,61.56,60.01,61.53,4738100
2015-07-03,60.57,60.59,58.52,59.0,2218500
2015-07-10,58.3,59.0,57.24,58.47,3235700
2015-07-17,58.74,58.83,57.53,57.94,4058300
2015-07-24,57.92,58.08,55.72,55.93,3663300
2015-07-31,55.85,57.0,54.8,55.87,3889000
2015-08-07,55.77,56.23,54.96,55.35,2899100
2015-08-14,55.47,56.76,55.17,55.66,2912900
2015-08-21,55.28,55.31,52.33,52.35,3906400
2015-08-28,49.19,54.5,48.17,53.84,13452900
2015-09-04,53.37,54.11,51.31,51.69,4740600
2015-09-11,52.69,53.22,51.72,51.98,2848300
2015-09-18,52.05,54.72,51.95,53.21,4308800
2015-09-25,53.43,54.14,51.67,52.77,3564000
2015-10-02,52.47,55.26,51.89,55.09,4070900
2015-10-09,55.72,58.87,55.67,58.4,3476100
2015-10-16,58.39,58.5,57.31,58.37,3035800
2015-10-23,58.15,59.08,57.8,58.82,2615500
2015-10-30,59.19,59.51,57.98,58.09,3242800
2015-11-06,58.11,58.22,57.27,57.82,3085200
2015-11-13,57.85,58.2,55.56,55.74,2295500
2015-11-20,55.63,57.91,55.49,57.39,2117200
2015-11-27,57.3,57.9,57.16,57.48,1940400
2015-12-04,57.62,59.98,57.53,59.61,4474600
2015-12-11,58.99,59.05,56.11,56.23,4585300
2015-12-18,56.18,57.71,55.41,56.4,3930900
2015-12-25,56.74,57.06,55.54,56.8,2217200
2016-01-01,56.55,57.61,56.2,56.42,1522600
2016-01-08,55.27,55.39,51.88,51.94,4864200
2016-01-15,52.35,52.56,48.49,48.79,4057900
2016-01-22,49.43,52.1,47.54,52.08,4245600
2016-01-29,51.74,53.63,50.16,53.52,4762200
2016-02-05,53.28,54.89,51.56,53.43,4005200
2016-02-12,52.65,53.11,49.17,51.84,4654300
2016-02-19,52.73,54.75,51.8,54.01,2991600
2016-02-26,54.68,55.08,50.97,54.82,4428500
2016-03-04,54.88,57.27,54.61,57.22,3647000
2016-03-11,56.91,59.41,56.72,59.15,3799700
2016-03-18,58.81,61.44,58.15,60.35,3315800
2016-03-25,60.26,60.74,58.24,58.8,2149300
2016-04-01,58.8,61.72,58.79,60.63,2531400
2016-04-08,60.57,60.68,58.61,60.28,2460600
2016-04-15,60.66,63.4,60.48,63.28,3073000
2016-04-22,62.38,65.06,62.38,64.83,3014000
2016-04-29,64.46,65.5,64.04,65.16,2667900
2016-05-06,65.3,65.35,61.95,62.38,2890100
2016-05-13,62.21,64.03,61.85,63.41,2237200
2016-05-20,63.59,64.21,62.17,63.02,2486500
2016-05-27,62.98,65.41,62.54,63.99,3795000
2016-06-03,63.75,64.2,62.2,64.04,2695800
2016-06-10,64.2,66.29,64.2,65.12,2916100
2016-06-17,64.06,64.9,61.68,63.28,3308600
2016-06-24,64.43,65.64,61.85,62.65,2799300
2016-07-01,61.95,63.81,60.93,63.73,3573300
2016-07-08,63.25,64.22,62.53,63.7,2638300
2016-07-15,64.0,65.77,63.49,65.52,3245500
2016-07-22,65.53,65.69,64.11,64.46,2330000
