Date,Open,High,Low,Close,Volume
2015-03-27,67.72,68.12,64.15,65.26,32821000
2015-04-03,65.57,66.12,62.88,63.23,25845100
2015-04-10,62.74,64.89,62.66,64.64,22749300
2015-04-17,64.23,66.26,62.93,65.35,36248900
2015-04-24,65.73,67.53,65.2,65.8,31296100
2015-05-01,66.05,66.16,63.4,64.66,32511600
2015-05-08,64.75,66.96,64.43,66.93,26967600
2015-05-15,66.99,68.43,66.37,67.64,30041100
2015-05-22,67.64,69.86,67.59,68.3,24010500
2015-05-29,68.02,69.44,63.16,64.6,45354000
2015-06-05,66.63,67.31,65.03,66.2,51664500
2015-06-12,65.85,66.04,64.89,65.28,34564800
2015-06-19,64.9,67.44,64.26,66.8,29777500
2015-06-26,67.31,68.14,66.71,67.54,36446700
2015-07-03,67.24,68.08,65.9,67.48,23637000
2015-07-10,67.17,69.49,67.01,69.27,27935500
2015-07-17,69.65,70.42,68.89,69.29,20999700
2015-07-24,70.44,70.54,65.98,65.98,34465200
2015-07-31,65.7,66.78,63.82,65.64,35454500
2015-08-07,65.95,66.13,62.16,63.41,24561200
2015-08-14,63.97,64.35,61.27,63.08,27577300
2015-08-21,62.71,64.97,61.01,61.07,30082200
2015-08-28,57.99,61.05,51.82,60.61,46380900
2015-09-04,60.64,60.99,56.9,57.3,39298200
2015-09-11,58.38,59.52,56.32,59.22,36514200
2015-09-18,59.4,64.68,58.82,64.34,47748300
2015-09-25,64.42,64.68,59.63,60.24,38406300
2015-10-02,59.8,63.18,57.03,62.23,57615900
2015-10-09,62.66,63.22,58.39,61.44,42106800
2015-10-16,60.98,64.71,60.65,64.49,28167300
2015-10-23,64.49,65.55,61.5,65.16,36072600
2015-10-30,64.74,68.48,64.35,65.95,33230300
2015-11-06,66.56,66.9,64.14,65.45,27681400
2015-11-13,65.08,65.59,63.57,64.15,22267900
2015-11-20,64.15,69.0,63.71,67.82,25852200
2015-11-27,67.82,68.46,67.24,67.85,16719500
2015-12-04,67.85,69.71,66.14,69.11,31201700
2015-12-11,69.0,69.85,67.47,67.62,22865900
2015-12-18,67.89,70.87,67.34,67.64,37386600
2015-12-25,68.23,69.25,67.31,68.97,13161800
2016-01-01,68.76,70.14,68.63,68.79,14494500
2016-01-08,67.45,68.9,63.5,63.63,39154800
2016-01-15,63.71,64.48,60.89,62.78,48414600
2016-01-22,63.61,64.8,61.8,64.4,29475300
2016-01-29,64.23,64.42,60.0,62.16,48166700
2016-02-05,61.87,62.36,57.94,59.63,46381800
2016-02-12,59.04,62.42,58.77,60.2,35593400
2016-02-19,62.72,64.54,61.35,63.8,26991300
2016-02-26,63.9,64.42,60.83,62.25,26786400
2016-03-04,62.26,65.29,61.92,64.71,34080800
2016-03-11,64.5,66.68,64.45,64.96,32005300
2016-03-18,64.68,64.7,60.98,62.83,46772400
2016-03-25,62.53,63.25,61.73,62.52,18752000
2016-04-01,62.58,65.19,62.22,64.91,26950800
2016-04-08,65.01,67.14,64.77,66.07,26524200
2016-04-15,66.2,68.31,65.77,68.05,20287800
2016-04-22,68.08,71.07,67.59,70.68,25509500
2016-04-29,70.61,73.06,68.61,72.18,39656100
2016-05-06,72.19,72.34,69.88,71.22,31471400
2016-05-13,71.34,71.98,70.59,71.18,25256600
2016-05-20,71.42,73.01,69.56,70.77,31470300
2016-05-27,70.93,71.57,69.61,71.31,23220100
2016-06-03,71.36,73.37,70.94,72.89,20538800
2016-06-10,73.42,75.12,72.18,72.65,31040500
2016-06-17,72.67,73.76,70.13,70.67,40594700
2016-06-24,71.33,73.44,70.36,70.61,32749100
2016-07-01,70.39,74.16,70.09,73.78,29966700
2016-07-08,73.75,75.72,72.87,75.28,20258300
2016-07-15,75.3,77.12,75.03,76.0,27740000
2016-07-22,76.27,76.36,75.0,75.68,20089400
2016-07-29,75.7,76.8,74.22,74.81,25631700
2016-08-05,75.13,76.3,61.56,63.28,103598000
2016-08-12,63.5,63.65,60.0,60.63,123546300
2016-08-19,60.74,60.86,58.07,59.29,73252200
2016-08-26,59.65,60.04,58.36,58.77,51877000
2016-09-02,58.89,59.14,55.11,56.35,82782600
2016-09-09,56.69,57.45,55.66,55.66,47351000
2016-09-16,55.3,56.44,55.02,55.6,50357600
2016-09-23,55.95,56.95,55.02,56.48,51289100
2016-09-30,56.26,56.31,53.76,53.92,61543300
2016-10-07,53.94,55.9,53.56,55.43,58373700
2016-10-14,50.79,51.3,49.12,49.77,136874100
2016-10-21,49.69,50.48,49.1,50.02,45856400
2016-10-28,50.11,53.17,49.03,51.0,76346900
2016-11-04,51.05,51.62,50.1,51.01,56007100
2016-11-11,51.7,57.55,51.59,56.37,81782900
2016-11-18,56.66,57.1,55.76,56.76,39691100
2016-11-25,56.71,57.14,55.78,56.98,38041900
2016-12-02,56.92,56.96,55.3,55.96,56963100
2016-12-09,55.86,57.18,54.36,57.04,48013600
2016-12-16,56.83,59.8,56.4,58.62,53765000
2016-12-23,59.04,59.93,58.52,59.61,27013900
2016-12-30,59.61,59.75,58.21,58.44,19152600
2017-01-06,58.78,60.42,58.58,59.95,35292000
2017-01-13,59.75,60.45,56.02,56.22,49502700
2017-01-20,55.89,56.58,48.92,49.23,101199000
2017-01-27,49.53,50.31,46.01,47.74,124756900
2017-02-03,48.22,50.91,47.96,50.78,76398300
2017-02-10,50.65,52.32,50.56,51.65,47906400
2017-02-17,51.83,55.34,51.62,54.59,58038900
2017-02-24,54.41,57.21,53.41,56.44,74005900
2017-03-03,56.5,57.49,56.21,57.26,55430100
2017-03-10,57.02,58.54,55.78,58.32,54526400
2017-03-17,58.3,58.3,56.11,56.29,59559300
2017-03-24,56.33,56.71,55.17,55.89,41479500
2017-03-31,55.6,56.55,54.16,54.38,46339700
2017-04-07,54.53,55.16,52.51,53.42,50782300
2017-04-14,53.35,53.71,52.75,52.83,28768000
2017-04-21,52.75,53.71,52.53,53.48,33965600
2017-04-28,53.85,56.33,53.51,56.05,52124800
2017-05-05,56.34,56.83,54.72,55.15,47492900
2017-05-12,54.99,55.66,54.54,55.03,30213700
2017-05-19,55.03,55.28,53.32,54.02,42979600
2017-05-26,54.02,54.82,53.47,53.97,31571900
2017-06-02,53.93,55.17,53.76,54.97,29310700
2017-06-09,53.76,54.36,51.56,53.75,57270800
2017-06-16,53.75,54.81,53.49,54.46,37381000
2017-06-23,54.46,57.9,54.32,56.64,51539700
2017-06-30,56.72,57.27,55.49,55.72,25917200
2017-07-07,56.27,56.88,55.08,55.91,23178600
2017-07-14,56.1,56.32,54.22,55.15,31935900
2017-07-21,55.28,55.77,54.42,55.65,19613800
2017-07-28,55.65,56.18,52.06,55.27,52807800
2017-08-04,55.59,57.2,55.08,55.95,37839700
2017-08-11,56.0,57.57,55.57,56.73,29883900
2017-08-18,56.96,57.99,56.41,56.42,28582500
2017-08-25,56.42,58.67,56.25,58.37,21879100
2017-09-01,58.64,60.75,58.18,59.9,28604400
2017-09-08,59.54,63.47,59.39,62.62,33580900
2017-09-15,62.62,63.38,62.14,62.48,30978900
2017-09-22,62.49,63.74,62.27,63.36,26299300
2017-09-29,63.33,63.75,62.57,63.74,25377900
2017-10-06,63.8,65.03,63.64,64.81,27884900
2017-10-13,64.76,66.1,64.08,65.29,23700600
2017-10-20,64.54,65.04,63.31,64.42,27464500
