Date,Open,High,Low,Close,Volume
2015-04-03,218000.0,220000.0,215700.0,216500.0,900
2015-04-10,215440.0,217401.0,214500.0,215211.0,1400
2015-04-17,215720.0,216160.0,211960.0,212982.0,1500
2015-04-24,214000.0,215575.0,213112.0,214490.0,1200
2015-05-01,214575.0,215930.0,212195.0,215800.0,1700
2015-05-08,217800.0,222880.0,215820.0,222880.0,1600
2015-05-15,223000.0,223011.0,216800.0,218640.0,600
2015-05-22,218760.0,220650.0,216960.0,217000.0,1000
2015-05-29,216995.0,217905.0,214800.0,214800.0,800
2015-06-05,215260.0,216420.0,211380.0,211560.0,1100
2015-06-12,211400.0,212740.0,209240.0,210760.0,900
2015-06-19,209900.0,214800.0,208551.0,212200.0,900
2015-06-26,213680.0,214200.0,209025.0,209900.0,900
2015-07-03,208620.0,208620.0,204800.0,205923.0,1900
2015-07-10,204880.0,210500.0,204340.0,209800.0,1600
2015-07-17,211040.0,216001.0,211040.0,215960.0,800
2015-07-24,215840.0,217100.0,211825.0,212032.0,900
2015-07-31,211800.0,215600.0,210705.0,214000.0,900
2015-08-07,214400.0,216000.0,211520.0,215463.0,800
2015-08-14,213000.0,215300.0,210994.0,213981.0,1300
2015-08-21,213700.0,213700.0,202080.0,202500.0,1800
2015-08-28,193420.0,205780.0,190007.0,205344.0,3000
2015-09-04,204300.0,204300.0,195000.0,196501.0,1600
2015-09-11,199071.0,202700.0,196551.0,198329.0,1500
2015-09-18,198329.0,201330.0,192200.0,192200.0,1800
2015-09-25,195200.0,197300.0,192600.0,194620.0,1600
2015-10-02,193402.0,199750.0,192000.0,195500.0,1200
2015-10-09,196300.0,201595.0,195940.0,199650.0,1100
2015-10-16,199969.0,202055.0,196676.0,200469.0,1000
2015-10-23,200220.0,207002.0,199700.0,206584.0,1400
2015-10-30,206740.0,207776.0,202700.0,204596.0,1100
2015-11-06,205200.0,207780.0,202767.0,203100.0,1400
2015-11-13,203240.0,203435.0,197760.0,197825.0,900
2015-11-20,197899.0,206069.0,197280.0,204600.0,1600
2015-11-27,204800.0,205130.0,201253.0,201624.0,600
2015-12-04,202051.0,205015.0,198540.0,204500.0,1500
