Date,Open,High,Low,Close,Volume
2015-03-27,145.48,146.29,142.5,143.89,16835300
2015-04-03,144.47,146.12,143.15,143.56,12978800
2015-04-10,143.0,144.45,142.57,143.5,15158300
2015-04-17,143.28,143.95,140.33,140.7,15006700
2015-04-24,141.69,143.02,141.09,142.09,13193400
2015-05-01,142.28,143.36,140.59,143.36,15254800
2015-05-08,144.95,148.42,142.94,148.31,19135600
2015-05-15,148.5,148.57,144.02,145.26,14009500
2015-05-22,145.39,147.0,144.53,144.6,11623200
2015-05-29,144.44,145.15,143.0,143.0,11515900
2015-06-05,143.26,144.07,140.52,140.76,14318600
2015-06-12,140.43,141.61,139.14,140.29,13972500
2015-06-19,139.72,142.96,138.78,140.96,18137300
2015-06-26,142.0,142.54,139.12,139.78,14120100
2015-07-03,139.0,139.24,136.08,137.39,17932600
2015-07-10,136.13,140.3,136.04,139.73,18596500
2015-07-17,140.8,144.0,140.45,143.88,14712800
2015-07-24,143.96,144.69,141.19,141.25,12848000
2015-07-31,141.14,143.75,140.42,142.74,13804500
2015-08-07,143.11,143.99,140.92,143.55,12611700
2015-08-14,141.37,143.58,140.46,142.57,19060300
2015-08-21,142.0,142.46,134.16,134.22,22773700
2015-08-28,127.55,136.31,125.5,135.74,39584000
2015-09-04,135.09,135.5,128.91,129.64,25426700
2015-09-11,132.02,134.66,130.2,131.37,18876100
2015-09-18,131.15,133.6,128.94,129.1,29538400
2015-09-25,130.0,131.31,127.75,129.64,19176300
2015-10-02,128.59,131.4,127.46,129.83,22356800
2015-10-09,130.5,134.38,130.38,133.03,18050000
2015-10-16,133.4,135.0,131.05,133.81,14236200
2015-10-23,133.5,138.0,133.1,137.78,14744800
2015-10-30,137.86,138.5,135.07,136.02,14013700
2015-11-06,136.77,138.62,135.14,136.33,14677100
2015-11-13,136.0,136.19,131.74,131.96,17253000
2015-11-20,131.82,137.42,131.47,136.63,15298400
2015-11-27,136.29,136.78,134.12,134.63,8609400
2015-12-04,134.82,136.74,132.29,136.48,22494000
2015-12-11,136.2,136.45,129.56,130.31,19860300
2015-12-18,130.5,136.16,129.53,129.53,26439700
2015-12-25,131.16,134.55,129.65,133.89,12873600
2016-01-01,133.48,134.55,131.95,132.04,11608200
2016-01-08,130.16,131.76,128.21,128.33,29656700
2016-01-15,128.92,129.42,124.51,126.14,29389700
2016-01-22,126.86,128.27,124.04,127.04,21427700
2016-01-29,126.55,129.77,123.9,129.77,22926100
2016-02-05,128.94,129.64,123.55,126.56,24716400
2016-02-12,125.7,129.18,124.04,128.07,27404000
2016-02-19,129.44,132.35,128.07,131.05,18385100
2016-02-26,132.19,133.29,128.88,131.92,17803300
2016-03-04,133.36,138.06,132.94,137.97,25741600
2016-03-11,137.7,140.76,137.43,140.65,20693200
2016-03-18,140.8,142.96,139.01,142.16,22279700
2016-03-25,142.16,142.99,139.56,140.11,12154100
2016-04-01,140.95,144.05,140.33,143.79,16681500
2016-04-08,143.99,143.99,140.27,141.06,14189500
2016-04-15,141.79,144.35,140.96,143.45,14204600
2016-04-22,143.0,146.44,142.95,146.11,14284700
2016-04-29,145.65,148.03,144.52,145.48,14526400
2016-05-06,145.77,147.14,143.33,144.62,13535600
2016-05-13,144.54,144.98,141.13,141.4,15378800
2016-05-20,141.4,142.49,139.68,141.83,15729700
2016-05-27,141.85,144.94,141.05,143.35,13283600
2016-06-03,143.89,144.14,140.11,141.14,15753300
2016-06-10,141.62,142.69,141.16,141.76,12573500
2016-06-17,141.23,142.65,138.96,140.73,18703200
2016-06-24,141.96,146.0,139.47,139.71,28345700
2016-07-01,138.79,144.83,136.65,143.96,23968400
2016-07-08,143.19,143.74,140.95,143.65,12812700
2016-07-15,143.75,146.66,143.43,145.97,16809800
2016-07-22,146.0,146.99,143.89,144.6,15880800
2016-07-29,144.87,145.0,143.48,144.27,12095900
2016-08-05,144.62,145.65,142.92,145.65,12500000
2016-08-12,145.29,147.98,144.23,147.72,15520900
2016-08-19,147.72,149.36,147.0,148.75,12187900
2016-08-26,148.51,149.24,147.22,147.91,11376000
2016-09-02,148.23,151.05,148.0,150.72,16176500
2016-09-09,150.54,150.98,146.56,146.62,14204000
2016-09-16,146.37,149.39,144.68,145.01,27316200
2016-09-23,145.34,147.09,144.76,145.0,15636400
2016-09-30,144.52,145.52,143.36,144.47,16775100
2016-10-07,144.27,144.94,142.8,144.52,14924800
2016-10-14,145.05,145.68,141.92,144.18,14755600
2016-10-21,144.5,145.71,142.8,143.6,12821000
2016-10-28,144.09,145.29,142.9,144.0,13047700
2016-11-04,144.3,144.86,142.35,142.95,15932500
2016-11-11,144.71,157.28,144.3,156.92,30216700
2016-11-18,157.48,158.64,156.02,157.75,22321800
2016-11-25,158.1,159.09,157.28,158.18,10818600
2016-12-02,157.9,160.24,156.82,159.39,20756200
2016-12-09,160.25,165.95,159.27,164.86,23247600
2016-12-16,164.65,167.25,164.33,164.76,26687900
2016-12-23,165.19,166.67,164.48,165.32,13110800
2016-12-30,165.51,165.82,162.62,162.98,11347300
2017-01-06,164.34,164.71,162.18,163.41,13339400
2017-01-13,163.04,163.25,160.33,161.9,15852900
2017-01-20,161.96,162.0,159.11,160.21,15136400
2017-01-27,160.19,165.3,158.61,164.4,17599500
2017-02-03,164.2,165.2,162.27,163.94,15594800
2017-02-10,163.88,164.68,162.15,164.01,13436700
2017-02-17,164.71,168.7,164.44,168.57,17235000
2017-02-24,168.92,170.28,168.33,170.22,15116800
2017-03-03,170.9,177.86,170.32,175.68,25047500
2017-03-10,175.44,176.14,174.45,174.98,16104400
2017-03-17,175.29,175.6,172.32,172.82,20064600
2017-03-24,172.3,172.87,168.02,168.66,18846400
2017-03-31,166.89,168.61,165.8,166.68,21217500
2017-04-07,166.72,168.23,165.02,166.17,18556700
2017-04-14,166.2,167.0,162.87,162.9,13578900
2017-04-21,163.61,165.24,162.28,163.41,19184400
2017-04-28,165.7,168.95,164.4,165.21,19823500
2017-05-05,165.8,168.04,165.16,166.55,16120800
2017-05-12,166.5,166.6,162.39,163.32,19120200
2017-05-19,163.81,164.29,160.93,163.24,18001800
2017-05-26,164.8,165.9,163.94,165.69,15061900
2017-06-02,165.79,166.92,164.1,166.29,15974000
2017-06-09,166.43,170.14,165.87,170.0,16211500
2017-06-16,169.43,171.82,169.41,170.48,20933700
2017-06-23,171.39,171.95,166.64,167.22,14424900
2017-06-30,167.8,171.37,166.78,169.37,15922800
2017-07-07,170.4,172.7,169.9,171.14,11201200
2017-07-14,170.61,171.31,168.0,169.47,15160300
2017-07-21,169.44,171.87,168.95,171.34,12125000
2017-07-28,171.5,174.34,171.07,174.0,14344600
2017-08-04,174.7,179.99,174.2,179.92,14810300
2017-08-11,177.04,178.41,175.05,175.34,14672600
2017-08-18,176.75,178.97,176.27,177.56,15454900
2017-08-25,177.62,180.61,177.07,179.6,13786300
2017-09-01,179.77,181.97,177.2,180.73,15702400
2017-09-08,180.29,180.29,172.61,175.5,17508000
2017-09-15,177.75,180.36,177.33,179.89,21674400
2017-09-22,180.5,183.93,180.27,181.86,15656800
2017-09-29,181.99,184.0,180.8,183.32,12092900
2017-10-06,183.45,188.04,182.93,187.43,13209400
2017-10-13,187.5,188.2,185.97,187.37,12471000
2017-10-20,188.0,189.04,186.43,189.04,12549500
2017-10-27,189.18,190.68,187.05,188.59,14420700
2017-11-03,188.02,188.78,185.89,187.27,13992700
2017-11-10,186.1,188.19,181.76,183.68,15898300
2017-11-17,183.16,184.85,180.5,181.06,15642300
2017-11-24,181.43,183.78,180.44,182.36,9531400
2017-12-01,182.74,194.99,182.41,194.56,23201900
2017-12-08,196.18,199.48,194.8,196.44,18231000
2017-12-15,196.63,199.92,195.3,197.78,24863200
2017-12-22,199.5,200.5,196.88,197.92,19208800
2017-12-29,197.97,200.07,197.28,198.22,11018800
2018-01-05,198.87,202.13,195.96,201.42,15747300
2018-01-12,201.15,210.39,199.8,210.16,19341800
2018-01-19,213.12,215.78,209.36,213.25,21102400
2018-01-26,213.29,217.34,212.77,217.19,17949600
2018-02-02,217.15,217.62,207.87,209.12,23277200
2018-02-09,205.49,207.1,189.3,196.02,44143600
2018-02-16,198.51,206.32,195.92,203.79,22185100
2018-02-23,203.34,205.22,200.16,202.76,17273500
2018-03-02,207.71,213.13,198.98,201.34,31545300
2018-03-09,199.6,213.24,199.12,212.94,19446000
2018-03-16,213.2,213.36,206.23,206.96,23769600
2018-03-23,206.87,207.27,191.87,192.46,24806600
2018-03-30,196.9,201.44,193.78,199.48,20476300
2018-04-06,199.01,202.77,192.02,195.49,24713700
2018-04-13,196.73,199.85,194.92,197.0,17504500
2018-04-20,198.65,201.48,197.55,200.13,17782500
2018-04-27,200.22,200.84,194.41,197.23,14542600
2018-05-04,197.39,198.1,189.8,195.64,21346500
2018-05-11,196.0,202.41,194.7,199.3,18047300
2018-05-18,200.0,200.65,195.77,196.06,15313300
2018-05-25,197.77,198.89,193.21,194.15,16441000
2018-06-01,192.9,194.9,188.62,192.23,22825000
2018-06-08,193.0,196.4,190.14,196.01,20885100
2018-06-15,196.3,196.74,190.52,191.76,22505700
2018-06-22,190.64,191.36,187.97,188.91,23289200
2018-06-29,188.63,189.28,184.75,186.65,24242800
2018-07-06,186.09,188.73,185.72,187.56,11681200
2018-07-13,188.11,191.29,187.82,190.96,15267600
2018-07-20,190.7,201.4,190.27,196.78,25566000
2018-07-27,196.25,199.96,196.2,197.95,18382800
2018-08-03,197.8,200.42,196.77,200.24,21202500
2018-08-10,204.89,209.94,204.62,206.63,25771000
2018-08-17,206.63,208.47,203.57,208.14,16486000
2018-08-24,208.43,209.54,206.66,207.98,12425900
2018-08-31,208.56,211.32,208.1,208.72,18492900
2018-09-07,209.21,214.47,208.04,214.04,14136600
2018-09-14,215.0,216.51,212.76,216.37,18552500
2018-09-21,216.99,223.0,215.73,220.52,29644900
2018-09-28,220.48,220.68,213.86,214.11,19477900
2018-10-05,215.92,220.4,213.94,219.46,17707100
2018-10-12,219.16,224.07,203.28,206.8,32137200
2018-10-19,207.46,211.67,204.67,209.83,21084500
2018-10-26,210.77,210.77,197.29,198.49,23970500
2018-11-02,201.23,208.71,197.93,206.57,25608800
2018-11-09,213.51,223.52,212.96,219.63,24427000
2018-11-16,219.96,220.72,212.14,218.41,20460600
2018-11-23,218.28,218.73,207.03,207.07,17116600
2018-11-30,209.3,219.38,208.64,218.24,21152000
2018-12-07,221.98,223.59,202.92,204.88,26713200
2018-12-14,204.1,206.89,198.49,200.0,23744800
2018-12-21,199.77,202.2,191.11,192.1,42747300
2018-12-28,190.7,204.74,186.1,202.08,24986200
2019-01-04,204.23,205.01,191.04,195.2,25405800
2019-01-11,196.39,199.08,194.5,196.29,20670200
2019-01-18,194.78,204.73,194.46,204.48,22332800
2019-01-25,203.52,204.96,198.5,202.75,17001200
2019-02-01,201.49,209.3,199.81,209.19,25722100
2019-02-08,209.16,209.4,198.21,200.92,21258800
2019-02-15,201.69,208.08,201.32,205.29,19116900
2019-02-22,205.1,206.92,199.92,201.91,15749700
2019-03-01,201.7,205.0,201.11,203.13,21434600
2019-03-08,203.09,204.87,197.03,198.7,21986200
2019-03-15,199.62,206.16,199.47,204.31,22271900
2019-03-22,204.67,207.75,200.06,200.55,21953900
2019-03-29,200.83,201.98,198.2,200.89,19323100
2019-04-05,202.16,205.7,202.0,205.33,15935600
2019-04-12,205.14,211.67,203.59,210.56,15613100
2019-04-19,210.52,212.49,207.76,209.99,10706200
2019-04-26,209.5,214.22,208.88,214.22,14920500
