Date,Open,High,Low,Close,Volume
2015-03-27,21.41,21.72,20.95,21.24,2714100
2015-04-03,21.44,22.94,21.36,21.94,2796200
2015-04-10,22.03,22.41,21.77,22.2,2692900
2015-04-17,22.23,22.54,21.92,22.14,2211700
2015-04-24,22.19,22.3,20.66,21.66,1901800
2015-05-01,21.78,22.18,21.17,21.84,1681300
2015-05-08,21.59,21.91,21.14,21.91,1849400
2015-05-15,21.87,22.5,21.68,22.46,1735600
2015-05-22,22.56,22.56,21.76,22.03,1346800
2015-05-29,21.97,21.97,20.84,21.37,1600200
2015-06-05,21.48,21.48,20.36,20.4,1455300
2015-06-12,20.44,20.91,20.36,20.69,1040900
2015-06-19,20.6,20.77,20.03,20.27,1745100
2015-06-26,20.54,20.76,20.03,20.27,1692200
2015-07-03,20.0,20.42,19.8,20.04,1361300
2015-07-10,19.75,20.64,19.17,20.48,2415900
2015-07-17,20.67,21.17,20.5,20.69,1522900
2015-07-24,20.66,20.87,19.87,20.18,2523200
2015-07-31,20.1,20.5,19.83,20.19,2747200
2015-08-07,20.09,20.38,19.69,20.14,2274100
2015-08-14,20.14,20.69,19.61,19.75,2685200
2015-08-21,19.7,19.79,18.79,18.81,1983700
2015-08-28,17.48,19.47,17.48,19.27,1927500
2015-09-04,19.06,19.47,18.34,18.44,2828000
2015-09-11,18.91,19.06,18.39,18.91,1345600
2015-09-18,18.9,19.67,18.69,18.78,1227100
2015-09-25,18.93,19.13,17.71,18.36,1284300
2015-10-02,18.28,18.66,17.64,18.66,1957000
2015-10-09,18.84,20.37,18.69,20.01,2433900
2015-10-16,19.98,20.12,19.11,19.53,1354200
2015-10-23,19.36,19.93,19.02,19.77,1172400
2015-10-30,19.73,19.8,18.88,18.99,1248300
2015-11-06,19.02,19.4,18.52,18.68,1140200
2015-11-13,18.59,18.78,17.76,17.98,1212600
2015-11-20,17.95,18.69,17.64,18.51,1669100
2015-11-27,18.42,18.67,18.0,18.06,1985300
2015-12-04,18.01,18.79,17.78,18.59,4058700
2015-12-11,18.5,18.69,17.4,17.57,3333400
2015-12-18,17.56,18.07,17.19,17.47,2020500
2015-12-25,17.62,18.31,17.33,18.24,928000
2016-01-01,18.2,18.35,17.49,17.64,688300
2016-01-08,17.25,17.7,16.73,16.74,1875600
2016-01-15,16.89,17.09,15.95,15.98,2105300
2016-01-22,16.11,17.08,15.69,17.0,2304200
2016-01-29,16.82,17.33,16.5,17.29,2224100
2016-02-05,17.19,17.44,16.33,17.07,2787300
2016-02-12,16.88,17.19,16.43,17.19,1758600
2016-02-19,17.41,17.85,17.13,17.48,1288800
2016-02-26,17.73,17.84,16.83,17.25,2553000
2016-03-04,17.39,18.63,17.17,18.49,1419200
2016-03-11,18.35,18.86,18.09,18.85,1078000
2016-03-18,18.69,19.8,18.47,19.74,1205700
2016-03-25,19.72,19.74,18.67,18.84,1612800
2016-04-01,18.92,19.68,18.75,19.66,1889700
2016-04-08,19.62,19.72,18.93,19.44,2569200
2016-04-15,19.58,20.24,19.28,20.24,2021800
2016-04-22,20.12,20.26,19.01,19.14,2798200
2016-04-29,19.11,19.66,18.95,19.4,1992300
2016-05-06,19.39,19.39,18.35,18.97,1970600
2016-05-13,18.8,18.99,18.26,18.41,1940600
2016-05-20,18.46,18.81,18.06,18.42,2840400
2016-05-27,18.28,18.57,18.09,18.17,1782900
2016-06-03,18.22,18.59,17.87,18.51,1999200
2016-06-10,18.47,19.11,18.21,18.54,1886400
2016-06-17,18.41,18.95,18.13,18.84,3293800
2016-06-24,19.12,19.35,18.28,18.34,1929600
2016-07-01,18.1,19.38,17.83,19.36,2051900
2016-07-08,19.18,19.54,18.98,19.49,1227800
2016-07-15,19.62,20.45,19.58,20.32,1879500
2016-07-22,20.35,20.87,20.11,20.69,2078000
2016-07-29,20.64,20.72,20.05,20.57,1912100
2016-08-05,20.63,21.31,20.47,21.27,2390600
2016-08-12,21.32,22.13,21.15,22.09,2456600
2016-08-19,22.12,22.62,21.83,21.98,2042400
2016-08-26,21.78,21.88,21.39,21.43,2013600
2016-09-02,21.45,21.64,20.98,21.61,3158200
2016-09-09,21.6,21.86,20.82,20.82,1993000
2016-09-16,20.69,20.85,20.34,20.44,1840200
2016-09-23,20.64,21.32,20.49,20.86,1438000
2016-09-30,20.71,20.97,20.43,20.69,1875600
2016-10-07,20.7,20.88,20.38,20.52,1147400
2016-10-14,20.64,20.89,20.22,20.52,941700
2016-10-21,20.51,21.67,20.39,21.55,1405100
2016-10-28,21.78,22.41,21.54,22.26,1310600
2016-11-04,22.37,22.94,22.15,22.5,1978400
2016-11-11,22.88,23.14,22.0,22.27,2136700
2016-11-18,22.25,22.68,21.82,22.25,2312200
2016-11-25,22.41,22.57,22.18,22.2,897600
2016-12-02,22.11,22.27,21.06,21.07,2652900
2016-12-09,21.34,23.5,21.23,23.48,2370400
2016-12-16,23.35,23.5,22.04,22.12,1442200
2016-12-23,22.13,22.2,21.39,21.54,1017400
2016-12-30,21.56,22.18,21.5,21.87,678300
2017-01-06,22.12,22.26,21.87,21.94,1069500
2017-01-13,21.9,22.03,21.38,21.85,2644600
2017-01-20,21.8,22.08,21.78,21.92,2034900
2017-01-27,21.95,22.33,21.73,22.16,3683000
2017-02-03,21.98,21.98,21.21,21.85,1597900
2017-02-10,21.74,22.11,21.67,22.05,2039100
2017-02-17,22.04,22.19,21.56,21.78,1584400
2017-02-24,21.74,22.27,21.67,21.94,2324000
2017-03-03,22.04,22.8,21.9,22.79,2106700
2017-03-10,22.68,23.24,22.64,22.83,1951600
2017-03-17,22.91,24.22,22.76,24.13,1611900
2017-03-24,24.09,24.9,23.68,24.82,2555000
2017-03-31,24.52,25.55,24.26,25.08,2104600
2017-04-07,25.19,25.53,24.83,25.03,2106200
2017-04-14,25.0,25.07,24.55,24.91,1594400
2017-04-21,25.11,25.4,23.46,23.81,2199900
2017-04-28,24.19,24.38,23.16,23.63,2514700
2017-05-05,23.68,24.57,23.65,24.09,2211200
2017-05-12,23.94,24.11,23.41,23.77,1722300
2017-05-19,23.86,24.27,23.62,24.16,1843200
2017-05-26,24.1,25.04,23.96,24.82,1646000
2017-06-02,24.83,25.05,24.53,24.77,2026800
2017-06-09,24.74,24.98,23.93,24.44,2753200
2017-06-16,24.42,25.58,24.26,25.39,2128900
2017-06-23,25.49,25.66,25.04,25.11,1706600
2017-06-30,25.22,25.85,24.84,25.41,1496400
2017-07-07,25.54,25.87,25.39,25.53,2296600
2017-07-14,25.53,26.72,25.44,26.1,3736400
2017-07-21,26.12,26.35,25.89,25.95,3821100
2017-07-28,25.98,27.58,25.76,27.54,3554600
2017-08-04,27.65,29.38,27.44,29.13,2447300
2017-08-11,29.22,30.02,28.48,29.11,2665700
2017-08-18,29.24,29.78,28.96,29.12,2325100
2017-08-25,29.14,30.18,28.7,29.78,3073400
2017-09-01,29.79,30.07,29.13,29.17,2252600
2017-09-08,29.18,29.37,28.79,29.06,2145100
2017-09-15,29.25,29.72,28.85,29.58,1600500
2017-09-22,29.71,30.63,29.11,30.49,1840300
2017-09-29,30.37,30.6,29.43,29.71,2027000
2017-10-06,29.59,30.78,29.53,30.42,1395000
2017-10-13,30.5,31.46,30.2,31.21,1638300
2017-10-20,31.37,31.61,30.76,30.81,1596100
2017-10-27,30.86,30.99,30.35,30.8,1226500
2017-11-03,31.1,32.02,30.82,31.07,1524500
2017-11-10,31.08,31.29,30.23,30.39,1736200
2017-11-17,30.24,30.83,29.42,30.73,1575500
2017-11-24,29.11,29.83,28.2,28.67,3446800
2017-12-01,28.53,28.97,27.18,27.45,2414300
2017-12-08,27.69,27.8,26.41,27.02,3270100
2017-12-15,27.04,29.43,27.04,28.99,3031200
2017-12-22,31.52,32.29,30.93,31.08,4289300
2017-12-29,31.11,31.57,30.91,31.27,2408000
2018-01-05,31.57,33.4,31.57,33.33,1626100
2018-01-12,33.31,33.76,32.51,33.73,1418400
2018-01-19,33.93,34.81,33.73,34.14,1231600
2018-01-26,34.18,34.98,33.83,34.78,1305300
2018-02-02,34.67,34.89,32.81,32.95,2196500
2018-02-09,32.73,33.05,31.07,31.44,2848300
2018-02-16,32.0,33.16,31.72,32.87,1522200
2018-02-23,32.76,33.83,32.75,33.51,1780300
2018-03-02,33.63,33.64,32.01,32.45,1614100
2018-03-09,32.21,33.23,31.86,33.03,1187100
2018-03-16,33.01,33.56,32.87,33.2,1155800
2018-03-23,33.1,33.51,32.04,32.14,2569900
2018-03-30,32.61,33.68,31.82,33.51,1146800
2018-04-06,33.36,34.48,33.28,33.86,1211500
2018-04-13,33.94,35.01,33.65,34.75,1652000
2018-04-20,34.85,35.09,33.48,34.0,1680000
2018-04-27,33.93,34.17,32.93,33.27,1291100
2018-05-04,33.27,33.27,32.18,32.43,1650300
2018-05-11,32.43,33.58,31.74,33.36,1747000
2018-05-18,33.36,33.52,32.55,32.96,1723800
2018-05-25,33.16,33.72,32.51,33.4,2709100
2018-06-01,32.98,33.18,32.14,32.34,2254300
2018-06-08,32.55,32.86,31.73,31.82,2785900
2018-06-15,31.92,32.33,30.58,31.84,3973900
2018-06-22,31.52,32.19,31.4,31.76,1824700
2018-06-29,31.65,32.22,30.84,31.43,1690000
2018-07-06,31.19,32.23,30.59,31.61,1425900
2018-07-13,31.75,32.29,31.21,31.4,3428800
2018-07-20,31.48,31.9,30.97,31.85,2096400
2018-07-27,31.78,33.24,31.61,32.86,1585700
2018-08-03,32.99,33.16,32.22,32.81,2171300
2018-08-10,32.57,32.57,31.05,31.11,2041500
2018-08-17,31.0,31.03,29.68,30.68,1313200
2018-08-24,30.75,31.0,30.45,30.88,1398900
2018-08-31,31.01,31.44,30.28,30.6,906400
2018-09-07,30.33,31.18,29.37,30.43,1424500
2018-09-14,30.52,31.52,29.94,31.02,2232700
2018-09-21,30.93,33.32,30.9,33.04,1652500
2018-09-28,32.96,32.96,31.92,31.98,984700
2018-10-05,32.14,32.4,30.93,31.31,1001200
2018-10-12,31.31,31.66,29.48,30.44,1128600
2018-10-19,30.37,31.17,30.16,30.5,1411700
2018-10-26,30.64,30.64,28.93,29.51,1662500
2018-11-02,29.83,31.99,28.74,31.35,1808000
2018-11-09,30.78,31.28,29.91,30.55,1308700
2018-11-16,30.53,31.47,29.56,31.35,1265800
2018-11-23,31.27,31.55,30.3,30.37,1165100
2018-11-30,30.58,31.74,30.46,30.96,1814700
2018-12-07,31.62,31.96,30.13,30.51,1483500
2018-12-14,30.35,31.08,30.05,30.59,1086900
2018-12-21,30.52,30.7,29.23,29.27,1252300
2018-12-28,29.11,29.93,28.67,29.63,1215900
2019-01-04,29.71,30.56,29.48,30.54,1020900
2019-01-11,30.68,31.04,29.97,30.94,1355500
2019-01-18,30.67,31.93,30.61,31.7,1448300
2019-01-25,31.4,32.13,31.09,31.95,935900
2019-02-01,31.63,32.55,31.56,32.29,1028100
2019-02-08,32.38,32.96,31.69,31.73,1007800
2019-02-15,31.75,32.03,31.16,31.68,993400
2019-02-22,31.5,32.46,31.33,32.45,1011800
2019-03-01,32.71,32.97,31.36,31.37,830300
2019-03-08,31.52,31.84,30.27,30.77,1033400
2019-03-15,30.97,31.32,30.5,31.05,1505400
2019-03-22,31.08,31.49,29.29,29.32,2253100
2019-03-29,29.41,29.77,28.98,29.75,1523200
2019-04-05,30.08,31.11,29.98,31.1,1473300
2019-04-12,31.02,31.26,30.04,30.51,1927600
2019-04-19,29.79,29.95,29.3,29.46,840700
2019-04-26,29.42,29.75,28.43,28.65,1678900
2019-05-03,28.76,29.07,27.51,28.39,2404300
2019-05-10,27.86,28.53,27.6,28.38,2725900
2019-05-17,27.79,28.62,27.51,27.9,1633400
2019-05-24,27.84,28.41,27.72,27.99,1773400
2019-05-31,28.04,28.09,27.06,27.95,1109500
2019-06-07,28.06,28.98,28.06,28.88,1312600
2019-06-14,28.8,29.79,28.79,29.4,1628200
2019-06-21,29.4,29.71,28.79,29.15,2320100
2019-06-28,29.11,30.31,29.05,29.92,2191400
2019-07-05,30.28,30.34,29.86,30.11,970900
2019-07-12,30.1,30.11,29.46,30.06,1176800
2019-07-19,30.09,30.36,29.69,30.05,929100
2019-07-26,30.04,30.2,29.17,29.7,698500
2019-08-02,29.67,29.73,28.49,28.55,694700
2019-08-09,28.05,28.76,27.28,28.52,1037300
2019-08-16,28.25,28.65,27.9,28.49,699500
2019-08-23,28.73,28.8,27.74,27.81,986100
2019-08-30,27.95,28.49,27.53,28.4,872500
2019-09-06,28.17,28.65,27.96,28.49,813900
2019-09-13,28.66,29.25,28.26,29.19,1339300
2019-09-20,29.0,29.27,28.47,28.52,948400
2019-09-27,28.33,28.82,28.13,28.65,864000
2019-10-04,28.69,28.72,27.24,28.64,946700
2019-10-11,28.65,29.1,27.92,28.95,639200
2019-10-18,28.81,29.4,28.63,28.96,896800
2019-10-25,28.29,30.47,26.89,26.95,2488200
2019-11-01,26.97,27.06,23.98,24.62,3097600
2019-11-08,24.79,25.5,23.84,24.3,2695600
2019-11-15,23.96,25.57,22.02,25.05,4434900
2019-11-22,24.96,25.04,22.94,22.95,2285800
2019-11-29,22.98,23.43,21.28,21.6,3416900
2019-12-06,21.59,23.13,20.78,22.57,3647100
2019-12-13,22.47,23.82,22.33,23.05,2717200
2019-12-20,23.2,23.75,23.07,23.48,2805800
2019-12-27,23.44,23.69,23.1,23.19,861500
2020-01-03,23.13,23.81,22.98,23.5,1074300
2020-01-10,23.33,24.37,23.29,23.9,2486500
2020-01-17,23.78,23.93,22.29,22.5,2058300
2020-01-24,22.15,22.15,21.31,21.55,1595500
2020-01-31,21.02,21.02,19.27,20.04,2663400
2020-02-07,20.17,21.72,20.04,20.41,2162800
2020-02-14,20.35,20.57,19.73,19.74,1772300
2020-02-21,19.69,19.69,18.51,19.23,2136800
2020-02-28,18.63,18.68,17.23,18.07,2190000
2020-03-06,18.04,19.33,17.53,17.66,3216400
2020-03-13,16.5,17.26,15.29,16.81,2759500
2020-03-20,16.31,16.31,11.43,14.02,3583900
2020-03-27,14.02,14.93,13.02,14.29,3513200
2020-04-03,14.24,16.65,13.82,16.55,2652600
2020-04-10,17.01,18.01,16.24,16.8,6354400
2020-04-17,16.61,17.22,15.06,15.44,3493700
2020-04-24,15.3,15.32,13.57,13.99,3384100
2020-05-01,14.2,17.01,13.97,16.11,4102600
2020-05-08,16.07,17.48,15.84,16.72,3373400
2020-05-15,16.45,16.5,14.76,15.18,4451100
2020-05-22,15.57,16.34,15.37,15.9,1694500
2020-05-29,16.41,16.73,15.54,15.77,2035100
2020-06-05,15.83,19.2,15.83,19.15,3233600
2020-06-12,19.41,19.5,17.16,17.64,2026300
2020-06-19,17.3,18.1,16.98,17.17,2493700
2020-06-26,17.28,17.53,16.53,16.57,2150500
2020-07-03,16.67,17.91,16.37,17.8,1294100
2020-07-10,18.17,18.52,16.88,16.97,1971000
2020-07-17,17.06,17.67,16.2,16.2,1677900
2020-07-24,16.13,17.21,15.98,16.91,2399400
2020-07-31,16.98,17.39,16.6,17.11,2186400
2020-08-07,17.11,17.12,16.02,16.23,1872800
2020-08-14,16.22,16.36,15.67,16.05,1960700
2020-08-21,16.0,16.64,15.98,16.0,2192700
2020-08-28,16.09,16.18,15.32,15.67,2186100
2020-09-04,15.68,16.13,15.28,15.9,2300700
2020-09-11,15.78,15.96,14.49,14.81,1634100
2020-09-18,14.88,15.02,13.95,13.96,1931600
2020-09-25,13.8,14.51,13.43,13.81,2665900
2020-10-02,13.94,14.32,13.34,14.23,1998100
2020-10-09,14.35,14.55,13.46,13.79,1652100
2020-10-16,13.75,14.14,13.31,13.88,1578000
2020-10-23,14.08,15.77,13.87,15.75,2744000
2020-10-30,15.67,15.78,13.86,13.88,2997900
2020-11-06,14.41,16.14,13.86,15.89,7981900
2020-11-13,16.88,18.0,16.29,17.9,3464900
2020-11-20,18.28,18.48,17.44,17.81,2421300
2020-11-27,17.86,18.13,17.39,17.75,1041500
2020-12-04,17.68,19.32,17.19,19.12,2752100
2020-12-11,19.12,19.55,18.45,19.0,1213500
2020-12-18,19.41,20.07,18.57,19.81,1577200
2020-12-25,19.41,19.93,19.28,19.45,993700
2021-01-01,19.72,19.73,18.88,18.99,616600
2021-01-08,19.41,22.2,19.41,21.89,2119300
2021-01-15,21.47,22.22,21.26,21.49,1658000
2021-01-22,22.0,22.59,20.93,21.25,1861000
2021-01-29,20.92,21.08,19.93,20.19,1649900
2021-02-05,20.47,21.35,20.35,20.57,2383200
2021-02-12,20.77,22.68,20.74,22.45,2578300
2021-02-19,23.68,24.39,23.23,24.11,1637600
2021-02-26,23.59,23.84,22.57,22.59,1842100
2021-03-05,23.11,24.65,23.01,24.35,2138300
2021-03-12,24.2,25.75,24.01,25.53,2709400
2021-03-19,25.64,25.66,24.64,25.66,1570900
2021-03-26,25.42,25.89,24.22,24.49,2225200
2021-04-02,24.45,25.07,24.24,24.73,2102600
2021-04-09,24.83,25.15,24.41,24.83,3130900
2021-04-16,24.93,25.79,24.66,25.64,1324900
2021-04-23,25.7,26.15,23.31,23.43,2180400
2021-04-30,23.53,23.98,22.05,22.24,2703600
2021-05-07,22.14,24.29,21.95,23.69,3349300
2021-05-14,23.81,24.15,22.39,23.25,2084600
2021-05-21,22.08,22.34,19.54,19.6,4320900
2021-05-28,19.84,21.41,19.66,21.39,3322400
2021-06-04,22.2,22.23,20.86,21.16,2062300
2021-06-11,21.2,21.75,20.65,21.49,2253300
2021-06-18,21.49,21.88,20.56,20.57,1688800
2021-06-25,20.66,21.27,20.32,20.49,1437100
2021-07-02,20.51,20.66,19.25,19.33,1713500
2021-07-09,19.3,19.3,18.03,18.81,1746100
2021-07-16,18.74,19.04,17.45,17.83,1964800
2021-07-23,17.56,19.38,17.56,18.7,2902300
2021-07-30,18.71,19.97,18.49,19.54,2743400
2021-08-06,19.77,19.93,18.44,19.37,3414900
2021-08-13,19.35,20.31,19.12,20.15,2044500
2021-08-20,20.09,20.33,19.64,20.27,2038000
2021-08-27,20.27,21.02,20.22,20.62,1490200
2021-09-03,20.6,21.51,20.04,20.37,2336100
2021-09-10,20.44,20.62,19.41,20.14,1612300
2021-09-17,20.3,20.92,20.21,20.7,1296400
2021-09-24,20.25,20.68,19.91,20.02,1674400
2021-10-01,20.01,20.19,19.52,19.78,1860300
2021-10-08,19.7,19.77,18.53,19.32,2483700
2021-10-15,19.33,19.59,17.04,17.21,3154200
2021-10-22,17.09,18.3,17.02,18.09,2533000
2021-10-29,18.1,18.96,17.35,17.72,2217400
2021-11-05,17.84,18.99,17.64,18.69,2434300
2021-11-12,18.86,19.89,18.55,19.44,1966900
2021-11-19,19.51,19.52,17.08,17.98,2517000
2021-11-26,19.87,20.16,18.35,18.59,2627500
2021-12-03,18.51,18.51,16.83,16.87,2824000
2021-12-10,17.0,18.52,16.97,18.02,2689900
2021-12-17,17.81,17.81,15.79,17.36,4736700
2021-12-24,16.5,16.5,15.37,16.24,3737600
2021-12-31,16.34,16.52,16.06,16.29,1297900
2022-01-07,16.33,18.37,16.29,18.07,2337500
2022-01-14,17.96,19.47,17.92,18.91,2353900
2022-01-21,18.84,20.44,18.77,20.04,4328800
2022-01-28,19.83,20.23,19.19,19.96,7011900
2022-02-04,19.96,20.37,19.12,19.29,3248500
2022-02-11,19.2,20.4,18.94,19.66,2959000
2022-02-18,19.58,20.33,19.16,19.4,2283200
2022-02-25,19.46,19.52,18.12,19.06,1470900
2022-03-04,19.02,20.61,18.98,20.3,4417600
2022-03-11,20.18,21.08,19.97,20.57,2668900
2022-03-18,20.64,22.4,20.36,22.24,2800900
2022-03-25,22.35,22.95,21.76,22.47,2102800
