Date,Open,High,Low,Close,Volume
2015-03-27,17.87,18.13,17.34,17.83,38837900
2015-04-03,17.94,18.16,17.31,17.72,31751900
2015-04-10,17.62,18.24,17.58,18.1,44157300
2015-04-17,18.1,18.4,17.61,18.4,48744100
2015-04-24,18.42,18.49,18.13,18.34,38422000
2015-05-01,18.38,18.5,17.22,17.74,97036300
2015-05-08,17.86,18.03,17.12,17.51,43554500
2015-05-15,17.45,17.95,17.15,17.85,40306800
2015-05-22,17.88,18.2,17.76,17.83,27826800
2015-05-29,17.72,18.62,17.71,18.27,74063000
2015-06-05,18.36,18.61,17.72,17.85,35501100
2015-06-12,17.82,17.92,17.36,17.56,49904500
2015-06-19,17.42,18.09,17.21,17.84,57369000
2015-06-26,17.93,18.35,17.85,18.09,42950000
2015-07-03,17.91,18.25,17.48,17.57,41010800
2015-07-10,17.42,17.83,17.39,17.6,43696800
2015-07-17,17.79,17.99,17.57,17.94,31704900
2015-07-24,17.92,18.11,17.25,17.36,47580500
2015-07-31,17.34,17.57,16.96,17.34,39729200
2015-08-07,17.38,17.75,16.99,17.29,41504500
2015-08-14,17.41,17.56,16.75,17.43,32437200
2015-08-21,17.32,17.63,16.32,16.35,38048100
2015-08-28,15.38,17.15,14.18,17.07,54435700
2015-09-04,17.04,17.13,15.96,16.24,35381800
2015-09-11,16.54,17.12,16.45,16.89,30619100
2015-09-18,16.87,17.43,16.66,16.75,39669100
2015-09-25,16.88,17.03,16.26,16.31,37935600
2015-10-02,16.37,16.93,15.73,16.92,57781200
2015-10-09,17.38,17.48,16.42,16.88,54062000
2015-10-16,16.84,17.19,16.54,17.07,35317100
2015-10-23,17.07,17.3,16.27,16.73,50923200
2015-10-30,16.73,18.41,16.61,18.28,69172200
2015-11-06,18.28,19.06,18.23,18.78,52063200
2015-11-13,18.67,18.89,17.5,17.51,54233900
2015-11-20,17.52,17.98,17.46,17.87,46923800
2015-11-27,17.85,18.58,17.83,18.33,30964500
2015-12-04,18.4,18.62,17.99,18.51,36953200
2015-12-11,18.45,18.85,18.0,18.1,51691000
2015-12-18,18.15,18.94,18.13,18.19,47511200
2015-12-25,18.31,18.84,18.02,18.72,19481500
2016-01-01,18.64,18.86,18.44,18.44,17628800
2016-01-08,18.16,18.27,17.37,17.43,41490400
2016-01-15,17.48,18.38,16.95,17.87,75665400
2016-01-22,18.03,18.33,16.87,17.85,44004100
2016-01-29,17.81,17.97,16.68,17.53,48730200
2016-02-05,17.45,18.02,16.58,16.62,89379900
2016-02-12,16.45,17.26,15.67,16.64,62367600
2016-02-19,16.78,17.7,16.62,17.16,33098800
2016-02-26,17.16,17.54,17.08,17.21,43591500
2016-03-04,17.17,17.61,16.82,17.44,42363300
