Date,Open,High,Low,Close,Volume
2015-04-03,140.48,142.27,138.85,140.93,3042200
2015-04-10,141.24,143.09,136.91,137.58,2986100
2015-04-17,137.61,138.41,135.63,136.6,2730700
2015-04-24,137.06,139.16,136.02,137.87,2882400
2015-05-01,137.97,139.58,131.47,132.95,3933500
2015-05-08,133.51,135.2,128.38,133.33,4395400
2015-05-15,132.78,135.49,128.93,134.7,3578000
2015-05-22,134.14,135.06,131.67,132.87,2663600
2015-05-29,132.43,132.7,129.7,130.03,3376300
2015-06-05,130.08,131.86,123.39,126.18,4224200
2015-06-12,126.67,127.47,124.66,126.1,2801800
2015-06-19,125.66,129.05,124.7,126.71,4038800
2015-06-26,126.78,127.58,122.09,123.43,5863200
2015-07-03,123.15,124.22,117.9,121.85,3363100
2015-07-10,121.04,125.3,120.28,124.16,3506100
2015-07-17,125.22,126.08,123.71,125.57,4100800
2015-07-24,125.06,126.65,123.33,125.16,3636800
2015-07-31,125.07,127.15,122.61,123.28,3892500
2015-08-07,123.32,124.85,118.91,120.17,4283800
2015-08-14,120.95,121.98,118.01,121.92,4393100
2015-08-21,121.92,123.12,118.6,118.65,3560300
2015-08-28,118.65,118.65,94.91,116.62,6848400
2015-09-04,116.17,116.17,109.13,109.86,4650200
2015-09-11,111.13,114.97,110.34,113.94,2915400
2015-09-18,114.01,121.75,112.61,118.65,4951400
2015-09-25,118.59,119.89,115.27,116.48,4087400
2015-10-02,115.34,119.6,113.7,119.47,4480600
2015-10-09,119.8,122.03,119.29,121.65,3438600
2015-10-16,121.77,122.9,119.69,122.61,3772400
2015-10-23,122.4,124.21,121.21,121.87,4873200
2015-10-30,121.87,126.87,119.79,125.85,5202300
2015-11-06,125.79,129.9,123.13,124.19,4099500
2015-11-13,123.93,125.3,121.43,122.86,2764700
2015-11-20,122.59,126.63,121.84,126.52,3678100
2015-11-27,126.69,127.33,123.43,125.82,1958000
2015-12-04,126.13,126.88,121.63,124.84,4100500
2015-12-11,124.01,125.5,121.12,123.26,3273400
2015-12-18,122.95,130.68,122.1,127.08,5829800
2015-12-25,128.08,129.64,126.08,129.01,2277100
2016-01-01,128.78,130.04,127.49,127.54,1902900
2016-01-08,125.28,127.71,121.27,121.48,4011700
2016-01-15,121.95,124.07,116.72,118.45,4124200
2016-01-22,119.82,120.41,113.84,119.2,3032800
2016-01-29,119.21,121.16,114.2,116.21,5755300
2016-02-05,115.42,118.64,114.04,115.09,5412700
2016-02-12,114.99,115.13,107.28,108.61,4616500
2016-02-19,110.3,113.3,108.87,112.4,3676000
2016-02-26,113.86,116.31,112.38,113.9,4438400
2016-03-04,114.09,118.74,113.66,118.58,4188500
2016-03-11,117.41,122.86,115.69,122.7,3320600
2016-03-18,122.32,127.64,121.48,126.66,4410900
2016-03-25,126.1,127.0,122.35,123.87,3743500
2016-04-01,124.01,127.94,123.7,127.29,3007400
2016-04-08,127.26,128.65,125.51,127.12,2723000
2016-04-15,127.52,129.88,126.62,129.58,3045000
2016-04-22,129.36,131.33,127.44,129.4,2642900
2016-04-29,128.6,131.58,128.04,128.86,3050300
2016-05-06,129.56,131.45,128.37,130.9,3276600
2016-05-13,131.22,133.59,129.42,130.06,3819700
2016-05-20,130.14,131.09,123.45,124.39,5228400
2016-05-27,124.7,127.08,123.75,125.41,3548500
2016-06-03,125.9,128.66,124.91,127.78,3042300
2016-06-10,127.67,129.26,126.18,128.23,2716600
2016-06-17,128.51,129.6,125.41,126.69,4220400
2016-06-24,127.66,130.01,126.09,128.03,5387200
2016-07-01,127.14,133.04,125.16,132.03,4404500
2016-07-08,131.91,133.62,129.49,133.32,3313400
2016-07-15,134.0,137.13,132.75,136.05,2910300
2016-07-22,136.31,139.37,135.1,138.92,2448800
2016-07-29,138.84,142.63,137.37,142.13,3194800
2016-08-05,142.13,142.93,139.34,142.11,3345200
2016-08-12,142.0,144.02,141.37,142.82,2539500
2016-08-19,143.26,143.9,140.6,141.35,3012600
2016-08-26,141.47,142.65,138.07,139.17,2598100
2016-09-02,139.46,143.65,138.93,142.3,3545300
2016-09-09,142.4,143.3,135.21,135.22,3335000
2016-09-16,134.73,138.88,132.83,134.7,4378000
2016-09-23,135.45,140.26,133.38,139.68,2803900
2016-09-30,139.12,139.9,135.87,136.29,3330500
2016-10-07,135.42,135.47,126.22,129.03,3750800
2016-10-14,129.24,130.33,126.5,126.9,4170200
2016-10-21,126.91,127.91,124.89,125.88,3486700
2016-10-28,126.61,127.31,118.43,118.94,5016200
2016-11-04,119.28,120.71,113.69,116.08,5111700
2016-11-11,117.94,125.37,114.55,122.5,7713600
2016-11-18,122.5,127.44,121.04,121.16,6306100
2016-11-25,121.29,123.83,120.42,122.99,2516000
2016-12-02,122.55,126.06,121.18,123.11,5076500
2016-12-09,123.62,130.66,122.83,128.74,3760800
2016-12-16,128.02,130.39,121.87,124.34,5158500
2016-12-23,124.7,128.0,122.29,124.07,3566200
2016-12-30,124.14,126.48,121.47,125.78,2266400
2017-01-06,127.7,132.55,125.99,131.55,4297900
2017-01-13,131.06,131.4,126.51,128.5,3616800
2017-01-20,128.69,130.48,128.18,129.25,2829000
2017-01-27,128.88,132.61,128.68,130.75,3083800
2017-02-03,130.9,134.37,129.09,130.72,4090800
2017-02-10,130.77,134.05,130.32,134.0,2761000
2017-02-17,134.35,138.21,133.16,137.19,5255300
2017-02-24,136.87,139.59,136.51,138.12,3224000
2017-03-03,138.44,140.13,134.14,135.48,4421700
2017-03-10,135.21,135.75,129.76,130.43,3690300
2017-03-17,130.52,133.87,129.33,133.19,3909500
2017-03-24,133.18,134.66,130.82,132.48,3796200
2017-03-31,132.18,132.87,129.39,132.41,3960300
2017-04-07,132.5,136.03,131.69,134.68,3741300
2017-04-14,134.5,137.35,134.13,135.52,3025700
2017-04-21,136.17,137.13,133.08,134.35,2589600
2017-04-28,134.55,135.06,125.56,126.6,4165400
2017-05-05,126.85,127.35,122.44,123.9,3529700
2017-05-12,124.28,124.69,120.62,120.94,3635600
2017-05-19,120.89,122.58,119.54,121.01,3748000
2017-05-26,120.98,123.17,120.74,121.35,3296900
2017-06-02,121.3,122.83,120.52,122.36,2467100
2017-06-09,122.24,125.7,120.22,125.24,3020700
2017-06-16,125.18,128.04,125.1,126.12,3552500
2017-06-23,126.0,126.43,124.2,125.57,2728300
2017-06-30,126.11,126.51,122.34,123.02,3230600
2017-07-07,123.6,125.09,119.6,120.13,2046700
2017-07-14,120.14,122.38,116.77,121.7,3119500
2017-07-21,121.69,122.41,118.28,118.91,3166000
2017-07-28,119.09,122.46,118.33,122.33,2711100
2017-08-04,122.32,125.0,119.92,124.22,3987900
2017-08-11,124.21,124.21,119.02,120.05,2708700
2017-08-18,120.43,123.11,118.3,119.83,3699400
2017-08-25,119.94,122.31,119.35,121.46,3087600
2017-09-01,121.8,122.24,118.22,121.3,2865800
2017-09-08,121.3,121.98,119.69,120.17,1871400
2017-09-15,120.83,122.68,119.34,122.4,2830800
2017-09-22,122.16,123.75,119.47,121.68,3735700
2017-09-29,121.34,124.12,121.14,122.88,2774600
2017-10-06,122.93,126.94,120.72,126.92,4306200
2017-10-13,126.63,128.99,126.4,128.29,2860500
2017-10-20,128.31,128.73,121.99,122.93,3010200
2017-10-27,123.32,123.68,120.25,121.23,2291100
2017-11-03,121.09,123.69,119.74,120.68,3335500
2017-11-10,120.96,126.65,120.96,125.85,3143300
2017-11-17,126.19,126.41,123.84,125.04,2302900
2017-11-24,125.25,125.75,124.42,125.16,1440200
2017-12-01,125.49,127.13,124.15,127.13,3068700
2017-12-08,127.08,128.52,123.29,124.66,5118000
2017-12-15,124.46,129.78,124.27,129.41,4538200
2017-12-22,129.45,132.0,126.71,127.34,5795400
2017-12-29,127.69,130.42,126.94,130.03,1983100
2018-01-05,130.39,130.39,126.46,127.86,4200500
2018-01-12,127.54,128.0,122.23,122.33,2990400
2018-01-19,122.74,124.54,120.68,121.95,3812500
2018-01-26,121.95,124.63,121.5,122.97,4159700
2018-02-02,122.37,125.37,117.34,119.34,5710600
2018-02-09,118.5,120.72,111.82,115.35,5788300
2018-02-16,115.59,120.19,111.57,119.64,4546000
2018-02-23,119.49,121.17,115.85,120.97,3525000
2018-03-02,121.41,122.23,117.08,118.93,4334600
2018-03-09,119.27,123.76,118.92,123.62,2851800
2018-03-16,123.3,127.31,123.3,127.16,3734000
2018-03-23,127.3,127.54,117.94,118.43,3744800
2018-03-30,119.78,124.47,118.71,123.22,2899100
2018-04-06,123.44,123.73,120.2,120.96,3661300
2018-04-13,121.16,122.15,118.29,119.9,3482100
2018-04-20,120.36,122.49,118.23,118.75,2868700
2018-04-27,118.86,123.13,116.43,122.45,4370200
2018-05-04,122.66,124.49,118.68,124.04,3294800
2018-05-11,124.54,125.3,121.89,124.38,3033900
2018-05-18,124.01,124.34,116.44,117.09,5367400
2018-05-25,117.74,120.92,116.0,119.59,3658900
2018-06-01,119.13,122.66,118.45,121.5,2892600
2018-06-08,121.99,124.13,121.18,122.65,2815600
2018-06-15,122.91,123.06,119.46,120.08,3377200
2018-06-22,119.71,125.89,117.98,125.6,5024800
2018-06-29,125.49,126.19,123.5,125.42,3527000
2018-07-06,125.26,126.91,123.26,126.3,2283900
2018-07-13,126.37,128.13,125.08,127.32,2733500
2018-07-20,126.81,127.42,124.68,125.19,2722400
2018-07-27,124.98,125.91,122.59,122.87,2434900
2018-08-03,122.63,130.52,121.76,129.1,4277700
2018-08-10,129.16,130.08,128.61,128.94,3609800
2018-08-17,129.32,132.61,128.88,132.15,4161100
2018-08-24,132.6,132.82,127.96,129.04,3321300
2018-08-31,129.14,131.13,127.7,130.45,2741800
2018-09-07,130.09,131.4,128.42,128.62,3562100
2018-09-14,129.27,130.29,125.3,125.96,2869400
2018-09-21,126.38,127.73,123.85,126.86,3349300
2018-09-28,126.49,126.73,120.62,123.09,4103100
2018-10-05,122.97,123.67,118.52,118.86,3522900
2018-10-12,118.94,121.02,113.98,114.7,4021000
2018-10-19,115.55,118.65,115.5,116.95,3694300
2018-10-26,117.35,117.78,113.95,114.91,4133400
2018-11-02,116.11,123.24,115.74,119.01,5517600
2018-11-09,119.89,125.14,119.89,124.26,3138800
2018-11-16,124.26,125.63,122.18,125.57,2954400
2018-11-23,126.17,127.4,124.39,125.61,2578200
2018-11-30,126.35,131.27,124.75,131.2,5239300
2018-12-07,131.53,132.73,127.49,129.08,4178800
2018-12-14,128.76,129.25,124.2,125.74,3679300
2018-12-21,125.82,126.15,113.34,113.47,5014500
2018-12-28,113.52,114.28,107.84,111.93,2624100
2019-01-04,112.22,112.55,107.94,111.51,2687900
2019-01-11,111.82,119.52,111.33,119.15,3969200
2019-01-18,118.71,121.6,117.72,121.52,2874900
2019-01-25,121.45,123.55,119.24,123.48,2718400
2019-02-01,123.28,132.08,122.45,131.18,4317500
2019-02-08,131.04,132.67,130.04,132.4,4269200
2019-02-15,132.58,134.24,132.19,133.62,2739400
2019-02-22,133.54,135.99,132.07,135.67,1687800
2019-03-01,136.1,136.22,131.23,131.83,3513300
2019-03-08,132.21,134.07,131.35,132.43,4254100
2019-03-15,132.86,135.49,132.2,132.74,3797500
2019-03-22,133.06,133.86,130.65,131.51,3917700
2019-03-29,132.0,134.6,130.55,133.88,4288600
2019-04-05,134.12,138.69,133.57,138.38,3976600
2019-04-12,138.47,139.41,136.87,137.89,3594300
2019-04-19,138.24,138.24,131.69,132.99,2910300
2019-04-26,132.74,137.18,130.11,136.95,2627800
2019-05-03,136.64,140.35,134.24,134.73,3655500
2019-05-10,133.54,134.62,128.97,132.21,2363300
2019-05-17,131.05,135.75,130.12,133.65,3110700
2019-05-24,133.57,133.89,130.33,132.02,2955300
2019-05-31,132.66,133.43,129.04,130.83,3856700
2019-06-07,131.25,137.25,130.59,136.16,3118800
2019-06-14,136.57,136.57,132.42,135.2,2600000
2019-06-21,136.25,139.25,135.35,136.07,4554600
2019-06-28,136.4,136.4,126.9,129.0,4489900
2019-07-05,129.76,133.23,127.26,131.87,1970100
2019-07-12,131.71,134.8,131.23,132.3,3130400
2019-07-19,132.86,132.86,127.97,128.07,2341100
2019-07-26,127.8,131.54,127.1,131.3,2666500
2019-08-02,131.66,136.63,128.95,130.15,3635000
2019-08-09,129.13,131.28,125.34,129.34,3711900
2019-08-16,128.88,128.95,125.24,128.21,3229900
2019-08-23,129.13,129.22,125.39,125.83,2680300
2019-08-30,126.79,128.99,125.54,128.42,2201300
2019-09-06,127.77,130.59,127.45,130.17,2215700
2019-09-13,129.84,134.09,126.18,131.4,4784200
2019-09-20,131.33,132.24,129.29,130.11,6907600
2019-09-27,129.52,132.66,128.65,130.12,4845800
2019-10-04,129.9,130.52,124.58,128.71,4422400
2019-10-11,128.14,129.35,126.57,128.2,3316000
2019-10-18,128.12,129.54,126.26,128.36,2509800
2019-10-25,128.1,133.53,128.1,132.18,3008100
2019-11-01,132.36,140.06,131.88,137.44,4260700
2019-11-08,137.32,138.63,135.58,138.34,3156600
2019-11-15,137.84,138.76,135.24,137.56,2591500
2019-11-22,137.89,139.41,135.9,137.59,1997300
2019-11-29,138.45,139.64,137.25,138.54,1572800
2019-12-06,138.44,140.3,136.56,139.28,2396900
2019-12-13,139.36,140.16,133.78,135.11,3393000
2019-12-20,135.69,136.68,133.6,135.78,4105000
2019-12-27,136.16,137.68,135.22,137.68,1246700
2020-01-03,136.75,138.54,134.42,136.64,1798800
2020-01-10,137.06,138.15,133.71,135.08,2986400
2020-01-17,135.2,140.73,135.0,139.56,2755000
2020-01-24,139.56,142.24,138.85,142.01,2099500
2020-01-31,141.21,144.34,139.72,143.35,3971000
2020-02-07,144.0,146.07,142.2,142.71,3845400
2020-02-14,142.96,147.28,142.21,147.23,3035400
2020-02-21,147.5,147.83,144.7,145.78,2544000
2020-02-28,144.17,145.35,123.1,128.94,6433000
2020-03-06,129.63,138.38,128.23,132.58,5209900
2020-03-13,124.22,130.38,108.11,117.06,8127300
2020-03-20,106.53,110.67,80.63,82.0,8681600
2020-03-27,82.0,97.77,77.21,93.82,10000300
2020-04-03,93.92,96.08,79.91,83.04,8536200
2020-04-10,88.01,107.15,86.16,106.0,7114500
2020-04-17,104.83,106.33,93.31,95.5,5992900
2020-04-24,94.01,94.75,86.65,90.36,6323200
2020-05-01,91.31,102.94,90.84,92.93,6571400
2020-05-08,91.37,91.89,83.13,86.91,8411600
2020-05-15,86.21,87.14,71.57,74.95,13271800
2020-05-22,78.38,82.16,76.49,78.01,10673100
2020-05-29,81.81,90.7,81.42,85.98,9169600
2020-06-05,85.81,106.27,85.61,102.04,9777700
2020-06-12,104.85,107.9,92.11,96.54,9676300
2020-06-19,92.09,100.46,90.65,90.76,9483800
2020-06-26,91.0,95.22,87.03,87.24,8881400
2020-07-03,87.99,93.26,86.89,91.55,4186700
2020-07-10,93.7,93.74,83.39,87.39,6281600
2020-07-17,88.19,94.63,87.43,93.07,7590800
2020-07-24,91.99,93.29,89.39,90.67,6442000
2020-07-31,89.51,91.47,86.12,89.09,8265700
2020-08-07,88.01,90.06,85.88,90.04,5799600
2020-08-14,90.39,93.12,85.68,86.43,6921000
2020-08-21,86.43,86.43,83.42,84.26,5194800
2020-08-28,83.85,89.31,83.16,88.94,6316000
2020-09-04,88.62,90.25,84.88,87.81,5183100
2020-09-11,87.43,87.88,82.5,83.21,6499200
2020-09-18,83.99,90.68,83.99,84.87,7416000
