Date,Open,High,Low,Close,Volume
2020-03-20,12.0,13.0,12.0,12.75,2400
2020-03-27,12.75,16.0,11.5,14.55,696900
2020-04-03,15.25,17.25,12.12,16.92,86571000
2020-04-10,17.06,17.15,13.73,14.78,144989300
2020-04-17,14.5,14.5,12.26,13.74,101919800
2020-04-24,13.5,16.67,13.48,16.25,78423600
2020-05-01,16.17,18.08,15.98,16.77,67514400
2020-05-08,16.15,18.4,15.43,18.36,66792900
2020-05-15,18.43,18.75,15.72,16.71,43145100
2020-05-22,17.3,19.86,17.15,19.05,42031700
2020-05-29,19.61,20.98,18.88,20.47,57774900
2020-06-05,20.55,24.4,20.55,23.56,40123100
2020-06-12,23.63,24.38,20.0,21.54,37730100
2020-06-19,20.72,22.98,20.63,21.45,38831100
2020-06-26,21.52,23.24,20.59,20.97,46270200
2020-07-03,21.08,23.22,21.0,22.91,30017400
2020-07-10,23.13,26.06,23.13,24.89,34241900
2020-07-17,25.14,26.99,23.26,26.48,29629900
2020-07-24,26.22,27.63,26.07,26.58,25437800
2020-07-31,26.5,27.72,25.6,27.24,44291700
2020-08-07,27.24,29.03,27.01,28.97,19802000
2020-08-14,29.02,30.32,28.91,29.52,20806600
2020-08-21,29.5,30.18,28.75,29.52,18144500
2020-08-28,29.76,31.24,29.74,30.3,17502100
2020-09-04,30.19,30.95,28.83,30.0,19123400
2020-09-11,29.35,30.34,28.58,29.24,23152900
2020-09-18,29.4,31.2,28.83,30.79,26031900
2020-09-25,30.29,30.77,28.79,30.49,19700400
2020-10-02,30.75,31.56,30.08,31.23,25158900
2020-10-09,31.64,32.55,31.45,32.23,14714900
2020-10-16,32.59,33.47,32.01,32.76,16695300
2020-10-23,32.8,34.96,32.07,34.93,21444000
2020-10-30,34.45,34.88,32.76,33.39,34405700
2020-11-06,34.0,39.03,33.87,38.95,31306600
2020-11-13,40.74,41.3,37.58,38.29,31099200
2020-11-20,39.24,41.48,38.21,38.54,31879000
2020-11-27,39.0,39.56,37.46,37.81,23457800
2020-12-04,37.75,38.94,36.56,37.7,44289000
2020-12-11,37.55,38.47,36.61,37.16,19181000
2020-12-18,37.5,38.87,36.52,38.79,28902200
2020-12-25,38.0,38.72,37.8,37.89,9902400
2021-01-01,38.11,39.43,36.68,37.72,12106200
2021-01-08,38.35,41.35,36.8,40.69,29233200
2021-01-15,39.88,41.94,39.57,40.38,20396100
2021-01-22,40.7,40.98,39.1,39.51,15269900
2021-01-29,38.97,39.06,34.21,38.5,46715100
2021-02-05,39.2,39.99,37.86,39.15,18470200
2021-02-12,39.53,40.12,36.63,37.28,41950000
2021-02-19,37.46,37.76,36.36,37.64,15206400
2021-02-26,37.41,37.87,35.82,36.53,23135200
2021-03-05,36.76,37.58,34.75,36.94,29595300
2021-03-12,36.79,39.62,36.3,39.59,22982000
2021-03-19,39.22,41.6,38.31,40.91,34552400
2021-03-26,40.62,41.69,39.58,41.09,43444700
2021-04-02,42.21,43.48,41.79,42.02,23738700
2021-04-09,42.39,43.3,42.05,42.75,29332200
2021-04-16,42.8,44.28,42.24,43.88,30964800
2021-04-23,44.0,44.65,42.01,44.47,34577100
2021-04-30,44.82,45.32,42.99,43.58,33751200
2021-05-07,44.12,45.26,42.78,44.84,32279800
2021-05-14,44.89,45.65,42.39,43.64,31411800
2021-05-21,43.52,44.72,42.7,43.88,28187300
2021-05-28,44.08,46.13,43.93,45.93,35038200
2021-06-04,46.61,47.09,45.14,45.89,20176600
2021-06-11,46.18,46.63,45.66,46.1,19953000
2021-06-18,46.1,47.13,45.02,45.05,27712800
2021-06-25,45.4,47.17,45.3,47.06,22316400
2021-07-02,47.06,49.1,46.67,48.52,26816500
2021-07-09,48.61,49.06,47.53,48.27,15797200
2021-07-16,48.5,49.81,47.98,49.08,24174200
2021-07-23,48.31,51.96,47.65,51.9,23564100
2021-07-30,51.8,55.51,51.24,55.25,24757900
2021-08-06,55.3,57.9,54.48,56.38,22818700
2021-08-13,56.1,57.5,55.67,56.15,15052900
2021-08-20,55.99,56.83,54.23,55.37,15157100
2021-08-27,55.86,58.42,55.35,58.32,17263600
2021-09-03,58.52,58.89,56.74,57.41,17936700
2021-09-10,56.32,57.4,55.79,56.43,11942900
2021-09-17,56.94,57.08,54.57,55.0,36351400
2021-09-24,53.95,54.6,51.67,53.12,28809100
2021-10-01,53.09,53.68,51.12,52.46,23178000
2021-10-08,52.06,53.98,51.46,51.5,15264300
2021-10-15,51.36,53.92,49.93,53.43,22228600
2021-10-22,52.98,55.1,52.91,54.66,15602800
2021-10-29,54.12,55.34,52.04,52.23,15698100
2021-11-05,52.35,53.44,51.18,52.79,15235500
2021-11-12,52.98,56.16,52.37,56.12,13708700
2021-11-19,56.06,57.97,55.5,57.15,17280200
2021-11-26,57.37,57.6,54.35,55.38,16373100
2021-12-03,56.16,56.2,53.55,56.12,23606100
2021-12-10,56.37,57.69,54.55,55.51,14168600
2021-12-17,55.82,56.04,51.98,52.26,25277800
2021-12-24,51.9,53.19,50.36,52.82,9875100
2021-12-31,53.28,54.56,52.93,54.24,11022500
2022-01-07,53.15,54.64,51.83,51.84,20656500
2022-01-14,51.23,53.41,50.16,51.1,14841600
2022-01-21,50.2,50.37,47.48,47.8,15572300
2022-01-28,45.61,48.31,45.31,46.45,33433500
2022-02-04,46.44,48.15,44.84,45.84,32814300
2022-02-11,45.65,48.19,44.99,45.5,32316600
2022-02-18,45.52,45.91,43.96,44.08,24409900
2022-02-25,43.99,45.79,42.45,45.23,21597100
2022-03-04,44.46,45.91,43.48,45.0,34557400
2022-03-11,45.0,45.14,42.85,43.22,25882400
2022-03-18,43.55,47.83,42.83,47.78,28387700
2022-03-25,47.28,47.94,45.54,46.39,15778000
2022-04-01,46.44,48.48,45.65,46.04,15109900
2022-04-08,45.51,45.72,43.08,43.38,19622900
2022-04-15,42.81,43.26,41.27,41.28,15028000
2022-04-22,41.33,44.68,40.96,41.67,19232500
2022-04-29,41.4,42.02,36.23,38.27,36201300
2022-05-06,38.54,39.58,37.07,37.78,34897300
2022-05-13,37.22,40.43,37.02,40.19,28797700
2022-05-20,39.93,40.73,36.91,37.96,29295100
2022-05-27,38.52,40.37,37.0,40.23,17299100
2022-06-03,39.78,40.1,38.51,39.59,23820500
2022-06-10,39.77,40.15,37.02,37.34,13684100
2022-06-17,36.42,37.17,34.24,34.41,27837700
2022-06-24,34.73,36.4,34.12,36.3,33261400
2022-07-01,36.35,36.98,35.3,36.0,25638700
2022-07-08,35.41,36.51,35.01,36.07,15285500
2022-07-15,35.91,37.19,34.69,36.0,16824400
2022-07-22,36.1,38.64,35.39,38.5,14943200
2022-07-29,38.37,40.62,37.17,40.53,26382000
2022-08-05,40.15,41.93,39.9,41.88,26169200
2022-08-12,42.23,44.0,41.48,43.97,19966800
2022-08-19,43.76,44.6,42.33,42.48,16264700
2022-08-26,41.89,42.26,40.19,40.24,19725200
2022-09-02,39.84,40.79,38.96,39.58,27843800
2022-09-09,39.74,42.66,39.17,42.17,14807700
2022-09-16,42.48,42.76,38.11,38.44,22684300
2022-09-23,38.14,38.89,35.63,36.11,18756800
2022-09-30,35.87,37.19,34.95,35.56,21054600
2022-10-07,35.93,38.63,35.02,35.33,24575700
2022-10-14,35.65,36.04,33.1,34.57,30251100
2022-10-21,35.52,36.81,33.93,35.19,26023000
2022-10-28,35.48,39.98,35.21,39.95,26920200
2022-11-04,39.51,40.96,37.94,40.28,24185400
2022-11-11,40.41,44.75,40.12,44.44,20517000
2022-11-18,44.01,44.89,42.13,43.92,17146100
2022-11-25,43.88,44.63,43.6,44.21,9195600
2022-12-02,43.85,45.22,42.15,44.68,22580200
2022-12-09,43.97,44.04,42.49,43.02,15794700
2022-12-16,42.61,45.0,41.52,41.75,23883700
2022-12-23,41.84,42.22,41.03,41.79,13465800
2022-12-30,41.68,42.41,40.83,41.25,8551000
2023-01-06,41.94,43.35,41.12,43.13,12975800
2023-01-13,43.31,46.06,42.98,45.87,18209100
2023-01-20,45.91,46.13,41.77,42.57,18975400
2023-01-27,42.59,44.03,42.43,43.62,15065400
2023-02-03,43.38,47.49,43.38,46.89,20614700
2023-02-10,46.29,46.74,43.55,44.83,25217500
2023-02-17,44.93,45.64,44.47,45.22,15073000
2023-02-24,44.74,44.88,43.4,44.25,17379700
2023-03-03,44.75,47.92,44.55,47.79,27925200
2023-03-10,47.79,49.17,45.13,45.64,30895500
2023-03-17,45.12,46.49,42.34,43.75,33259400
2023-03-24,44.12,45.96,43.01,43.92,21821700
2023-03-31,44.69,46.08,44.06,45.75,17784600
2023-04-07,45.51,45.96,41.29,41.8,22307900
2023-04-14,41.8,44.95,41.48,44.3,26512200
2023-04-21,44.5,45.53,44.35,45.22,20470800
2023-04-28,45.37,47.21,40.4,41.82,60430100
2023-05-05,41.62,42.56,40.28,42.38,32806700
2023-05-12,42.89,43.54,41.8,42.4,27227900
2023-05-19,42.12,43.68,41.96,42.79,24510900
2023-05-26,42.71,43.1,40.73,40.89,24759000
2023-06-02,40.98,43.63,40.49,43.44,27747100
2023-06-09,43.57,45.89,42.89,45.3,26166200
2023-06-16,45.28,47.41,44.9,46.88,31833200
2023-06-23,46.53,48.43,46.45,48.05,25342200
2023-06-30,48.06,50.08,48.06,49.71,22381200
2023-07-07,49.73,50.17,48.35,49.33,11829300
2023-07-14,49.53,54.06,49.51,53.84,32861300
2023-07-21,53.85,55.58,53.44,53.75,28188000
2023-07-28,53.55,59.17,53.37,58.99,32528000
2023-08-04,58.98,60.04,56.45,57.08,27407700
2023-08-11,57.32,58.31,55.03,55.54,19143900
2023-08-18,55.09,56.31,52.62,53.39,24244500
2023-08-25,53.17,55.81,52.85,55.02,20840300
2023-09-01,55.47,58.26,55.29,57.94,16277200
2023-09-08,57.88,59.25,55.84,58.66,18006800
2023-09-15,59.05,59.49,53.63,54.46,28522400
2023-09-22,54.29,55.04,52.16,52.87,19011400
2023-09-29,52.82,57.12,52.2,55.2,27136300
