Date,Open,High,Low,Close,Volume
2023-09-22,42.0,42.95,29.9,30.0,67629200
2023-09-29,29.9,30.88,28.26,29.69,12265900
2023-10-06,29.34,29.72,24.68,25.47,12116600
2023-10-13,25.0,27.49,23.36,25.57,16583600
2023-10-20,26.1,26.15,24.09,24.85,6841700
2023-10-27,24.66,26.8,24.11,24.91,5230500
2023-11-03,24.94,28.88,24.31,26.91,6512300
2023-11-10,27.3,29.28,23.55,25.21,13060700
2023-11-17,25.01,26.96,24.77,25.25,5438700
2023-11-24,25.2,26.0,24.63,25.68,3185700
2023-12-01,25.77,27.68,23.9,25.37,7201400
2023-12-08,25.26,25.76,23.26,24.44,8401900
2023-12-15,24.54,26.38,23.35,24.6,8427100
2023-12-22,24.74,25.46,23.02,23.78,9337100
2023-12-29,23.96,24.7,23.38,23.47,4238500
2024-01-05,23.44,24.99,22.13,22.43,8014800
2024-01-12,22.43,23.87,22.25,23.09,7943500
2024-01-19,22.96,27.19,22.7,26.01,10985200
2024-01-26,26.5,27.94,24.42,25.48,13420200
2024-02-02,25.46,25.92,24.14,25.08,10505500
2024-02-09,25.01,27.28,23.59,26.6,17509900
2024-02-16,26.25,28.26,24.52,26.77,58572000
2024-02-23,27.0,32.19,26.82,30.59,37890800
2024-03-01,30.36,34.6,29.72,33.17,26513700
2024-03-08,32.92,35.26,32.3,34.38,23246900
2024-03-15,34.38,37.09,34.15,35.8,16456800
2024-03-22,35.85,38.56,35.77,37.52,15861100
2024-03-29,38.49,38.83,35.53,37.29,12561800
2024-04-05,37.36,39.3,35.81,39.12,16389400
2024-04-12,39.27,39.6,37.26,37.81,12474400
2024-04-19,37.77,38.14,34.36,35.23,18846900
2024-04-26,35.49,36.44,32.29,34.69,21417500
2024-05-03,35.23,36.81,33.83,36.7,18719700
2024-05-10,37.0,38.87,34.88,34.94,30693600
2024-05-17,34.38,35.03,31.9,34.44,29099700
2024-05-24,34.11,34.64,31.73,32.37,20022600
2024-05-31,32.5,32.52,30.07,30.48,19374700
2024-06-07,30.7,34.03,29.95,32.98,19578800
2024-06-14,33.04,34.72,31.91,32.64,16994600
2024-06-21,32.64,34.14,31.47,31.51,22944800
2024-06-28,31.39,33.33,30.92,32.14,33788600
2024-07-05,31.87,34.63,31.51,34.48,13417200
2024-07-12,34.52,35.42,32.41,34.87,14302800
2024-07-19,34.89,36.54,34.11,35.0,14342200
2024-07-26,35.0,35.89,33.72,34.32,12076200
2024-08-02,34.5,35.25,31.4,31.55,13072500
2024-08-09,29.89,33.97,29.84,31.9,24740300
2024-08-16,32.0,32.99,31.51,32.17,18663500
2024-08-23,32.11,35.81,31.99,35.6,15615500
2024-08-30,35.54,37.32,35.08,35.89,11925300
2024-09-06,35.23,35.35,33.17,34.01,11421200
2024-09-13,34.15,37.12,34.06,36.99,17304200
2024-09-20,36.88,42.58,36.35,42.14,43511100
2024-09-27,41.91,41.92,38.74,39.9,18587400
2024-10-04,40.17,41.32,38.88,40.41,10249000
2024-10-11,40.07,45.01,40.06,43.6,18596000
2024-10-18,43.79,43.81,41.54,42.76,11086700
2024-10-25,42.97,45.13,42.34,44.54,12487200
2024-11-01,45.0,45.75,43.71,44.78,11667500
2024-11-08,44.7,50.01,44.0,47.72,17184500
2024-11-15,48.34,48.51,40.8,42.0,35432700
2024-11-22,41.48,43.31,40.17,43.22,25137400
2024-11-29,43.2,44.06,42.52,43.67,11229100
2024-12-06,43.46,45.86,42.71,44.19,20204200
2024-12-13,44.41,44.41,40.88,41.78,21933000
2024-12-20,41.57,43.43,41.26,42.02,22082700
2024-12-27,41.75,44.06,41.11,42.2,6782900
2025-01-03,41.73,44.97,41.38,44.93,9248000
2025-01-10,45.49,45.57,42.29,44.23,19275800
2025-01-17,44.83,47.35,43.29,46.32,43646800
2025-01-24,46.35,46.71,44.05,45.99,11645100
2025-01-31,45.17,49.9,44.81,48.28,14653400
2025-02-07,46.96,50.11,46.07,49.21,12809900
2025-02-14,49.61,51.33,48.29,50.97,12538300
2025-02-21,51.43,53.44,49.42,52.37,17681400
2025-02-28,51.72,52.26,39.99,41.09,39030300
2025-03-07,40.66,40.84,36.69,39.9,27584000
2025-03-14,39.48,40.01,37.14,38.57,20584900
2025-03-21,38.67,40.75,38.33,38.9,27405800
2025-03-28,40.17,42.15,39.12,39.73,15718600
2025-04-04,39.12,41.03,36.74,37.37,17672500
2025-04-11,35.69,41.31,35.14,41.17,23602300
2025-04-18,41.63,43.04,41.04,42.99,16548900
2025-04-25,42.57,43.72,41.1,41.91,17003600
2025-05-02,41.91,45.57,38.64,45.22,34159100
2025-05-09,45.5,47.47,42.38,43.77,25268000
2025-05-16,44.68,45.71,43.2,45.66,21094400
2025-05-23,45.0,47.7,44.67,46.99,15685300
2025-05-30,47.25,47.56,45.1,45.67,14718600
2025-06-06,45.68,47.84,45.29,45.67,17469500
2025-06-13,46.35,46.35,43.28,43.37,16900900
2025-06-20,43.27,44.53,42.91,43.75,19778400
2025-06-27,43.74,45.45,42.88,44.86,17435700
2025-07-04,45.21,47.42,44.26,47.18,11162900
2025-07-11,47.0,49.63,46.5,47.99,19394600
2025-07-18,47.94,49.7,47.17,49.11,16058000
2025-07-25,49.16,50.33,48.33,48.41,13048300
2025-08-01,48.4,48.47,46.46,47.01,20211100
2025-08-08,47.27,53.5,47.09,51.21,31772700
2025-08-15,51.2,52.31,43.0,43.92,39732300
2025-08-22,44.18,46.66,43.33,43.37,24913800
2025-08-29,43.37,44.26,42.48,43.37,20609200
2025-09-05,43.17,45.46,42.75,45.29,18021200
2025-09-12,45.61,47.91,44.53,46.36,20303100
2025-09-19,47.0,47.75,41.42,41.5,31610100
2025-09-26,42.39,43.0,40.65,42.32,22811700
2025-10-03,40.6,40.78,34.87,38.18,69767100
2025-10-10,38.63,39.85,37.17,38.31,30518700
2025-10-17,38.77,40.2,38.04,38.49,20109100
2025-10-24,38.85,39.88,38.25,39.15,21444500
2025-10-31,39.0,39.36,35.7,36.86,25429900
2025-11-07,37.06,37.78,34.78,36.75,40616700
2025-11-14,38.69,41.74,35.25,41.05,45866400
2025-11-21,40.66,41.95,39.64,40.19,30321000
2025-11-28,40.39,42.73,40.27,42.01,17227000
2025-12-05,41.76,44.27,41.07,44.18,22263400
2025-12-12,44.43,47.29,42.85,44.96,25157300
2025-12-19,44.7,46.6,43.92,45.94,24811100
2025-12-26,46.01,46.02,44.42,45.85,11680300
2026-01-02,45.77,46.0,43.61,43.91,11747000
2026-01-09,43.79,45.2,40.28,41.17,24199200
2026-01-16,41.15,43.15,38.85,39.41,30270000
2026-01-23,39.16,40.07,38.01,39.9,24727200
2026-01-30,40.13,40.83,36.71,37.16,24728600
2026-02-06,37.92,38.45,34.15,34.64,26732100
2026-02-13,34.64,39.7,32.73,36.3,43518300
2026-02-20,37.46,37.69,34.51,36.25,23100300
2026-02-27,36.19,38.58,35.53,37.51,23958000
2026-03-06,37.02,38.82,36.2,38.09,20302000
2026-03-13,37.53,39.54,36.22,38.23,24945900
2026-03-20,38.18,39.42,36.05,36.93,21795000
2026-03-27,37.37,38.3,35.18,35.72,13600800
2026-04-03,36.69,38.96,36.69,38.77,14849400
