Date,Open,High,Low,Close,Volume
2015-04-03,80.01,81.52,79.39,80.24,17471300
2015-04-10,80.35,82.8,79.92,82.6,23341700
2015-04-17,82.6,85.73,81.54,83.28,31842700
2015-04-24,83.96,87.5,83.09,84.6,40821900
2015-05-01,84.77,88.28,84.4,87.37,28980500
2015-05-08,87.73,88.22,85.89,87.31,19312800
2015-05-15,88.4,89.59,87.26,88.43,20560700
2015-05-22,88.39,89.62,86.51,88.63,24232000
2015-05-29,88.13,88.82,85.11,85.32,18251500
2015-06-05,86.06,87.06,84.7,86.05,17349300
2015-06-12,85.8,88.76,85.78,87.85,17143500
2015-06-19,87.14,87.96,86.24,87.52,16302300
2015-06-26,87.97,88.81,85.81,86.82,17227600
2015-07-03,86.22,86.74,83.54,84.38,16703600
2015-07-10,83.65,84.15,81.46,82.15,22479400
2015-07-17,82.87,84.89,82.68,83.16,18305400
2015-07-24,83.06,83.29,75.85,76.1,42249800
2015-07-31,75.18,79.04,74.77,78.63,53353200
2015-08-07,78.42,78.43,76.18,77.29,30308300
2015-08-14,78.04,80.31,76.92,78.49,34744900
2015-08-21,78.13,79.0,74.96,75.0,35808700
2015-08-28,71.82,76.22,70.23,75.95,48111800
2015-09-04,75.32,76.77,72.35,73.1,44483000
2015-09-11,74.58,75.2,71.88,72.63,22029900
2015-09-18,72.35,75.87,71.61,71.86,31572100
2015-09-25,72.3,72.84,64.65,64.98,53021200
2015-10-02,64.24,66.1,62.99,65.7,45922400
2015-10-09,66.69,72.71,66.52,71.3,40298800
2015-10-16,71.51,71.53,69.11,69.68,26268900
2015-10-23,69.25,72.83,67.81,71.75,42628900
2015-10-30,71.79,73.28,68.34,72.99,31731900
2015-11-06,73.0,75.93,72.33,73.84,28137900
2015-11-13,73.43,73.61,68.41,69.63,29640600
2015-11-20,69.48,71.21,68.6,71.14,26559000
2015-11-27,70.98,71.9,70.44,71.22,12829200
2015-12-04,71.33,72.79,68.8,69.98,30662300
2015-12-11,68.68,68.73,64.48,65.43,35591500
2015-12-18,65.63,67.88,64.1,65.11,40470800
2015-12-25,65.59,70.49,64.38,69.38,24917100
2016-01-01,69.12,69.63,67.94,67.96,14938400
2016-01-08,66.88,68.44,62.93,63.29,38245300
2016-01-15,63.67,63.7,58.75,59.87,47416100
2016-01-22,60.26,62.56,56.36,60.98,35972700
2016-01-29,58.96,62.45,57.46,62.24,51915200
2016-02-05,61.97,66.99,59.8,66.12,40631800
2016-02-12,65.42,65.64,60.51,63.15,29261800
2016-02-19,64.16,67.79,63.51,65.42,23363600
2016-02-26,65.42,68.0,63.07,66.87,26253300
2016-03-04,67.14,73.96,66.49,72.84,34590300
2016-03-11,72.8,75.73,70.49,72.8,35536100
2016-03-18,72.73,76.94,70.86,75.47,43441800
2016-03-25,75.53,76.35,72.73,75.29,20330300
2016-04-01,75.15,77.25,74.19,76.79,21624200
2016-04-08,76.56,77.04,73.7,74.35,23377900
2016-04-15,74.61,79.78,74.47,79.17,29280900
2016-04-22,78.47,80.89,77.2,78.32,33071200
2016-04-29,78.5,79.17,76.2,77.72,31172300
2016-05-06,77.35,78.07,71.62,73.36,30073100
2016-05-13,72.33,73.61,70.06,70.07,31547900
2016-05-20,70.39,72.18,69.04,69.87,26392500
2016-05-27,69.8,73.59,69.59,71.96,20058300
2016-06-03,72.03,75.14,71.27,75.04,18007100
2016-06-10,75.36,78.7,75.11,76.03,23662200
2016-06-17,75.7,76.66,73.35,75.93,21453900
2016-06-24,76.91,78.25,72.99,73.03,26220000
2016-07-01,72.5,76.99,70.53,76.45,25422100
2016-07-08,75.66,77.43,73.46,77.37,17089200
2016-07-15,78.0,81.0,77.32,80.7,25303400
2016-07-22,79.88,81.38,78.86,79.38,22236700
2016-07-29,79.15,84.29,78.34,82.76,34606400
2016-08-05,82.76,82.96,80.92,82.56,16081900
2016-08-12,83.0,83.79,82.48,83.0,14722100
2016-08-19,83.0,84.73,82.51,83.84,19028200
2016-08-26,83.62,84.68,82.28,82.66,14943700
2016-09-02,82.51,83.35,80.57,81.69,16315600
2016-09-09,82.01,83.96,80.76,80.79,15779800
2016-09-16,80.27,82.35,79.93,82.05,24391000
2016-09-23,82.18,84.45,81.35,82.44,18346800
2016-09-30,82.2,88.98,81.67,88.77,34129000
2016-10-07,88.23,89.87,87.18,88.47,21788500
2016-10-14,89.1,89.5,86.26,87.67,23485600
