Date,Open,High,Low,Close,Volume
2015-03-27,113.83,114.7,110.44,110.9,6951400
2015-04-03,111.41,112.72,110.62,111.2,4680000
2015-04-10,110.42,112.12,110.14,111.9,4934500
2015-04-17,111.65,112.66,109.76,110.14,5517900
2015-04-24,110.79,111.49,106.82,108.51,9618100
2015-05-01,108.93,109.08,106.7,107.63,6392400
2015-05-08,107.68,108.81,106.27,108.78,5834200
2015-05-15,108.39,108.85,106.65,108.15,6404600
2015-05-22,108.31,109.29,108.14,108.66,5560200
2015-05-29,108.3,108.6,106.44,106.48,5301200
2015-06-05,106.82,107.05,104.42,104.68,6600500
2015-06-12,104.61,106.3,102.65,105.48,7384600
2015-06-19,104.48,107.85,104.31,106.01,6168400
2015-06-26,106.48,107.22,99.55,103.47,11947900
2015-07-03,102.89,110.84,100.07,103.74,27359500
2015-07-10,102.65,104.71,102.43,103.84,15002300
2015-07-17,104.8,104.96,102.63,104.14,12647100
2015-07-24,104.06,107.12,103.21,106.44,15098300
2015-07-31,106.12,110.2,106.1,108.77,13043200
2015-08-07,108.68,111.63,108.55,109.86,10841000
2015-08-14,110.6,111.04,107.62,109.67,8039000
2015-08-21,109.58,110.54,105.02,105.07,9952100
2015-08-28,99.78,104.36,96.0,102.71,18067300
2015-09-04,102.31,102.63,99.22,100.16,11997800
2015-09-11,101.47,103.26,100.25,100.86,7062400
2015-09-18,101.06,102.87,99.59,99.92,11186400
2015-09-25,100.63,104.24,100.15,103.42,12162400
2015-10-02,102.21,103.55,100.11,102.72,13122400
2015-10-09,103.47,107.27,102.93,106.47,11986500
2015-10-16,105.75,109.19,105.4,108.95,8261300
2015-10-23,108.71,115.94,108.07,114.83,15338300
2015-10-30,115.14,116.27,113.54,113.54,8968800
2015-11-06,113.92,114.59,112.21,113.03,9746500
2015-11-13,112.78,113.81,111.36,111.85,7771400
2015-11-20,111.71,117.0,111.65,116.48,8838900
2015-11-27,116.64,116.92,114.53,115.06,6743500
2015-12-04,115.35,117.98,113.38,117.66,10769800
2015-12-11,117.08,117.52,112.78,113.08,12775100
2015-12-18,113.48,117.4,112.83,113.69,14170100
2015-12-25,114.27,118.78,113.55,118.19,5479100
2016-01-01,117.94,119.86,116.73,116.85,5895100
2016-01-08,115.02,115.41,109.72,109.96,14317100
2016-01-15,110.29,113.73,108.93,111.02,29608100
2016-01-22,110.96,111.68,108.19,110.04,17642100
2016-01-29,109.95,113.17,107.07,113.07,16607300
2016-02-05,112.27,113.72,110.57,112.25,12629900
2016-02-12,111.63,114.36,106.82,114.31,13530900
2016-02-19,115.24,117.47,114.02,115.67,9107100
2016-02-26,116.83,119.86,114.58,117.51,7846200
2016-03-04,117.0,118.5,115.3,117.18,8263200
2016-03-11,116.51,119.99,115.6,119.95,7592100
2016-03-18,119.28,122.54,115.5,122.47,10810300
2016-03-25,121.96,122.27,118.49,119.61,6401300
2016-04-01,119.61,121.03,117.95,120.85,6396400
2016-04-08,123.0,123.14,117.23,118.81,8855600
2016-04-15,118.83,121.47,117.88,120.56,8462600
2016-04-22,120.55,123.17,117.88,119.3,9082200
2016-04-29,119.5,119.76,116.65,117.86,7918700
2016-05-06,117.53,122.63,116.89,122.35,10208400
2016-05-13,121.8,125.84,121.5,125.12,7848800
2016-05-20,124.91,126.63,123.21,125.75,6478000
2016-05-27,125.43,128.14,125.0,127.22,7019200
2016-06-03,127.42,128.0,125.52,127.56,5206500
2016-06-10,127.53,127.92,125.39,125.8,5724800
2016-06-17,125.83,126.44,123.26,123.93,7935300
2016-06-24,124.95,128.78,123.0,123.94,8049200
2016-07-01,122.75,131.0,121.08,130.32,7875000
2016-07-08,129.33,130.36,127.85,130.24,5160200
2016-07-15,129.58,130.94,129.12,129.57,6883200
2016-07-22,129.49,129.98,127.23,128.49,5621400
2016-07-29,128.43,128.83,125.24,125.26,6963000
2016-08-05,124.25,127.0,122.7,127.0,7688300
2016-08-12,127.24,127.48,126.0,126.33,5388700
2016-08-19,126.54,127.38,125.51,126.48,5969000
2016-08-26,126.11,126.97,124.9,125.91,4728800
2016-09-02,126.1,128.34,125.95,127.81,5937500
2016-09-09,127.65,128.13,124.28,124.28,5114200
2016-09-16,124.0,126.59,123.64,124.71,8000100
2016-09-23,125.4,127.54,124.7,125.48,5579500
2016-09-30,124.85,126.12,124.02,125.65,5994400
2016-10-07,125.44,125.53,121.58,124.43,8605300
2016-10-14,125.44,126.63,123.35,125.85,5875500
2016-10-21,125.9,126.75,121.48,121.9,7609500
2016-10-28,122.6,128.56,121.88,127.51,10408300
2016-11-04,128.04,128.37,123.08,123.11,6936200
2016-11-11,124.58,126.98,123.5,126.85,11095900
2016-11-18,127.42,127.93,124.1,126.3,9281900
2016-11-25,126.86,127.59,125.95,126.65,4879800
2016-12-02,126.25,129.57,125.7,127.82,9698100
2016-12-09,128.31,132.99,128.0,132.48,9367900
2016-12-16,132.59,133.89,130.42,132.71,9052500
2016-12-23,132.87,133.77,132.56,133.11,5326000
2016-12-30,133.1,133.46,131.79,132.12,4278500
2017-01-06,132.74,132.74,129.83,131.33,6052400
2017-01-13,131.08,131.54,128.98,130.25,6502200
2017-01-20,129.72,132.48,129.33,131.41,7296200
2017-01-27,131.54,133.4,130.99,133.3,5816000
2017-02-03,133.26,133.26,127.15,131.28,10163800
2017-02-10,131.1,133.21,130.17,132.76,5353500
2017-02-17,132.95,136.25,132.25,136.19,5803100
2017-02-24,136.04,139.35,135.13,138.41,4525800
2017-03-03,138.2,140.56,136.69,138.65,6366200
2017-03-10,137.92,138.38,136.79,137.81,5597900
2017-03-17,137.7,138.6,136.98,138.1,7812900
2017-03-24,137.86,137.96,135.54,136.06,6395000
