Date,Open,High,Low,Close,Volume
2015-04-03,84.85,85.14,82.54,84.15,8116800
2015-04-10,83.99,86.18,83.88,84.69,8491200
2015-04-17,84.66,87.14,84.39,85.84,12056700
2015-04-24,86.18,87.46,85.22,85.98,12853700
2015-05-01,86.0,86.13,83.02,83.17,9899200
2015-05-08,83.44,83.91,81.5,83.67,9359600
2015-05-15,83.2,83.83,81.29,83.8,9988300
2015-05-22,83.58,84.78,81.72,82.06,11037700
2015-05-29,82.05,82.47,81.3,81.55,9010500
2015-06-05,81.6,85.79,81.39,82.78,12405400
2015-06-12,82.86,83.5,81.67,82.7,8776200
2015-06-19,82.51,83.78,81.82,82.79,13245800
2015-06-26,82.99,83.49,81.33,81.54,8488200
2015-07-03,81.43,81.77,80.11,81.11,5517700
2015-07-10,80.84,81.91,80.35,81.34,6650600
2015-07-17,81.85,82.08,80.67,81.09,8619000
2015-07-24,81.17,84.32,80.41,82.43,13726200
2015-07-31,82.56,83.0,81.05,81.91,9037100
2015-08-07,82.08,82.89,81.45,82.34,7680000
2015-08-14,82.84,86.56,82.56,86.07,9792400
2015-08-21,85.91,86.5,82.62,82.67,10122600
2015-08-28,80.7,84.71,78.31,83.75,17091000
2015-09-04,83.56,84.21,80.7,81.04,9919100
2015-09-11,82.26,83.36,77.84,78.63,10252400
2015-09-18,78.76,79.18,76.65,77.41,13455100
2015-09-25,77.77,78.79,75.78,78.75,10822000
2015-10-02,78.26,79.97,77.07,79.94,12757700
2015-10-09,80.44,81.76,80.12,81.19,10713100
2015-10-16,81.07,81.96,80.33,81.66,6773100
2015-10-23,81.52,87.25,81.11,85.32,16806500
2015-10-30,85.42,86.5,84.53,85.46,7973100
2015-11-06,85.57,88.18,83.97,84.72,9117500
2015-11-13,84.37,85.3,83.54,83.66,6997900
2015-11-20,83.66,87.35,83.24,87.05,7809300
2015-11-27,87.17,87.78,85.86,86.07,5360300
2015-12-04,86.18,87.45,84.36,85.11,10134900
2015-12-11,85.08,86.7,84.16,84.82,12857700
2015-12-18,84.8,86.42,84.5,84.82,14986100
2015-12-25,85.33,87.56,85.03,86.94,9285400
2016-01-01,86.65,88.15,86.42,86.45,4352800
2016-01-08,85.64,87.18,82.86,83.08,12140500
2016-01-15,83.62,85.79,78.41,79.12,15216600
2016-01-22,79.92,81.95,75.71,81.62,13982300
2016-01-29,81.58,86.3,81.13,86.2,13324900
2016-02-05,85.62,87.25,83.47,84.06,10941600
2016-02-12,83.3,83.42,79.99,83.13,11507200
2016-02-19,84.18,86.88,83.46,85.46,8610200
2016-02-26,86.12,88.26,84.57,85.79,13120400
2016-03-04,85.83,88.46,85.71,87.25,10354800
2016-03-11,86.8,87.12,84.5,85.78,13557900
2016-03-18,85.32,86.8,84.06,86.42,16405600
2016-03-25,86.14,86.27,85.0,85.58,8104300
2016-04-01,85.7,87.59,85.54,87.11,13957200
2016-04-08,87.35,88.21,85.77,88.05,9255400
2016-04-15,88.31,88.82,86.79,87.28,6816200
2016-04-22,87.19,88.36,85.86,87.75,10605500
2016-04-29,87.64,87.99,86.13,86.88,8251700
2016-05-06,87.07,88.53,85.59,88.34,9079500
2016-05-13,88.54,91.18,88.25,89.85,12127200
