Date,Open,High,Low,Close,Volume
2015-03-27,14.81,15.41,13.98,14.0,7839600
2015-04-03,14.01,14.8,13.76,14.73,6715100
2015-04-10,14.9,15.29,14.5,15.21,7059200
2015-04-17,15.69,16.56,15.07,16.11,16790700
2015-04-24,16.14,17.48,15.8,17.3,12638600
2015-05-01,17.35,17.77,16.99,17.16,11586200
2015-05-08,17.28,17.55,16.24,17.15,9114600
2015-05-15,17.16,17.46,16.84,17.21,7428700
2015-05-22,17.09,17.09,15.17,15.28,12932400
2015-05-29,15.17,15.29,14.68,14.99,7406400
2015-06-05,15.04,15.74,14.78,15.4,7076200
2015-06-12,15.36,15.62,15.12,15.5,6001900
2015-06-19,15.34,15.36,14.75,14.83,4540400
2015-06-26,14.82,15.24,14.5,14.58,5188800
2015-07-03,14.38,14.6,14.08,14.52,5159300
2015-07-10,14.15,14.2,13.16,13.41,9158400
2015-07-17,13.44,13.96,12.88,12.99,12725000
2015-07-24,12.96,13.43,12.89,13.4,10945400
2015-07-31,13.34,14.11,12.88,13.73,12427900
2015-08-07,13.68,14.26,13.54,13.74,10378600
2015-08-14,13.77,14.79,13.76,14.26,10412600
2015-08-21,14.3,14.3,13.4,13.46,6262500
2015-08-28,12.72,13.74,12.38,13.62,11699700
2015-09-04,13.34,14.15,13.19,13.36,9728200
2015-09-11,13.86,14.59,13.52,13.66,7078800
2015-09-18,13.64,14.25,13.21,13.32,11378500
2015-09-25,13.33,13.41,11.94,12.4,9702300
2015-10-02,12.22,12.62,11.6,12.57,9868400
2015-10-09,12.73,14.29,12.73,14.16,9049000
2015-10-16,14.2,14.47,13.71,14.3,6747900
2015-10-23,14.15,14.43,13.92,14.43,5870100
2015-10-30,14.52,14.52,13.77,14.17,7216700
2015-11-06,13.55,13.99,12.61,12.77,10993800
2015-11-13,12.74,12.88,12.11,12.23,7488700
2015-11-20,12.23,12.52,12.04,12.06,7596700
2015-11-27,12.01,12.23,11.92,12.1,5272500
2015-12-04,12.08,12.52,11.7,12.11,7350600
2015-12-11,11.95,12.25,11.4,11.62,8140500
2015-12-18,11.64,12.12,11.26,12.08,9540100
2015-12-25,12.13,12.61,11.9,12.53,4421400
2016-01-01,12.48,12.48,12.07,12.33,3962200
2016-01-08,11.95,12.1,10.94,11.44,8283200
2016-01-15,11.54,11.84,10.57,10.81,8999300
2016-01-22,11.16,11.67,10.31,11.59,6696000
2016-01-29,11.49,12.15,11.14,12.14,6105100
2016-02-05,12.0,12.54,11.56,12.34,7149000
2016-02-12,11.67,11.74,10.41,11.43,10427700
2016-02-19,11.56,12.3,11.26,12.03,5751700
2016-02-26,12.29,12.45,11.59,11.98,6840600
2016-03-04,12.04,12.79,11.97,12.48,8271700
2016-03-11,12.45,12.78,11.57,11.99,13223900
2016-03-18,11.86,13.59,11.73,13.34,15954300
2016-03-25,13.36,13.54,12.42,12.73,7736700
2016-04-01,12.75,13.24,12.39,12.69,7910800
2016-04-08,12.64,12.68,11.84,12.05,7803900
2016-04-15,12.1,12.83,12.01,12.46,9481900
2016-04-22,12.26,13.25,12.25,13.1,11473500
2016-04-29,13.03,13.5,12.45,12.51,12155600
2016-05-06,12.55,12.56,11.51,11.62,8918700
2016-05-13,11.52,12.24,11.44,11.57,8543700
2016-05-20,11.7,11.88,11.23,11.39,5325900
2016-05-27,11.31,11.96,11.28,11.71,5933300
2016-06-03,11.72,11.82,11.33,11.71,7321500
2016-06-10,11.77,12.43,11.65,11.7,6632300
2016-06-17,11.65,11.77,10.95,11.19,6078600
2016-06-24,11.42,11.52,10.81,10.84,8034600
2016-07-01,10.77,11.05,10.41,10.93,9237900
2016-07-08,10.85,10.92,10.34,10.57,6739800
2016-07-15,10.68,10.99,10.55,10.79,8618900
2016-07-22,10.73,10.8,10.28,10.35,7135400
2016-07-29,10.3,10.68,9.38,9.56,19072100
2016-08-05,9.55,9.68,9.07,9.52,11751300
2016-08-12,9.65,9.84,9.39,9.74,8211500
2016-08-19,9.82,9.92,9.43,9.45,7003500
2016-08-26,9.4,9.66,9.28,9.29,6734200
2016-09-02,9.3,9.49,9.05,9.3,13570800
2016-09-09,9.4,9.59,9.01,9.04,8025200
2016-09-16,8.96,9.1,8.57,8.77,13222000
2016-09-23,8.91,9.16,8.71,8.84,8873000
2016-09-30,8.81,8.86,8.33,8.56,12238200
2016-10-07,8.56,8.62,7.86,7.88,15012400
2016-10-14,7.92,8.07,7.45,8.02,13906500
2016-10-21,7.97,8.15,7.84,8.04,8745800
2016-10-28,8.05,8.1,7.81,7.93,10030300
2016-11-04,7.93,8.58,7.41,8.24,21364200
2016-11-11,8.4,9.1,8.23,8.71,20833300
2016-11-18,8.75,9.33,8.7,9.08,12368400
2016-11-25,9.32,9.43,9.06,9.26,8208600
2016-12-02,9.29,9.74,9.07,9.42,11324300
2016-12-09,9.47,10.77,9.46,10.59,15846500
2016-12-16,10.71,10.9,9.96,10.79,17037300
2016-12-23,10.79,10.89,10.29,10.51,16779800
2016-12-30,10.57,10.66,10.12,10.47,9766700
2017-01-06,10.5,11.25,10.23,10.77,11269000
2017-01-13,10.85,13.36,10.63,13.29,32145200
2017-01-20,13.3,13.36,10.71,11.74,31654800
2017-01-27,11.78,13.33,11.72,12.98,21781000
2017-02-03,12.94,12.96,10.5,10.67,27449000
2017-02-10,10.71,11.33,10.34,11.13,19493600
2017-02-17,11.34,12.37,11.23,11.72,18303200
2017-02-24,11.77,11.77,10.93,10.95,12681600
2017-03-03,11.09,11.35,10.79,10.87,12558400
2017-03-10,10.82,11.34,10.71,11.06,13809600
2017-03-17,11.18,11.3,10.72,11.06,13255500
2017-03-24,11.03,11.15,10.55,10.89,10170800
2017-03-31,10.76,11.38,10.73,11.07,12291000
2017-04-07,11.08,11.34,10.8,11.16,9062000
2017-04-14,11.2,11.91,11.11,11.11,11596300
2017-04-21,11.15,11.19,10.58,10.73,8498700
2017-04-28,10.89,11.16,9.33,9.59,16467700
2017-05-05,9.61,9.93,9.37,9.72,15190400
2017-05-12,9.7,10.11,9.69,9.82,7840600
2017-05-19,10.08,10.08,9.36,9.84,8842700
2017-05-26,9.84,10.05,9.35,9.53,9313200
2017-06-02,9.45,9.46,9.03,9.13,8278100
2017-06-09,9.11,9.58,8.95,9.5,8443000
2017-06-16,9.49,9.7,9.01,9.17,6372000
2017-06-23,9.23,9.44,8.99,9.34,10934500
2017-06-30,9.4,9.68,8.96,9.1,12859800
2017-07-07,9.12,9.37,9.08,9.27,5527100
2017-07-14,9.29,9.97,9.22,9.97,7351600
2017-07-21,10.02,10.21,9.55,9.94,11324300
2017-07-28,9.94,10.68,9.86,10.56,11304300
2017-08-04,10.57,10.58,10.05,10.1,13150700
2017-08-11,10.11,10.31,9.58,9.71,9807200
2017-08-18,9.72,9.82,9.55,9.68,7747500
2017-08-25,9.71,10.03,9.69,9.99,6728100
2017-09-01,10.0,10.15,9.65,10.01,7127600
2017-09-08,10.03,10.22,9.86,9.95,5330300
2017-09-15,9.97,10.35,9.97,10.14,7262700
2017-09-22,10.14,10.26,9.81,9.98,7329600
2017-09-29,10.04,10.13,9.59,9.67,10972000
2017-10-06,9.65,9.86,8.76,9.32,24224500
2017-10-13,9.35,9.36,8.95,9.15,7511000
2017-10-20,9.17,9.26,8.95,9.01,5710600
2017-10-27,9.03,9.07,7.68,8.3,13058900
2017-11-03,8.27,8.64,8.0,8.48,11523700
2017-11-10,8.52,9.74,8.5,9.36,16964600
2017-11-17,9.32,9.47,8.63,9.39,10163900
2017-11-24,9.33,10.06,9.31,9.9,7128800
2017-12-01,9.92,9.94,8.9,9.48,12761700
2017-12-08,9.87,11.18,9.83,10.37,19229400
2017-12-15,10.39,10.67,10.07,10.09,7838500
2017-12-22,10.09,10.41,9.4,9.42,11604100
2017-12-29,9.42,9.47,9.15,9.23,7901700
2018-01-05,9.29,9.88,9.23,9.79,7835400
2018-01-12,9.78,9.98,9.28,9.86,14814000
2018-01-19,9.89,9.89,9.47,9.62,9449000
2018-01-26,9.63,9.86,9.19,9.23,10404600
2018-02-02,9.23,9.43,8.79,9.11,11520200
2018-02-09,9.07,9.35,8.34,8.53,16658300
2018-02-16,8.54,9.48,8.34,9.23,13749300
2018-02-23,9.15,9.22,8.98,9.19,4547100
2018-03-02,9.24,9.42,8.73,8.97,5789400
2018-03-09,8.89,9.52,8.87,9.17,6691900
2018-03-16,9.17,9.41,9.07,9.39,6243600
2018-03-23,9.34,9.37,8.85,8.97,8790500
2018-03-30,9.07,9.26,8.87,9.09,6879300
2018-04-06,9.05,10.07,9.02,9.81,13651300
2018-04-13,9.9,10.14,9.73,9.94,7530700
2018-04-20,9.95,10.67,9.8,10.57,17801900
2018-04-27,10.47,10.56,9.91,10.38,11387300
2018-05-04,10.34,11.67,10.22,11.24,18831600
2018-05-11,11.25,11.56,11.2,11.51,7840800
2018-05-18,11.5,11.68,11.21,11.36,7024900
2018-05-25,11.38,11.41,10.46,10.62,10043600
2018-06-01,10.47,10.91,10.31,10.45,7017900
2018-06-08,10.55,12.16,10.52,11.68,21840800
2018-06-15,11.64,12.19,11.59,11.82,10057300
2018-06-22,11.78,11.87,11.05,11.34,11494600
2018-06-29,11.31,11.39,10.73,11.25,8748800
2018-07-06,11.08,11.37,10.68,10.97,5891500
2018-07-13,11.09,11.15,10.84,10.96,5115200
2018-07-20,10.93,11.2,10.52,11.16,12190200
2018-07-27,11.16,12.15,10.64,10.83,16830400
2018-08-03,10.87,11.21,10.45,11.17,10913200
2018-08-10,11.16,11.29,10.74,10.77,6630900
2018-08-17,10.73,10.83,10.21,10.36,7391500
2018-08-24,10.37,10.5,10.13,10.3,7768100
2018-08-31,10.33,10.69,10.3,10.41,7141700
2018-09-07,10.33,10.33,9.39,9.72,8892200
2018-09-14,9.75,9.81,9.39,9.67,7712500
2018-09-21,9.68,10.1,9.59,9.92,8097600
2018-09-28,9.96,11.96,9.48,11.4,25464300
2018-10-05,11.49,12.38,11.17,12.08,17845900
2018-10-12,12.02,12.21,11.29,11.5,12778300
2018-10-19,11.56,11.95,11.36,11.49,8293100
2018-10-26,11.5,11.58,10.37,10.61,9476500
2018-11-02,10.72,11.42,10.19,11.14,11922400
