Date,Open,High,Low,Close,Volume
2015-04-03,17.99,18.66,17.88,18.5,11247000
2015-04-10,18.41,19.5,18.29,19.06,36640300
2015-04-17,19.09,19.34,18.32,18.43,20723500
2015-04-24,17.77,19.34,17.77,18.99,20268200
2015-05-01,19.03,19.83,18.59,18.96,37606000
2015-05-08,18.97,19.33,18.42,19.18,22921200
2015-05-15,19.19,19.32,18.85,19.2,17749400
2015-05-22,19.24,19.98,19.1,19.9,25934600
2015-05-29,19.83,20.18,19.69,19.79,20220800
2015-06-05,20.0,20.51,19.62,20.39,19913300
2015-06-12,20.34,20.35,19.63,19.85,20178300
2015-06-19,19.68,20.25,19.45,20.07,12562300
2015-06-26,20.19,20.25,19.82,20.04,11698000
2015-07-03,19.88,19.96,19.27,19.36,7992400
2015-07-10,19.19,19.72,18.97,19.58,11801800
2015-07-17,19.72,19.87,19.34,19.54,14130000
2015-07-24,19.59,20.04,19.06,19.16,14689200
2015-07-31,19.0,21.14,18.88,20.97,21671100
2015-08-07,20.92,21.28,20.67,20.9,8263200
2015-08-14,20.91,21.59,20.82,21.56,10887700
2015-08-21,21.54,21.86,19.8,19.8,10410600
2015-08-28,18.77,20.45,18.13,20.14,12934200
2015-09-04,20.0,20.71,19.27,20.29,11672900
2015-09-11,20.66,21.08,20.52,20.65,9499600
2015-09-18,20.5,21.37,20.5,20.81,9873200
2015-09-25,21.0,21.34,20.73,20.96,10701200
2015-10-02,20.89,21.11,20.08,20.81,14827900
2015-10-09,20.95,21.8,20.92,21.75,14961300
2015-10-16,21.73,21.79,21.23,21.35,11364300
2015-10-23,21.33,21.45,20.98,21.4,18212800
2015-10-30,21.33,23.3,21.33,22.22,25208100
2015-11-06,22.19,22.71,22.17,22.71,19759000
2015-11-13,22.63,22.96,22.1,22.29,19133500
2015-11-20,22.25,23.21,21.34,21.47,17907200
2015-11-27,21.52,22.43,21.52,22.37,12787300
2015-12-04,22.36,22.63,19.35,21.65,16359400
2015-12-11,21.56,21.8,20.88,21.09,13461000
2015-12-18,21.51,21.84,20.96,21.0,18402100
2015-12-25,21.11,21.59,20.53,21.29,9019200
2016-01-01,21.18,21.48,20.79,20.81,9231400
2016-01-08,20.0,20.64,19.22,19.24,16286400
2016-01-15,19.25,19.56,18.48,19.0,23237600
