Date,Open,High,Low,Close,Volume
2015-04-03,27.23,27.92,26.91,27.8,1631300
2015-04-10,27.71,28.22,27.32,27.81,2517500
2015-04-17,28.25,29.03,27.83,28.71,3737100
2015-04-24,28.99,30.23,28.39,29.77,4996500
2015-05-01,30.09,30.99,29.02,30.84,4411500
2015-05-08,30.84,31.88,29.77,30.21,7247700
2015-05-15,29.9,30.45,29.51,29.73,2145700
2015-05-22,29.56,30.53,29.5,30.45,2549600
2015-05-29,30.49,30.99,30.09,30.83,1488600
2015-06-05,30.95,31.06,28.95,29.43,5647400
2015-06-12,29.14,29.56,28.46,28.74,3584300
2015-06-19,28.5,28.8,27.79,28.61,3983500
2015-06-26,28.89,29.24,28.04,28.54,5607200
2015-07-03,28.11,28.75,27.85,28.63,1999900
2015-07-10,28.46,28.62,26.63,27.44,2875100
2015-07-17,27.7,28.96,27.47,28.41,3077000
2015-07-24,28.21,28.41,26.01,26.15,3119900
2015-07-31,25.91,26.85,25.5,26.61,3441200
2015-08-07,26.67,26.67,24.45,25.02,5509300
2015-08-14,25.12,25.45,23.4,24.79,4815600
2015-08-21,24.05,24.24,20.87,21.16,5401600
2015-08-28,20.13,22.66,19.71,21.9,6712100
2015-09-04,21.69,21.88,19.64,20.17,4799800
2015-09-11,20.67,21.31,20.19,20.59,1630300
2015-09-18,20.54,21.2,19.98,19.99,3398400
2015-09-25,20.31,20.34,18.14,18.38,4101100
2015-10-02,18.25,18.38,16.44,16.87,4760300
2015-10-09,17.07,19.41,17.0,19.27,5390200
2015-10-16,19.9,19.95,18.75,19.5,3809300
2015-10-23,19.3,19.45,18.51,19.04,2857200
2015-10-30,19.1,19.47,18.65,18.74,4070900
2015-11-06,18.86,20.65,18.66,19.62,3642300
2015-11-13,19.74,19.81,17.41,17.57,5161300
2015-11-20,17.53,18.17,17.05,17.47,4549300
2015-11-27,17.53,18.3,17.5,18.04,2301000
2015-12-04,17.95,18.4,17.13,17.33,4540300
2015-12-11,17.17,17.44,15.53,15.68,7761400
2015-12-18,15.66,16.14,14.78,15.61,6170200
2015-12-25,15.87,16.25,15.47,16.08,2465100
2016-01-01,15.91,16.05,15.04,15.62,3096200
2016-01-08,15.11,15.85,13.88,13.88,4763100
2016-01-15,14.36,14.36,11.55,13.28,8338400
2016-01-22,13.4,13.56,11.92,13.55,5874500
2016-01-29,13.51,13.84,12.86,13.68,3269600
2016-02-05,13.7,13.73,12.13,12.77,4339800
2016-02-12,12.53,12.99,11.25,12.89,6541300
2016-02-19,13.48,15.37,13.15,15.05,6071800
2016-02-26,15.33,15.6,13.98,15.09,4999300
2016-03-04,15.05,16.82,15.0,16.44,4421400
2016-03-11,16.48,16.68,15.66,16.64,2676200
2016-03-18,16.7,17.4,16.1,17.15,2596300
2016-03-25,17.24,17.34,15.41,16.1,1903600
2016-04-01,16.16,17.13,15.91,16.99,2111700
2016-04-08,17.03,17.12,15.87,16.02,1877600
2016-04-15,16.19,17.56,16.04,17.26,3402400
2016-04-22,17.17,17.85,17.1,17.32,3133300
2016-04-29,17.21,17.97,16.01,16.74,3504700
2016-05-06,16.71,17.35,16.02,16.24,3485200
2016-05-13,16.2,16.59,15.32,15.8,3263400
2016-05-20,15.81,16.55,15.76,16.29,2520700
2016-05-27,16.23,16.67,16.16,16.28,2047700
2016-06-03,16.29,16.5,15.82,16.08,1096400
2016-06-10,16.07,16.59,15.63,15.79,1875500
2016-06-17,15.63,16.35,15.38,15.93,1995500
2016-06-24,16.08,16.4,15.3,15.74,2425000
2016-07-01,15.52,16.39,15.3,16.21,1820700
2016-07-08,16.05,16.42,15.3,16.37,1599500
2016-07-15,16.5,16.52,15.98,16.4,2569600
2016-07-22,16.41,17.15,16.15,17.07,1959300
2016-07-29,17.25,17.44,16.51,17.28,2349100
2016-08-05,17.29,17.35,16.66,16.84,4230800
2016-08-12,16.9,16.94,15.68,16.03,4181600
2016-08-19,16.0,16.25,15.94,16.22,1860900
2016-08-26,16.25,16.32,15.75,15.8,1820500
2016-09-02,15.76,15.93,15.2,15.54,2147700
2016-09-09,15.69,16.2,15.5,15.71,2104900
2016-09-16,15.68,16.14,15.5,15.69,1704500
2016-09-23,15.7,16.09,15.39,15.49,1391600
2016-09-30,15.45,15.65,14.82,15.57,1993800
2016-10-07,15.61,15.75,15.25,15.53,1105600
2016-10-14,15.69,15.74,14.43,14.62,1506900
2016-10-21,14.55,15.43,14.35,15.0,1628700
2016-10-28,15.2,16.25,15.2,15.8,3451600
2016-11-04,15.8,15.85,14.45,14.9,3459200
2016-11-11,15.1,15.8,14.77,15.45,3648000
2016-11-18,15.6,16.3,15.5,16.1,3427300
2016-11-25,16.05,16.15,15.45,15.9,2288700
2016-12-02,15.85,15.9,14.95,15.3,3398900
2016-12-09,15.3,16.45,14.85,16.2,6531000
2016-12-16,16.2,16.25,15.4,15.75,4749300
2016-12-23,15.8,16.1,15.1,15.4,4312100
2016-12-30,15.35,15.53,14.98,15.25,3344800
2017-01-06,15.5,16.85,15.2,16.65,5232900
2017-01-13,16.65,17.05,16.5,16.95,3846900
2017-01-20,16.95,17.15,16.7,17.0,2863400
2017-01-27,17.0,17.45,16.8,17.35,2568400
2017-02-03,17.25,17.5,16.85,17.0,4012200
2017-02-10,17.0,17.15,16.0,16.25,6580800
2017-02-17,16.2,16.65,15.85,16.05,6467600
2017-02-24,16.05,16.5,16.05,16.3,2609300
2017-03-03,16.25,16.5,15.85,15.95,3371000
2017-03-10,15.85,16.0,15.45,15.7,2575100
2017-03-17,16.05,16.65,15.75,16.05,2592500
2017-03-24,16.0,16.15,15.5,15.65,2302300
2017-03-31,15.55,16.18,15.45,15.95,1610000
2017-04-07,16.0,16.1,15.6,15.85,1897200
2017-04-14,15.9,16.25,15.75,16.15,1370500
2017-04-21,16.15,16.3,15.73,16.05,2184800
2017-04-28,16.2,17.7,16.16,17.7,4223900
2017-05-05,17.75,18.65,17.2,18.1,6596200
2017-05-12,18.15,18.4,17.4,18.25,3752500
2017-05-19,18.3,18.8,16.85,17.6,6467800
2017-05-26,17.75,18.25,17.5,17.75,3206300
2017-06-02,17.75,17.95,17.45,17.8,2251400
2017-06-09,17.9,18.1,17.15,18.1,3103300
2017-06-16,18.1,18.75,17.7,18.3,4371000
2017-06-23,18.3,19.35,18.2,19.35,3107800
2017-06-30,19.35,20.0,19.1,19.75,3707400
2017-07-07,19.85,20.0,18.85,19.25,2534700
2017-07-14,19.35,20.85,19.25,20.4,5150700
2017-07-21,20.4,20.73,19.95,20.5,3013900
2017-07-28,20.4,21.25,20.05,20.75,2366500
2017-08-04,20.7,22.05,20.4,21.95,4259200
2017-08-11,21.95,22.13,19.9,21.1,7826300
2017-08-18,21.3,21.6,20.75,20.95,4954300
2017-08-25,21.0,21.25,20.55,20.85,4421100
2017-09-01,21.0,21.25,20.55,21.0,3556800
2017-09-08,21.0,21.2,20.05,20.15,2640800
2017-09-15,20.8,23.9,20.75,23.55,9346300
2017-09-22,23.75,24.6,23.25,24.45,4592500
2017-09-29,24.35,24.7,22.85,23.6,4121900
2017-10-06,23.75,24.85,23.6,24.15,3809700
2017-10-13,24.25,24.5,23.6,24.05,1979400
2017-10-20,24.05,24.55,23.76,24.35,2247400
2017-10-27,24.25,24.25,22.15,22.4,4065900
2017-11-03,22.4,23.15,21.25,22.55,5766100
2017-11-10,22.7,23.0,20.8,21.25,4912700
2017-11-17,20.85,21.5,19.9,21.1,4654500
2017-11-24,21.2,21.6,21.0,21.05,1770600
2017-12-01,20.95,21.0,19.5,20.05,7985000
2017-12-08,20.4,22.33,20.3,22.15,7294800
2017-12-15,22.15,22.65,21.68,21.75,3388900
2017-12-22,21.75,22.8,21.35,22.65,2954500
2017-12-29,22.65,23.2,22.55,22.9,1868700
2018-01-05,23.0,24.4,22.76,23.95,2904200
2018-01-12,23.95,25.5,23.55,25.3,3065500
2018-01-19,25.4,25.85,24.05,24.35,2653900
2018-01-26,24.4,25.75,24.2,25.6,3145000
2018-02-02,25.65,25.9,25.0,25.55,3387700
2018-02-09,25.1,25.5,21.35,22.9,6727900
2018-02-16,23.05,24.75,23.0,23.3,4544300
2018-02-23,23.15,23.9,22.7,23.15,2710200
2018-03-02,23.35,23.95,22.0,22.6,3574600
2018-03-09,22.4,23.1,22.3,23.05,1955100
2018-03-16,23.65,23.65,22.3,22.45,2472300
2018-03-23,22.4,22.6,21.4,21.5,2280900
2018-03-30,22.0,22.0,20.9,21.35,1729000
2018-04-06,21.35,21.35,19.95,20.25,2675100
2018-04-13,20.4,20.8,20.03,20.2,2148800
2018-04-20,20.3,21.05,19.95,20.85,2302900
2018-04-27,20.85,21.15,19.95,20.23,2265800
2018-05-04,20.45,21.8,20.35,21.45,4747700
2018-05-11,21.65,22.1,21.2,21.65,3455600
2018-05-18,21.65,22.4,21.43,21.6,4517400
2018-05-25,21.75,22.4,21.55,21.8,2725600
2018-06-01,21.6,22.4,21.3,22.3,1758600
2018-06-08,22.4,23.05,22.35,22.75,1803700
2018-06-15,22.8,23.2,22.35,22.55,1931900
2018-06-22,22.55,22.85,22.23,22.5,1936500
2018-06-29,22.55,22.55,21.1,21.3,3481600
2018-07-06,21.15,23.95,21.15,23.65,3081200
2018-07-13,23.75,23.9,23.15,23.8,2439900
2018-07-20,23.85,24.45,23.35,23.95,2367800
2018-07-27,23.9,24.2,23.53,24.0,1694600
2018-08-03,24.0,25.2,23.65,24.23,3372100
2018-08-10,24.15,24.15,23.3,23.5,2728000
2018-08-17,23.45,23.9,23.2,23.35,2370000
2018-08-24,23.35,24.25,23.25,24.05,2570000
2018-08-31,24.1,24.25,23.0,23.2,2650700
2018-09-07,23.2,23.2,21.8,22.3,1888900
2018-09-14,22.25,23.5,22.2,23.45,2529800
2018-09-21,23.5,24.25,23.2,23.95,2591000
2018-09-28,23.95,24.0,22.5,22.55,1972200
2018-10-05,22.61,23.33,22.0,22.01,2358000
2018-10-12,22.0,22.0,19.95,20.28,4512500
2018-10-19,20.35,21.46,20.04,20.16,2491600
2018-10-26,20.16,20.58,18.89,19.08,3181600
2018-11-02,19.5,21.35,18.06,20.26,5285400
2018-11-09,20.35,21.44,19.92,19.95,1918700
2018-11-16,19.84,20.08,17.69,17.97,3856500
2018-11-23,17.98,19.06,16.82,18.98,4346500
2018-11-30,19.12,19.49,18.13,18.31,2362400
2018-12-07,18.55,18.76,17.18,17.56,3370000
2018-12-14,17.51,17.97,16.28,16.28,4425000
2018-12-21,16.16,17.11,15.09,16.12,5479300
2018-12-28,15.67,16.49,15.55,16.17,3666700
2019-01-04,16.21,16.4,15.54,16.2,3358100
2019-01-11,16.3,17.42,16.1,17.17,3107700
2019-01-18,17.07,18.88,16.97,18.87,3507600
2019-01-25,18.83,18.84,17.6,17.84,1703500
2019-02-01,17.75,19.41,17.51,19.38,2691800
2019-02-08,19.45,20.67,18.45,18.75,4636300
2019-02-15,18.8,18.98,17.93,18.46,4036500
2019-02-22,18.33,18.56,18.09,18.2,1878400
2019-03-01,18.34,18.4,17.61,17.84,2638400
2019-03-08,17.95,18.28,17.33,17.54,2094400
2019-03-15,17.6,19.2,17.56,19.01,2356000
2019-03-22,19.12,19.54,18.41,18.46,2515900
2019-03-29,18.36,18.75,17.95,18.28,2557700
2019-04-05,18.28,18.89,18.1,18.5,1730100
2019-04-12,18.5,19.3,18.28,19.03,1402100
2019-04-19,19.2,20.52,18.85,20.45,2849600
2019-04-26,20.46,21.46,20.27,20.93,4079800
2019-05-03,20.95,21.67,19.63,21.0,4580300
2019-05-10,20.54,21.12,20.3,20.62,4238400
2019-05-17,20.22,21.17,20.02,20.93,3185700
2019-05-24,20.81,20.94,20.06,20.29,4088500
2019-05-31,20.24,20.44,19.66,19.7,2181700
2019-06-07,19.52,21.59,19.5,21.54,2327300
2019-06-14,21.46,22.0,21.16,21.78,2192400
2019-06-21,21.78,23.0,21.72,22.28,3819500
2019-06-28,22.19,22.81,21.64,22.61,2049400
2019-07-05,22.96,24.06,22.61,23.66,3829000
2019-07-12,23.39,25.0,23.01,24.03,8506400
2019-07-19,24.22,24.22,22.96,23.03,3504400
2019-07-26,23.25,25.16,22.21,24.96,6334100
2019-08-02,25.09,25.99,22.46,22.95,14063400
2019-08-09,22.52,24.0,21.5,22.5,5787800
2019-08-16,22.29,22.34,20.74,21.71,6122700
2019-08-23,22.29,23.14,21.83,22.02,4722900
2019-08-30,22.15,23.1,21.79,22.78,3717400
2019-09-06,22.46,24.98,21.85,24.54,4669000
2019-09-13,24.55,26.18,24.22,25.79,6007200
2019-09-20,25.5,27.0,25.26,26.6,5202100
2019-09-27,26.52,27.02,25.51,25.69,7576100
2019-10-04,25.72,25.98,23.45,24.8,6824300
2019-10-11,24.68,26.31,24.45,25.77,3209800
2019-10-18,25.74,27.29,25.52,26.98,3787600
2019-10-25,27.08,27.85,26.48,27.33,3779100
2019-11-01,27.5,28.04,26.81,27.99,5076100
2019-11-08,28.07,28.2,27.08,27.39,4895200
2019-11-15,27.2,28.48,27.11,28.4,3677000
2019-11-22,28.43,28.96,28.17,28.59,3711900
2019-11-29,29.0,30.3,28.68,29.8,4002700
2019-12-06,29.68,29.82,28.47,29.49,4695900
2019-12-13,29.49,30.26,29.08,29.69,4887300
2019-12-20,29.9,31.61,29.75,31.22,6147700
2019-12-27,31.29,31.45,30.68,31.22,3017400
2020-01-03,31.22,32.5,30.6,31.45,16854400
2020-01-10,31.36,31.99,30.76,31.54,11741000
2020-01-17,31.55,33.31,31.37,33.28,11204000
2020-01-24,33.22,34.98,33.11,33.72,8630600
2020-01-31,32.9,33.87,31.82,32.48,12382100
2020-02-07,32.64,33.68,31.61,32.87,15962200
2020-02-14,32.86,33.86,31.78,32.13,8319000
2020-02-21,32.1,32.48,30.66,31.27,10131300
2020-02-28,29.96,31.26,26.94,28.46,16705200
2020-03-06,28.58,31.04,25.68,26.37,15479900
2020-03-13,24.0,25.23,18.91,23.63,18859000
2020-03-20,19.95,22.13,15.21,19.39,24587300
2020-03-27,18.51,24.6,17.35,22.74,15556100
2020-04-03,22.61,23.15,18.85,19.89,8761700
2020-04-10,20.82,24.94,20.81,24.06,8111900
2020-04-17,23.57,24.04,21.5,22.95,7593600
2020-04-24,22.69,22.69,20.8,22.58,7437900
2020-05-01,22.97,26.36,21.6,22.18,9301400
2020-05-08,21.69,24.65,21.36,24.55,12557600
2020-05-15,24.18,25.13,22.36,23.48,10018400
2020-05-22,24.15,26.93,24.12,26.82,8285900
2020-05-29,27.28,29.0,27.13,27.66,19435600
2020-06-05,27.66,31.47,27.52,29.66,13554100
2020-06-12,30.26,30.85,27.91,29.38,11398700
2020-06-19,28.29,31.86,28.11,29.85,31740600
2020-06-26,29.64,30.0,26.27,26.47,23376000
2020-07-03,26.77,28.5,26.47,27.97,6585400
2020-07-10,28.56,28.61,26.89,28.25,6291600
2020-07-17,28.8,29.27,27.22,29.05,4670000
2020-07-24,28.85,29.83,28.52,28.71,3621400
2020-07-31,28.68,29.77,28.06,28.47,4159700
2020-08-07,28.49,28.87,27.11,27.48,9456100
2020-08-14,27.43,27.58,26.85,27.14,4697800
2020-08-21,27.23,28.12,26.29,26.6,4439200
2020-08-28,26.61,27.23,25.49,26.07,5182400
2020-09-04,26.19,27.36,25.03,25.82,5190700
2020-09-11,25.17,26.26,24.2,25.17,5215800
2020-09-18,25.35,26.22,24.58,24.73,5617500
2020-09-25,24.11,24.84,23.48,23.69,4996300
2020-10-02,24.04,25.58,24.04,25.3,3130900
2020-10-09,25.61,26.89,25.5,26.8,4432100
2020-10-16,27.4,27.95,26.24,27.68,4111400
