Date,Open,High,Low,Close,Volume
2015-04-03,82.99,83.81,81.22,82.49,2825400
2015-04-10,81.71,85.77,81.59,84.93,4107300
2015-04-17,85.17,85.35,81.25,81.75,7535000
2015-04-24,83.0,88.18,82.77,87.55,8250200
2015-05-01,87.99,88.14,83.39,83.95,7031100
2015-05-08,84.28,87.01,83.1,85.7,6435900
2015-05-15,84.94,88.49,84.5,86.86,4584600
2015-05-22,86.58,87.9,85.11,87.22,4122000
2015-05-29,87.2,87.2,82.23,84.72,7316300
2015-06-05,85.44,85.44,82.94,83.79,5740500
2015-06-12,83.98,85.31,82.55,83.71,4236600
2015-06-19,83.12,85.2,82.1,83.73,5864300
2015-06-26,84.69,84.82,79.44,79.66,7081400
2015-07-03,78.99,80.75,78.12,80.31,4878200
2015-07-10,79.52,81.86,78.5,80.9,8189800
2015-07-17,80.86,81.98,77.14,78.0,11159400
2015-07-24,78.23,86.71,76.82,83.55,15704700
2015-07-31,82.59,83.5,79.97,80.77,7681600
2015-08-07,80.81,82.99,79.28,80.86,6648700
2015-08-14,81.6,82.97,79.9,80.82,5111800
2015-08-21,80.55,82.99,76.86,76.9,5492600
2015-08-28,72.26,80.62,65.09,78.86,10437700
2015-09-04,78.28,78.94,76.31,77.61,7660000
2015-09-11,78.53,79.43,77.29,79.18,3794500
2015-09-18,79.13,80.34,78.11,79.9,4188200
2015-09-25,80.46,81.25,78.71,79.64,5621900
2015-10-02,79.15,80.56,77.63,80.52,7287000
2015-10-09,80.71,82.94,78.47,79.48,6345200
2015-10-16,79.63,81.02,78.28,80.9,4892900
2015-10-23,81.0,82.5,79.4,80.43,7844200
2015-10-30,82.23,85.14,77.74,84.94,9671800
2015-11-06,85.41,85.62,81.22,83.67,7565900
2015-11-13,82.84,83.25,80.68,80.83,5247400
2015-11-20,81.0,85.11,80.31,84.45,6921100
2015-11-27,84.05,86.89,83.38,86.42,5160200
2015-12-04,85.81,87.98,84.15,86.91,14365100
2015-12-11,86.25,87.47,83.83,84.31,5594600
2015-12-18,83.61,87.51,80.54,80.62,10890100
2015-12-25,81.61,83.39,80.97,82.6,3012700
2016-01-01,81.98,84.15,81.37,81.38,3426700
2016-01-08,78.91,80.53,76.05,76.71,9993600
2016-01-15,77.21,80.49,74.1,75.95,9785300
