Date,Open,High,Low,Close,Volume
2015-03-27,189.4,190.79,178.69,180.0,3472200
2015-04-03,181.17,199.0,181.17,189.58,5690600
2015-04-10,189.41,193.98,187.85,191.81,2533500
2015-04-17,191.85,193.8,182.46,186.74,3589100
2015-04-24,187.4,189.47,180.55,185.75,9000800
2015-05-01,185.84,194.0,179.77,187.44,11490100
2015-05-08,188.2,191.9,180.06,180.67,4563800
2015-05-15,181.11,183.1,175.95,181.2,7182700
2015-05-22,180.61,182.85,174.58,175.33,9090400
2015-05-29,176.02,183.93,172.17,179.02,27969100
2015-06-05,179.18,181.9,170.0,173.97,10547400
2015-06-12,172.74,174.05,168.84,172.26,7559100
2015-06-19,171.69,172.76,169.17,169.67,7214900
2015-06-26,170.67,172.76,166.75,171.5,7178000
2015-07-03,170.77,174.99,166.54,171.8,6975200
2015-07-10,170.9,177.39,170.02,177.39,6757000
2015-07-17,177.95,185.96,175.07,185.67,8962300
2015-07-24,185.74,188.87,182.8,184.33,8134100
2015-07-31,184.0,189.99,180.26,185.86,7208800
2015-08-07,186.94,195.46,175.1,183.85,11769600
2015-08-14,184.98,187.66,177.95,179.82,4956900
2015-08-21,182.83,192.37,175.87,177.53,7714200
2015-08-28,168.18,182.64,161.91,181.59,8991400
2015-09-04,181.27,186.08,176.9,183.02,5936900
2015-09-11,185.62,188.99,182.0,184.45,5480700
2015-09-18,184.1,193.94,183.01,191.39,8449600
2015-09-25,191.95,195.0,181.75,183.53,7492200
2015-10-02,182.89,184.82,166.33,183.14,13129200
2015-10-09,183.86,189.17,183.13,186.63,7264400
2015-10-16,186.27,188.76,182.4,187.27,4881100
2015-10-23,186.98,187.93,175.08,183.0,6859300
2015-10-30,183.0,194.92,179.14,190.94,9301500
2015-11-06,193.25,193.63,184.76,190.26,9613400
2015-11-13,189.09,193.6,185.81,186.48,4933200
2015-11-20,186.44,188.87,183.06,186.48,4500800
2015-11-27,186.07,189.36,184.28,187.24,3569500
2015-12-04,187.74,190.68,179.49,184.53,5649900
2015-12-11,183.77,189.57,175.61,178.02,7157700
2015-12-18,178.7,185.27,173.21,178.29,8363500
2015-12-25,179.05,186.87,177.05,181.89,2963800
2016-01-01,180.72,185.84,179.0,183.1,2750200
2016-01-08,180.56,182.04,170.38,174.89,8689600
2016-01-15,175.0,179.99,163.02,165.08,9375900
2016-01-22,166.92,175.0,160.74,174.72,7524800
2016-01-29,174.9,176.51,164.32,171.36,7948400
2016-02-05,169.64,180.95,160.2,168.54,15853300
2016-02-12,165.73,172.78,156.13,167.75,14968400
2016-02-19,170.03,175.59,164.34,173.57,7415900
2016-02-26,174.5,184.0,169.69,181.21,12052500
2016-03-04,180.55,186.22,179.15,184.78,12618300
2016-03-11,184.22,188.0,182.7,187.61,8824500
2016-03-18,186.8,202.98,183.62,201.0,15097400
2016-03-25,200.9,204.61,196.9,198.34,7970600
2016-04-01,199.47,205.73,197.37,203.47,8004900
2016-04-08,205.28,206.63,201.05,202.55,6013000
2016-04-15,203.3,204.99,199.27,203.06,6133600
2016-04-22,201.9,207.7,193.77,197.91,9653500
2016-04-29,197.1,213.32,194.77,212.24,22576200
2016-05-06,212.25,218.68,209.49,212.92,10282200
2016-05-13,213.42,219.58,211.77,214.58,25256100
2016-05-20,206.72,233.7,201.04,233.11,52817100
2016-05-27,232.2,233.19,217.01,219.97,20058900
2016-06-03,220.06,228.72,216.1,224.95,11233000
2016-06-10,224.92,225.95,218.04,223.53,11271700
2016-06-17,223.42,228.94,219.47,221.05,17321900
2016-06-24,224.45,225.4,215.18,216.8,12754800
2016-07-01,215.23,232.65,214.06,232.29,10387200
2016-07-08,231.67,238.27,229.01,237.17,6585200
2016-07-15,238.08,241.48,234.21,234.98,6966000
2016-07-22,235.19,244.44,227.63,243.47,7477500
2016-07-29,243.35,244.51,234.77,234.87,5149200
2016-08-05,235.54,238.96,234.16,234.79,5808400
2016-08-12,234.55,260.39,233.0,258.62,12066800
2016-08-19,259.49,261.75,250.75,252.63,6902600
2016-08-26,253.08,254.31,249.13,250.93,4192100
2016-09-02,251.69,272.96,250.9,271.79,15506800
2016-09-09,279.95,279.95,264.12,264.12,48414700
