Date,Open,High,Low,Close,Volume
2015-03-27,11.54,11.57,10.86,11.12,912000
2015-04-03,11.16,11.24,10.88,11.17,819700
2015-04-10,11.22,11.9,11.19,11.71,838900
2015-04-17,11.71,11.87,11.36,11.4,473200
2015-04-24,11.46,12.35,11.31,12.2,1508800
2015-05-01,12.33,12.5,12.1,12.44,2549700
2015-05-08,12.45,12.78,12.3,12.51,2900100
2015-05-15,12.49,12.68,12.45,12.59,1662300
2015-05-22,12.56,12.67,12.52,12.62,2023000
2015-05-29,12.6,12.83,12.55,12.8,1912500
2015-06-05,12.71,13.07,12.1,12.35,7263800
2015-06-12,12.36,12.55,12.19,12.4,2497300
2015-06-19,12.3,12.38,11.99,12.18,1708600
2015-06-26,12.29,12.34,11.79,11.87,1429200
2015-07-03,11.76,11.93,11.51,11.72,1457500
2015-07-10,11.52,11.64,11.13,11.26,1600700
2015-07-17,11.37,11.74,11.21,11.36,1358200
2015-07-24,11.4,12.96,11.33,12.82,2196300
2015-07-31,12.8,13.49,12.42,13.38,2594100
2015-08-07,13.35,13.42,12.82,13.12,2226200
2015-08-14,13.17,13.41,12.74,13.05,1638800
2015-08-21,13.0,13.2,12.15,12.24,1758700
2015-08-28,11.77,12.27,11.51,12.22,2729000
2015-09-04,12.16,12.44,11.92,12.11,1317600
2015-09-11,12.31,12.63,12.25,12.53,1301500
2015-09-18,12.54,13.06,12.52,12.92,1143800
2015-09-25,12.99,13.08,12.19,12.73,1225700
2015-10-02,12.67,13.04,12.39,12.79,1104400
2015-10-09,12.85,13.26,12.85,13.11,1367200
2015-10-16,13.13,13.36,13.0,13.13,1004300
2015-10-23,13.1,13.29,10.65,11.37,6826800
2015-10-30,11.32,11.41,10.76,11.22,1895600
2015-11-06,11.23,11.54,11.08,11.26,1209000
2015-11-13,11.17,11.33,10.7,10.83,1160300
2015-11-20,10.85,11.5,10.81,11.39,819200
2015-11-27,11.39,11.57,11.19,11.48,795700
2015-12-04,11.48,11.53,11.14,11.17,1162200
2015-12-11,11.09,11.15,10.59,10.6,1035600
2015-12-18,10.57,10.94,10.56,10.72,845200
2015-12-25,10.77,11.15,10.63,11.07,311900
2016-01-01,11.04,11.35,10.87,11.03,367700
2016-01-08,10.89,11.04,10.48,10.55,1142900
2016-01-15,10.63,10.65,9.27,9.34,861100
2016-01-22,9.22,10.07,9.03,9.96,700200
2016-01-29,9.9,10.15,8.07,9.06,2384500
2016-02-05,9.02,9.87,8.85,9.24,1236500
2016-02-12,9.08,9.51,9.01,9.3,714000
2016-02-19,9.39,9.96,9.28,9.82,536200
2016-02-26,9.99,10.3,9.6,10.16,641800
2016-03-04,10.17,10.99,10.12,10.79,501100
2016-03-11,10.77,11.08,10.65,10.88,538700
2016-03-18,10.88,11.0,10.27,10.67,1089600
2016-03-25,10.6,10.83,9.9,10.76,2118900
2016-04-01,10.81,11.17,10.61,10.97,1367200
2016-04-08,11.0,11.05,10.77,10.89,976700
2016-04-15,10.95,11.08,10.31,10.59,1674000
2016-04-22,10.56,11.35,10.42,10.96,1986800
2016-04-29,10.91,11.04,10.55,10.73,1789800
2016-05-06,10.73,10.79,10.09,10.18,2044200
2016-05-13,10.16,10.25,9.75,9.99,5106900
2016-05-20,10.09,10.36,9.97,10.14,5242400
2016-05-27,10.16,10.88,10.15,10.76,2281500
2016-06-03,10.71,10.86,10.52,10.77,832800
2016-06-10,10.75,11.03,10.58,10.69,1389900
2016-06-17,10.66,10.66,10.2,10.4,1013300
2016-06-24,10.53,10.56,9.71,9.73,1100800
2016-07-01,9.62,9.62,9.04,9.35,1470500
2016-07-08,9.35,9.35,8.83,9.29,1221800
2016-07-15,9.32,9.8,9.16,9.77,1164300
2016-07-22,9.8,11.08,9.74,10.85,2505800
