Date,Open,High,Low,Close,Volume
2015-03-27,7.09,7.29,7.0,7.09,5350663
2015-04-03,7.12,7.3,6.99,7.28,5989968
2015-04-10,7.3,7.39,7.16,7.2,3531223
2015-04-17,7.17,7.92,7.05,7.58,22046207
2015-04-24,7.23,7.78,7.22,7.75,11088309
2015-05-01,7.72,7.76,7.35,7.64,10242876
2015-05-08,7.49,7.59,7.3,7.55,7777696
2015-05-15,7.53,7.79,7.45,7.74,7719097
2015-05-22,7.7,7.93,7.63,7.85,3760331
2015-05-29,7.78,7.91,7.68,7.72,4575549
2015-06-05,7.82,8.03,7.59,7.75,8383334
2015-06-12,7.68,7.96,7.61,7.68,4910023
2015-06-19,7.52,7.95,7.37,7.91,7308101
2015-06-26,8.15,8.36,8.02,8.13,10029047
2015-07-03,8.02,8.28,7.89,8.15,11894219
2015-07-10,7.96,8.46,7.57,8.36,9283691
2015-07-17,8.29,8.43,8.21,8.24,5542086
2015-07-24,8.36,8.38,7.95,7.95,9555888
2015-07-31,7.89,7.96,7.4,7.81,12255693
2015-08-07,7.86,8.09,7.72,8.0,9148683
2015-08-14,8.04,8.17,7.67,7.73,7643149
2015-08-21,7.58,7.68,6.74,6.74,7788267
2015-08-28,6.68,7.08,6.65,7.0,11018451
2015-09-04,6.93,6.98,6.36,6.41,9475458
2015-09-11,6.59,6.65,6.42,6.48,3962902
2015-09-18,6.42,6.68,6.32,6.32,5558517
2015-09-25,6.24,6.27,5.67,5.8,10147509
2015-10-02,5.6,5.86,5.54,5.83,8254071
2015-10-09,6.0,6.43,6.0,6.41,9044124
2015-10-16,6.46,6.47,5.82,5.87,8301296
2015-10-23,5.77,6.05,5.64,6.04,7512851
2015-10-30,6.01,6.01,5.6,5.91,11815513
2015-11-06,5.97,6.29,5.94,6.08,9137423
2015-11-13,6.15,6.16,5.8,5.88,13700102
2015-11-20,5.53,5.93,5.49,5.83,8453768
2015-11-27,5.99,6.31,5.71,6.28,5216804
2015-12-04,6.31,6.48,6.2,6.38,6442789
2015-12-11,6.25,6.33,6.12,6.14,7352565
2015-12-18,6.22,6.25,5.87,5.87,8406313
2015-12-25,5.94,6.27,5.87,6.23,5723054
2016-01-01,6.21,6.22,5.94,5.95,3319231
2016-01-08,5.74,5.76,5.4,5.4,9166837
2016-01-15,5.57,5.59,5.12,5.19,10673635
2016-01-22,5.14,5.44,4.93,5.27,12207321
2016-01-29,5.19,5.46,5.01,5.45,14609651
2016-02-05,5.51,5.77,5.17,5.71,16886164
2016-02-12,5.48,5.56,5.08,5.49,11170119
2016-02-19,5.62,5.83,5.43,5.48,6422106
2016-02-26,5.62,5.74,5.31,5.67,5568858
2016-03-04,5.76,6.1,5.63,6.05,6111072
2016-03-11,5.91,6.12,5.78,6.07,5264718
2016-03-18,6.07,6.19,5.87,6.03,8026685
2016-03-25,6.07,6.13,5.78,5.9,4885894
2016-04-01,5.9,6.18,5.65,5.74,7173322
