Date,Open,High,Low,Close,Volume
2015-04-03,17.78,18.97,17.74,18.91,807100
2015-04-10,18.74,18.87,18.16,18.83,931000
2015-04-17,18.79,18.86,18.28,18.33,646300
2015-04-24,18.47,18.93,18.4,18.74,699100
2015-05-01,18.8,19.59,17.56,17.88,1628100
2015-05-08,17.85,18.25,17.2,18.05,777000
2015-05-15,17.98,18.76,17.68,18.42,808600
2015-05-22,18.4,19.37,17.91,18.96,1330100
2015-05-29,18.82,18.91,18.24,18.67,870600
2015-06-05,18.79,18.85,18.25,18.68,744700
2015-06-12,18.63,18.84,18.25,18.74,652800
2015-06-19,18.55,19.49,18.16,19.04,1993400
2015-06-26,19.05,19.64,18.89,19.23,1678600
2015-07-03,19.03,19.32,18.05,18.2,957500
2015-07-10,18.02,18.48,18.01,18.28,1236100
2015-07-17,18.28,18.54,17.99,18.02,982900
2015-07-24,18.0,18.0,17.15,17.18,856600
2015-07-31,17.07,17.53,16.72,17.0,997900
2015-08-07,17.0,18.74,16.76,18.15,2107500
2015-08-14,18.11,18.22,17.53,17.84,701000
2015-08-21,17.7,18.04,17.23,17.63,1358000
2015-08-28,16.52,17.35,15.82,16.89,2163000
2015-09-04,16.86,17.0,16.12,16.52,1258900
2015-09-11,16.68,17.07,16.3,16.6,664300
2015-09-18,16.64,17.07,16.35,16.63,946100
2015-09-25,16.77,16.77,15.04,15.78,1443400
2015-10-02,15.68,16.28,15.5,16.27,980100
2015-10-09,16.37,16.96,16.37,16.75,826600
2015-10-16,16.78,17.21,16.32,16.64,731500
2015-10-23,16.6,17.72,16.52,17.65,816800
2015-10-30,17.57,18.51,16.83,18.12,1370400
2015-11-06,18.1,18.75,17.92,18.73,768300
2015-11-13,18.7,18.77,18.03,18.35,789000
2015-11-20,18.33,18.89,17.48,18.78,868100
2015-11-27,18.78,18.8,18.25,18.74,767200
2015-12-04,18.8,19.36,18.46,19.12,1214100
2015-12-11,19.07,19.27,17.68,17.97,856100
2015-12-18,17.98,18.85,17.83,18.67,2213300
2015-12-25,18.75,19.01,18.43,18.88,595400
2016-01-01,18.81,19.46,18.53,18.56,843500
2016-01-08,18.29,18.33,16.41,16.42,1982700
2016-01-15,16.51,17.17,16.09,16.49,1614700
2016-01-22,16.68,17.05,16.24,16.86,1488900
2016-01-29,16.94,20.8,16.71,20.8,3824500
2016-02-05,20.8,20.97,20.04,20.12,2223800
