Date,Open,High,Low,Close,Volume
2021-04-16,381.0,429.54,310.0,342.0,143498100
2021-04-23,337.26,341.01,282.07,291.6,64437500
2021-04-30,304.29,306.7,291.0,297.64,19821500
2021-05-07,304.0,305.03,250.51,263.7,26701800
2021-05-14,266.4,306.98,252.26,258.37,47917400
2021-05-21,250.0,252.17,208.0,224.35,51388000
2021-05-28,227.28,249.39,224.04,236.54,38791000
2021-06-04,238.51,244.71,227.5,228.79,14212700
2021-06-11,229.92,232.56,217.4,223.92,21878800
2021-06-18,231.27,239.76,226.28,229.29,17889200
2021-06-25,223.14,230.52,210.77,224.54,19653100
2021-07-02,227.64,261.15,226.13,240.72,25396400
2021-07-09,243.0,256.99,232.34,253.88,15824400
2021-07-16,254.0,254.89,220.37,225.01,17347500
2021-07-23,216.92,237.15,213.22,224.92,14057900
2021-07-30,240.08,249.8,229.12,236.58,19811500
2021-08-06,237.28,263.9,226.91,258.26,20284200
2021-08-13,267.85,294.0,255.2,261.25,43334700
2021-08-20,265.26,265.43,239.19,257.32,16177500
2021-08-27,263.67,266.5,248.09,259.12,18603500
2021-09-03,256.35,280.61,256.25,278.44,18129900
2021-09-10,277.0,278.87,247.4,248.32,15946400
2021-09-17,246.51,251.88,238.75,245.19,14463400
2021-09-24,234.45,245.8,229.17,231.82,14878800
2021-10-01,231.88,235.76,225.04,231.15,14985300
2021-10-08,231.49,256.18,224.51,248.14,17420100
2021-10-15,249.57,281.72,244.56,280.61,27611800
2021-10-22,275.74,317.37,271.5,300.84,50617100
2021-10-29,306.76,328.48,305.11,319.42,31052700
2021-11-05,324.77,345.85,323.9,337.05,26591700
2021-11-12,349.5,368.9,320.0,342.98,43229400
2021-11-19,345.1,355.2,323.41,332.55,21455100
2021-11-26,333.33,335.9,299.15,303.19,13917100
2021-12-03,312.22,331.7,258.16,265.65,27491800
2021-12-10,253.13,290.19,244.46,255.76,22967200
2021-12-17,252.14,268.26,236.0,243.35,19667400
2021-12-24,236.56,269.31,231.77,268.15,14233900
2021-12-31,270.26,281.99,251.37,252.37,17543900
2022-01-07,256.27,261.63,224.88,232.33,20747800
2022-01-14,224.43,246.27,214.64,230.03,24463100
2022-01-21,226.82,232.0,186.86,191.97,23779200
2022-01-28,173.18,198.05,162.2,177.58,38844000
2022-02-04,177.87,201.45,175.03,194.44,20896100
2022-02-11,198.7,217.49,191.02,194.53,24760700
2022-02-18,193.48,214.02,180.54,189.16,21078800
2022-02-25,180.87,185.75,155.92,176.83,23336100
2022-03-04,172.5,205.88,162.16,165.75,28812700
2022-03-11,168.25,181.45,156.53,160.07,19541100
2022-03-18,159.99,186.69,150.12,185.94,22481300
2022-03-25,181.8,195.7,171.7,186.71,17746800
2022-04-01,193.31,206.79,184.39,186.96,21186500
2022-04-08,187.34,193.07,160.13,160.94,18221500
2022-04-15,156.57,162.44,146.82,147.29,16782900
2022-04-22,145.45,154.96,131.25,131.52,22485800
2022-04-29,130.01,137.35,112.14,112.71,26274400
2022-05-06,113.07,132.81,100.25,103.74,34126300
2022-05-13,96.0,96.43,40.83,67.87,212759400
2022-05-20,68.06,71.81,60.51,66.15,82553000
2022-05-27,65.54,77.18,59.12,75.32,59945600
2022-06-03,80.0,83.32,65.61,66.69,56052500
2022-06-10,70.76,74.11,57.77,58.71,44446000
2022-06-17,46.18,56.66,46.0,51.22,87660500
2022-06-24,54.2,64.09,51.57,62.71,76086000
2022-07-01,59.56,60.45,44.15,49.04,56722200
2022-07-08,48.13,63.7,45.95,60.29,55238800
2022-07-15,57.54,58.43,50.34,53.79,49008300
2022-07-22,56.71,79.0,56.69,70.82,103783300
2022-07-29,68.93,69.98,52.63,62.96,76692200
2022-08-05,61.19,116.3,59.42,93.05,123496100
2022-08-12,97.84,103.55,82.31,90.49,97110800
2022-08-19,89.11,95.5,74.01,74.06,60385400
2022-08-26,70.91,76.41,65.34,66.74,43717000
2022-09-02,65.51,70.38,61.91,65.26,37384900
2022-09-09,65.56,81.04,61.83,80.87,40485100
2022-09-16,82.6,84.58,73.6,74.0,62670000
2022-09-23,71.88,72.54,59.43,61.88,55544200
2022-09-30,62.98,67.74,60.26,64.49,51608200
2022-10-07,64.95,76.28,61.92,67.0,54584900
2022-10-14,67.58,73.79,61.06,63.59,66472100
2022-10-21,66.48,73.9,61.7,66.38,51834200
2022-10-28,67.4,78.29,63.68,72.07,50000800
2022-11-04,72.37,74.65,55.75,58.82,64727700
2022-11-11,60.0,60.99,44.62,57.46,179081400
2022-11-18,55.7,58.0,44.31,45.26,93272900
2022-11-25,43.6,46.17,40.61,44.28,64282400
2022-12-02,43.3,47.7,41.51,47.67,57102700
2022-12-09,47.98,49.85,40.15,40.24,53600900
2022-12-16,39.98,46.33,34.71,36.6,76899300
2022-12-23,35.97,36.86,32.95,35.49,46558500
2022-12-30,34.5,35.87,31.83,35.39,34853900
2023-01-06,36.49,38.5,31.55,33.26,58714000
2023-01-13,35.19,50.63,34.72,49.98,102506000
2023-01-20,53.31,57.33,47.92,55.16,77934100
2023-01-27,55.0,62.29,49.6,61.37,80539800
2023-02-03,60.01,87.63,55.67,74.63,129183000
2023-02-10,73.18,75.98,55.97,57.09,90724700
2023-02-17,55.52,73.3,53.66,65.2,118891600
2023-02-24,63.32,67.48,56.8,58.44,84027900
2023-03-03,59.94,67.5,57.5,64.51,89384700
2023-03-10,64.6,69.82,51.57,53.44,97815800
2023-03-17,54.71,76.8,50.77,74.98,123906100
2023-03-24,76.76,85.38,61.51,67.83,131248400
2023-03-31,67.2,68.63,60.51,67.57,80330700
2023-04-07,66.01,68.33,58.2,61.44,48358800
2023-04-14,61.37,72.61,59.66,69.91,89119700
2023-04-21,67.12,71.79,58.71,59.04,63194700
2023-04-28,58.96,59.51,52.17,53.79,75920900
2023-05-05,53.17,58.58,47.65,58.24,87171900
2023-05-12,55.9,63.75,54.61,57.34,58336400
2023-05-19,58.4,61.7,56.59,56.78,47146600
2023-05-26,56.89,63.25,55.88,56.92,48875400
2023-06-02,60.1,66.36,59.21,64.55,45286600
2023-06-09,63.38,64.44,46.43,53.28,128746500
2023-06-16,52.53,56.28,50.1,55.59,60805100
2023-06-23,55.9,61.89,53.63,61.47,73639200
2023-06-30,61.1,74.97,61.0,71.55,108582200
2023-07-07,73.2,81.19,73.01,78.72,58947600
2023-07-14,79.08,114.43,76.55,105.31,170854800
2023-07-21,104.57,111.88,98.71,100.82,78435800
2023-07-28,99.23,102.73,91.8,94.76,43517800
2023-08-04,94.75,100.2,86.7,87.31,54219600
2023-08-11,87.2,88.99,80.47,81.01,40482200
2023-08-18,80.04,83.1,72.25,73.19,42564400
2023-08-25,73.25,78.17,72.1,74.26,31020300
2023-09-01,74.57,86.5,73.05,77.99,52702000
2023-09-08,78.0,82.69,75.46,82.09,23689800
2023-09-15,82.0,86.36,77.79,82.15,37083100
2023-09-22,83.8,84.35,70.81,70.96,32129700
2023-09-29,69.91,77.5,69.63,75.08,29549900
2023-10-06,78.55,79.95,70.41,78.46,37299100
2023-10-13,76.54,82.07,72.1,73.43,29237500
2023-10-20,77.61,79.3,72.72,74.66,39006000
2023-10-27,75.5,89.4,70.42,70.78,68403500
2023-11-03,72.05,88.34,71.88,85.8,44457500
2023-11-10,86.82,99.82,84.09,92.92,54699500
2023-11-17,91.78,100.15,88.62,99.05,45402600
2023-11-24,100.71,116.94,100.01,115.54,42305800
2023-12-01,112.58,134.33,112.18,133.76,73521300
2023-12-08,143.53,147.86,130.17,146.62,74269000
2023-12-15,141.5,154.74,135.99,147.9,56876200
2023-12-22,144.81,178.7,144.0,175.48,67803000
2023-12-29,174.8,187.39,169.05,173.92,65115400
2024-01-05,173.02,175.57,144.11,153.98,70873000
2024-01-12,157.8,161.38,130.37,130.78,101950600
2024-01-19,129.44,137.31,118.02,124.75,54134900
2024-01-26,124.05,131.78,118.92,125.2,53021300
2024-02-02,127.09,136.89,124.24,129.22,50972500
2024-02-09,128.7,144.55,114.51,141.99,56094000
2024-02-16,141.1,193.64,137.13,180.31,94813800
2024-02-23,179.87,181.31,160.66,165.98,43037100
2024-03-01,168.66,212.22,168.4,205.77,96205100
2024-03-08,217.39,270.55,212.25,256.62,97532600
