Date,Open,High,Low,Close,Volume
2015-03-27,46.86,46.86,45.54,46.54,7885600
2015-04-03,46.72,47.5,46.21,46.92,6888000
2015-04-10,46.81,47.48,46.04,46.81,6644400
2015-04-17,46.74,47.03,44.51,45.08,6000400
2015-04-24,45.3,46.06,45.11,45.44,5558800
2015-05-01,45.71,45.8,44.25,44.5,6802400
2015-05-08,44.63,45.66,43.87,45.21,6538400
2015-05-15,45.03,45.44,44.26,45.24,3928800
2015-05-22,45.19,45.99,44.72,45.19,5768000
2015-05-29,44.92,45.59,44.56,45.44,5068000
2015-06-05,45.51,46.59,42.62,43.84,12706800
2015-06-12,43.77,44.51,42.69,44.37,8350400
2015-06-19,44.07,45.43,43.82,45.0,9225200
2015-06-26,45.1,45.25,43.59,44.72,5834000
2015-07-03,44.22,44.93,43.89,44.15,7113600
2015-07-10,43.88,44.49,43.35,44.03,8475200
2015-07-17,44.25,44.99,43.38,43.52,5442400
2015-07-24,43.62,44.24,42.79,43.35,8788400
2015-07-31,43.2,44.75,42.79,44.25,5224800
2015-08-07,44.33,44.94,42.99,43.47,4588800
2015-08-14,43.69,44.24,42.75,43.32,5433200
2015-08-21,43.1,43.99,40.38,40.6,9116000
2015-08-28,38.43,41.4,37.43,41.19,9153600
2015-09-04,41.05,41.42,35.53,37.72,16378800
2015-09-11,38.2,38.27,36.79,37.42,10977600
2015-09-18,37.4,38.39,36.82,38.24,11122000
2015-09-25,38.49,39.54,37.2,37.47,12875200
2015-10-02,37.12,37.45,35.56,37.22,13080400
2015-10-09,37.54,37.74,34.26,34.4,16241200
2015-10-16,34.26,36.81,34.19,36.08,15558400
2015-10-23,36.02,36.77,35.59,36.58,10814800
2015-10-30,36.6,38.15,35.88,38.09,8549200
2015-11-06,38.17,38.79,37.74,38.33,7501600
2015-11-13,38.24,38.42,36.45,36.87,5892000
2015-11-20,36.88,37.53,35.88,36.07,11761200
2015-11-27,36.17,37.0,35.46,36.74,6250800
2015-12-04,36.79,37.62,30.25,32.58,29460000
2015-12-11,32.44,34.05,32.44,33.8,17753200
2015-12-18,33.75,34.63,33.15,33.92,14415600
2015-12-25,33.96,34.29,33.16,34.08,5756400
2016-01-01,33.91,34.36,33.53,33.55,4160800
2016-01-08,33.12,33.33,31.96,32.18,8999200
2016-01-15,32.28,32.49,29.94,30.47,10802400
2016-01-22,30.75,32.05,29.82,31.96,8442800
2016-01-29,31.81,32.83,31.12,32.79,11046000
2016-02-05,32.25,33.6,31.75,31.78,9709600
2016-02-12,31.51,33.82,30.95,33.4,11084800
2016-02-19,33.75,35.42,33.75,35.21,6982400
2016-02-26,35.46,36.38,34.79,36.2,8477600
2016-03-04,36.12,39.08,35.38,38.16,16656800
2016-03-11,38.14,38.38,36.04,37.62,9461200
2016-03-18,37.42,37.92,35.42,37.5,9256400
2016-03-25,37.33,37.92,36.72,37.2,4744000
2016-04-01,37.25,39.66,36.94,39.4,9317200
2016-04-08,39.68,39.9,38.5,38.8,6596000
2016-04-15,38.85,39.17,38.39,39.06,6473200
2016-04-22,38.8,40.29,38.73,39.47,5636000
2016-04-29,39.49,39.87,38.18,38.27,5834000
2016-05-06,38.19,38.76,38.02,38.33,5182400
2016-05-13,38.32,39.47,38.15,38.99,6071600
2016-05-20,39.59,40.43,39.15,40.09,7419200
2016-05-27,40.21,41.21,39.99,40.62,8409200
2016-06-03,40.83,43.38,40.4,41.35,13768400
2016-06-10,41.35,41.62,40.55,40.81,9920800
2016-06-17,40.76,41.12,39.95,40.47,6309200
2016-06-24,40.84,42.02,40.38,41.7,9473200
2016-07-01,41.44,44.4,40.6,44.33,11851200
2016-07-08,44.08,45.55,43.8,45.46,7844000
2016-07-15,45.48,45.77,44.38,44.6,5815600
2016-07-22,44.72,44.88,43.83,44.39,3802800
2016-07-29,44.45,45.87,43.87,45.62,5128800
2016-08-05,45.6,45.97,45.03,45.72,3915200
2016-08-12,45.6,46.04,44.97,45.2,3352400
2016-08-19,45.24,45.97,44.88,45.97,5311600
2016-08-26,45.93,47.44,45.57,45.98,5701600
2016-09-02,46.07,47.49,45.57,46.48,8018400
2016-09-09,46.67,47.42,46.19,46.21,7710000
2016-09-16,46.15,47.69,46.05,47.13,7391600
2016-09-23,47.17,47.75,45.22,45.24,55422800
2016-09-30,45.22,45.22,43.76,44.81,14209200
2016-10-07,44.41,45.29,43.99,45.22,8790000
2016-10-14,45.23,45.61,44.16,44.4,7531600
2016-10-21,44.7,45.26,44.07,44.69,6540400
2016-10-28,44.99,45.49,43.65,43.84,9343200
2016-11-04,43.98,44.29,43.23,43.96,7438800
2016-11-11,44.22,46.17,44.19,44.32,8375200
2016-11-18,44.47,44.68,41.88,43.0,12352000
2016-11-25,43.17,44.07,41.66,42.67,10056800
2016-12-02,42.58,42.95,39.68,40.53,14836400
2016-12-09,40.38,43.75,40.38,42.65,19042800
2016-12-16,42.76,44.62,42.35,43.8,13003200
2016-12-23,43.8,44.05,43.21,43.86,8850400
2016-12-30,43.98,44.53,43.6,43.73,5677200
2017-01-06,43.92,44.64,43.51,44.3,7361200
2017-01-13,44.4,45.73,43.93,44.88,11159600
2017-01-20,44.56,46.19,44.42,45.38,6496800
2017-01-27,45.26,45.9,44.85,45.86,8264400
2017-02-03,45.88,47.04,45.23,47.03,8226000
2017-02-10,47.03,48.07,46.62,47.75,5830000
2017-02-17,47.78,49.01,47.35,48.98,8330000
2017-02-24,48.85,50.01,48.62,49.93,6559600
2017-03-03,49.93,50.46,48.48,48.62,13783200
2017-03-10,48.49,49.06,47.91,48.58,7520400
2017-03-17,48.58,49.0,48.06,48.78,5379600
2017-03-24,48.82,50.67,48.5,49.95,9414800
2017-03-31,49.71,50.18,49.23,49.97,6029600
2017-04-07,49.94,50.31,48.57,49.25,8326000
2017-04-14,49.28,50.04,48.93,49.07,3892000
2017-04-21,49.21,50.33,48.64,49.78,6192000
2017-04-28,50.07,50.87,49.58,50.08,5978400
2017-05-05,50.2,51.67,49.87,51.43,6645600
2017-05-12,51.44,52.08,51.13,51.9,7525200
2017-05-19,51.9,53.31,51.9,53.15,10155200
2017-05-26,53.02,54.72,52.92,54.37,6552400
2017-06-02,54.13,60.1,53.81,59.58,9668000
2017-06-09,59.84,60.97,58.76,59.36,12134000
2017-06-16,59.28,60.59,57.82,59.74,8538800
2017-06-23,59.88,61.95,59.49,61.55,7485200
2017-06-30,61.64,62.12,58.94,59.85,10386800
2017-07-07,59.85,60.82,58.64,60.68,6139600
2017-07-14,60.58,63.01,60.22,62.59,10816800
2017-07-21,62.86,64.1,61.55,62.1,7690400
2017-07-28,62.08,62.89,60.91,61.65,5663600
2017-08-04,61.75,61.79,60.29,60.93,5934800
2017-08-11,60.99,61.34,59.79,60.23,5074800
2017-08-18,60.97,61.73,60.37,61.26,9617600
2017-08-25,61.3,62.59,61.22,61.58,5855200
2017-09-01,61.81,62.87,58.65,59.04,11679600
2017-09-08,59.06,63.01,58.92,62.87,9039600
2017-09-15,63.2,63.62,61.06,61.3,12067600
2017-09-22,61.42,62.44,57.67,59.94,16955200
2017-09-29,59.74,60.29,57.69,59.28,8933200
2017-10-06,59.47,60.65,59.06,60.33,7353200
2017-10-13,60.15,60.25,58.34,59.0,7578000
2017-10-20,58.97,59.58,58.62,58.84,13034000
2017-10-27,59.03,61.35,58.72,61.11,7424000
2017-11-03,61.07,61.12,56.43,57.32,8797600
2017-11-10,57.11,58.12,56.56,57.26,6355200
2017-11-17,57.29,60.04,56.92,59.66,5494000
2017-11-24,59.86,60.65,59.41,60.57,3311600
2017-12-01,60.85,61.65,59.0,59.53,7195200
2017-12-08,59.66,60.27,55.3,56.64,14406000
2017-12-15,56.74,57.6,55.48,57.33,13979200
2017-12-22,57.44,57.68,54.74,54.95,8634400
2017-12-29,54.84,55.55,54.47,54.47,3713600
