Date,Open,High,Low,Close,Volume
2015-04-03,63.48,64.15,62.24,63.18,30044600
2015-04-10,63.42,67.46,63.4,66.53,42918800
2015-04-17,66.9,69.72,66.33,67.69,40440100
2015-04-24,68.09,69.25,67.03,67.51,28792900
2015-05-01,67.78,69.03,66.97,67.44,28072100
2015-05-08,67.41,68.36,66.1,67.17,35130700
2015-05-15,67.12,67.2,65.05,65.76,26480100
2015-05-22,65.75,66.22,64.12,65.11,27797000
2015-05-29,64.57,64.99,63.11,63.68,23777800
2015-06-05,64.46,64.47,62.71,63.04,25769600
2015-06-12,62.92,64.33,62.78,63.51,26611400
2015-06-19,63.08,64.13,62.13,62.35,33300600
2015-06-26,62.48,63.55,61.72,62.18,23365800
2015-07-03,61.42,61.74,59.69,60.52,24784400
2015-07-10,59.52,59.9,58.08,59.13,30806100
2015-07-17,59.11,59.74,56.65,57.2,28303400
2015-07-24,57.18,57.2,51.98,52.09,52191700
2015-07-31,51.34,53.44,50.25,50.34,61753300
2015-08-07,49.8,50.85,48.33,48.84,48906300
2015-08-14,48.89,51.88,48.55,49.77,53169700
2015-08-21,49.48,49.81,45.38,45.39,52106500
2015-08-28,41.98,48.0,41.1,46.82,90473100
2015-09-04,46.3,49.87,45.7,47.2,66457300
2015-09-11,48.27,49.7,46.95,47.36,47910000
2015-09-18,47.12,50.91,46.34,48.36,54387900
2015-09-25,48.85,49.0,46.92,47.19,41091800
2015-10-02,46.44,51.19,45.72,51.19,47799600
2015-10-09,51.94,56.69,51.51,56.1,60581600
2015-10-16,56.07,56.1,53.8,55.23,35258800
2015-10-23,54.49,54.81,52.9,54.61,36145500
2015-10-30,54.56,54.57,50.74,53.35,39752300
2015-11-06,53.0,57.24,52.87,55.77,39782200
2015-11-13,55.63,56.14,51.03,51.83,31561700
2015-11-20,51.9,55.07,51.59,52.93,31480800
2015-11-27,52.79,55.61,52.47,53.48,21749400
2015-12-04,53.51,54.75,50.16,51.19,47158600
2015-12-11,49.73,50.29,46.81,48.13,55873700
2015-12-18,47.58,51.06,45.76,45.93,65849200
2015-12-25,46.03,49.21,44.56,48.59,34303800
2016-01-01,47.61,48.37,45.88,46.69,28358700
2016-01-08,46.41,47.77,42.87,43.29,46888800
2016-01-15,43.32,43.62,38.36,39.36,90421600
2016-01-22,39.74,39.89,32.71,37.67,90355800
2016-01-29,36.8,39.43,33.44,39.08,106003600
2016-02-05,38.24,39.0,31.59,32.9,143910700
2016-02-12,31.95,34.5,31.05,32.9,94803500
2016-02-19,33.49,34.51,32.09,32.87,62711000
2016-02-26,32.87,34.81,31.82,34.12,53555100
2016-03-04,34.57,41.68,33.34,41.12,84114200
2016-03-11,41.25,42.45,38.36,40.52,69541800
2016-03-18,39.7,44.4,38.82,43.02,60688100
2016-03-25,42.73,43.41,38.53,40.04,37105900
2016-04-01,40.1,40.76,38.56,39.78,40984000
2016-04-08,39.79,41.89,38.19,41.23,41516800
2016-04-15,41.43,44.3,41.15,43.7,43632900
2016-04-22,42.09,47.74,42.04,47.62,50147800
2016-04-29,47.16,49.35,45.84,47.79,55220600
