Date,Open,High,Low,Close,Volume
2015-03-20,149.72,153.15,148.25,152.59,14999900
2015-03-27,153.15,154.23,149.17,150.47,8454400
2015-04-03,150.91,153.0,149.7,151.63,6240200
2015-04-10,151.37,152.95,148.27,149.64,9617000
2015-04-17,149.44,150.67,143.1,144.57,11115600
2015-04-24,146.65,148.4,145.75,148.12,8695000
2015-05-01,148.3,148.51,142.54,145.39,8766000
2015-05-08,145.39,147.56,144.01,145.88,9088900
2015-05-15,145.54,146.33,141.53,144.83,11346000
2015-05-22,144.74,145.5,142.85,143.68,7154200
2015-05-29,144.08,145.97,141.77,142.59,11664800
2015-06-05,143.05,143.25,138.74,138.78,12106200
2015-06-12,138.91,140.47,137.81,138.78,8277400
2015-06-19,137.94,141.48,137.15,140.3,9833500
2015-06-26,140.84,141.17,137.42,138.06,8780800
2015-07-03,137.01,137.82,134.73,136.39,7272900
2015-07-10,135.15,143.43,135.06,142.72,15321100
2015-07-17,143.86,145.07,142.92,144.68,7657500
2015-07-24,144.58,147.0,144.02,144.99,7072200
2015-07-31,144.78,146.76,142.91,145.3,7427700
2015-08-07,145.78,147.59,144.19,145.26,7507500
2015-08-14,146.3,146.98,143.35,146.09,6621500
2015-08-21,145.15,146.48,138.99,138.99,8844300
2015-08-28,131.97,140.75,117.03,139.95,17399800
2015-09-04,139.25,141.7,137.5,138.48,11523900
2015-09-11,140.54,142.35,138.99,141.05,5831800
2015-09-18,141.18,145.04,140.24,141.81,8216400
2015-09-25,142.36,146.9,140.81,145.55,8922800
2015-10-02,145.39,145.91,142.19,145.86,12864600
2015-10-09,146.24,154.26,146.01,153.97,12791200
2015-10-16,153.97,154.48,149.1,152.06,9083200
2015-10-23,152.05,158.8,151.92,155.74,9682500
2015-10-30,152.06,159.4,151.26,158.12,9550900
2015-11-06,158.99,159.31,154.02,157.55,8745000
2015-11-13,156.81,157.43,153.23,153.67,9974400
2015-11-20,153.81,164.47,153.24,163.1,11440800
2015-11-27,163.53,164.41,161.0,163.58,6668100
2015-12-04,164.17,167.24,160.63,166.8,12607800
2015-12-11,167.33,169.73,158.22,160.02,21641900
2015-12-18,160.09,163.74,157.6,157.7,13002000
2015-12-25,158.81,162.43,157.33,161.75,5267600
2016-01-01,161.05,164.0,160.4,161.5,5057600
2016-01-08,159.81,161.23,151.81,152.11,13784100
2016-01-15,152.3,156.43,148.25,150.39,11794500
2016-01-22,151.79,153.71,144.91,153.69,10795300
2016-01-29,154.07,154.48,146.72,151.12,12136100
2016-02-05,150.84,152.19,141.79,143.99,16040100
2016-02-12,142.74,150.17,141.62,148.65,13349800
2016-02-19,149.35,151.98,146.82,148.7,9727000
2016-02-26,149.63,154.88,148.49,149.68,12149700
2016-03-04,149.99,152.95,147.38,150.9,16453000
2016-03-11,149.96,154.69,147.1,152.71,11954100
2016-03-18,152.26,155.0,151.65,153.15,9297300
2016-03-25,152.82,154.35,150.85,151.43,7944300
2016-04-01,151.8,159.8,151.78,158.25,10289400
2016-04-08,158.68,158.99,150.92,151.65,10945200
2016-04-15,151.34,153.81,148.51,153.17,11722000
2016-04-22,152.78,153.9,149.36,149.92,8555000
2016-04-29,149.98,153.65,147.46,148.13,10081600
2016-05-06,148.76,152.53,144.74,146.44,16235900
2016-05-13,146.83,149.98,144.3,144.5,13454400
2016-05-20,144.5,146.58,138.57,142.69,16179800
2016-05-27,142.84,153.88,141.91,149.08,19827400
2016-06-03,149.57,153.0,147.63,151.71,13148000
2016-06-10,151.83,155.15,151.71,154.87,10681500
2016-06-17,154.76,157.25,153.57,155.89,12875400
2016-06-24,157.38,158.79,153.1,155.56,13003800
2016-07-01,154.24,157.82,152.55,156.11,12297900
2016-07-08,156.08,166.1,154.67,165.44,15370500
2016-07-15,165.06,168.0,165.06,166.41,9868600
2016-07-22,166.56,168.56,165.92,167.47,7538200
2016-07-29,167.17,168.82,165.75,167.22,7992300
2016-08-05,167.15,168.33,164.59,167.7,8096000
2016-08-12,167.25,169.59,166.47,169.04,6582300
2016-08-19,169.04,169.27,166.92,168.02,6442300
2016-08-26,168.34,168.69,163.47,163.93,7150100
2016-09-02,164.47,164.84,155.54,157.98,14480600
2016-09-09,158.13,158.15,150.7,150.7,11688000
2016-09-16,150.5,152.97,150.07,152.35,12446200
2016-09-23,152.13,154.28,151.25,152.53,9037400
2016-09-30,152.08,154.85,147.2,152.51,18876900
2016-10-07,152.22,152.25,148.79,149.99,13162900
2016-10-14,150.35,151.49,149.28,150.15,9389300
2016-10-21,150.08,151.32,148.41,148.97,10087400
2016-10-28,149.35,152.32,149.29,149.76,10576900
2016-11-04,148.89,149.35,142.11,142.24,12482200
2016-11-11,143.38,150.0,142.75,149.36,16847700
2016-11-18,150.92,152.55,149.5,150.36,12962200
2016-11-25,150.55,153.42,150.12,151.88,6189100
2016-12-02,151.05,152.88,150.07,152.09,10115200
2016-12-09,152.09,160.9,150.42,159.7,15607800
2016-12-16,158.6,162.04,158.25,160.41,13579800
2016-12-23,162.01,164.95,161.53,162.08,9969900
2016-12-30,162.06,162.85,159.67,160.11,4912600
2017-01-06,160.65,163.35,158.51,162.83,9310500
2017-01-13,162.33,162.48,160.35,161.86,7721500
2017-01-20,161.85,164.8,161.67,164.24,8142700
2017-01-27,164.05,164.75,160.71,162.06,7589300
2017-02-03,162.03,168.88,160.6,168.32,15210100
2017-02-10,168.18,172.27,166.53,172.0,11672200
2017-02-17,172.49,176.5,170.78,175.86,11494300
2017-02-24,176.55,177.71,175.07,177.56,8416400
2017-03-03,177.33,178.71,169.9,170.26,21271600
2017-03-10,169.41,170.33,164.98,165.37,15139300
