Date,Open,High,Low,Close,Volume
2015-03-27,152.16,152.63,147.24,148.56,2695400
2015-04-03,149.0,154.0,148.93,153.01,2232500
2015-04-10,151.57,157.93,151.35,157.85,3015500
2015-04-17,157.97,159.87,154.65,156.22,1800100
2015-04-24,156.62,163.61,156.25,162.24,2774300
2015-05-01,163.32,165.67,153.65,159.13,3811500
2015-05-08,159.41,159.95,151.71,154.82,2687800
2015-05-15,154.87,155.96,151.71,154.34,2093800
2015-05-22,154.3,155.56,150.6,154.25,2801300
2015-05-29,153.49,154.75,151.06,152.14,2270000
2015-06-05,152.58,156.4,150.39,154.75,3124500
2015-06-12,154.75,161.72,149.75,161.54,3267200
2015-06-19,159.9,163.25,159.68,161.39,2371300
2015-06-26,162.86,163.07,158.67,159.3,2273100
2015-07-03,157.28,158.6,154.61,156.04,2115800
2015-07-10,154.62,156.35,151.68,154.25,2689800
2015-07-17,154.4,157.39,153.65,154.0,2711500
2015-07-24,154.5,156.82,151.44,152.07,2934800
2015-07-31,150.83,155.76,148.89,154.82,3136100
2015-08-07,155.43,163.73,153.19,160.0,5656800
2015-08-14,160.61,163.02,157.93,162.51,3195400
2015-08-21,162.35,164.61,151.55,151.93,3647700
2015-08-28,144.53,152.29,139.05,151.34,4781300
2015-09-04,149.79,151.2,144.21,148.34,4256500
2015-09-11,151.19,154.61,149.12,152.23,3172100
2015-09-18,152.94,156.2,150.31,153.31,3330700
2015-09-25,154.34,157.02,147.5,150.52,2082300
2015-10-02,149.61,150.47,134.55,140.85,5049000
2015-10-09,142.05,147.95,141.56,147.2,3071600
2015-10-16,146.67,147.23,142.02,145.65,2371300
2015-10-23,144.75,149.09,143.91,148.51,2709400
2015-10-30,148.07,148.7,137.69,144.86,2845200
2015-11-06,144.84,157.97,142.72,156.4,5265600
2015-11-13,155.67,156.43,146.74,146.82,2671300
2015-11-20,146.41,153.28,145.6,152.21,2920300
2015-11-27,152.47,155.28,150.88,152.74,1617500
2015-12-04,152.85,155.29,148.23,150.52,1882900
2015-12-11,149.52,150.86,139.67,139.81,4754600
2015-12-18,139.5,144.91,136.83,140.32,3550900
2015-12-25,141.73,146.01,139.83,145.34,1630500
2016-01-01,144.8,147.0,142.13,142.93,1116000
2016-01-08,140.31,142.29,128.43,129.26,4678400
2016-01-15,130.15,130.28,115.75,118.16,5235100
2016-01-22,119.46,123.77,107.56,123.66,5717400
2016-01-29,123.4,123.65,117.36,122.84,4729100
2016-02-05,121.24,126.41,117.16,123.76,6808200
2016-02-12,121.52,122.58,111.23,117.46,7354200
2016-02-19,119.11,130.25,118.41,127.97,3330600
2016-02-26,129.21,132.4,124.21,128.0,3954100
2016-03-04,128.3,140.1,127.42,138.03,6520400
2016-03-11,136.61,142.97,133.51,139.79,5653900
2016-03-18,139.18,150.25,137.21,147.36,5849900
2016-03-25,147.11,147.68,144.12,145.86,2177400
2016-04-01,146.34,149.79,144.52,148.64,2540900
2016-04-08,148.82,149.72,142.57,145.68,3512200
2016-04-15,146.83,152.35,145.88,150.87,3660600
2016-04-22,150.01,154.77,149.94,154.27,2628400
2016-04-29,153.91,156.58,151.86,154.68,2640700
2016-05-06,155.0,156.23,148.79,151.43,4420200
2016-05-13,150.95,153.75,144.89,145.38,4375900
2016-05-20,145.26,149.21,143.83,146.85,3285300
2016-05-27,146.56,150.92,145.86,150.17,2898200
2016-06-03,150.42,152.48,147.39,150.44,2723700
2016-06-10,151.2,154.46,147.0,147.34,2583400
2016-06-17,146.64,147.66,141.15,144.35,2422000
2016-06-24,146.77,147.6,138.94,141.49,2914300
2016-07-01,140.18,144.35,133.64,142.75,3944000
2016-07-08,141.72,144.01,137.26,143.79,2591300
2016-07-15,144.25,152.73,143.12,150.45,3129000
2016-07-22,150.99,152.22,149.1,151.8,1619700
2016-07-29,151.41,152.62,150.06,151.68,1831100
2016-08-05,151.19,168.51,148.2,162.32,4431000
2016-08-12,162.91,166.22,161.44,164.46,3431300
2016-08-19,164.74,169.59,164.66,167.56,2866000
2016-08-26,167.28,168.9,165.13,166.57,2322200
2016-09-02,166.55,169.43,163.87,167.63,4070600
2016-09-09,167.28,169.23,160.55,160.85,3218300
2016-09-16,159.98,164.69,159.19,164.51,3553300
2016-09-23,165.76,172.58,165.69,170.53,4508600
2016-09-30,169.71,174.84,168.8,173.73,3702200
2016-10-07,173.7,174.96,170.53,172.44,2884400
2016-10-14,173.31,174.65,167.31,171.4,2796900
2016-10-21,171.74,174.85,170.13,173.7,2186100
2016-10-28,174.36,176.39,171.51,173.95,2183800
2016-11-04,173.91,176.42,147.59,150.05,9892400
2016-11-11,151.91,153.66,141.8,143.7,7177000
2016-11-18,144.51,156.35,141.09,150.2,7739200
2016-11-25,151.71,154.42,150.1,153.65,4147600
2016-12-02,152.6,153.72,144.73,145.5,4956900
2016-12-09,146.81,154.5,146.07,153.56,4556900
2016-12-16,152.59,153.5,147.9,148.04,5861800
2016-12-23,147.42,147.42,140.8,143.44,6109600
2016-12-30,143.79,145.15,140.75,141.52,2109000
2017-01-06,143.65,150.26,142.62,148.4,3233900
2017-01-13,148.34,151.98,146.28,150.69,3647200
2017-01-20,149.99,152.84,149.3,150.25,2909400
2017-01-27,150.11,152.23,146.76,148.18,3105800
2017-02-03,146.94,151.12,145.38,150.72,5021700
2017-02-10,149.81,169.82,146.12,168.91,9993900
2017-02-17,169.47,169.95,164.91,166.47,3261700
2017-02-24,166.44,168.75,165.0,168.7,3006100
2017-03-03,167.71,171.78,162.28,164.58,6585700
2017-03-10,163.75,165.37,159.03,160.2,3749000
2017-03-17,160.25,164.65,156.97,162.23,4326000
2017-03-24,162.14,162.71,156.16,156.9,3750200
2017-03-31,155.0,158.0,146.76,151.43,11552600
2017-04-07,151.56,152.13,140.93,146.27,19016700
2017-04-14,145.75,147.99,142.3,142.36,4315400
2017-04-21,142.55,150.77,142.0,147.66,5032700
2017-04-28,149.64,151.96,140.0,141.14,10120500
2017-05-05,142.9,157.36,121.52,133.4,27505000
2017-05-12,133.5,140.58,132.04,138.43,7683600
2017-05-19,138.47,140.23,133.08,135.78,4821900
2017-05-26,135.7,147.17,135.28,146.37,5247600
2017-06-02,145.55,149.82,142.28,148.35,6200900
2017-06-09,148.18,151.73,142.81,143.94,6090200
2017-06-16,142.86,147.85,140.46,144.41,4887300
2017-06-23,145.22,145.8,139.54,144.08,3688100
2017-06-30,144.6,147.98,142.91,144.21,4128400
2017-07-07,144.88,146.67,143.29,145.1,2456000
2017-07-14,144.91,150.75,143.57,149.03,3954300
2017-07-21,149.66,150.19,145.66,148.25,3663400
2017-07-28,148.2,154.37,146.98,152.05,3943800
2017-08-04,152.57,157.4,143.82,145.26,5707400
2017-08-11,145.38,146.1,138.43,139.32,6252200
2017-08-18,140.11,145.0,139.9,142.69,4322000
2017-08-25,142.5,144.32,141.07,142.43,4068200
2017-09-01,142.73,145.07,141.2,143.92,3500000
2017-09-08,143.06,145.55,139.47,144.35,3156400
2017-09-15,145.44,147.7,143.01,145.02,6528900
2017-09-22,145.31,154.58,145.27,153.67,6368900
2017-09-29,153.41,155.67,152.13,154.77,3503900
2017-10-06,155.39,160.88,153.45,160.76,3304900
2017-10-13,160.79,164.68,159.85,160.62,3005700
2017-10-20,161.03,166.23,160.01,164.68,3466400
2017-10-27,164.69,166.27,163.01,165.37,3668600
2017-11-03,165.26,183.61,163.24,178.8,8542500
2017-11-10,178.67,181.14,174.71,180.55,4551400
2017-11-17,179.26,181.9,174.31,178.69,4005600
2017-11-24,178.48,182.83,176.96,180.18,1798800
2017-12-01,179.66,184.06,177.71,180.84,3313600
2017-12-08,182.88,188.85,180.95,186.43,4125900
2017-12-15,187.27,192.51,185.75,190.11,3293000
2017-12-22,191.32,192.24,188.36,190.46,2408200
2017-12-29,190.13,194.51,189.17,192.43,1673500
2018-01-05,192.8,197.03,191.53,197.0,3287100
2018-01-12,197.36,203.85,195.48,203.27,2406400
2018-01-19,205.02,207.03,200.52,206.65,1754600
2018-01-26,207.56,213.74,205.01,212.03,2147700
2018-02-02,211.95,212.97,207.0,207.51,2252600
2018-02-09,206.7,209.49,182.5,189.92,5140000
2018-02-16,191.94,200.51,189.46,198.6,3554400
2018-02-23,197.94,207.17,197.87,206.18,2591100
2018-03-02,206.56,206.74,196.9,201.45,3042200
2018-03-09,201.0,210.94,199.78,209.4,2010700
2018-03-16,209.43,210.21,205.59,209.01,1690500
2018-03-23,208.3,211.87,198.03,198.23,2415800
2018-03-30,200.54,203.9,194.17,202.5,1917600
2018-04-06,201.93,202.61,194.2,196.34,1822300
2018-04-13,198.2,203.2,196.49,200.98,1482100
2018-04-20,202.89,212.49,201.58,208.95,3493900
2018-04-27,209.61,211.97,200.44,207.73,2469200
2018-05-04,208.46,213.26,196.81,200.04,4641700
2018-05-11,200.04,206.29,199.45,202.58,3552400
2018-05-18,202.78,206.87,200.65,204.47,2412000
2018-05-25,205.6,206.58,198.18,202.12,2964200
2018-06-01,201.05,203.49,192.4,200.68,4476100
2018-06-08,201.66,207.71,196.72,202.5,3737500
2018-06-15,201.95,209.88,200.53,207.09,2886100
2018-06-22,215.56,222.92,213.69,216.31,29970900
2018-06-29,215.11,215.11,207.27,210.65,5480700
2018-07-06,209.7,217.95,209.13,216.79,2170000
2018-07-13,216.57,221.41,216.57,220.23,3267200
2018-07-20,220.5,220.99,214.17,219.09,3895900
2018-07-27,219.41,225.92,217.32,220.82,3501400
2018-08-03,220.09,222.84,210.64,216.06,5189100
