Date,Open,High,Low,Close,Volume
2025-06-06,69.0,123.51,64.0,107.7,107898300
2025-06-13,132.72,138.57,101.51,133.56,144950400
2025-06-20,147.54,248.88,143.53,240.28,231009700
2025-06-27,238.46,298.99,175.6,180.43,310296900
2025-07-04,181.77,194.0,171.5,188.77,101451600
2025-07-11,193.75,215.6,182.5,187.33,102368200
2025-07-18,189.27,262.97,185.54,223.78,145973100
2025-07-25,226.4,231.88,187.5,192.86,63913200
2025-08-01,196.98,197.9,167.3,168.1,47072200
2025-08-08,172.1,172.1,149.0,159.03,46948900
2025-08-15,161.01,189.92,136.4,149.26,104191600
2025-08-22,148.7,149.45,129.1,135.04,46611000
2025-08-29,134.36,135.97,124.16,131.98,36640100
2025-09-05,128.56,131.69,108.02,114.56,37683800
2025-09-12,114.0,136.49,110.05,125.32,66364400
2025-09-19,129.9,147.7,125.08,144.14,76756700
2025-09-26,139.88,141.6,122.83,126.99,40423000
2025-10-03,129.5,156.47,127.6,145.78,66056900
2025-10-10,154.01,159.47,132.6,132.94,67487700
2025-10-17,138.06,141.38,123.09,126.49,42245300
2025-10-24,129.79,144.03,122.5,142.05,50327400
2025-10-31,146.93,147.44,122.49,126.98,42534900
2025-11-07,125.75,125.75,96.1,103.14,46606500
2025-11-14,107.8,110.54,81.38,81.89,146093600
2025-11-21,81.79,81.9,64.92,71.33,108903000
2025-11-28,72.0,81.48,68.05,79.93,66406300
2025-12-05,77.49,88.27,75.23,85.62,81183000
2025-12-12,86.94,91.3,81.34,83.47,58936400
2025-12-19,83.85,86.3,74.73,86.13,65295000
2025-12-26,87.74,91.2,79.71,81.27,32658000
2026-01-02,79.25,84.58,78.77,83.47,29098700
2026-01-09,84.57,88.06,78.85,82.9,36240900
2026-01-16,81.14,88.46,75.58,78.61,56538200
2026-01-23,75.7,77.47,69.88,71.33,35256800
2026-01-30,70.01,77.0,61.88,63.93,66458000
2026-02-06,61.5,61.87,49.9,57.04,78781200
2026-02-13,56.33,62.2,55.31,60.04,47447500
2026-02-20,59.27,65.5,57.02,63.02,33516100
2026-02-27,62.1,90.6,59.46,83.44,142062300
2026-03-06,80.8,110.12,80.23,101.91,130957900
2026-03-13,105.21,123.39,104.9,115.38,88758600
2026-03-20,120.15,136.65,119.77,126.03,100800300
2026-03-27,124.15,127.48,90.85,93.66,125512200
2026-04-03,96.26,99.46,84.27,90.26,53105200
2026-04-10,93.09,101.82,84.6,88.04,50727900
2026-04-17,86.34,111.2,86.27,105.91,65902100
2026-04-24,102.48,106.5,95.79,99.66,51753000
2026-05-01,98.56,100.01,89.9,99.7,43847700
2026-05-08,107.13,122.86,106.9,113.67,112718400
2026-05-15,118.85,140.0,105.36,114.0,140278400
2026-05-22,112.1,118.85,107.21,113.12,50938100
2026-05-29,112.22,114.44,97.69,113.0,60737200
2026-06-05,108.72,109.5,78.41,80.28,82235500
2026-06-12,84.01,87.38,77.61,77.84,53808600
2026-06-19,82.89,87.3,76.84,80.23,50093000
2026-06-26,81.25,84.86,67.36,73.57,55166900
2026-07-03,75.18,76.15,61.77,64.62,89654600
2026-07-10,64.56,72.86,61.67,66.14,76223700
2026-07-17,64.42,66.85,58.68,60.46,60170100
2026-07-24,60.95,72.68,59.96,62.36,61659200
2026-07-31,63.63,66.24,58.66,62.61,46400100
2026-08-07,58.98,68.4,57.84,66.67,73292200
2026-08-14,67.15,75.89,64.5,71.6,50203800
2026-08-21,71.21,92.97,70.73,87.98,90218400
2026-08-28,89.93,96.24,84.25,87.14,79922300
2026-09-04,87.04,103.28,85.87,102.05,80905900
2026-09-11,100.65,100.8,89.5,90.6,41043800
2026-09-18,92.11,97.75,78.26,84.8,74926340
