Date,Open,High,Low,Close,Volume
2015-03-27,27.64,27.87,26.47,26.8,3479500
2015-04-03,26.27,26.69,25.92,26.24,1557600
2015-04-10,26.29,26.96,26.12,26.46,1218200
2015-04-17,26.39,28.3,26.17,27.43,2568300
2015-04-24,27.73,28.94,27.58,28.81,2662900
2015-05-01,28.9,29.12,27.7,28.18,1584100
2015-05-08,28.24,29.23,27.82,29.09,1436500
2015-05-15,28.83,28.91,28.25,28.76,1484700
2015-05-22,28.5,28.96,28.29,28.29,1215900
2015-05-29,27.93,28.45,27.15,28.04,1489300
2015-06-05,27.85,28.61,27.34,27.64,1270900
2015-06-12,27.72,29.25,27.36,28.58,1790200
2015-06-19,28.6,29.8,28.13,29.43,1907900
2015-06-26,29.43,30.47,29.09,29.21,2328600
2015-07-03,28.64,28.72,27.96,28.4,1533300
2015-07-10,27.7,28.68,26.66,28.6,2427400
2015-07-17,28.88,29.41,28.65,29.12,1466700
2015-07-24,28.98,29.65,28.83,28.97,1265400
2015-07-31,28.74,29.85,28.3,29.71,1476600
2015-08-07,29.72,30.63,29.63,30.09,1509400
2015-08-14,30.16,30.73,29.42,30.72,1333600
2015-08-21,30.52,30.95,28.06,28.11,2145400
2015-08-28,26.59,29.8,26.18,29.62,2310400
2015-09-04,29.69,29.99,27.84,28.03,2288100
2015-09-11,29.27,29.97,29.26,29.41,2075600
2015-09-18,29.23,30.14,28.98,29.03,2938400
2015-09-25,29.13,29.16,26.79,27.4,1874900
2015-10-02,27.15,27.15,25.54,26.63,3269800
2015-10-09,26.79,27.53,26.75,27.09,2001300
2015-10-16,27.13,27.38,26.75,27.12,1066900
2015-10-23,26.73,28.22,26.57,28.06,1421700
2015-10-30,27.78,27.85,26.71,27.36,1026900
2015-11-06,27.81,28.41,27.16,28.31,2004000
2015-11-13,28.05,28.07,26.51,26.87,990900
2015-11-20,27.09,29.08,26.97,28.81,1355600
2015-11-27,28.92,29.61,28.51,29.55,643100
2015-12-04,29.62,29.8,28.84,29.7,1525600
2015-12-11,29.61,29.78,28.41,28.48,1154500
2015-12-18,28.55,28.76,28.14,28.2,2038100
2015-12-25,28.96,29.35,28.25,29.25,840500
2016-01-01,28.94,29.46,28.81,28.82,632500
2016-01-08,28.26,28.6,26.53,26.61,1502700
2016-01-15,26.99,27.2,25.11,25.43,1615000
2016-01-22,25.68,26.59,24.6,26.53,1254300
2016-01-29,26.4,26.93,25.64,26.92,3839200
2016-02-05,26.44,26.89,25.33,25.52,3225200
2016-02-12,24.61,25.02,23.33,24.55,2664100
2016-02-19,25.18,26.01,24.77,25.7,1394600
2016-02-26,25.72,25.94,24.61,25.26,2705700
2016-03-04,25.61,27.62,25.5,27.25,2200300
2016-03-11,26.81,27.96,26.46,27.86,1699900
2016-03-18,28.34,28.4,27.11,28.19,1480000
2016-03-25,27.8,27.95,27.24,27.66,1296300
2016-04-01,27.84,28.78,27.66,28.28,1291100
2016-04-08,28.33,28.66,27.44,28.49,1587200
2016-04-15,28.88,29.29,28.57,28.86,1303900
2016-04-22,28.71,29.33,28.39,28.5,1393800
2016-04-29,28.81,29.78,28.59,29.11,1743800
2016-05-06,29.18,29.28,28.0,28.84,3266200
2016-05-13,28.89,29.75,28.73,29.19,5828700
2016-05-20,29.16,30.1,29.06,29.85,4063200
2016-05-27,29.83,30.86,29.69,30.69,3791500
2016-06-03,30.69,30.78,30.03,30.27,3000800
2016-06-10,30.15,31.55,29.59,29.75,4228700
2016-06-17,28.97,29.24,27.92,29.03,2736800
2016-06-24,30.45,31.52,27.96,28.62,6924300
2016-07-01,26.43,29.61,25.82,29.46,7805300
2016-07-08,28.26,28.34,27.02,28.24,3772800
2016-07-15,28.93,30.01,28.74,29.48,5310500
2016-07-22,29.36,30.1,29.18,29.77,4050300
2016-07-29,29.64,30.98,29.64,30.76,2077500
2016-08-05,30.54,30.62,29.82,30.37,2613600
2016-08-12,30.51,32.03,30.51,31.81,3441900
2016-08-19,32.23,33.7,32.15,33.1,4197600
2016-08-26,32.84,34.03,32.76,33.24,5709900
2016-09-02,33.68,34.14,33.43,33.89,4385100
2016-09-09,34.25,34.28,32.25,32.32,6691400
2016-09-16,32.37,33.44,32.13,32.14,13725700
2016-09-23,32.88,34.02,32.44,33.54,6527100
2016-09-30,33.23,33.68,32.57,33.27,6657100
2016-10-07,33.19,34.2,32.83,32.93,4843800
2016-10-14,33.3,33.72,31.94,32.52,5122700
2016-10-21,32.38,33.57,32.37,33.1,4838600
2016-10-28,33.41,33.47,32.08,32.38,2724000
2016-11-04,32.43,32.5,31.55,31.74,3840300
2016-11-11,32.41,35.88,32.24,34.63,11357200
2016-11-18,34.86,35.0,33.48,33.73,12510500
2016-11-25,33.97,34.09,32.63,33.77,4651900
2016-12-02,33.02,33.62,32.44,32.54,5390600
2016-12-09,33.02,34.67,32.79,34.12,6320900
2016-12-16,33.94,34.34,33.28,33.48,2757600
2016-12-23,33.2,33.53,32.96,33.34,1634200
2016-12-30,33.52,34.71,33.4,34.38,1691300
2017-01-06,34.01,34.27,33.59,33.95,3966000
2017-01-13,33.73,35.09,33.64,35.02,2987500
2017-01-20,34.84,35.09,34.14,35.06,1500700
2017-01-27,35.17,36.83,35.06,35.63,2156600
2017-02-03,35.31,35.91,34.26,35.57,3981300
2017-02-10,35.01,35.08,33.74,34.54,3474200
2017-02-17,34.79,34.98,34.05,34.22,3309200
2017-02-24,34.97,35.21,32.82,33.41,3114200
2017-03-03,33.36,35.5,33.33,35.49,5092900
2017-03-10,35.2,35.47,34.67,35.14,2521200
2017-03-17,35.06,35.31,34.34,35.06,3051800
2017-03-24,35.36,35.8,34.52,35.08,3297600
2017-03-31,34.55,35.33,34.5,35.17,2725100
2017-04-07,35.02,35.13,34.38,34.76,2432900
2017-04-14,34.61,34.68,33.59,33.61,1772100
2017-04-21,33.8,34.77,33.28,34.75,2657600
2017-04-28,36.34,36.76,36.16,36.32,3752000
2017-05-05,36.51,38.04,36.41,37.76,3954300
2017-05-12,37.26,37.49,36.84,36.91,3656800
2017-05-19,36.85,37.26,35.54,36.51,2489700
2017-05-26,36.59,36.64,35.6,35.71,1841200
2017-06-02,35.81,36.7,35.79,36.63,1344200
2017-06-09,36.46,36.65,35.68,36.46,2165400
2017-06-16,36.46,36.48,35.42,36.15,1755900
2017-06-23,36.54,36.76,35.64,35.96,1925800
2017-06-30,36.14,36.42,35.29,35.47,5656600
2017-07-07,35.57,36.32,35.42,35.82,2228000
2017-07-14,35.74,36.52,35.36,36.11,1595000
2017-07-21,36.06,36.24,35.07,35.42,1772400
2017-07-28,34.88,35.75,34.71,35.17,2487100
2017-08-04,34.98,35.48,34.45,35.27,5195100
2017-08-11,35.04,35.14,33.99,34.06,3153200
2017-08-18,34.47,35.37,34.18,34.33,3191500
2017-08-25,34.22,35.99,34.12,35.11,2675600
