Date,Open,High,Low,Close,Volume
2015-04-03,38.14,39.18,34.8,36.22,3652300
2015-04-10,36.23,40.86,36.23,40.65,3587500
2015-04-17,39.58,41.29,38.71,40.11,2535200
2015-04-24,40.22,42.42,40.2,41.83,2217200
2015-05-01,42.03,44.41,41.1,44.33,2650800
2015-05-08,44.55,45.42,43.35,43.79,1634900
2015-05-15,44.05,44.84,43.58,44.13,1278700
2015-05-22,43.95,44.15,42.31,42.76,1334100
2015-05-29,42.62,42.69,40.41,40.84,1165300
2015-06-05,40.92,42.4,39.82,41.47,1156500
2015-06-12,41.44,42.35,40.81,42.3,1041500
2015-06-19,42.12,42.87,41.13,42.15,2161100
2015-06-26,42.36,43.06,41.07,41.83,4921700
2015-07-03,41.41,41.62,38.41,39.57,1936700
2015-07-10,39.04,39.78,37.72,38.87,1823800
2015-07-17,39.11,41.25,37.36,37.78,2230200
2015-07-24,37.7,38.16,35.2,35.24,2014500
2015-07-31,35.05,38.79,34.49,37.54,2813900
2015-08-07,37.41,39.03,36.46,37.99,1859500
2015-08-14,38.44,40.28,37.84,39.08,1699300
2015-08-21,38.77,39.25,36.52,36.78,1642800
2015-08-28,37.16,39.35,34.36,38.47,2730100
2015-09-04,38.36,39.36,35.56,35.58,2278300
2015-09-11,36.32,36.59,33.92,34.42,1982900
2015-09-18,34.33,35.21,32.63,32.74,2706300
2015-09-25,33.0,33.36,29.77,29.82,3121400
2015-10-02,29.52,31.28,29.18,31.11,2608400
2015-10-09,31.59,36.02,31.33,35.3,2462800
2015-10-16,35.42,37.18,33.81,35.65,2366500
2015-10-23,35.16,35.21,29.57,32.39,4909900
2015-10-30,32.41,33.67,30.69,33.31,2596100
2015-11-06,33.15,35.33,32.77,34.04,1562500
2015-11-13,33.79,34.39,32.61,33.73,1597700
2015-11-20,33.62,35.62,33.01,33.09,1997800
2015-11-27,32.98,35.7,32.84,35.51,1138000
2015-12-04,35.45,36.76,34.93,35.47,1744600
2015-12-11,35.05,35.05,31.54,31.58,2159600
2015-12-18,31.56,32.06,27.55,28.37,3765000
2015-12-25,28.51,31.77,28.17,31.0,1897400
2016-01-01,30.61,31.41,29.88,30.27,1654400
2016-01-08,29.82,30.13,27.21,27.27,3935900
2016-01-15,27.62,27.68,24.68,25.25,4567400
2016-01-22,25.74,26.57,23.99,25.65,2703100
2016-01-29,25.35,27.82,24.91,27.76,3230800
2016-02-05,27.39,31.66,25.58,28.21,4851700
2016-02-12,27.87,29.51,25.34,28.59,4354700
2016-02-19,28.95,32.06,27.4,28.19,3412000
2016-02-26,28.81,29.73,27.08,28.72,3118500
2016-03-04,29.03,32.77,28.85,31.71,3651300
2016-03-11,32.1,34.22,30.96,32.25,2780700
2016-03-18,32.04,36.18,30.58,35.65,3829500
2016-03-25,35.34,35.83,32.23,34.42,2360400
2016-04-01,34.51,35.98,32.96,34.74,1971500
2016-04-08,34.72,35.13,32.4,34.21,1724600
2016-04-15,34.8,36.88,34.04,36.64,2076000
2016-04-22,36.14,38.16,35.95,36.23,2294800
2016-04-29,35.99,37.36,32.44,35.41,3508300
2016-05-06,35.51,35.94,32.35,33.34,2025900
2016-05-13,32.37,32.76,29.94,30.71,2029800
2016-05-20,31.13,31.76,28.74,30.04,2009400
2016-05-27,29.96,32.97,29.76,31.73,1646100
2016-06-03,32.05,32.96,31.25,32.6,1134200
2016-06-10,32.8,35.31,32.8,33.53,1497100
2016-06-17,33.52,34.72,32.46,34.05,1587900
2016-06-24,34.49,35.55,31.04,31.19,1738300
2016-07-01,30.66,34.88,29.92,33.77,2022800
2016-07-08,33.54,36.85,32.44,36.48,1515100
2016-07-15,36.99,40.42,36.82,39.73,2784100
2016-07-22,39.22,39.66,37.58,38.48,1541600
2016-07-29,38.28,40.46,38.05,39.25,1698400
2016-08-05,39.3,39.3,37.29,37.9,1677900
2016-08-12,38.01,38.64,36.56,36.62,1142400
2016-08-19,36.95,38.52,36.53,36.64,1067600
2016-08-26,36.27,38.18,36.0,36.54,1056300
2016-09-02,36.5,38.11,35.66,36.68,1512100
2016-09-09,37.0,38.37,35.64,35.65,1091300
2016-09-16,34.94,36.68,34.22,35.91,1720700
2016-09-23,36.66,40.46,36.35,39.57,2064800
2016-09-30,39.4,42.25,38.57,41.26,1724800
2016-10-07,41.28,41.93,39.92,41.01,1580900
2016-10-14,41.74,42.27,37.63,37.96,1473700
2016-10-21,38.2,39.58,38.0,39.07,901400
2016-10-28,40.57,40.68,30.37,31.72,4097700
2016-11-04,31.65,32.33,30.82,31.75,2953900
2016-11-11,32.34,37.24,31.7,37.09,2396500
2016-11-18,38.36,38.79,35.77,36.0,2325800
2016-11-25,36.54,38.6,35.86,38.3,1247300
2016-12-02,38.36,38.38,34.32,34.48,2098400
2016-12-09,35.19,40.1,34.26,39.72,3287000
2016-12-16,39.86,40.35,37.15,37.87,2245200
2016-12-23,37.61,38.79,37.06,37.22,940500
2016-12-30,37.43,38.27,36.07,36.17,778300
2017-01-06,36.82,38.65,36.02,37.01,1074700
2017-01-13,37.09,39.34,36.23,38.45,1984500
2017-01-20,38.27,38.97,37.03,37.99,1303500
2017-01-27,38.18,41.46,37.47,39.97,1583300
2017-02-03,39.4,45.34,38.6,43.07,2571400
2017-02-10,42.91,43.57,41.18,41.96,1746500
2017-02-17,42.62,43.33,40.85,41.11,1556000
2017-02-24,41.45,42.97,39.57,40.44,1730700
2017-03-03,40.43,42.55,38.21,38.58,1564700
2017-03-10,37.56,38.2,34.78,35.39,1441200
2017-03-17,35.62,39.12,34.5,38.27,2918600
2017-03-24,38.07,38.44,36.03,36.14,1508200
2017-03-31,35.14,37.68,34.6,37.3,1274400
2017-04-07,37.7,38.45,36.06,36.87,1216300
2017-04-14,36.93,37.82,34.59,34.66,896800
2017-04-21,35.02,36.99,34.24,36.57,1293200
2017-04-28,37.51,41.5,36.89,40.6,2433300
2017-05-05,41.0,41.05,36.46,37.24,1498300
2017-05-12,36.86,37.43,35.12,35.44,1032900
2017-05-19,36.69,37.0,34.95,35.74,1282100
2017-05-26,36.08,37.63,35.53,36.51,1091200
2017-06-02,36.33,38.01,35.49,37.28,760700
2017-06-09,37.45,39.0,36.57,38.56,1509600
2017-06-16,38.6,39.99,35.01,36.0,1608300
2017-06-23,36.47,37.13,35.58,36.83,1259900
2017-06-30,37.09,37.99,35.89,37.43,1272700
2017-07-07,37.72,38.56,36.2,37.18,869900
2017-07-14,36.78,38.93,36.57,37.5,1558100
2017-07-21,37.76,39.93,37.54,37.75,2054900
2017-07-28,37.75,41.38,37.39,40.62,2542600
2017-08-04,41.05,41.34,39.5,39.87,2103400
2017-08-11,39.98,40.7,37.51,37.9,2316400
2017-08-18,38.32,38.81,37.01,37.96,1100200
2017-08-25,38.06,40.59,37.89,40.08,1602400
2017-09-01,40.39,41.34,39.05,40.88,1840500
2017-09-08,40.59,41.63,38.38,38.93,2334500
2017-09-15,39.21,41.51,39.14,41.42,2431800
2017-09-22,41.45,44.94,41.44,44.74,1914000
2017-09-29,44.72,48.19,44.72,48.03,2724900
2017-10-06,48.39,50.84,48.25,49.75,2627400
2017-10-13,49.75,50.92,49.05,49.92,2888200
2017-10-20,50.33,50.98,49.13,50.09,1963900
2017-10-27,49.89,51.66,49.43,50.29,1952500
2017-11-03,50.03,51.88,48.3,49.26,1579400
2017-11-10,49.74,49.83,46.27,46.6,1557300
2017-11-17,46.0,46.6,44.08,45.79,1594700
2017-11-24,45.79,48.91,45.79,48.21,860900
2017-12-01,48.28,50.15,47.48,49.37,1271400
2017-12-08,50.28,52.0,49.71,51.56,1752100
2017-12-15,52.21,52.21,49.67,50.57,1796900
2017-12-22,51.14,53.61,51.14,51.63,1563100
2017-12-29,51.74,52.85,50.93,50.99,675400
2018-01-05,51.36,54.44,51.36,52.73,1244400
2018-01-12,53.28,54.42,51.8,53.72,2371400
2018-01-19,53.9,54.61,52.3,53.66,2283300
2018-01-26,53.69,54.5,52.12,53.62,1702300
2018-02-02,53.74,54.0,47.8,48.01,2711600
2018-02-09,47.39,48.23,44.25,47.53,3251200
2018-02-16,47.65,53.03,47.39,52.34,2340700
2018-02-23,51.47,52.49,50.53,51.15,1363900
2018-03-02,51.91,52.33,48.65,50.33,2110700
2018-03-09,49.93,52.47,49.59,51.73,1402300
2018-03-16,51.69,53.07,48.45,49.36,2303700
2018-03-23,48.52,49.19,42.72,42.76,2405500
2018-03-30,43.61,44.45,42.44,44.12,2303000
2018-04-06,43.81,45.99,41.75,45.59,2408600
2018-04-13,45.98,49.21,45.64,48.48,2062500
2018-04-20,48.77,52.26,48.3,51.15,2171900
2018-04-27,50.81,55.17,49.02,54.9,3350100
2018-05-04,55.11,55.53,51.96,55.03,1879800
2018-05-11,55.24,57.86,55.05,57.06,1161300
2018-05-18,57.11,59.97,56.07,58.7,1736500
2018-05-25,59.11,60.48,58.02,58.53,845300
2018-06-01,57.89,61.49,57.61,59.55,1762900
2018-06-08,59.44,59.69,55.74,55.87,2589000
2018-06-15,56.02,57.62,55.19,56.1,1449100
2018-06-22,55.67,57.14,53.88,56.16,1513400
2018-06-29,53.8,54.01,51.06,52.57,1540300
2018-07-06,51.52,55.17,51.52,54.79,838400
2018-07-13,55.29,56.82,54.84,56.51,1057400
2018-07-20,56.67,57.42,55.26,55.66,1326500
2018-07-27,55.62,58.15,55.24,55.96,1305600
2018-08-03,56.18,59.53,53.12,58.73,1386400
2018-08-10,58.31,59.95,57.33,57.69,1241100
2018-08-17,57.8,57.86,53.31,56.74,868500
2018-08-24,57.1,58.47,56.02,58.36,845600
2018-08-31,58.22,60.62,58.1,59.67,1063400
2018-09-07,58.9,59.54,56.01,56.79,625300
2018-09-14,56.7,59.11,55.46,58.23,818500
2018-09-21,58.18,60.78,58.02,59.18,1435100
2018-09-28,59.11,60.38,58.48,58.95,811300
2018-10-05,59.42,60.11,57.46,58.41,826200
2018-10-12,58.26,59.75,52.64,53.94,1313400
2018-10-19,53.59,56.06,52.24,52.69,1103800
2018-10-26,52.76,53.36,42.75,43.91,3155100
2018-11-02,44.83,45.97,41.01,45.9,2771400
2018-11-09,45.97,46.72,43.8,43.83,1217400
2018-11-16,44.06,44.78,42.37,43.77,1384400
2018-11-23,43.62,43.64,39.95,41.71,1003400
2018-11-30,41.83,43.33,39.83,43.08,1620800
2018-12-07,44.61,44.83,39.61,39.86,1313700
2018-12-14,39.91,40.85,36.81,37.06,2103900
2018-12-21,37.53,38.27,34.11,34.72,2947600
2018-12-28,34.64,36.53,32.77,35.78,1160800
2019-01-04,35.51,39.0,34.4,38.95,1650600
2019-01-11,39.16,41.89,38.67,41.44,2027600
2019-01-18,41.44,43.84,40.38,43.58,1416300
2019-01-25,42.78,44.37,40.48,43.91,890100
2019-02-01,43.45,48.59,42.71,47.76,1837300
2019-02-08,46.74,47.34,44.29,45.2,1512500
2019-02-15,45.24,46.61,44.85,45.76,1241900
2019-02-22,45.21,48.15,45.21,47.37,844000
2019-03-01,47.66,48.38,46.81,48.22,1138000
2019-03-08,48.16,48.88,44.36,44.84,1114100
2019-03-15,45.3,47.06,44.53,45.44,1263100
2019-03-22,46.19,46.71,42.34,42.39,1102200
2019-03-29,42.19,46.07,41.62,45.85,1318600
2019-04-05,46.93,51.22,46.0,51.1,1168200
2019-04-12,51.23,51.23,48.67,49.99,1816400
2019-04-19,49.71,51.03,49.44,50.28,870400
2019-04-26,49.95,53.0,48.97,49.92,2086100
2019-05-03,49.85,51.87,48.31,51.7,1717800
2019-05-10,50.35,51.19,48.45,49.56,1279800
2019-05-17,48.23,48.65,46.23,46.5,949100
2019-05-24,45.87,46.96,42.44,43.01,1181700
2019-05-31,43.15,43.15,40.04,40.56,964800
2019-06-07,40.85,43.6,40.34,43.36,1225800
2019-06-14,43.73,45.39,43.09,43.48,1109200
2019-06-21,43.51,47.86,43.16,46.75,1561300
2019-06-28,46.68,48.79,45.5,47.98,1533200
