Date,Open,High,Low,Close,Volume
2019-06-14,15.88,17.7,14.0,16.04,146549200
2019-06-21,16.19,19.95,15.5,18.06,77065200
2019-06-28,17.76,18.1,15.29,17.07,35770000
2019-07-05,17.27,17.43,15.43,16.8,27102000
2019-07-12,17.07,18.8,16.72,18.38,53037200
2019-07-19,18.5,21.46,17.25,20.88,81573200
2019-07-26,20.57,23.88,20.52,23.22,57846400
2019-08-02,23.42,24.05,20.66,22.0,51840800
2019-08-09,20.83,24.5,20.56,23.73,37194800
2019-08-16,23.56,25.12,22.84,24.01,43096000
2019-08-23,24.7,25.47,21.5,22.11,43241600
2019-08-30,22.56,22.71,19.72,20.32,35590400
2019-09-06,20.21,21.94,18.83,19.0,67246800
2019-09-13,19.03,19.03,16.08,16.22,93898000
2019-09-20,15.93,17.97,15.88,16.74,50622800
2019-09-27,16.78,17.14,13.21,13.36,52918000
2019-10-04,13.38,16.11,12.9,15.96,62572800
2019-10-11,15.84,17.42,14.32,15.07,56763200
2019-10-18,13.95,14.46,11.61,11.76,61859600
2019-10-25,11.73,13.05,11.15,12.53,49444000
2019-11-01,12.56,13.12,11.55,12.12,36798800
2019-11-08,12.29,12.65,11.2,11.8,29717600
2019-11-15,11.62,15.0,11.36,14.94,50851600
2019-11-22,15.0,15.0,13.21,13.55,32301200
2019-11-29,13.83,14.88,13.56,14.5,24283200
2019-12-06,14.62,14.65,12.62,12.72,69277600
2019-12-13,12.28,12.74,11.58,12.35,163928400
2019-12-20,12.5,12.61,11.88,12.37,86378400
2019-12-27,12.31,12.6,11.79,12.23,57542400
2020-01-03,12.5,13.0,12.1,12.69,98354000
2020-01-10,12.96,14.57,12.76,14.3,225633600
2020-01-17,14.34,15.93,14.25,15.86,140855600
2020-01-24,15.76,16.01,14.46,14.81,83985600
2020-01-31,14.15,15.75,13.83,15.27,76821200
2020-02-07,15.28,16.2,14.91,15.52,70552800
2020-02-14,15.58,16.71,15.36,16.21,102524000
2020-02-21,16.25,16.89,14.81,15.23,81740800
2020-02-28,14.1,15.06,13.59,14.91,94897600
2020-03-06,15.05,15.24,12.59,12.99,74954400
2020-03-13,11.7,12.22,8.99,9.89,109698000
2020-03-20,9.0,12.99,7.99,12.25,162143200
2020-03-27,11.56,14.97,11.5,14.7,137588800
2020-04-03,14.7,15.01,13.38,14.45,80397200
2020-04-10,14.77,15.32,14.38,14.54,82285200
2020-04-17,14.5,16.41,14.34,16.18,90765600
2020-04-24,16.22,18.66,15.69,18.0,119987600
2020-05-01,18.25,18.75,16.45,17.3,81281200
2020-05-08,17.09,19.49,16.95,19.17,85022000
2020-05-15,19.26,20.16,18.28,19.28,71523200
2020-05-22,19.53,20.67,18.94,20.56,56012000
2020-05-29,20.85,22.0,17.88,21.95,113501200
2020-06-05,22.64,25.95,22.22,23.48,287741600
2020-06-12,23.47,25.03,22.76,23.28,129703600
2020-06-19,23.16,26.22,22.88,25.27,187095600
2020-06-26,25.33,27.08,24.38,24.7,182112400
2020-07-03,24.94,26.92,23.55,26.82,103109600
2020-07-10,27.33,29.59,26.18,29.16,119839200
2020-07-17,29.5,29.65,24.65,25.36,128304800
2020-07-24,25.47,27.12,24.26,25.01,85010400
2020-07-31,25.33,28.46,25.04,28.3,80510400
2020-08-07,28.62,29.05,25.07,25.44,87582800
2020-08-14,25.7,26.09,23.34,25.31,101800400
2020-08-21,25.5,28.38,25.44,28.0,51023200
2020-08-28,28.35,30.25,27.07,29.66,69092000
2020-09-04,30.0,38.28,28.81,31.3,353949200
2020-09-11,29.72,33.51,29.5,31.57,94068000
2020-09-18,31.94,33.46,31.2,32.86,118824000
2020-09-25,31.81,35.92,31.36,34.1,100994800
2020-10-02,34.46,36.44,33.41,34.97,85268800
2020-10-09,35.95,37.21,35.38,35.89,87540400
2020-10-16,36.62,38.47,35.28,36.33,90246800
2020-10-23,36.68,37.4,32.91,33.85,75723200
2020-10-30,33.5,34.61,30.11,30.96,63384800
2020-11-06,31.14,36.07,30.44,35.45,54204000
2020-11-13,34.06,34.5,29.52,33.04,87712800
2020-11-20,32.35,36.77,32.05,36.43,71782800
2020-11-27,36.62,38.05,35.61,37.71,47115200
2020-12-04,38.64,42.24,34.56,41.81,149881200
2020-12-11,42.0,45.45,40.72,43.98,123604000
2020-12-18,44.2,51.48,43.1,50.94,118439600
2020-12-25,50.56,56.84,50.45,55.28,98635600
2021-01-01,56.27,56.77,50.69,52.96,71666400
2021-01-08,52.49,57.21,49.0,55.93,95157600
2021-01-15,55.91,59.63,54.5,54.88,75284800
2021-01-22,56.0,57.14,54.38,55.88,44038400
2021-01-29,56.93,57.66,48.47,53.95,96812000
2021-02-05,54.14,56.99,52.61,55.88,59060400
2021-02-12,56.38,61.35,54.79,60.53,61321200
2021-02-19,62.13,62.82,57.29,59.8,45015600
2021-02-26,58.91,59.45,49.54,54.0,86480800
2021-03-05,55.2,57.79,42.17,45.78,100478800
2021-03-12,46.07,52.06,44.72,49.75,77226800
2021-03-19,49.88,52.72,47.4,48.66,149688000
2021-03-26,47.98,49.5,42.53,44.42,85017200
2021-04-02,44.42,48.62,42.19,46.76,59764000
2021-04-09,47.86,51.08,46.18,50.67,75559200
2021-04-16,50.38,54.75,49.38,53.8,79398400
2021-04-23,52.76,56.25,50.38,54.83,65200000
2021-04-30,55.01,56.8,51.75,52.13,55116400
2021-05-07,52.25,52.4,45.17,47.29,67888400
2021-05-14,47.29,48.88,44.32,47.66,74099600
2021-05-21,47.44,52.75,46.25,52.65,66164400
2021-05-28,53.11,56.48,52.34,55.54,60247200
2021-06-04,55.81,56.74,51.33,51.74,67841600
2021-06-11,51.61,58.0,51.13,57.82,95588800
2021-06-18,57.88,61.99,56.82,61.23,85881600
2021-06-25,59.51,64.6,57.75,63.31,103695200
2021-07-02,63.75,65.21,61.38,63.15,50848800
2021-07-09,64.46,67.42,63.57,66.11,60624400
2021-07-16,66.92,67.47,61.76,62.49,46977600
2021-07-23,61.26,68.16,59.93,67.24,57954000
2021-07-30,66.89,67.08,63.14,63.4,41390400
2021-08-06,63.56,67.08,61.55,65.18,42596000
2021-08-13,64.74,66.67,58.47,60.96,58253200
2021-08-20,60.83,60.86,56.81,59.47,50772400
2021-08-27,60.53,71.44,59.83,70.58,157210800
2021-09-03,71.33,72.31,67.32,69.56,131154400
2021-09-10,69.84,69.95,65.14,65.5,54100000
2021-09-17,64.68,66.68,62.1,65.77,66578400
