Date,Open,High,Low,Close,Volume
2025-03-28,39.0,41.94,37.46,40.0,41091100
2025-04-04,38.49,64.62,36.0,47.82,147779600
2025-04-11,43.88,54.8,39.12,43.75,57285400
2025-04-18,46.79,46.85,38.26,39.09,23719700
2025-04-25,38.62,44.36,33.51,41.54,43499300
2025-05-02,42.01,51.82,39.5,51.57,43989600
2025-05-09,50.43,56.82,49.06,51.37,36229900
2025-05-16,54.3,84.0,52.9,80.3,125055600
2025-05-23,76.9,116.54,76.08,102.74,222155800
2025-05-30,109.27,130.76,104.9,111.31,127889700
2025-06-06,116.29,166.63,114.0,140.16,209448000
2025-06-13,147.8,166.03,142.5,147.19,111253000
2025-06-20,148.6,187.0,143.48,183.58,103264000
2025-06-27,183.32,183.98,152.89,159.99,97441700
2025-07-04,163.31,173.35,151.26,165.2,43545900
2025-07-11,161.18,163.66,125.67,125.84,66503900
2025-07-18,130.38,146.99,122.19,123.02,64652800
2025-07-25,126.53,134.3,114.23,115.62,45257100
2025-08-01,115.0,119.59,100.8,104.14,69236200
2025-08-08,106.68,130.98,101.6,129.55,63607600
2025-08-15,134.8,148.8,94.7,99.97,188714500
2025-08-22,102.21,103.91,85.26,93.99,160102000
2025-08-29,94.0,105.5,90.0,103.04,133115000
2025-09-05,96.63,97.13,84.4,89.09,88600100
2025-09-12,88.92,124.9,88.64,111.96,192848600
2025-09-19,120.85,129.39,114.57,124.86,160901300
2025-09-26,124.69,138.95,119.5,120.34,174693900
2025-10-03,120.71,142.67,120.5,134.79,161357200
2025-10-10,137.35,153.2,126.36,138.43,157092200
2025-10-17,141.85,150.4,129.04,136.87,133478400
2025-10-24,137.9,138.3,114.17,132.55,112424700
2025-10-31,135.57,141.79,130.41,133.71,91915400
2025-11-07,133.84,133.84,100.02,104.01,101414800
2025-11-14,110.3,110.3,73.47,77.36,257454800
2025-11-21,75.51,83.49,65.22,71.65,169326100
2025-11-28,72.95,76.6,66.0,73.12,100641300
2025-12-05,71.25,88.76,69.32,88.3,120286800
2025-12-12,83.65,91.22,77.66,78.59,162976200
2025-12-19,79.33,84.29,63.8,83.0,220343500
2025-12-26,84.99,87.31,75.73,76.42,72220200
2026-01-02,73.54,81.17,70.43,79.32,75497700
2026-01-09,82.9,84.54,73.75,80.14,113868600
2026-01-16,78.75,102.98,77.81,101.23,167854700
2026-01-23,95.3,99.47,87.07,92.98,96820500
2026-01-30,102.0,114.45,92.5,93.19,191224200
2026-02-06,92.83,94.77,74.0,89.95,131328800
2026-02-13,90.07,100.69,88.53,96.04,104263300
2026-02-20,92.69,98.29,84.5,89.25,92019300
2026-02-27,87.36,103.44,75.66,79.56,162494100
2026-03-06,76.61,80.66,70.37,72.99,123645500
2026-03-13,71.54,84.44,70.7,81.11,105548300
2026-03-20,85.87,88.26,77.58,81.47,109408300
2026-03-27,81.8,88.75,73.22,74.81,101182800
2026-04-03,75.31,82.5,67.15,82.24,104760200
2026-04-10,81.33,105.9,79.56,102.0,201712600
2026-04-17,104.22,122.14,103.87,116.85,199525500
2026-04-24,116.18,124.96,106.51,110.14,135671100
2026-05-01,109.87,121.86,103.05,119.01,133141000
2026-05-08,121.18,138.25,110.55,114.15,174692700
2026-05-15,112.02,119.49,101.12,107.3,133929500
2026-05-22,106.79,109.85,94.82,105.49,142056300
2026-05-29,108.24,110.33,99.6,109.53,97175300
2026-06-05,114.78,132.15,95.54,100.39,178784200
2026-06-12,102.03,105.55,91.02,100.55,127000400
2026-06-19,104.0,122.0,103.8,117.95,157048400
2026-06-26,119.08,119.19,93.5,96.58,146794900
2026-07-03,98.38,99.79,80.56,81.75,134197600
2026-07-10,83.01,95.14,79.46,88.88,106800100
2026-07-17,86.97,88.88,68.51,73.21,129647000
2026-07-24,75.76,85.37,71.67,71.88,114835300
2026-07-31,73.8,78.5,60.55,71.77,155550000
2026-08-07,70.56,94.3,69.89,90.67,134223800
2026-08-14,92.35,117.49,87.46,105.26,238602700
2026-08-21,107.01,109.9,87.41,87.85,136965100
2026-08-28,85.16,91.81,83.17,84.23,85066800
2026-09-04,82.63,89.63,79.03,89.36,84256600
2026-09-11,92.95,104.59,88.62,88.99,118779500
2026-09-18,82.65,85.93,78.27,81.36,206746600
2026-09-25,81.57,87.19,80.92,86.69,29700775
