Date,Open,High,Low,Close,Volume
2015-03-27,20.64,21.02,20.19,20.59,16796400
2015-04-03,20.71,20.81,20.17,20.67,10346800
2015-04-10,20.52,20.67,20.27,20.58,13636800
2015-04-17,20.31,20.66,20.1,20.34,11921200
2015-04-24,20.43,20.64,20.38,20.53,11573200
2015-05-01,20.53,20.6,19.88,20.32,11832400
2015-05-08,20.36,20.65,20.05,20.6,9642800
2015-05-15,20.54,21.42,20.5,21.36,15992800
2015-05-22,21.31,21.68,21.15,21.5,9868000
2015-05-29,21.48,21.71,21.32,21.52,8035600
2015-06-05,21.6,21.67,21.18,21.36,11349600
2015-06-12,21.35,21.69,21.25,21.51,6977600
2015-06-19,21.31,21.76,20.97,21.7,12312800
2015-06-26,21.75,22.0,21.25,21.35,14737600
2015-07-03,21.25,21.44,21.05,21.3,7158800
2015-07-10,21.15,21.37,20.9,21.26,10347600
2015-07-17,21.46,21.82,21.16,21.39,12224000
2015-07-24,21.5,21.77,21.03,21.06,12349600
2015-07-31,21.05,21.5,20.86,21.38,8811600
2015-08-07,21.45,21.99,21.26,21.86,11227200
2015-08-14,22.05,22.18,21.69,22.12,9059600
2015-08-21,22.08,22.43,21.22,21.22,10657600
2015-08-28,20.25,21.44,19.5,21.34,17594400
2015-09-04,21.22,21.41,20.68,20.94,11752400
2015-09-11,21.29,21.81,21.22,21.44,9046800
2015-09-18,21.47,21.91,21.23,21.6,19234400
2015-09-25,21.75,22.43,21.26,22.1,15457200
2015-10-02,22.01,22.09,20.87,21.58,16866800
2015-10-09,21.82,22.6,21.36,22.45,13829200
2015-10-16,22.51,23.38,22.23,23.14,14227200
2015-10-23,23.12,23.42,22.8,23.38,8738400
2015-10-30,23.39,23.59,23.02,23.27,12194400
2015-11-06,23.4,23.51,22.63,22.72,13132000
2015-11-13,22.68,23.0,22.34,22.38,10056800
2015-11-20,22.22,23.11,22.08,22.83,20878800
2015-11-27,22.75,23.05,22.7,23.0,5410400
2015-12-04,22.99,23.29,22.44,23.17,10286000
2015-12-11,23.09,23.2,22.44,22.48,10133200
2015-12-18,22.57,23.0,22.11,22.12,14407200
2015-12-25,22.37,23.08,22.15,22.89,9783200
2016-01-01,22.81,23.41,22.64,22.76,5289200
2016-01-08,22.45,22.46,21.11,21.16,13892400
2016-01-15,21.23,21.78,20.65,21.01,12239600
2016-01-22,21.17,21.3,20.0,20.61,15256000
2016-01-29,20.57,21.5,20.42,21.48,15752400
2016-02-05,21.35,21.75,20.73,20.83,16477200
2016-02-12,20.7,21.25,20.07,20.75,10838000
2016-02-19,21.03,21.05,20.06,20.84,12431200
2016-02-26,21.02,21.25,20.71,21.22,9244800
2016-03-04,21.21,21.89,21.0,21.75,10295600
2016-03-11,21.68,22.28,21.6,22.27,10524800
2016-03-18,22.22,22.68,22.09,22.62,13446000
2016-03-25,22.53,22.83,21.47,21.88,18838400
2016-04-01,21.94,22.56,21.73,22.52,12552400
2016-04-08,22.58,22.75,21.82,22.33,13130000
2016-04-15,22.42,22.84,22.24,22.5,12713600
2016-04-22,22.45,22.65,22.27,22.42,10316400
2016-04-29,22.41,22.62,22.13,22.44,15847600
2016-05-06,22.46,22.78,22.33,22.75,10960400
2016-05-13,22.82,23.04,22.77,22.88,11413600
2016-05-20,22.91,23.14,22.64,23.01,14776000
2016-05-27,23.0,23.77,23.0,23.77,14892000
2016-06-03,23.74,23.87,23.49,23.75,20841200
2016-06-10,23.75,23.89,23.37,23.63,10093200
2016-06-17,23.45,23.7,23.26,23.5,7744000
2016-06-24,23.71,23.92,23.25,23.33,9924800
2016-07-01,23.24,24.76,22.81,24.73,14635200
2016-07-08,24.77,24.94,24.59,24.91,11147200
2016-07-15,24.89,24.89,24.36,24.4,10379200
2016-07-22,24.49,27.24,24.26,26.99,25944800
2016-07-29,26.9,27.28,26.72,26.82,13199600
2016-08-05,26.82,27.1,26.43,26.72,12020000
2016-08-12,26.75,26.98,26.51,26.84,9185600
2016-08-19,26.83,29.41,26.73,28.45,24396000
2016-08-26,28.45,29.22,28.35,28.93,10142800
2016-09-02,28.89,29.8,28.76,29.71,10803600
2016-09-09,29.78,29.99,28.38,28.45,12336800
2016-09-16,28.52,28.73,28.14,28.33,18518800
2016-09-23,28.39,29.06,28.25,28.54,8735600
2016-09-30,28.46,29.73,27.77,28.15,22267600
2016-10-07,28.19,28.48,27.58,27.61,14057600
2016-10-14,27.71,27.84,27.1,27.31,8437200
2016-10-21,27.25,27.76,26.47,26.61,12742800
2016-10-28,26.77,26.9,26.32,26.48,9302800
2016-11-04,26.61,26.78,25.52,25.76,13513200
2016-11-11,26.03,27.21,25.71,27.18,12486400
2016-11-18,27.29,27.94,26.99,27.93,16067200
2016-11-25,28.0,29.12,27.75,29.12,8741600
2016-12-02,29.04,29.2,28.55,29.16,12462400
2016-12-09,29.25,30.24,29.17,30.18,10851200
2016-12-16,30.18,30.55,29.81,29.92,25010000
2016-12-23,30.08,30.28,28.25,29.09,21070800
2016-12-30,29.09,29.25,28.85,28.89,9231600
2017-01-06,29.09,29.43,28.94,29.17,10042000
2017-01-13,29.12,29.12,28.3,28.64,11680800
2017-01-20,28.45,28.59,28.31,28.47,5936400
2017-01-27,28.44,29.49,28.24,29.32,10295600
2017-02-03,29.28,29.33,28.56,29.03,11142400
2017-02-10,28.94,29.25,28.45,29.18,10710400
2017-02-17,29.31,29.88,29.02,29.65,12870400
