Date,Open,High,Low,Close,Volume
2015-03-27,16.77,17.76,16.33,16.42,8466400
2015-04-03,16.43,17.52,16.38,17.46,13485000
2015-04-10,17.75,18.16,17.24,17.61,8731900
2015-04-17,17.73,19.62,17.5,18.85,10699300
2015-04-24,18.85,19.72,18.38,19.16,8940800
2015-05-01,19.43,19.43,18.3,18.98,9389700
2015-05-08,19.08,19.28,16.82,17.44,14191000
2015-05-15,17.47,17.56,16.88,17.27,8803100
2015-05-22,17.21,17.42,16.61,17.35,6513200
2015-05-29,16.9,17.03,16.2,16.49,6960300
2015-06-05,16.5,17.0,16.01,16.44,7191500
2015-06-12,16.39,16.89,15.82,16.1,11822500
2015-06-19,15.95,17.76,15.88,17.11,16523500
2015-06-26,17.2,17.34,16.69,16.86,8805800
2015-07-03,16.29,16.61,15.55,15.68,8800200
2015-07-10,15.2,15.31,14.28,14.36,11184500
2015-07-17,14.31,14.7,13.94,13.99,8822500
2015-07-24,13.94,13.97,13.04,13.41,10733900
2015-07-31,13.24,15.16,13.1,14.58,16100300
2015-08-07,14.42,14.67,13.9,13.93,12289000
2015-08-14,13.92,14.65,13.5,13.56,10108900
2015-08-21,13.52,13.56,12.55,12.76,9939600
2015-08-28,12.0,14.46,11.85,14.13,16054400
2015-09-04,13.97,14.49,12.76,13.71,19466400
2015-09-11,13.83,13.95,13.12,13.32,13100000
2015-09-18,13.2,15.51,12.96,15.47,19984500
2015-09-25,15.65,15.8,14.65,15.15,16590300
2015-10-02,14.94,15.72,14.5,15.36,13953700
2015-10-09,15.87,17.23,15.68,16.93,22134100
2015-10-16,16.83,16.9,16.05,16.59,11006800
2015-10-23,16.33,16.47,14.92,15.09,12230800
2015-10-30,15.11,15.5,14.17,14.91,14394800
2015-11-06,14.84,16.68,14.77,15.92,12836400
2015-11-13,15.93,16.17,14.32,14.65,8563000
2015-11-20,14.66,15.6,14.5,14.65,9070700
2015-11-27,14.44,15.63,14.35,14.75,7249200
2015-12-04,14.8,15.38,14.23,14.34,9908200
2015-12-11,13.97,14.26,12.65,12.68,10259400
2015-12-18,12.59,13.1,12.25,12.58,9129100
2015-12-25,12.55,13.15,12.1,13.0,5873200
2016-01-01,12.79,13.04,12.44,12.62,5947300
2016-01-08,12.53,12.61,11.48,11.66,14818200
2016-01-15,11.66,12.09,11.18,11.79,13347200
2016-01-22,11.79,12.82,10.76,12.59,12107200
2016-01-29,12.25,12.65,11.46,12.29,18630700
2016-02-05,12.1,12.44,11.15,11.78,17871700
2016-02-12,11.53,11.71,9.1,10.47,22729400
2016-02-19,10.62,11.13,10.35,10.55,11795400
2016-02-26,10.82,11.34,10.02,11.02,11487800
2016-03-04,11.13,12.65,11.13,12.54,14341200
2016-03-11,12.53,13.21,12.21,13.13,14288100
2016-03-18,12.88,13.97,12.65,13.62,10181900
2016-03-25,13.59,13.79,12.31,12.76,7463700
2016-04-01,12.8,13.45,12.55,12.77,8347500
2016-04-08,12.76,13.33,12.25,13.08,7706100
2016-04-15,13.16,14.31,13.01,13.43,8222700
2016-04-22,13.02,15.36,12.92,15.18,12320700
2016-04-29,15.12,16.07,14.79,15.84,15030900
2016-05-06,15.78,15.8,14.42,14.77,12930700
2016-05-13,14.65,15.33,14.11,14.73,9797700
2016-05-20,15.0,15.48,14.35,14.61,9582800
2016-05-27,14.44,15.59,14.33,15.47,8725900
2016-06-03,15.44,15.71,14.78,15.27,6626500
2016-06-10,15.43,16.56,14.71,14.73,10608900
2016-06-17,14.66,15.1,13.54,14.05,9920500
2016-06-24,14.31,14.83,13.51,13.74,8551700
2016-07-01,13.52,14.1,12.9,14.05,9093400
2016-07-08,13.82,13.99,13.23,13.86,6458400
2016-07-15,13.92,14.48,13.65,14.18,10396200
2016-07-22,14.07,14.52,13.93,14.16,11890200
2016-07-29,13.97,14.35,13.11,14.3,12195000
2016-08-05,14.04,14.76,13.47,14.47,8805800
2016-08-12,14.64,15.03,14.33,14.75,6649100
