Date,Open,High,Low,Close,Volume
2017-04-28,2.7,2.79,2.14,2.22,56489000
2017-05-05,2.32,2.35,1.63,2.18,45857000
2017-05-12,2.21,2.29,1.92,2.27,12954500
2017-05-19,2.29,2.38,2.18,2.28,9208500
2017-05-26,2.48,2.48,2.06,2.15,18695500
2017-06-02,2.16,2.17,1.81,1.91,14883000
2017-06-09,1.91,2.9,1.77,2.66,62797000
2017-06-16,2.71,3.96,2.43,3.86,36032500
2017-06-23,3.95,4.56,3.67,4.29,33990500
2017-06-30,4.3,4.74,4.04,4.09,19016000
2017-07-07,4.08,4.3,3.73,4.2,10397000
2017-07-14,4.2,4.7,4.07,4.59,13845000
2017-07-21,4.64,4.67,4.22,4.28,8798000
2017-07-28,4.29,4.35,4.01,4.08,8407000
2017-08-04,4.05,4.05,3.24,3.6,17358000
2017-08-11,3.61,3.97,3.25,3.27,24355000
2017-08-18,3.27,3.32,2.76,2.84,31178000
2017-08-25,2.78,3.61,2.69,2.97,25594000
2017-09-01,2.96,3.84,2.92,3.47,19085000
2017-09-08,3.44,3.83,3.22,3.68,9351000
2017-09-15,3.7,3.87,3.5,3.53,10832500
2017-09-22,3.53,3.59,3.17,3.23,15128000
2017-09-29,3.2,3.36,2.83,2.94,14899500
2017-10-06,2.98,3.2,2.92,3.05,13606000
2017-10-13,3.04,3.1,2.72,2.8,9288500
2017-10-20,2.8,2.87,2.59,2.67,11282500
2017-10-27,2.67,2.77,2.5,2.55,9615000
2017-11-03,2.52,2.92,2.43,2.81,11380500
2017-11-10,2.81,3.29,2.57,2.84,19676000
2017-11-17,2.83,3.15,2.78,3.1,11251500
2017-11-24,3.13,3.14,2.85,3.09,5230500
2017-12-01,3.08,3.74,3.07,3.58,14019000
2017-12-08,3.72,4.51,3.67,4.25,17322500
2017-12-15,4.27,4.98,4.07,4.37,14928000
2017-12-22,4.47,4.52,4.01,4.25,13705000
2017-12-29,4.25,4.34,3.82,3.82,5423000
2018-01-05,3.83,3.98,3.55,3.94,12125500
2018-01-12,3.94,4.36,3.85,4.19,5675000
2018-01-19,4.19,4.33,3.95,4.17,3529500
2018-01-26,4.17,4.27,3.91,3.95,7656000
2018-02-02,3.9,3.94,3.61,3.66,5106000
2018-02-09,3.62,3.92,3.32,3.62,12325500
2018-02-16,3.64,4.62,3.57,4.28,9006000
2018-02-23,4.23,4.36,4.02,4.28,5191000
2018-03-02,4.31,4.52,3.72,3.75,12644500
2018-03-09,3.71,3.78,3.2,3.61,32616000
2018-03-16,3.61,4.39,3.61,4.2,14337500
2018-03-23,4.18,4.35,3.84,4.19,8521500
2018-03-30,4.25,4.7,4.2,4.59,9495000
2018-04-06,4.58,4.72,4.35,4.58,11318000
2018-04-13,4.63,5.05,4.46,4.68,8825000
2018-04-20,4.75,6.27,4.69,5.87,25379000
2018-04-27,5.91,6.17,5.35,5.49,59151000
2018-05-04,5.54,5.55,5.07,5.09,24928500
2018-05-11,5.1,5.8,4.81,5.5,45169000
2018-05-18,5.54,5.7,5.01,5.35,24299500
2018-05-25,5.4,5.53,5.0,5.02,18724000
2018-06-01,5.0,5.95,4.87,5.63,20205500
2018-06-08,5.63,7.31,5.61,7.21,31589500
2018-06-15,7.24,8.82,7.18,8.56,48417500
2018-06-22,8.46,9.04,7.3,8.07,40236500
2018-06-29,8.0,8.77,7.6,8.32,21543000
2018-07-06,8.25,9.47,7.96,9.43,17664500
2018-07-13,9.75,9.97,8.68,8.82,21904000
2018-07-20,8.84,9.6,8.69,8.84,17435000
2018-07-27,8.8,9.15,8.55,8.84,14527500
2018-08-03,8.82,9.18,8.03,9.02,19275000
2018-08-10,9.05,11.22,8.95,10.81,48638000
2018-08-17,10.81,11.19,10.48,11.08,19804500
2018-08-24,11.17,12.17,11.16,12.02,25695500
2018-08-31,12.06,12.96,12.05,12.95,22112000
2018-09-07,12.99,13.6,11.45,12.3,29659000
2018-09-14,12.45,14.52,11.94,12.69,49084000
2018-09-21,12.7,12.7,11.71,12.0,39235000
2018-09-28,11.9,12.79,11.37,11.82,30820500
2018-10-05,11.96,12.1,10.23,10.77,38498000
2018-10-12,10.64,10.96,8.77,9.38,54547500
2018-10-19,9.32,9.32,8.01,8.03,36465500
2018-10-26,8.1,8.51,7.62,7.74,32170000
2018-11-02,7.87,9.35,7.0,9.27,48324000
2018-11-09,9.23,11.0,8.56,9.78,55156500
2018-11-16,9.66,9.84,8.6,9.21,33426500
2018-11-23,9.12,9.21,7.96,8.53,23393000
2018-11-30,8.67,9.96,8.49,8.66,40526000
2018-12-07,8.81,8.97,6.86,7.14,57007000
2018-12-14,7.03,7.48,6.36,6.43,49982500
2018-12-21,6.28,7.17,5.69,5.97,55797500
2018-12-28,5.92,6.82,5.79,6.36,27388000
2019-01-04,6.46,6.73,5.75,6.16,30807000
2019-01-11,6.21,7.42,6.18,7.36,42949500
2019-01-18,6.91,7.48,6.72,7.38,49645500
2019-01-25,7.33,8.12,6.88,7.96,26418000
2019-02-01,7.86,7.99,6.96,7.06,31501000
2019-02-08,7.05,7.31,6.28,6.44,48702000
2019-02-15,6.46,7.25,5.95,7.07,73644000
2019-02-22,7.09,7.62,6.86,7.6,31396000
2019-03-01,7.65,9.19,7.57,8.72,90675000
2019-03-08,8.71,10.52,8.18,9.92,60902500
2019-03-15,9.97,11.7,9.97,11.34,66682000
2019-03-22,11.37,11.96,10.88,11.12,35120000
2019-03-29,11.07,11.92,10.96,11.61,41058000
2019-04-05,11.75,12.73,11.53,12.1,41696500
2019-04-12,12.06,13.28,11.61,13.2,24432500
2019-04-19,13.17,13.25,12.23,12.6,21674500
2019-04-26,12.52,14.0,12.37,13.92,27418000
2019-05-03,14.0,14.72,13.69,14.44,29943000
2019-05-10,13.99,15.37,12.95,13.35,51508500
2019-05-17,12.93,13.94,12.19,13.63,38826500
2019-05-24,13.51,13.9,11.7,11.88,59842000
2019-05-31,11.85,12.24,11.3,11.58,31045000
2019-06-07,11.5,12.96,11.18,12.64,30484000
2019-06-14,12.72,12.84,11.89,12.0,21525500
2019-06-21,12.0,13.85,11.98,13.41,37001500
