Date,Open,High,Low,Close,Volume
2015-03-27,11.98,12.33,11.92,12.11,15805200
2015-04-03,12.2,12.66,12.1,12.35,15369600
2015-04-10,12.29,13.0,12.25,12.63,14554800
2015-04-17,12.64,12.72,11.7,11.88,21668400
2015-04-24,11.99,12.67,11.91,12.51,15411600
2015-05-01,12.57,12.66,12.21,12.53,16483800
2015-05-08,12.44,12.69,12.09,12.63,14731200
2015-05-15,12.63,12.68,11.93,12.05,15936000
2015-05-22,12.02,12.56,11.99,12.31,26249400
2015-05-29,12.25,12.3,11.22,11.36,49107000
2015-06-05,11.42,12.42,11.34,12.4,37902000
2015-06-12,12.34,12.63,12.06,12.37,27096600
2015-06-19,12.3,12.74,12.19,12.59,18102600
2015-06-26,12.65,12.75,12.27,12.37,28572600
2015-07-03,12.33,12.48,11.94,12.29,16843800
2015-07-10,12.19,12.3,11.79,12.18,14972400
2015-07-17,12.26,12.45,11.97,12.03,15226200
2015-07-24,12.0,12.08,11.61,11.65,14065200
2015-07-31,11.56,12.22,11.34,12.15,29632200
2015-08-07,12.12,12.28,11.52,11.6,20471400
2015-08-14,11.67,11.79,11.23,11.69,16902000
2015-08-21,11.64,11.81,10.67,10.74,16765200
2015-08-28,10.53,10.89,9.95,10.69,23285400
2015-09-04,10.66,10.85,10.32,10.45,18067800
2015-09-11,10.64,10.64,9.94,10.11,12757800
2015-09-18,10.11,10.83,10.02,10.16,22675200
2015-09-25,10.23,10.39,9.57,9.71,19830000
2015-10-02,9.68,9.85,9.38,9.84,18162600
2015-10-09,9.91,10.43,9.8,10.18,18414600
2015-10-16,10.17,10.25,9.77,9.94,14353800
2015-10-23,9.95,10.26,9.26,9.3,24847800
2015-10-30,9.33,9.56,8.32,9.28,58617000
2015-11-06,9.27,9.64,8.98,9.2,28954800
2015-11-13,9.22,9.25,7.64,7.89,35166600
2015-11-20,7.87,8.52,7.52,8.33,38509200
2015-11-27,8.33,8.75,8.23,8.35,18846600
2015-12-04,8.19,8.9,7.76,8.4,47347800
2015-12-11,8.35,8.65,8.25,8.4,30847800
2015-12-18,8.42,8.56,8.1,8.11,43632600
2015-12-25,8.12,8.3,7.75,8.09,22150200
2016-01-01,8.09,8.26,7.82,7.87,17163600
2016-01-08,7.68,7.95,7.37,7.38,35461200
2016-01-15,7.43,7.57,6.79,7.17,38342400
2016-01-22,7.24,7.73,6.83,7.7,30556800
2016-01-29,7.61,8.33,7.48,8.24,27437400
2016-02-05,8.22,8.37,6.99,7.97,68680800
2016-02-12,7.86,8.52,7.72,8.26,43033200
2016-02-19,8.32,8.94,8.31,8.83,20838600
2016-02-26,8.97,9.45,8.64,9.35,22990200
2016-03-04,9.36,9.83,9.3,9.62,24161400
2016-03-11,9.53,9.8,9.31,9.61,18207000
2016-03-18,9.55,10.11,9.22,10.09,27417000
2016-03-25,10.08,10.17,9.41,9.56,12529800
2016-04-01,9.48,10.15,9.46,9.86,24721200
