Date,Open,High,Low,Close,Volume
2015-03-20,110.86,116.94,110.64,114.94,2365700
2015-03-27,115.4,116.53,112.16,113.24,1900200
2015-04-03,112.32,113.31,109.66,112.56,2185300
2015-04-10,112.65,115.62,112.59,113.8,1568000
2015-04-17,114.0,117.17,111.93,112.69,2462500
2015-04-24,111.55,113.96,111.25,113.36,1885400
2015-05-01,113.45,114.0,109.78,111.09,2835500
2015-05-08,111.09,111.35,108.09,110.61,4780300
2015-05-15,110.61,113.07,109.69,112.91,2704100
2015-05-22,111.97,113.4,111.5,111.95,2520300
2015-05-29,111.96,112.95,110.38,110.96,3033000
2015-06-05,111.15,118.27,107.19,118.0,5527100
2015-06-12,118.0,118.82,113.36,117.91,5983800
2015-06-19,116.01,120.83,115.73,119.14,5596300
2015-06-26,120.42,122.23,118.0,119.79,4733700
2015-07-03,117.37,118.15,115.78,118.0,5410400
2015-07-10,116.69,119.43,114.07,118.94,3402300
2015-07-17,119.29,122.21,118.94,120.95,2466800
2015-07-24,120.22,120.7,113.28,114.5,4324600
2015-07-31,113.88,115.37,111.68,112.31,4877800
2015-08-07,112.22,114.37,111.36,113.05,2701200
2015-08-14,112.77,113.94,108.04,111.45,2386700
2015-08-21,110.36,112.02,105.48,105.67,3752400
2015-08-28,101.43,107.07,100.59,106.94,5856900
2015-09-04,106.17,106.83,102.71,103.18,2963800
2015-09-11,106.15,108.05,105.04,106.35,1971100
2015-09-18,106.13,111.8,105.68,109.44,2841700
2015-09-25,110.22,110.23,104.12,106.24,2446800
2015-10-02,106.15,109.75,103.44,109.73,2761200
2015-10-09,109.34,112.78,109.3,111.77,2216400
2015-10-16,112.01,114.11,111.4,113.84,2415400
2015-10-23,114.46,115.3,113.53,114.43,1634000
2015-10-30,115.01,116.1,113.35,115.08,2091800
2015-11-06,115.52,116.92,112.91,113.55,1664400
2015-11-13,113.0,115.71,112.0,112.27,1880000
2015-11-20,112.02,117.95,111.96,116.56,1789300
2015-11-27,116.08,116.44,113.87,115.81,1935000
2015-12-04,115.43,116.52,113.25,115.02,2025400
2015-12-11,114.76,114.96,109.5,109.98,2194500
2015-12-18,110.36,111.25,107.17,107.17,3292300
2015-12-25,109.26,110.53,106.6,109.71,2006400
2016-01-01,109.2,111.72,109.05,109.07,1550200
2016-01-08,107.77,108.57,104.39,104.58,3101100
2016-01-15,105.73,107.32,101.33,102.33,3888100
2016-01-22,103.48,106.96,100.12,106.51,3918000
2016-01-29,104.54,107.92,104.31,107.67,3613700
2016-02-05,108.31,110.6,104.05,104.44,3977300
2016-02-12,103.32,104.22,100.84,102.65,3310600
2016-02-19,104.19,105.59,102.91,104.63,3044400
2016-02-26,104.53,105.37,102.03,103.45,3201700
2016-03-04,102.76,106.89,102.5,106.29,3885200
2016-03-11,104.87,108.03,104.73,107.82,2976000
2016-03-18,107.9,109.26,106.96,108.5,2484400
2016-03-25,106.78,107.74,105.0,106.28,3560000
2016-04-01,106.99,109.54,105.98,107.46,2718700
2016-04-08,108.62,108.67,106.32,107.77,2666600
2016-04-15,108.03,110.05,107.49,109.95,2247200
2016-04-22,109.16,112.37,108.64,109.49,2375100
2016-04-29,108.98,110.35,107.89,108.33,2321500
2016-05-06,107.84,109.39,107.15,108.81,2091700
2016-05-13,109.12,109.99,108.5,108.73,1752300
2016-05-20,108.56,109.56,106.11,106.61,1697700
2016-05-27,106.59,110.69,106.4,110.55,1436800
2016-06-03,110.94,110.97,107.35,109.14,1908000
2016-06-10,109.24,110.33,103.9,104.63,2699700
2016-06-17,102.2,103.76,99.59,103.37,7115200
2016-06-24,107.75,110.6,103.65,104.34,7310000
2016-07-01,103.09,113.82,101.37,113.71,8086700
2016-07-08,112.43,114.2,111.7,112.8,5387700
2016-07-15,112.76,114.9,112.43,113.04,5003500
2016-07-22,114.0,114.08,111.37,114.03,4072400
2016-07-29,113.9,117.84,112.63,116.54,4044000
2016-08-05,114.84,116.15,114.54,115.63,3206800
2016-08-12,114.35,115.38,113.27,114.19,2344100
2016-08-19,114.51,116.14,114.06,115.46,2469200
2016-08-26,114.44,115.86,113.93,114.49,2159600
2016-09-02,114.24,116.22,111.97,115.77,3082200
2016-09-09,114.74,114.98,111.08,111.08,2502400
2016-09-16,110.88,113.88,110.62,112.7,2419200
2016-09-23,114.05,117.43,113.79,116.35,2565600
2016-09-30,115.43,117.07,115.07,116.04,2263500
2016-10-07,116.94,117.65,112.02,112.66,2816000
2016-10-14,112.83,112.86,108.2,108.5,3324900
2016-10-21,107.59,109.33,107.38,108.24,3298500
2016-10-28,108.25,108.96,107.09,107.13,3912800
2016-11-04,107.59,107.8,103.77,103.87,3239600
2016-11-11,103.81,105.77,100.36,101.37,4838600
2016-11-18,100.09,102.7,99.46,101.72,5489500
2016-11-25,101.7,102.13,100.13,101.84,3846100
2016-12-02,101.22,102.41,99.75,100.39,6298600
2016-12-09,101.63,103.96,100.34,103.88,4480400
2016-12-16,104.14,107.07,102.75,103.93,6231400
2016-12-23,103.91,104.36,103.1,103.39,2717900
2016-12-30,103.45,104.42,102.72,103.94,2045400
2017-01-06,104.04,107.06,103.44,106.39,2534300
2017-01-13,105.87,108.1,105.78,107.73,2806500
2017-01-20,106.37,107.86,106.34,107.34,3006600
2017-01-27,108.39,113.82,107.9,113.0,4928700
2017-02-03,110.87,112.35,110.59,111.89,2924500
2017-02-10,111.72,114.43,111.36,113.83,2184700
2017-02-17,114.45,115.08,112.84,114.83,2311300
2017-02-24,114.56,115.73,113.77,114.77,2649000
2017-03-03,114.7,115.1,112.41,112.73,2444600
2017-03-10,112.27,112.5,110.92,112.38,2270300
2017-03-17,113.03,116.36,112.46,116.09,2326600
2017-03-24,116.59,117.13,115.96,116.43,1651000
2017-03-31,116.76,116.82,114.85,115.58,2011000
2017-04-07,114.98,115.76,113.98,114.0,1882600
2017-04-14,114.36,116.46,114.25,115.61,1433100
2017-04-21,115.8,116.29,113.67,114.05,2752600
2017-04-28,116.11,117.56,115.85,117.43,2587300
2017-05-05,117.14,119.55,116.92,119.55,1697300
2017-05-12,120.13,120.32,118.81,119.87,2257600
2017-05-19,119.47,122.45,118.97,120.87,2340200
