Date,Open,High,Low,Close,Volume
2015-04-03,76.73,77.9,75.27,75.8,7681700
2015-04-10,75.12,76.76,74.89,76.24,6316900
2015-04-17,76.44,76.62,74.43,75.33,8886300
2015-04-24,75.84,76.59,74.76,75.81,8607700
2015-05-01,75.92,75.98,71.14,71.7,7433300
2015-05-08,71.73,72.52,69.47,71.02,6344900
2015-05-15,70.77,72.16,69.7,71.62,5612100
2015-05-22,71.46,89.0,71.45,79.6,20697600
2015-05-29,78.15,78.15,75.15,75.23,9512600
2015-06-05,75.84,76.3,73.87,73.96,5672600
2015-06-12,74.06,74.5,72.96,73.04,5805200
2015-06-19,72.65,73.62,72.12,73.34,5389300
2015-06-26,73.76,73.82,71.4,72.75,6606700
2015-07-03,72.19,73.36,71.13,71.83,4215700
2015-07-10,70.82,71.99,69.6,71.58,5094000
2015-07-17,72.42,74.22,72.42,73.26,5221900
2015-07-24,73.39,75.25,71.24,73.37,5588600
2015-07-31,73.13,74.49,70.42,73.81,5536700
2015-08-07,74.04,75.24,71.26,72.43,4027900
2015-08-14,72.9,73.91,71.36,72.72,3555500
2015-08-21,72.38,73.99,70.15,70.18,4565400
2015-08-28,67.29,70.03,65.05,68.89,8088600
2015-09-04,68.88,69.37,64.51,65.17,4591300
2015-09-11,66.19,67.0,64.71,65.62,4578200
2015-09-18,65.8,68.98,65.54,66.9,4333500
2015-09-25,67.55,67.97,63.98,64.41,3668300
2015-10-02,63.78,64.15,60.07,62.81,6789600
2015-10-09,63.29,63.91,61.41,63.26,6853900
2015-10-16,63.26,65.79,61.81,65.36,5752100
2015-10-23,65.21,66.65,61.0,64.84,9179700
2015-10-30,64.56,68.2,64.21,67.95,7784100
2015-11-06,68.15,69.59,67.95,68.2,5444500
2015-11-13,67.97,68.85,65.95,67.2,4831600
2015-11-20,67.06,69.36,66.98,67.95,4560800
2015-11-27,67.9,69.24,67.73,68.76,2692800
2015-12-04,68.81,69.49,65.47,68.57,5056000
2015-12-11,68.48,69.04,67.15,67.48,6925100
