Date,Open,High,Low,Close,Volume
2015-03-27,68.24,68.29,65.42,65.73,4851100
2015-04-03,66.15,67.16,64.72,65.84,3303900
2015-04-10,65.72,66.81,64.96,65.22,4263100
2015-04-17,65.21,65.73,64.35,65.31,3516600
2015-04-24,65.31,67.19,65.19,66.72,4658900
2015-05-01,66.93,67.01,62.76,64.12,5300200
2015-05-08,64.13,66.94,62.89,65.78,5291800
2015-05-15,65.51,66.79,63.72,66.7,3994600
2015-05-22,66.46,66.79,65.46,66.3,2975700
2015-05-29,66.14,67.14,65.65,66.04,3609200
2015-06-05,66.26,67.0,63.65,64.35,3659000
2015-06-12,64.35,66.75,63.55,66.57,5625000
2015-06-19,66.41,69.12,65.33,67.93,6132700
2015-06-26,68.09,68.5,65.97,66.52,4393300
2015-07-03,66.36,69.46,65.66,68.91,6792900
2015-07-10,68.76,69.83,67.7,69.13,4949200
2015-07-17,69.63,69.76,67.5,67.73,16673600
2015-07-24,67.82,67.99,64.99,65.2,11747800
2015-07-31,65.15,65.4,64.0,64.27,7828800
2015-08-07,64.39,66.15,64.1,65.27,6717200
2015-08-14,65.45,66.87,64.46,66.8,4897400
2015-08-21,66.79,67.22,65.8,65.95,4226000
2015-08-28,63.49,65.45,61.73,65.01,6816300
2015-09-04,65.01,65.01,61.1,62.15,6462200
2015-09-11,62.96,63.63,60.66,61.71,4133400
2015-09-18,62.0,65.45,61.71,64.72,4546100
2015-09-25,64.78,65.34,63.34,63.98,4346400
2015-10-02,63.64,65.93,62.42,65.73,7906400
2015-10-09,65.73,69.41,64.98,69.27,8745100
2015-10-16,69.44,71.77,69.21,71.17,5591300
2015-10-23,71.1,73.42,70.88,73.39,5101500
2015-10-30,73.46,74.12,71.14,73.96,6819100
2015-11-06,73.86,75.2,71.33,72.18,8386200
2015-11-13,72.07,73.24,71.03,71.22,3994300
2015-11-20,71.29,72.85,70.83,72.64,3639900
2015-11-27,72.61,72.96,71.5,72.17,1858000
2015-12-04,72.27,73.09,71.0,72.93,4586300
2015-12-11,72.84,72.89,69.0,69.96,4606700
2015-12-18,69.89,75.28,69.79,74.8,8805500
2015-12-25,75.24,75.97,74.64,75.56,4397500
2016-01-01,75.4,77.26,75.27,75.62,4582800
2016-01-08,74.86,77.67,74.86,77.04,7417000
2016-01-15,77.12,79.54,76.2,76.32,8842600
2016-01-22,76.72,77.28,69.89,74.76,6472800
2016-01-29,74.77,80.8,74.29,80.08,9885700
2016-02-05,80.0,82.24,78.74,81.76,6864900
2016-02-12,81.08,81.29,76.36,79.24,8990300
2016-02-19,79.71,82.07,79.0,81.42,4723400
2016-02-26,82.05,82.7,76.93,78.95,7446700
2016-03-04,79.09,82.67,78.62,81.89,8791800
2016-03-11,81.47,86.14,81.43,85.58,7815200
2016-03-18,85.36,88.71,84.58,88.44,6088200
2016-03-25,87.55,88.23,85.74,86.16,4800800
2016-04-01,86.35,89.55,86.28,89.46,4517500
2016-04-08,89.47,90.87,87.91,90.54,5543100
2016-04-15,90.64,91.84,86.71,87.97,6252100
2016-04-22,87.7,88.9,85.5,86.17,4024700
2016-04-29,86.7,91.5,86.48,87.98,4765200
2016-05-06,88.38,92.63,88.02,92.18,4674700
2016-05-13,92.27,95.07,91.7,94.4,4935700
2016-05-20,97.55,98.49,90.89,93.75,48587200
2016-05-27,93.96,95.57,93.28,94.66,7252800
2016-06-03,94.87,98.64,94.31,98.44,8147600
2016-06-10,98.35,103.08,98.27,102.32,9398100
2016-06-17,101.99,102.51,99.47,102.11,10958500
2016-06-24,102.82,105.37,102.0,103.59,7764200
2016-07-01,103.35,109.95,102.5,109.0,7791100
2016-07-08,109.01,113.21,108.59,110.24,7302000
2016-07-15,110.32,110.66,105.86,106.56,9938400
2016-07-22,106.18,106.72,101.26,105.65,10422500
2016-07-29,105.97,108.12,101.36,104.46,8623300
2016-08-05,104.69,106.68,100.23,100.95,8521100
2016-08-12,100.84,104.55,99.1,103.24,6328200
2016-08-19,103.13,103.72,99.85,101.02,5286700
2016-08-26,101.41,102.27,98.19,99.46,6883400
2016-09-02,99.75,102.64,98.17,100.1,7119800
2016-09-09,100.45,102.21,96.27,96.27,6459000
2016-09-16,95.75,96.78,91.27,92.6,12075400
2016-09-23,93.2,98.94,92.42,97.95,10187300
2016-09-30,97.3,99.84,96.28,97.12,16205400
2016-10-07,96.76,96.76,89.18,91.62,8568900
2016-10-14,91.66,95.7,91.08,94.71,5000800
2016-10-21,94.76,97.18,94.34,95.68,4104900
2016-10-28,96.41,97.66,90.51,92.61,7389200
2016-11-04,93.11,93.71,86.56,90.83,7630900
2016-11-11,92.04,95.47,87.12,87.93,12847800
2016-11-18,87.78,92.09,85.63,88.94,8598700
2016-11-25,89.7,92.1,89.04,90.95,4615200
2016-12-02,90.93,94.09,88.22,89.1,7399800
2016-12-09,89.19,95.7,89.1,94.01,6524000
2016-12-16,93.75,97.21,93.39,94.59,9802700
2016-12-23,96.04,98.14,94.62,96.35,6340900
2016-12-30,96.64,98.79,95.5,98.26,3876100
2017-01-06,98.89,105.32,98.03,104.04,7985400
2017-01-13,103.62,103.87,101.57,102.29,5437100
2017-01-20,102.89,106.4,102.5,105.8,5777400
2017-01-27,105.7,108.35,105.52,106.43,5613400
2017-02-03,106.54,109.0,105.76,107.75,5017600
2017-02-10,107.37,108.54,105.54,107.2,5492200
2017-02-17,107.65,107.97,101.7,104.15,10137900
2017-02-24,104.15,108.41,103.23,107.83,5540700
2017-03-03,108.03,108.63,106.27,108.33,4951800
2017-03-10,108.0,108.22,103.24,103.9,5377700
2017-03-17,103.33,104.85,101.85,102.89,7120300
2017-03-24,102.95,105.82,102.94,103.74,5111300
2017-03-31,103.55,106.67,102.19,106.39,4432000
2017-04-07,106.4,109.41,105.17,108.7,4244000
2017-04-14,108.66,110.11,108.4,109.61,2965700
2017-04-21,109.95,113.72,109.56,112.88,5152000
2017-04-28,113.27,115.47,111.1,114.84,5846300
2017-05-05,115.2,115.35,110.25,113.81,5209600
2017-05-12,114.17,115.31,112.61,115.08,3465600
2017-05-19,114.99,116.08,112.68,114.84,4219600
2017-05-26,115.18,119.46,114.45,117.81,3729700
2017-06-02,117.36,119.77,117.35,119.77,3791600
2017-06-09,119.72,120.04,111.67,113.32,10434000
2017-06-16,113.28,118.7,110.87,116.61,9998000
2017-06-23,117.47,121.5,115.46,120.54,7892600
2017-06-30,120.99,121.53,111.85,112.95,8285600
2017-07-07,113.54,113.78,108.73,110.15,4064800
2017-07-14,110.39,114.2,109.03,112.43,5575600
2017-07-21,112.14,113.46,111.48,112.46,5232100
2017-07-28,112.5,114.89,111.89,113.18,5023400
2017-08-04,113.0,118.24,112.7,115.2,6784500
2017-08-11,115.2,115.37,110.67,111.82,4909700
2017-08-18,112.54,116.87,112.3,114.86,4352000
2017-08-25,115.0,118.86,114.69,118.14,3907900
2017-09-01,118.29,119.0,116.77,117.71,3948700
2017-09-08,117.74,122.13,117.09,120.63,4723000
2017-09-15,121.77,127.23,117.0,117.59,22037600
2017-09-22,117.72,118.03,113.9,114.51,9883500
2017-09-29,114.51,118.6,112.14,118.33,8135500
2017-10-06,118.66,119.3,115.07,118.22,6813200
2017-10-13,118.21,123.18,118.11,121.78,4862500
2017-10-20,121.51,124.16,121.17,123.39,4921000
2017-10-27,122.16,123.58,114.51,116.55,8865000
2017-11-03,116.55,119.65,116.46,119.06,5044300
2017-11-10,119.67,123.99,119.67,120.85,5299200
2017-11-17,121.21,123.84,117.84,118.11,4933600
2017-11-24,118.1,118.68,116.56,117.54,3174800
2017-12-01,117.87,118.94,115.9,118.81,8786400
2017-12-08,118.69,118.8,110.09,114.81,7602000
2017-12-15,114.71,116.17,113.48,114.46,6177100
2017-12-22,115.01,115.26,109.19,110.98,6240700
2017-12-29,111.06,114.71,110.39,113.9,3269600
2018-01-05,114.04,115.08,111.98,113.0,5222600
2018-01-12,113.0,114.7,104.72,105.78,7054600
2018-01-19,106.51,109.73,104.52,107.3,7561800
2018-01-26,107.39,112.05,107.11,111.65,6565300
2018-02-02,112.43,112.43,105.4,107.71,8769600
2018-02-09,107.25,108.91,98.28,102.21,9519000
2018-02-16,102.81,105.78,100.0,102.2,10380400
2018-02-23,101.41,102.77,97.04,102.2,8441900
2018-03-02,102.49,102.93,96.56,98.22,7978000
2018-03-09,97.54,104.17,97.47,103.14,6331700
2018-03-16,103.67,106.61,103.53,106.37,7042900
2018-03-23,106.31,106.37,102.01,102.3,6458200
2018-03-30,103.03,105.86,101.02,105.38,4167500
2018-04-06,105.56,106.06,101.73,104.3,4058800
2018-04-13,104.39,105.99,100.5,102.44,5169400
2018-04-20,102.83,105.76,102.03,102.32,3399800
2018-04-27,102.27,108.4,100.77,107.8,5619300
2018-05-04,107.92,108.39,103.67,106.39,6290300
2018-05-11,106.32,109.78,103.74,108.79,6452100
2018-05-18,108.48,109.26,104.49,105.24,7170500
2018-05-25,105.6,107.35,104.88,106.56,4172500
2018-06-01,106.46,108.75,105.64,108.51,3985300
2018-06-08,108.96,109.94,106.85,109.57,5182700
2018-06-15,109.3,110.13,105.1,106.23,8020600
2018-06-22,105.81,108.43,105.13,107.89,5409500
2018-06-29,108.17,112.07,107.45,111.58,5745800
2018-07-06,111.81,116.0,110.8,115.3,4790200
2018-07-13,115.41,117.43,113.56,116.24,5047800
2018-07-20,116.22,117.3,114.34,116.0,5706500
2018-07-27,115.96,122.53,114.84,121.11,7616500
2018-08-03,121.14,122.99,118.82,122.58,6251400
2018-08-10,122.55,123.13,120.62,120.96,4574900
2018-08-17,121.0,124.11,120.64,124.03,3698500
2018-08-24,124.0,124.72,121.2,123.64,3477300
2018-08-31,124.04,125.1,122.65,124.28,3134800
2018-09-07,124.15,125.0,122.4,122.65,3386500
2018-09-14,123.35,124.16,121.06,121.89,4628800
2018-09-21,121.72,123.16,120.82,120.92,5592200
2018-09-28,119.51,119.51,111.32,112.48,17158700
2018-10-05,112.57,112.9,107.23,109.79,6808900
2018-10-12,109.65,112.52,106.34,107.43,8770800
2018-10-19,107.04,112.91,107.04,112.58,6888400
2018-10-26,113.2,117.03,105.57,106.01,11820900
2018-11-02,106.47,108.02,102.28,107.53,12690800
2018-11-09,107.9,112.48,107.9,110.62,6579000
2018-11-16,110.52,113.22,109.7,111.41,7065800
2018-11-23,111.49,113.34,107.07,109.38,4559700
2018-11-30,109.93,115.13,109.65,115.04,6167000
2018-12-07,115.5,117.44,110.78,115.72,4562300
2018-12-14,116.49,117.87,112.74,114.32,5603800
2018-12-21,114.59,114.59,105.23,106.1,8293000
2018-12-28,105.76,107.34,100.57,106.07,6432100
2019-01-04,106.51,106.91,102.45,104.81,5422600
2019-01-11,105.16,107.75,100.05,106.64,9518700
2019-01-18,106.28,108.27,105.22,107.25,5376000
2019-01-25,106.89,107.26,102.6,104.17,6633800
2019-02-01,103.88,109.43,103.03,108.56,6987400
2019-02-08,108.41,112.46,106.89,112.32,10425700
2019-02-15,112.04,115.11,110.26,115.03,7318700
2019-02-22,115.0,118.98,114.26,118.49,7712900
2019-03-01,118.67,118.82,112.01,114.65,9581800
2019-03-08,115.16,115.24,111.3,111.99,7045500
2019-03-15,112.55,116.8,112.4,115.23,5934300
2019-03-22,115.37,120.93,114.91,119.12,4268700
2019-03-29,118.61,119.99,117.56,119.0,5053900
2019-04-05,119.21,122.75,117.97,122.41,4148100
2019-04-12,122.28,122.76,120.32,122.73,4709200
2019-04-19,122.88,123.02,117.56,120.45,3060300
2019-04-26,120.01,120.41,113.62,116.79,7607500
2019-05-03,116.49,121.01,115.82,120.7,7280200
2019-05-10,120.11,120.42,115.79,117.58,5022900
2019-05-17,116.59,118.81,116.13,117.98,4146800
2019-05-24,117.65,120.72,115.67,119.98,4260400
2019-05-31,120.49,121.0,116.89,117.72,3545000
2019-06-07,118.15,120.43,111.9,116.0,8074500
2019-06-14,116.54,120.11,115.49,119.76,5999700
2019-06-21,120.11,125.19,120.11,123.15,6063200
2019-06-28,123.36,124.02,116.95,117.79,5343800
2019-07-05,118.94,121.44,115.85,121.04,2707100
2019-07-12,120.68,122.36,119.64,120.07,4593800
2019-07-19,120.08,120.7,117.5,117.73,3610400
2019-07-26,117.81,118.19,110.89,111.53,5784400
2019-08-02,112.1,117.93,110.84,117.21,7171300
2019-08-09,116.61,120.56,114.18,120.3,5009400
2019-08-16,120.2,124.44,117.95,123.67,5159300
2019-08-23,124.41,125.0,120.27,120.72,3313600
2019-08-30,121.36,124.44,120.26,123.63,3726900
2019-09-06,123.34,128.68,122.79,128.62,4829100
2019-09-13,128.62,129.57,124.0,124.32,8867500
2019-09-20,124.1,129.0,123.78,125.03,9627800
2019-09-27,124.72,129.5,124.72,128.85,8037100
2019-10-04,128.87,130.67,126.16,130.27,7030400
2019-10-11,129.67,131.15,127.63,129.31,6373900
2019-10-18,129.69,133.08,128.59,132.98,4174900
2019-10-25,132.89,136.32,132.39,132.82,4440200
2019-11-01,132.94,134.25,123.25,126.8,15700900
2019-11-08,126.76,126.92,116.18,116.57,10125100
2019-11-15,116.56,118.92,115.75,118.87,10808600
2019-11-22,118.98,122.2,118.87,119.6,8532400
2019-11-29,120.33,121.56,117.81,120.95,6247800
2019-12-06,120.92,120.99,116.73,118.37,8067200
2019-12-13,118.37,119.27,112.32,113.71,9459100
2019-12-20,114.0,120.92,113.25,118.02,9284400
2019-12-27,118.28,118.8,116.26,118.18,2911600
2020-01-03,117.93,120.36,117.08,119.94,3765300
2020-01-10,119.47,120.67,116.76,120.37,7740100
2020-01-17,120.61,124.78,119.76,124.44,9511100
2020-01-24,124.43,129.16,123.8,128.26,6109600
2020-01-31,127.52,130.44,122.4,122.99,8618700
2020-02-07,123.37,125.48,122.72,123.28,6417400
2020-02-14,123.79,131.83,123.1,131.5,10949800
2020-02-21,131.54,138.46,131.17,138.13,12704800
2020-02-28,136.98,137.23,115.4,120.11,18897100
2020-03-06,120.9,135.03,120.61,128.24,19438300
2020-03-13,120.49,143.61,119.0,143.34,63268900
2020-03-20,132.42,139.75,119.01,121.2,32122900
2020-03-27,120.48,135.94,105.0,132.85,19899600
2020-04-03,134.58,140.98,127.12,136.49,15462200
2020-04-10,141.15,152.59,138.96,148.29,9922200
2020-04-17,146.85,149.74,138.85,149.2,16194000
2020-04-24,147.48,151.65,140.89,150.03,10095600
2020-05-01,151.93,158.36,145.5,145.92,9641200
2020-05-08,146.44,153.18,143.0,145.06,7228700
2020-05-15,143.63,146.22,129.2,130.77,14154300
2020-05-22,134.39,135.98,129.81,135.81,10619500
2020-05-29,139.42,146.21,134.79,143.56,8122200
2020-06-05,143.95,144.94,134.02,141.28,11562000
2020-06-12,141.42,143.49,132.81,136.0,11592100
2020-06-19,133.66,146.86,133.13,139.85,21894400
2020-06-26,139.73,146.07,136.5,140.59,14390200
2020-07-03,142.72,149.8,139.15,148.59,5588900
2020-07-10,150.0,150.49,144.91,147.39,6387600
2020-07-17,147.85,149.01,139.94,143.75,6981200
2020-07-24,143.79,147.24,142.38,146.99,5568300
2020-07-31,146.43,165.49,145.44,160.54,11070400
2020-08-07,159.85,161.57,156.22,158.61,5994000
2020-08-14,158.59,159.11,151.45,153.32,6159100
2020-08-21,153.34,157.33,151.12,154.56,4858700
2020-08-28,154.25,155.81,150.31,154.29,4891800
2020-09-04,154.91,157.0,142.03,145.18,7766800
2020-09-11,144.6,149.76,140.34,145.6,6602300
2020-09-18,145.01,152.98,143.22,144.88,10216700
2020-09-25,144.32,144.97,138.71,142.02,8315400
2020-10-02,144.18,149.78,143.84,149.35,7297400
2020-10-09,149.07,158.7,147.14,158.34,6205800
2020-10-16,158.27,159.58,155.0,157.7,5860500
2020-10-23,158.16,158.7,150.25,152.6,4718600
2020-10-30,151.76,153.56,140.91,144.3,5585500
2020-11-06,146.26,151.4,145.0,146.68,9111200
2020-11-13,149.87,150.83,134.42,144.65,11450000
2020-11-20,145.0,145.15,140.39,142.7,7506800
2020-11-27,142.65,143.97,131.91,136.73,8764200
2020-12-04,137.0,137.75,132.08,135.47,9381000
2020-12-11,135.23,137.56,128.0,130.27,10606900
2020-12-18,129.16,134.95,126.79,134.02,13578100
2020-12-25,131.98,139.96,131.28,137.43,6508400
2021-01-01,137.72,139.78,137.0,139.51,4201600
2021-01-08,139.99,139.99,130.06,133.6,9824500
2021-01-15,133.18,136.65,129.57,136.48,8143800
2021-01-22,139.2,142.04,137.08,140.46,6005300
2021-01-29,141.04,149.69,140.61,143.95,12146200
2021-02-05,144.4,150.43,142.86,145.56,8672300
2021-02-12,145.02,149.96,138.35,140.06,6526900
2021-02-19,140.83,140.86,135.8,136.45,6191200
2021-02-26,135.55,138.85,133.17,134.73,8776100
2021-03-05,135.59,137.02,124.65,132.0,11511500
2021-03-12,131.97,137.45,130.03,134.19,10107200
2021-03-19,134.58,137.59,132.26,133.51,9438200
2021-03-26,133.84,143.1,133.51,142.91,8847900
2021-04-02,142.95,145.05,138.7,143.25,5528100
2021-04-09,143.54,145.87,140.32,141.26,7157000
2021-04-16,141.49,147.78,140.29,145.96,5246200
2021-04-23,146.2,152.3,145.4,149.04,5354600
2021-04-30,149.51,154.56,145.27,154.31,8073200
2021-05-07,153.42,154.13,148.2,151.18,7056500
2021-05-14,151.88,152.51,146.12,148.88,5570300
2021-05-21,149.02,153.14,146.76,150.9,3929500
2021-05-28,151.6,153.37,149.58,151.56,4355800
2021-06-04,152.18,156.58,151.56,155.18,5065400
2021-06-11,156.06,164.04,155.5,162.2,6957300
2021-06-18,161.14,162.44,154.07,154.2,10923300
2021-06-25,154.57,156.62,149.7,152.21,7307700
2021-07-02,152.69,153.89,149.66,150.27,6073200
2021-07-09,150.27,155.82,149.88,155.76,5398700
2021-07-16,156.23,158.76,154.99,157.32,3892300
2021-07-23,157.52,158.58,152.73,154.86,4982100
2021-07-30,154.27,157.69,149.8,154.16,5987100
2021-08-06,154.35,157.95,153.0,157.08,4630500
2021-08-13,156.72,159.18,154.24,159.1,4470700
2021-08-20,158.89,164.25,158.19,162.77,5243800
2021-08-27,162.18,163.39,157.08,160.11,5105300
2021-09-03,160.1,168.3,159.34,167.6,5980600
2021-09-10,166.93,168.3,155.19,155.37,10283800
2021-09-17,156.06,157.99,153.24,156.8,7960600
2021-09-24,156.21,160.09,152.11,152.72,7630200
2021-10-01,151.93,152.89,143.01,145.06,7237000
2021-10-08,144.52,146.77,140.26,140.66,6410900
2021-10-15,140.27,149.99,139.31,147.54,6930600
2021-10-22,146.87,157.1,146.11,156.89,6763900
2021-10-29,156.91,161.99,155.13,157.81,5992700
2021-11-05,157.49,159.67,154.4,155.47,4796100
2021-11-12,155.75,159.51,151.86,156.32,4755700
2021-11-19,158.0,166.5,158.0,165.58,7260200
2021-11-26,164.5,168.54,162.78,164.76,4425500
2021-12-03,165.89,169.97,162.71,165.28,8611300
2021-12-10,165.82,168.5,164.05,167.1,5712800
2021-12-17,167.05,174.64,165.39,171.54,8094800
2021-12-24,170.28,173.37,168.81,169.81,4465000
2021-12-31,170.93,178.22,169.78,176.87,4395600
2022-01-07,176.86,177.15,157.62,161.06,6977900
2022-01-14,158.58,161.0,153.26,155.88,5449500
2022-01-21,154.55,158.0,153.44,154.95,5744900
2022-01-28,154.17,154.46,143.8,148.88,8457800
2022-02-04,149.05,150.33,144.57,145.16,9525400
2022-02-11,145.29,147.47,135.82,136.29,10007600
2022-02-18,136.53,139.1,131.12,135.2,13431300
