Date,Open,High,Low,Close,Volume
2015-03-27,83.74,84.0,80.29,81.72,9019000
2015-04-03,82.0,82.49,80.25,81.12,9612900
2015-04-10,80.36,84.0,80.16,82.87,10584700
2015-04-17,82.84,83.25,78.7,79.14,9812300
2015-04-24,79.79,81.38,78.75,81.14,8148800
2015-05-01,81.89,81.89,76.14,77.73,11512700
2015-05-08,77.73,79.75,76.1,79.18,9524000
2015-05-15,79.05,79.68,76.82,78.37,9930600
2015-05-22,78.43,80.22,74.51,77.18,19910900
2015-05-29,77.14,77.52,74.86,74.99,8406100
2015-06-05,74.65,79.86,74.65,77.64,13806300
2015-06-12,77.5,79.44,76.27,78.77,7856000
2015-06-19,78.13,81.13,77.37,79.56,8801400
2015-06-26,80.08,81.71,79.95,81.66,7898900
2015-07-03,80.98,81.8,78.28,79.81,8741800
2015-07-10,79.4,80.76,78.5,80.47,15115900
2015-07-17,81.15,82.68,80.9,81.67,8303500
2015-07-24,81.27,82.12,77.81,78.53,11410100
2015-07-31,78.37,78.57,76.4,78.03,9761700
2015-08-07,78.05,79.26,76.11,77.26,8253900
2015-08-14,78.0,78.41,75.86,77.78,7478200
2015-08-21,77.7,81.17,76.32,76.35,11836200
2015-08-28,71.89,77.44,69.63,76.73,17638400
2015-09-04,76.41,76.75,66.03,68.09,40468400
2015-09-11,69.32,69.8,65.59,66.46,18388200
2015-09-18,66.12,68.73,64.95,66.65,17885800
2015-09-25,65.79,70.46,65.79,70.11,19626900
2015-10-02,69.58,69.96,64.73,66.95,18628400
2015-10-09,67.4,68.34,61.23,63.36,27538000
2015-10-16,63.28,64.19,60.31,63.46,17205400
2015-10-23,62.7,65.5,61.75,62.53,13735500
2015-10-30,62.58,65.77,62.58,65.49,11350300
2015-11-06,65.65,69.23,64.45,67.97,12249900
2015-11-13,67.71,68.29,61.97,62.21,17440200
2015-11-20,62.53,69.22,61.33,68.42,15629300
2015-11-27,68.92,76.0,68.11,75.08,21339800
2015-12-04,75.2,77.9,73.71,77.24,18362000
2015-12-11,77.34,80.04,75.83,76.45,16702100
2015-12-18,76.67,79.17,74.66,76.09,14249000
2015-12-25,76.1,78.63,75.1,76.68,7472700
2016-01-01,76.58,78.6,76.16,77.22,4887900
2016-01-08,76.84,81.44,76.09,77.79,20318000
2016-01-15,78.22,78.83,73.56,75.3,15051000
2016-01-22,76.46,78.75,73.74,77.26,9365500
2016-01-29,77.3,81.97,76.13,81.32,11846200
2016-02-05,81.21,82.76,75.14,76.56,16273900
2016-02-12,78.62,78.99,72.52,75.23,13437800
2016-02-19,79.81,81.46,76.25,79.44,13096600
2016-02-26,80.49,82.68,79.85,81.63,13745200
2016-03-04,81.42,82.81,76.47,78.39,25610700
2016-03-11,77.73,80.73,75.24,80.02,14176100
2016-03-18,79.62,82.08,79.16,80.02,10273800
2016-03-25,79.95,80.83,78.22,78.52,5712600
2016-04-01,78.52,83.72,78.52,83.31,10504800
2016-04-08,83.47,83.68,79.42,79.66,10416600
2016-04-15,79.53,81.88,77.64,81.75,7121500
2016-04-22,81.67,83.69,79.46,80.95,7714000
2016-04-29,80.93,82.31,78.26,79.71,7710400
2016-05-06,80.06,81.5,79.11,81.19,6668200
2016-05-13,81.49,82.44,77.42,77.63,10191800
2016-05-20,77.78,80.39,73.02,76.89,16034200
2016-05-27,77.11,89.59,75.49,88.94,26225400
2016-06-03,89.39,91.91,88.71,91.08,12606000
2016-06-10,91.48,92.17,90.19,91.34,6761800
2016-06-17,91.2,91.97,89.28,91.58,9740600
2016-06-24,92.33,93.33,90.23,91.89,10453700
