Date,Open,High,Low,Close,Volume
2018-04-27,38.0,40.89,37.0,39.73,16392400
2018-05-04,39.9,42.66,37.53,41.09,9396100
2018-05-11,41.65,46.7,40.5,44.37,4859900
2018-05-18,44.99,46.4,43.37,44.78,2444100
2018-05-25,45.5,48.9,41.72,46.37,4682000
2018-06-01,46.67,51.2,45.85,50.12,3193800
2018-06-08,51.0,60.45,50.54,57.92,15339000
2018-06-15,58.3,65.82,58.2,63.95,12183100
2018-06-22,63.51,66.8,55.0,57.55,14974600
2018-06-29,55.58,57.2,50.34,52.95,10664600
2018-07-06,52.46,55.96,50.5,54.95,6004800
2018-07-13,55.28,56.49,51.5,55.33,7021400
2018-07-20,55.25,57.28,51.71,52.21,5103400
2018-07-27,51.97,57.5,51.75,54.82,6519500
2018-08-03,54.92,59.6,50.06,57.01,6433200
2018-08-10,57.16,62.15,57.12,58.2,5076800
2018-08-17,58.1,59.4,55.3,58.68,3563800
2018-08-24,58.91,67.21,57.9,65.54,6059200
2018-08-31,66.99,68.35,62.19,62.44,7663500
2018-09-07,62.8,65.87,56.26,56.94,12622000
2018-09-14,58.0,58.24,52.83,53.79,16223600
2018-09-21,53.85,54.89,51.12,52.54,9426200
2018-09-28,52.1,54.02,51.4,52.57,8437600
2018-10-05,52.98,53.0,43.52,45.27,15516200
2018-10-12,44.63,45.0,38.28,44.64,14022900
2018-10-19,44.44,48.3,41.6,42.01,9363400
2018-10-26,42.72,43.7,38.55,41.18,13135100
2018-11-02,42.28,43.36,39.05,42.82,9314000
2018-11-09,42.63,45.15,40.9,44.43,8271300
2018-11-16,44.45,44.45,38.3,39.0,8976700
2018-11-23,38.85,41.36,35.06,40.82,8245500
2018-11-30,41.33,42.51,39.84,41.76,6571400
2018-12-07,42.72,43.22,38.75,39.66,12323500
2018-12-14,38.76,43.32,38.76,42.89,18630000
2018-12-21,42.51,43.35,37.27,37.99,26668000
2018-12-28,37.29,41.05,36.25,40.5,6979900
2019-01-04,40.6,41.42,38.8,40.9,6769700
2019-01-11,40.04,44.6,39.5,43.48,16764700
2019-01-18,43.13,47.21,42.22,47.0,13643800
2019-01-25,46.45,48.6,44.54,48.57,6729400
2019-02-01,47.94,50.03,47.54,49.96,11170100
2019-02-08,49.99,52.6,49.55,51.77,9838100
2019-02-15,51.51,54.08,50.4,53.63,11187600
2019-02-22,53.78,54.88,53.4,53.99,5732200
2019-03-01,54.5,56.69,54.09,56.29,12403300
2019-03-08,56.77,56.89,53.81,55.99,9068000
2019-03-15,56.32,59.62,56.11,56.47,19345300
2019-03-22,56.95,57.78,53.13,53.34,16436400
2019-03-29,53.01,54.34,51.14,51.84,8541900
2019-04-05,52.45,54.72,51.63,53.84,8783000
2019-04-12,53.67,56.86,53.03,55.25,9956500
2019-04-19,55.36,56.65,50.92,52.79,7758100
2019-04-26,52.74,57.95,52.5,57.26,7696000
2019-05-03,57.61,58.37,54.04,56.46,8368100
2019-05-10,54.92,56.72,50.95,53.05,8009100
2019-05-17,51.42,55.32,50.02,53.59,7654700
2019-05-24,52.77,55.28,51.9,54.1,6488800
2019-05-31,54.25,56.42,52.78,56.06,11400200
2019-06-07,56.0,56.1,45.67,48.16,35111600
2019-06-14,49.63,51.0,47.32,50.78,17329400
2019-06-21,50.9,54.96,50.8,52.83,13702900
2019-06-28,52.95,53.38,49.23,49.71,15422600
2019-07-05,50.53,52.2,49.52,52.16,6307100
2019-07-12,52.0,53.9,51.27,53.2,9243600
2019-07-19,53.5,54.3,52.16,52.42,7575700
2019-07-26,52.68,54.78,52.02,54.68,9273200
2019-08-02,54.66,54.69,48.25,48.8,8182000
2019-08-09,47.0,47.33,43.25,45.33,15158600
2019-08-16,44.88,45.92,43.13,44.81,8139600
2019-08-23,45.61,45.99,43.74,43.98,7805900
2019-08-30,44.63,46.98,43.91,46.69,6718700
2019-09-06,46.57,57.3,45.52,56.27,37374200
2019-09-13,56.0,64.18,55.55,62.49,31236500
2019-09-20,61.05,65.07,59.99,64.8,23775400
2019-09-27,64.51,64.78,60.13,60.64,15410500
2019-10-04,60.62,63.38,59.58,62.4,15796600
2019-10-11,62.57,68.11,62.08,66.53,18141900
2019-10-18,66.73,68.17,61.68,64.52,10886400
2019-10-25,64.91,66.37,62.06,65.4,9310200
2019-11-01,65.67,68.0,64.97,66.88,6477600
2019-11-08,68.0,69.89,64.25,66.73,9810000
2019-11-15,66.65,68.6,66.36,67.78,5853800
2019-11-22,67.48,71.5,65.83,71.12,11861700
2019-11-29,71.63,73.22,70.73,71.21,6589900
2019-12-06,72.44,75.85,66.97,75.57,19830300
