Date,Open,High,Low,Close,Volume
2015-04-03,56.72,57.05,55.36,56.28,6456046
2015-04-10,55.99,58.26,55.79,56.06,13404320
2015-04-17,56.06,59.96,55.78,58.26,11035162
2015-04-24,58.52,60.44,57.38,59.64,11235469
2015-05-01,59.78,62.55,59.52,60.83,14791625
2015-05-08,60.85,62.08,59.96,60.68,9729195
2015-05-15,60.78,62.36,60.28,61.35,6921658
2015-05-22,61.29,63.17,60.2,62.82,9384040
2015-05-29,62.42,62.78,60.71,60.9,7428743
2015-06-05,61.28,62.12,59.08,59.6,10031266
2015-06-12,59.31,59.75,58.26,59.07,9358042
2015-06-19,58.48,59.71,57.57,58.59,8242356
2015-06-26,58.86,58.89,57.13,57.49,7126547
2015-07-03,56.72,57.68,56.37,56.53,6374091
2015-07-10,55.87,56.77,52.25,52.73,11944595
2015-07-17,53.05,54.14,52.6,53.61,11815719
2015-07-24,53.55,53.85,51.62,51.78,11754438
2015-07-31,51.37,52.96,51.03,51.75,11561187
2015-08-07,51.42,52.46,50.58,51.58,10311922
2015-08-14,52.01,53.54,51.29,51.66,7117139
2015-08-21,51.54,52.29,48.27,48.28,7820569
2015-08-28,45.65,49.11,44.83,48.76,11904732
2015-09-04,49.0,50.4,46.83,47.38,11552644
2015-09-11,48.74,50.54,48.4,48.92,7513422
2015-09-18,48.75,50.49,48.21,49.16,12497610
2015-09-25,49.27,49.52,45.44,46.91,8891192
2015-10-02,46.43,46.87,44.98,46.83,10435226
2015-10-09,47.22,51.9,46.87,49.68,12489191
2015-10-16,49.81,50.05,46.71,47.34,9420560
2015-10-23,46.98,52.74,46.44,52.05,18841864
2015-10-30,52.05,52.34,50.11,52.04,9398277
2015-11-06,51.98,53.73,51.15,52.09,7426885
2015-11-13,51.97,52.52,50.44,50.97,10108517
2015-11-20,50.94,53.45,50.82,52.84,6038220
2015-11-27,52.69,53.45,52.19,52.58,5505262
2015-12-04,52.67,54.02,51.72,52.3,12827289
2015-12-11,51.73,52.12,49.77,49.87,10236774
2015-12-18,49.94,50.74,47.21,47.25,12532647
2015-12-25,47.52,50.67,47.28,50.4,6307115
2016-01-01,50.24,51.17,49.28,49.52,5751624
2016-01-08,48.56,49.98,46.55,46.72,9988679
2016-01-15,46.85,47.08,42.57,42.73,18052887
2016-01-22,43.21,44.1,41.12,43.05,9522201
2016-01-29,42.96,47.25,42.4,47.21,16025786
2016-02-05,46.18,49.5,45.06,48.42,13847896
2016-02-12,47.78,48.34,44.67,47.81,11582233
2016-02-19,48.34,50.34,47.46,48.97,8394506
2016-02-26,49.66,50.13,46.97,49.36,9608613
2016-03-04,49.49,51.57,49.05,51.05,9302332
2016-03-11,50.85,52.8,48.76,50.71,10723928
2016-03-18,50.4,53.79,47.58,53.33,12448957
2016-03-25,52.68,53.73,51.41,52.19,5368710
2016-04-01,52.21,52.91,50.52,51.81,6002691
2016-04-08,51.74,52.16,49.79,50.82,7935455
2016-04-15,51.03,54.05,50.98,53.3,7759041
2016-04-22,52.77,55.22,52.5,54.4,8350930
2016-04-29,54.59,55.04,52.71,53.07,9786389
2016-05-06,52.7,53.28,50.96,51.63,6930449
2016-05-13,51.28,53.96,50.8,52.45,7859566
2016-05-20,52.71,54.2,51.2,52.22,8538733
2016-05-27,52.07,54.42,51.71,53.91,5291212
2016-06-03,53.96,54.39,53.18,53.93,4979112
2016-06-10,54.31,58.45,54.05,57.08,11234726
2016-06-17,56.81,57.39,55.14,56.76,8948511
2016-06-24,57.48,58.18,54.35,54.49,6540973
2016-07-01,53.86,56.57,51.64,55.86,8967081
2016-07-08,55.23,56.92,53.55,56.82,11973194
2016-07-15,57.21,59.36,56.95,59.05,6686686
2016-07-22,58.97,59.43,56.74,57.57,9487785
2016-07-29,57.35,59.14,56.78,57.7,9154020
2016-08-05,57.43,58.56,55.38,58.56,8539599
2016-08-12,58.85,60.31,58.63,59.51,6191858
2016-08-19,59.72,60.37,59.21,60.08,4851226
2016-08-26,59.65,60.5,59.1,59.39,4456305
2016-09-02,59.21,59.68,57.92,58.76,4783632
2016-09-09,58.84,59.05,55.78,55.78,6024975
2016-09-16,55.4,56.72,54.2,54.88,8802056
2016-09-23,55.57,57.89,55.15,56.2,6300677
2016-09-30,55.99,59.76,55.21,59.48,8677390
2016-10-07,59.18,60.02,57.91,58.35,6784982
2016-10-14,55.08,56.84,53.2,54.75,16223000
2016-10-21,54.81,57.24,54.18,55.44,10131916
2016-10-28,55.9,56.09,54.51,54.74,8203483
2016-11-04,55.06,55.17,52.91,52.93,14680203
2016-11-11,53.97,58.34,53.47,57.3,16552308
2016-11-18,57.84,58.0,56.14,56.67,7247376
2016-11-25,57.08,58.95,57.0,58.38,5935467
2016-12-02,58.03,61.98,55.01,60.09,12691480
2016-12-09,60.58,62.18,59.46,62.05,9312484
2016-12-16,62.23,63.22,60.59,61.05,6819771
