Date,Open,High,Low,Close,Volume
2019-03-22,52.75,53.5,48.16,48.6,4960200
2019-03-29,48.6,52.48,48.0,51.63,5088600
2019-04-05,52.3,60.52,51.25,57.24,82453800
2019-04-12,56.5,58.39,54.83,58.3,45654200
2019-04-19,58.57,59.05,57.29,57.77,24008400
2019-04-26,57.48,58.41,54.82,55.25,25790500
2019-05-03,55.05,57.48,51.72,53.3,41368100
2019-05-10,52.15,54.03,51.55,53.07,28148800
2019-05-17,52.28,53.55,50.66,50.8,19476800
2019-05-24,50.4,51.19,48.21,49.2,20994000
2019-05-31,49.37,49.43,46.75,46.76,17313400
2019-06-07,46.85,51.69,46.85,51.3,30980700
2019-06-14,51.72,52.95,51.0,51.15,21781700
2019-06-21,50.06,50.57,48.31,48.36,29912300
2019-06-28,48.51,51.22,48.32,49.31,24456500
2019-07-05,50.0,50.2,48.76,49.31,14376700
2019-07-12,49.34,50.04,47.18,49.71,22941200
2019-07-19,49.77,52.65,49.66,51.52,22194300
2019-07-26,51.5,52.99,48.92,49.11,20039600
2019-08-02,48.52,49.43,45.37,45.6,24752200
2019-08-09,45.06,46.99,43.74,46.64,23381600
2019-08-16,46.39,47.76,42.77,44.51,24157800
2019-08-23,45.36,45.86,40.44,40.71,26755000
2019-08-30,41.27,43.0,40.61,42.63,19485600
2019-09-06,42.14,43.97,41.15,43.24,13254000
2019-09-13,43.53,48.44,43.26,48.2,20674300
2019-09-20,48.69,49.98,47.02,48.21,24359400
2019-09-27,47.39,48.22,45.95,47.07,19227400
2019-10-04,47.26,48.57,44.36,45.34,18044800
2019-10-11,45.08,47.72,43.83,47.13,16809100
2019-10-18,46.72,48.54,46.24,47.96,15522200
2019-10-25,48.59,50.76,46.02,50.48,24224400
2019-11-01,50.75,52.49,49.71,52.31,18519400
2019-11-08,52.65,55.99,52.46,55.99,26108000
2019-11-15,55.55,56.25,53.15,54.86,15814100
2019-11-22,54.75,54.91,52.1,54.2,21776300
2019-11-29,54.82,55.75,53.12,53.37,15531100
2019-12-06,53.0,53.75,51.05,53.22,16602400
2019-12-13,53.96,54.82,52.69,53.28,14321100
2019-12-20,53.61,55.25,53.51,54.61,24197100
2019-12-27,54.49,55.55,54.22,54.83,7202900
2020-01-03,54.86,55.54,52.41,52.42,14238500
2020-01-10,52.32,53.17,51.4,51.5,18990700
2020-01-17,51.5,53.36,51.47,53.34,16253800
2020-01-24,52.98,53.15,48.04,48.49,21022500
2020-01-31,47.31,49.95,45.92,46.07,30645800
2020-02-07,46.31,49.74,45.73,48.03,26842400
2020-02-14,47.8,50.37,47.8,48.63,15667500
2020-02-21,48.19,48.81,47.23,48.3,17366200
2020-02-28,46.61,47.04,38.05,40.41,37365200
2020-03-06,41.05,42.74,38.31,38.97,31814800
2020-03-13,34.75,34.94,22.39,25.69,76015100
2020-03-20,23.1,31.35,21.95,27.44,75717100
2020-03-27,27.14,32.42,26.01,28.56,57975900
2020-04-03,28.31,30.08,26.92,27.97,43442200
2020-04-10,29.53,37.74,29.5,36.56,40162100
2020-04-17,36.47,37.14,30.65,33.42,35568700
2020-04-24,32.18,33.35,29.62,33.12,32490700
2020-05-01,33.31,38.09,32.81,33.93,37341300
2020-05-08,32.1,34.55,31.76,34.33,25123300
2020-05-15,34.2,35.41,30.9,33.56,26878700
2020-05-22,35.88,38.01,35.37,36.12,25599000
2020-05-29,38.36,40.67,37.72,38.6,23604800
2020-06-05,38.61,45.73,38.18,43.97,25816500
2020-06-12,44.08,45.93,38.95,41.23,29790400
2020-06-19,39.48,44.5,39.29,41.65,26384000
2020-06-26,41.46,42.48,37.68,39.8,28947800
2020-07-03,40.36,42.25,39.76,41.59,20633100
2020-07-10,42.63,42.78,39.17,40.76,20718800
2020-07-17,41.1,44.26,40.5,43.67,20098500
2020-07-24,43.34,44.5,41.88,42.61,22346900
2020-07-31,42.81,44.48,40.59,41.06,22896700
2020-08-07,41.22,42.67,39.9,42.63,20690300
2020-08-14,42.81,46.07,42.81,44.87,15962400
2020-08-21,45.1,45.44,43.25,43.59,14993400
2020-08-28,44.3,46.95,44.02,46.05,20200700
2020-09-04,45.99,49.8,44.47,48.6,28703800
2020-09-11,47.69,50.42,47.44,49.85,18885900
2020-09-18,50.07,51.56,48.85,50.37,27458900
2020-09-25,49.04,49.33,45.63,46.04,23407600
2020-10-02,46.5,48.28,45.13,47.31,19339700
2020-10-09,47.9,50.09,47.7,49.36,20329300
2020-10-16,49.4,49.99,47.42,49.3,20707500
2020-10-23,49.33,50.33,47.15,48.53,17867000
2020-10-30,47.94,48.14,44.33,45.49,23790700
2020-11-06,46.25,49.82,45.88,48.23,18826100
2020-11-13,51.59,54.18,50.2,51.97,26426000
2020-11-20,53.55,56.28,52.14,54.73,21159800
2020-11-27,55.28,58.18,55.01,55.4,16009400
2020-12-04,54.89,55.1,52.69,55.05,23320600
2020-12-11,54.93,55.75,52.8,54.0,16060100
2020-12-18,54.6,55.75,53.03,55.66,21165200
2020-12-25,54.05,55.77,53.73,54.79,10053400
2021-01-01,55.27,56.1,53.85,55.5,12343700
2021-01-08,55.82,59.77,53.65,58.21,22675100
2021-01-15,57.7,61.31,57.13,57.31,23198900
2021-01-22,57.76,58.77,56.33,57.5,14707200
2021-01-29,56.86,58.25,51.76,51.9,27738600
2021-02-05,52.39,57.83,51.33,57.24,21386700
2021-02-12,57.75,58.38,56.37,58.15,14507300
