Date,Open,High,Low,Close,Volume
2015-02-27,102.53,106.46,101.35,101.53,4232200
2015-03-06,101.91,104.56,100.68,100.87,2072900
2015-03-13,100.82,101.95,98.0,99.72,2087200
2015-03-20,100.41,105.0,100.0,104.63,1980100
2015-03-27,104.64,104.83,99.68,101.05,1393000
2015-04-03,101.74,102.74,99.21,100.99,1156500
2015-04-10,100.18,101.54,98.65,100.5,2434700
2015-04-17,100.22,101.0,98.01,99.24,2254000
2015-04-24,100.0,114.0,98.6,113.96,4759800
2015-05-01,113.73,113.82,107.47,108.34,2580700
2015-05-08,108.8,109.98,105.25,109.13,1958800
2015-05-15,109.1,110.51,107.51,110.34,1642200
2015-05-22,110.25,111.42,108.94,109.03,1081100
2015-05-29,108.8,109.99,107.44,108.66,1517000
2015-06-05,109.58,110.18,108.05,110.0,2744400
2015-06-12,109.7,113.09,108.79,112.29,1591900
2015-06-19,111.16,113.2,109.9,111.91,1260700
2015-06-26,112.79,115.24,111.17,114.9,2403900
2015-07-03,112.15,115.43,111.85,113.88,1969400
2015-07-10,113.01,116.25,112.1,115.92,2227000
2015-07-17,117.31,119.73,109.57,110.04,5340300
2015-07-24,109.97,113.23,109.97,110.96,2904500
2015-07-31,110.72,114.91,110.56,113.84,1921300
2015-08-07,113.84,116.27,110.8,113.43,1988800
2015-08-14,113.73,114.5,109.58,114.17,1834000
2015-08-21,113.75,115.06,104.45,104.48,2828000
2015-08-28,99.25,108.8,99.0,108.41,2930000
2015-09-04,107.75,108.27,103.33,105.5,2397100
2015-09-11,107.49,111.98,106.68,110.22,1706200
2015-09-18,110.22,113.64,109.13,111.68,2221800
2015-09-25,112.17,114.7,108.91,112.95,1886000
2015-10-02,112.0,112.84,103.5,106.88,4139100
2015-10-09,107.07,109.21,100.56,105.38,7423500
2015-10-16,105.16,107.29,103.51,106.22,3009900
2015-10-23,105.87,107.47,102.37,104.1,2476700
2015-10-30,103.79,110.52,103.66,106.67,3321100
2015-11-06,106.55,109.65,102.86,104.44,2512500
2015-11-13,104.21,105.95,101.38,101.62,2200200
2015-11-20,101.02,105.87,100.59,105.02,2288300
2015-11-27,104.94,109.79,104.94,108.65,1470700
2015-12-04,108.5,110.22,106.9,109.83,2640900
2015-12-11,109.83,110.99,107.71,108.64,3292600
2015-12-18,108.41,110.91,107.25,108.84,3751100
2015-12-25,109.35,110.13,108.03,109.54,2759800
2016-01-01,109.67,112.82,108.36,111.25,3380000
2016-01-08,109.96,110.63,106.73,108.97,4543600
2016-01-15,109.19,110.64,101.01,104.16,5843600
2016-01-22,104.66,111.8,101.3,111.6,4467400
2016-01-29,111.96,113.98,110.29,113.93,3093500
2016-02-05,113.55,114.76,109.99,110.37,3692200
2016-02-12,109.0,110.2,104.1,109.5,4690600
2016-02-19,110.57,114.53,109.58,112.87,3945400
2016-02-26,114.21,135.28,113.42,134.39,11198800
2016-03-04,133.58,135.43,130.51,132.99,7043700
2016-03-11,132.46,136.33,131.49,131.72,4346700
2016-03-18,131.99,132.84,130.16,130.81,3337900
2016-03-25,131.0,131.98,128.42,128.74,2642500
2016-04-01,129.38,134.1,128.53,133.47,3384300
2016-04-08,133.85,137.71,131.2,137.05,3572000
2016-04-15,137.94,139.42,135.3,138.62,2513400
2016-04-22,138.12,140.8,131.73,132.41,3405700
2016-04-29,132.48,134.75,119.02,120.88,8790200
2016-05-06,120.92,121.65,116.91,119.31,5072200
2016-05-13,119.23,123.68,119.23,121.95,3449400
2016-05-20,122.26,123.43,118.82,123.06,3508200
2016-05-27,123.0,123.49,121.11,122.18,4976100
2016-06-03,122.48,123.25,120.35,122.21,5463500
2016-06-10,122.03,127.58,121.8,126.25,3316200
2016-06-17,125.19,127.72,123.84,127.29,2832100
2016-06-24,128.44,128.83,124.48,124.97,3134000
2016-07-01,124.0,132.77,120.97,132.59,4474800
2016-07-08,132.59,137.02,131.86,135.11,2942500
2016-07-15,135.59,136.66,134.22,135.7,3347000
2016-07-22,135.97,148.99,134.78,148.78,7090800
2016-07-29,148.13,149.13,145.42,147.3,3429500
2016-08-05,146.94,148.03,144.64,146.18,2019800
2016-08-12,145.82,146.72,144.29,146.13,1287300
2016-08-19,145.95,148.0,143.47,147.28,2203100
2016-08-26,147.32,151.2,147.15,148.35,2706900
2016-09-02,148.35,151.18,148.0,151.0,2020000
2016-09-09,151.14,151.14,145.65,146.13,1716600
2016-09-16,145.18,152.07,145.0,150.03,3076300
2016-09-23,150.94,155.1,150.67,154.26,2623500
2016-09-30,153.9,154.24,150.91,151.85,2095100
2016-10-07,152.12,153.12,150.0,150.84,1993700
2016-10-14,151.6,153.94,149.67,151.12,3506400
2016-10-21,151.56,166.52,151.23,166.36,8703900
2016-10-28,167.17,168.09,163.8,167.92,2693300
2016-11-04,168.25,169.98,165.47,166.76,2930300
2016-11-11,168.57,171.51,158.06,159.62,4498400
2016-11-18,160.3,164.53,153.58,164.31,3661400
2016-11-25,164.72,172.62,164.72,172.26,1573300
2016-12-02,171.66,171.89,165.46,168.0,2257400
2016-12-09,168.73,169.6,162.36,163.57,3117000
2016-12-16,162.94,164.02,157.97,160.04,3234300
2016-12-23,160.21,163.93,159.9,161.57,1975800
2016-12-30,161.46,162.96,158.94,159.24,1361900
2017-01-06,159.22,164.4,156.26,163.49,2507600
2017-01-13,163.33,172.0,163.09,167.16,3094200
2017-01-20,166.65,168.72,164.32,167.87,1788900
2017-01-27,167.68,172.39,165.67,172.02,2264500
2017-02-03,171.13,177.3,170.06,175.89,4044100
2017-02-10,175.23,187.94,175.04,186.37,4595300
2017-02-17,187.0,187.99,182.88,187.93,2697600
2017-02-24,188.21,189.88,182.06,186.28,3695000
2017-03-03,185.7,192.01,182.26,189.04,5910500
2017-03-10,188.29,190.11,183.75,186.73,3008700
2017-03-17,185.96,187.37,183.03,184.83,3857100
2017-03-24,184.72,186.71,182.2,182.95,4124900
2017-03-31,182.0,186.11,181.23,184.3,2616500
