Date,Open,High,Low,Close,Volume
2015-04-03,61.98,62.79,60.14,60.29,7775479
2015-04-10,60.03,61.99,58.92,61.48,11078867
2015-04-17,61.11,62.07,58.01,58.05,7660700
2015-04-24,58.38,60.06,57.79,59.9,7628147
2015-05-01,59.9,60.03,56.76,57.2,7319947
2015-05-08,57.22,57.94,54.81,57.17,7620987
2015-05-15,57.06,57.79,55.92,57.15,5832755
2015-05-22,57.02,58.46,56.8,57.88,4550956
2015-05-29,57.84,58.78,57.03,58.59,8843941
2015-06-05,58.59,59.03,56.92,57.96,5107283
2015-06-12,57.94,61.18,57.68,60.88,6544245
2015-06-19,60.49,62.05,59.74,61.56,5616511
2015-06-26,62.0,65.61,61.57,65.22,19646493
2015-07-03,64.47,64.82,62.5,62.85,8392662
2015-07-10,62.78,65.14,62.49,64.5,7758922
2015-07-17,64.98,65.25,63.78,64.89,5956035
2015-07-24,64.98,67.58,64.58,65.32,9058844
2015-07-31,65.21,66.62,64.16,65.93,6457323
2015-08-07,66.05,67.48,62.57,64.16,8181899
2015-08-14,64.51,64.95,62.08,64.69,5432598
2015-08-21,64.35,65.37,62.41,62.73,6857255
2015-08-28,59.94,62.94,58.93,61.72,10306635
2015-09-04,61.62,62.26,59.61,61.48,8263789
2015-09-11,62.59,63.48,61.5,62.79,5774695
2015-09-18,62.98,63.81,60.94,62.09,14334601
2015-09-25,62.42,64.46,60.15,63.25,13410337
2015-10-02,63.15,63.2,59.94,61.25,9760040
2015-10-09,61.62,61.65,58.36,59.61,11051235
2015-10-16,59.33,60.02,55.94,58.23,10627700
2015-10-23,58.6,59.18,55.78,57.13,8714509
2015-10-30,57.19,58.01,55.29,55.32,8556661
2015-11-06,55.42,56.22,54.23,55.16,7745497
2015-11-13,54.94,58.65,53.38,54.34,10597053
2015-11-20,54.17,55.32,53.51,55.13,7907100
2015-11-27,55.1,57.28,54.89,57.05,6077700
2015-12-04,56.89,57.61,55.01,57.43,7798600
2015-12-11,57.5,59.74,56.97,57.77,8907400
2015-12-18,57.88,63.04,57.64,62.5,16921300
2015-12-25,62.91,64.9,62.71,64.56,6907200
2016-01-01,64.56,64.88,63.55,63.64,4140000
2016-01-08,62.88,63.89,61.88,62.01,10514900
2016-01-15,62.39,63.18,58.97,60.23,11367000
2016-01-22,61.02,62.23,57.95,61.93,8459900
2016-01-29,62.1,63.98,60.91,63.06,12265400
2016-02-05,62.84,63.88,58.81,58.99,10182500
2016-02-12,58.7,59.81,55.77,58.67,13453200
2016-02-19,58.81,61.86,58.66,61.19,6860300
2016-02-26,61.57,64.36,61.34,63.74,7922100
2016-03-04,63.47,65.0,63.19,64.93,6267400
2016-03-11,64.76,68.26,64.46,67.57,10918400
2016-03-18,67.5,68.15,66.19,67.29,7452200
2016-03-25,67.29,67.5,65.29,65.77,4358700
2016-04-01,66.09,67.36,65.59,67.04,7369200
2016-04-08,67.41,68.62,64.0,64.79,15953700
2016-04-15,65.25,66.39,64.1,64.2,12715000
2016-04-22,64.5,64.96,62.51,63.3,9705000
2016-04-29,63.14,64.02,61.99,62.25,6923800
2016-05-06,62.41,64.1,61.9,62.49,7274600
2016-05-13,62.49,64.7,62.46,63.31,6878200
2016-05-20,63.12,66.43,62.3,66.15,12420600
2016-05-27,66.17,67.97,64.95,67.48,8642400
2016-06-03,67.6,68.26,66.98,67.75,7401200
2016-06-10,67.82,68.68,66.96,67.81,6053400
2016-06-17,67.53,68.5,66.82,67.47,6622900
2016-06-24,67.92,68.25,66.58,66.84,8776700
2016-07-01,66.35,66.54,62.53,63.0,23320500
2016-07-08,62.5,62.94,61.38,62.03,10954300
2016-07-15,62.43,63.87,62.07,62.48,12957200
2016-07-22,62.48,62.95,61.82,62.56,8522300
2016-07-29,62.68,63.21,59.5,61.56,11941100
2016-08-05,61.47,62.53,59.93,62.42,9484000
2016-08-12,62.75,63.17,61.44,62.75,8384800
2016-08-19,62.67,62.98,61.59,61.63,6602800
2016-08-26,61.63,63.22,60.91,61.19,7080200
2016-09-02,61.1,62.71,60.83,62.33,7278200
2016-09-09,62.54,63.18,61.38,61.45,4540700
2016-09-16,61.56,63.14,61.22,61.95,9545000
2016-09-23,62.22,63.41,61.31,63.05,5480500
2016-09-30,62.8,63.09,60.5,61.32,8338400
2016-10-07,60.86,63.9,60.16,61.63,16119700
2016-10-14,61.82,63.16,61.66,62.23,6423400
2016-10-21,62.26,63.95,62.26,63.07,7677600
2016-10-28,63.27,63.44,60.97,62.61,6400700
2016-11-04,62.97,65.27,62.94,63.86,9632500
2016-11-11,64.43,70.19,64.43,70.12,10913200
2016-11-18,70.45,73.28,70.34,72.84,11876100
2016-11-25,72.66,74.99,72.61,74.95,4843200
2016-12-02,74.24,75.84,72.26,75.04,9610800
2016-12-09,75.6,79.43,75.45,78.6,9658300
2016-12-16,78.03,78.42,74.89,75.53,11236400
2016-12-23,75.31,78.16,73.73,74.48,8552100
2016-12-30,74.77,75.22,72.03,72.72,3590600
2017-01-06,73.2,73.23,71.19,71.55,8131700
2017-01-13,71.49,74.06,71.02,73.37,8980200
2017-01-20,73.14,74.05,72.36,73.44,4548200
2017-01-27,73.38,74.46,72.44,73.56,5859700
2017-02-03,74.04,74.09,71.43,71.82,7560700
2017-02-10,71.8,76.76,71.68,76.28,7718000
2017-02-17,76.42,76.75,74.85,76.73,5462500
2017-02-24,76.54,77.11,74.62,75.46,4990300
2017-03-03,75.51,75.65,74.31,75.11,5705100
2017-03-10,74.97,75.8,73.83,74.16,6604500
2017-03-17,74.36,77.07,73.81,76.66,7386700
2017-03-24,76.69,77.53,76.31,76.71,6147900
