Date,Open,High,Low,Close,Volume
2015-03-27,81.9,83.04,80.38,81.83,5390700
2015-04-03,82.31,82.5,79.83,80.59,5216900
2015-04-10,80.57,82.63,80.15,81.9,4573200
2015-04-17,81.9,82.49,80.77,81.26,3543700
2015-04-24,81.71,84.1,81.51,83.91,3628500
2015-05-01,85.1,85.17,80.99,82.4,4907000
2015-05-08,82.69,83.28,80.41,82.17,5309600
2015-05-15,82.18,82.37,80.62,81.48,5480700
2015-05-22,81.61,84.34,81.26,84.09,3974200
2015-05-29,84.02,84.4,83.25,83.78,3107700
2015-06-05,83.94,84.4,81.85,82.54,3332200
2015-06-12,82.31,82.7,81.31,81.4,4031400
2015-06-19,81.04,82.37,80.73,82.19,6301800
2015-06-26,83.33,83.33,79.75,81.08,6231800
2015-07-03,80.21,81.21,78.94,78.94,5948100
2015-07-10,78.53,80.11,78.53,79.3,6034000
2015-07-17,79.71,80.41,78.91,79.97,4993300
2015-07-24,79.97,80.99,79.07,79.39,4178000
2015-07-31,79.2,79.61,77.78,79.03,3333900
2015-08-07,79.07,81.35,78.94,81.02,6093000
2015-08-14,81.33,81.89,79.17,80.28,4116000
2015-08-21,79.95,80.63,75.89,75.99,5580900
2015-08-28,76.0,77.13,71.65,76.29,8177300
2015-09-04,76.21,77.07,73.7,74.55,6093300
2015-09-11,75.48,76.2,73.94,75.0,4762700
2015-09-18,75.23,76.41,74.6,74.99,7038500
2015-09-25,75.22,76.25,71.8,72.26,6114300
2015-10-02,71.98,73.39,70.12,72.9,7051200
2015-10-09,73.35,73.89,71.68,73.16,4786400
2015-10-16,72.95,76.56,72.87,76.5,4357900
2015-10-23,76.32,76.75,74.09,75.94,4133800
2015-10-30,75.85,78.25,75.22,77.51,4158100
2015-11-06,77.86,78.94,73.24,77.27,5945500
2015-11-13,76.98,77.24,72.52,72.58,6306900
2015-11-20,72.49,74.09,72.28,73.53,6430100
2015-11-27,73.57,74.4,72.64,74.32,4825700
2015-12-04,74.61,74.92,71.33,72.22,8675200
2015-12-11,72.2,72.28,69.52,69.71,6467100
2015-12-18,69.79,70.11,67.34,67.79,17582200
2015-12-25,67.97,70.51,67.85,70.14,6463400
2016-01-01,70.05,70.88,69.68,69.71,3512000
2016-01-08,68.81,69.54,67.3,67.67,9630300
2016-01-15,67.72,68.42,65.69,66.47,8138200
2016-01-22,66.81,67.11,63.38,66.89,4500900
2016-01-29,66.72,67.17,64.32,67.12,5604400
2016-02-05,66.73,67.5,63.65,63.9,5488400
2016-02-12,63.28,64.21,61.36,62.56,9032800
2016-02-19,62.74,64.98,61.92,63.8,5915600
2016-02-26,64.23,66.89,62.96,66.46,4890400
2016-03-04,66.29,70.89,65.89,70.51,7519100
2016-03-11,70.17,71.28,69.3,71.05,4668700
2016-03-18,70.96,73.16,69.27,72.74,6491900
2016-03-25,72.4,73.0,71.06,71.55,2849800
2016-04-01,71.55,74.18,71.12,73.97,3544600
2016-04-08,74.18,74.94,72.31,74.1,4955300
2016-04-15,74.18,74.56,73.23,74.21,3483700
2016-04-22,74.03,75.18,73.83,74.9,3864400
2016-04-29,74.55,75.38,73.36,73.9,4034900
2016-05-06,74.34,76.93,72.97,75.7,8172400
2016-05-13,75.62,77.16,74.81,75.42,4355400
2016-05-20,75.4,78.0,75.16,77.37,7270000
2016-05-27,77.24,77.98,76.58,77.05,4329100
2016-06-03,76.97,77.93,76.65,77.15,3291400
2016-06-10,77.01,77.45,75.76,76.08,4136900
2016-06-17,75.64,76.17,74.79,75.11,4350200
2016-06-24,75.82,77.15,74.99,75.7,4116800
2016-07-01,75.18,77.74,73.53,77.32,4193400
2016-07-08,76.88,78.21,76.06,78.07,3647200
2016-07-15,78.36,78.77,77.48,77.73,3829400
2016-07-22,77.7,78.33,77.04,77.91,6335000
2016-07-29,77.68,78.4,76.13,77.54,4778300
2016-08-05,77.63,77.9,75.73,76.96,3868600
2016-08-12,76.93,76.94,68.98,69.15,12593600
2016-08-19,69.2,69.35,62.76,64.48,15543500
2016-08-26,64.63,65.88,63.3,63.68,11571700
2016-09-02,63.76,65.02,63.76,64.78,8045500
2016-09-09,64.01,64.77,63.36,63.65,5562500
2016-09-16,63.08,64.97,63.08,64.44,10560400
2016-09-23,64.48,66.88,63.38,66.5,8622200
2016-09-30,66.09,66.58,64.72,66.07,10184400
2016-10-07,65.69,65.89,63.01,63.43,9143700
2016-10-14,63.79,64.4,61.74,62.85,8743900
2016-10-21,62.8,62.98,60.24,60.96,10013700
2016-10-28,61.55,61.55,54.5,55.16,15330000
2016-11-04,55.49,59.85,55.49,58.63,18405500
2016-11-11,59.53,60.25,57.0,59.53,11210600
2016-11-18,59.54,62.08,59.39,61.52,11805900
2016-11-25,61.42,63.73,61.25,63.33,9313200
2016-12-02,63.4,65.36,62.71,64.23,13599600
2016-12-09,64.37,66.78,63.29,66.49,8539500
2016-12-16,67.14,67.44,63.35,64.94,13753900
2016-12-23,64.99,65.7,64.12,65.2,5132400
2016-12-30,65.26,65.36,63.76,64.2,2428300
2017-01-06,64.74,66.56,64.14,65.79,3800200
2017-01-13,63.0,64.72,62.24,63.93,8714300
2017-01-20,63.54,64.14,62.72,63.02,4611100
2017-01-27,62.83,66.6,62.58,64.55,5765500
2017-02-03,64.67,65.49,62.58,65.32,6389700
