Date,Open,High,Low,Close,Volume
2015-04-03,23.7,24.8,22.75,24.25,4180820
2015-04-10,25.35,25.4,23.25,24.25,3458280
2015-04-17,24.15,26.2,23.25,24.65,3877820
2015-04-24,24.5,24.9,23.45,23.5,3283480
2015-05-01,23.85,25.9,23.65,25.3,6111360
2015-05-08,25.7,25.75,23.75,24.95,3813080
2015-05-15,25.0,26.8,24.9,25.65,3286960
2015-05-22,25.8,25.9,23.95,24.6,2659560
2015-05-29,24.05,24.25,23.2,24.15,2207160
2015-06-05,24.4,24.5,22.3,22.8,2878880
2015-06-12,22.95,23.3,20.7,20.95,3287480
2015-06-19,20.85,21.55,20.15,20.45,4786600
2015-06-26,20.05,21.15,20.0,20.05,2451320
2015-07-03,19.8,21.0,19.75,20.45,3015520
2015-07-10,20.25,21.0,18.85,19.25,3086720
2015-07-17,19.0,19.45,16.85,17.0,3100920
2015-07-24,16.1,17.25,15.1,16.5,5404580
2015-07-31,16.45,17.35,15.45,17.2,4553100
2015-08-07,17.2,17.6,15.75,16.6,3892880
2015-08-14,16.8,20.55,16.2,19.6,6203020
2015-08-21,20.2,21.15,16.85,16.95,6577660
2015-08-28,15.95,16.5,13.6,15.3,7246840
2015-09-04,14.9,15.6,13.3,13.75,4384480
2015-09-11,13.9,14.45,12.25,13.7,4315620
2015-09-18,13.45,16.05,12.95,15.85,6735600
2015-09-25,15.6,16.15,14.35,15.7,4470780
2015-10-02,15.2,17.1,14.5,16.95,5186040
2015-10-09,17.2,20.1,17.05,19.75,7585920
2015-10-16,20.15,20.7,18.15,19.85,5181440
2015-10-23,19.65,20.7,18.6,20.45,4197240
2015-10-30,20.4,20.9,17.45,17.5,4162380
2015-11-06,17.1,18.75,15.7,16.2,5007720
2015-11-13,16.1,17.0,15.65,15.95,3863220
2015-11-20,16.15,16.5,15.0,15.25,3285280
2015-11-27,15.15,15.7,14.8,14.85,1961820
2015-12-04,14.85,16.35,14.75,16.3,3308840
2015-12-11,16.1,16.3,14.85,15.4,3169760
2015-12-18,15.35,15.6,13.85,15.2,4077740
2015-12-25,15.55,16.25,15.15,16.15,1819460
2016-01-01,15.9,15.9,14.55,14.85,2037680
2016-01-08,15.15,16.75,14.65,16.25,3591340
2016-01-15,16.55,16.55,11.1,11.4,5798960
2016-01-22,11.55,11.7,10.1,11.4,4410220
2016-01-29,10.9,11.55,9.35,11.2,4549780
2016-02-05,11.4,14.35,11.05,14.3,4421740
2016-02-12,15.2,15.85,12.45,15.65,6794160
2016-02-19,14.75,15.2,13.55,14.6,4701560
2016-02-26,14.3,15.4,14.0,14.55,3863440
2016-03-04,14.85,17.8,14.1,17.35,6562880
2016-03-11,17.75,18.6,16.25,16.9,8098520
2016-03-18,16.9,18.25,15.6,17.1,8726240
2016-03-25,17.15,17.7,14.8,15.25,4613460
2016-04-01,15.5,16.1,14.9,15.65,5256860
2016-04-08,15.65,17.55,15.0,17.0,5775340
2016-04-15,17.65,19.2,17.35,18.4,6475480
2016-04-22,18.8,19.9,18.45,19.0,6330100
2016-04-29,18.95,21.35,18.4,21.05,5868980
2016-05-06,21.45,21.45,18.5,20.55,6810180
2016-05-13,20.75,25.25,20.7,24.35,10713360
2016-05-20,25.5,25.8,21.65,22.55,8260360
2016-05-27,22.1,23.2,20.65,21.15,6662400
2016-06-03,20.9,23.65,20.8,23.35,5620500
2016-06-10,23.7,24.55,22.2,22.3,7160740
2016-06-17,22.95,23.4,20.1,20.85,13653560
2016-06-24,20.4,23.15,20.15,22.0,6346140
2016-07-01,22.75,23.7,21.3,23.55,6828040
2016-07-08,24.45,25.35,23.7,25.2,5798580
2016-07-15,24.8,25.65,24.05,24.25,5370200
2016-07-22,24.15,24.4,21.25,21.6,5184480
2016-07-29,21.2,21.95,20.0,20.45,5553320
2016-08-05,20.5,21.4,19.65,19.95,6309800
2016-08-12,19.95,21.55,19.8,20.95,3992960
2016-08-19,21.2,21.9,20.5,20.7,5731560
2016-08-26,20.3,20.5,17.4,17.8,6638340
2016-09-02,17.6,17.85,15.7,17.05,8127940
2016-09-09,17.4,19.15,17.4,17.5,6398780
2016-09-16,17.4,19.95,17.3,19.95,9499120
2016-09-23,20.3,21.7,19.65,20.65,6999020
2016-09-30,20.8,20.9,19.15,19.65,5003300
2016-10-07,19.65,19.85,16.7,17.15,6505880
2016-10-14,17.55,18.85,17.05,17.45,4700700
2016-10-21,17.65,18.95,17.3,18.65,3538280
2016-10-28,18.7,18.9,16.35,16.65,5263980
2016-11-04,16.85,17.5,15.5,16.4,8612700
2016-11-11,15.95,16.9,13.1,13.3,8251260
2016-11-18,13.2,14.55,12.7,13.7,8403020
2016-11-25,14.0,14.35,12.9,13.3,4087180
2016-12-02,13.65,14.5,13.1,14.45,5251620
2016-12-09,14.25,15.75,14.0,14.6,6226000
2016-12-16,14.85,15.5,13.1,13.75,9044220
2016-12-23,14.0,15.55,13.75,15.25,5970140
2016-12-30,15.45,17.2,15.25,16.1,4471180
2017-01-06,16.25,18.15,16.2,17.0,5168520
2017-01-13,17.1,17.8,16.15,17.0,6621580
2017-01-20,17.65,17.75,16.3,17.3,4527740
2017-01-27,17.55,17.9,16.7,17.15,4340780
2017-02-03,17.25,18.25,16.9,18.0,4330100
2017-02-10,18.3,19.55,18.0,18.95,5191520
2017-02-17,18.7,19.15,18.1,18.3,4227640
2017-02-24,18.1,18.65,16.1,16.1,4525420
2017-03-03,16.4,17.15,14.25,14.75,6466260
2017-03-10,14.75,15.0,13.7,14.9,5833480
2017-03-17,15.0,16.05,14.05,15.5,5755160
2017-03-24,15.5,16.1,15.05,15.7,4001120
2017-03-31,15.95,17.7,15.65,17.05,5270340
2017-04-07,17.05,18.05,16.6,17.35,4341840
2017-04-14,17.25,18.9,17.05,18.45,4757360
2017-04-21,18.6,18.75,17.65,18.0,6470900
2017-04-28,17.4,18.4,16.55,18.3,7116120
