Date,Open,High,Low,Close,Volume
2023-01-06,1.96,1.98,1.96,1.98,100
2023-01-13,1.98,1.98,1.98,1.98,0
2023-01-20,1.98,1.98,1.98,1.98,0
2023-01-27,2.5,2.97,1.99,2.6,6300
2023-02-03,2.6,2.6,2.6,2.6,0
2023-02-10,2.6,18.0,2.6,17.75,4633700
2023-02-17,17.6,18.49,17.51,18.41,3343600
2023-02-24,17.83,17.83,15.83,16.44,1006800
2023-03-03,16.16,16.76,15.38,15.89,765000
2023-03-10,16.13,17.57,15.86,17.04,635600
2023-03-17,17.02,17.59,16.08,16.25,433700
2023-03-24,16.17,17.6,15.82,16.91,453100
2023-03-31,16.92,17.29,16.4,16.92,414200
2023-04-07,16.96,16.96,16.15,16.31,352200
2023-04-14,16.56,17.21,16.17,16.89,304700
2023-04-21,16.47,16.47,15.33,15.76,432500
2023-04-28,16.13,16.54,15.85,16.39,240300
2023-05-05,16.42,17.49,16.15,17.46,293600
2023-05-12,17.09,18.24,16.62,17.8,345500
2023-05-19,18.08,19.3,18.04,18.69,690600
2023-05-26,18.93,19.07,17.58,18.1,232000
2023-06-02,18.42,18.9,17.83,18.4,224400
2023-06-09,18.4,19.64,18.4,19.42,272700
2023-06-16,20.0,20.44,19.51,19.94,515100
2023-06-23,19.5,19.52,18.02,18.31,394200
2023-06-30,18.24,18.24,17.18,17.75,274200
2023-07-07,17.72,17.78,17.02,17.45,151900
2023-07-14,17.53,19.34,17.32,18.9,237300
2023-07-21,18.88,20.3,18.61,19.4,219200
2023-07-28,19.34,19.34,17.91,18.62,250100
2023-08-04,19.12,19.31,18.1,18.41,263000
2023-08-11,18.74,18.78,17.11,17.47,229200
2023-08-18,16.69,16.78,16.11,16.47,158500
2023-08-25,16.55,17.22,16.27,16.51,81600
2023-09-01,16.33,16.87,16.03,16.3,158400
2023-09-08,16.47,17.0,16.23,16.61,225700
2023-09-15,16.61,16.9,16.01,16.61,132900
2023-09-22,16.31,16.97,16.06,16.52,142300
2023-09-29,16.97,16.97,15.4,15.69,169200
2023-10-06,15.82,16.18,13.83,14.23,1019900
2023-10-13,12.65,13.27,12.3,12.98,687400
2023-10-20,13.23,13.39,12.41,12.71,482400
2023-10-27,12.57,12.76,12.11,12.21,333100
2023-11-03,12.87,14.94,12.82,14.71,325200
2023-11-10,14.97,15.31,13.87,14.18,226300
2023-11-17,13.52,15.39,13.33,15.34,431300
2023-11-24,15.37,16.6,15.17,16.6,450600
2023-12-01,17.05,17.75,16.88,17.44,349600
2023-12-08,17.58,18.48,17.5,18.24,225500
2023-12-15,17.31,19.02,17.05,18.85,436100
2023-12-22,19.37,20.0,19.23,19.39,158700
2023-12-29,19.07,19.81,18.93,19.14,216600
2024-01-05,19.55,19.57,18.02,18.27,386300
2024-01-12,18.34,18.4,17.87,18.15,280500
2024-01-19,17.46,17.89,16.96,17.85,272000
2024-01-26,17.22,17.69,16.81,17.3,100500
