Date,Open,High,Low,Close,Volume
2015-04-03,22.22,22.42,21.11,21.5,1067931
2015-04-10,21.49,21.67,21.08,21.32,1301187
2015-04-17,21.3,21.8,20.94,21.15,921693
2015-04-24,21.22,21.6,20.81,21.37,662993
2015-05-01,21.49,21.74,19.49,19.9,1114754
2015-05-08,19.92,20.76,18.94,20.61,1473937
2015-05-15,20.52,20.86,20.11,20.78,1386920
2015-05-22,20.71,22.19,20.71,21.97,1366610
2015-05-29,21.8,21.98,21.22,21.69,791487
2015-06-05,21.73,22.87,21.28,22.71,1639846
2015-06-12,22.68,23.51,22.39,22.95,1752519
2015-06-19,22.73,25.06,22.73,24.97,1804044
2015-06-26,25.07,25.2,24.19,24.35,2399905
2015-07-03,24.32,24.61,23.51,23.62,927464
2015-07-10,23.52,24.79,23.09,24.75,2079633
2015-07-17,24.78,25.29,24.42,24.57,1495745
2015-07-24,24.62,24.86,23.63,24.16,1248806
2015-07-31,24.1,24.28,23.38,23.91,1206900
2015-08-07,23.96,24.46,21.75,22.14,1637707
2015-08-14,22.29,22.67,21.9,22.65,1305463
2015-08-21,22.49,23.31,22.08,22.45,1878661
2015-08-28,21.49,22.3,21.02,22.08,1564588
2015-09-04,21.99,22.3,21.41,22.01,1297980
2015-09-11,22.38,22.81,22.01,22.79,885345
2015-09-18,22.84,23.28,22.76,22.94,1525462
2015-09-25,23.05,23.17,21.67,22.3,1361905
2015-10-02,22.15,22.39,19.27,19.91,2188456
2015-10-09,20.05,20.39,18.68,19.26,2038156
2015-10-16,19.19,20.35,18.79,19.9,2599808
2015-10-23,19.88,20.08,17.98,19.26,1734988
2015-10-30,19.26,20.23,18.77,19.72,1460468
2015-11-06,19.75,23.48,19.67,22.86,2391780
2015-11-13,22.82,23.04,20.91,21.73,1880799
2015-11-20,21.62,22.68,21.21,21.79,1265055
2015-11-27,21.69,22.58,21.56,22.26,432732
2015-12-04,22.25,22.57,21.39,22.51,1372596
2015-12-11,22.54,23.24,22.0,22.39,1794424
2015-12-18,22.35,22.99,20.86,20.92,2041790
2015-12-25,21.03,21.61,20.58,20.6,715269
2016-01-01,20.67,21.97,20.61,21.17,1433101
2016-01-08,20.64,20.65,19.14,19.59,1310166
2016-01-15,19.7,20.42,18.63,19.89,1657699
2016-01-22,20.0,20.81,18.9,19.77,1613977
2016-01-29,19.73,21.01,19.36,21.0,1965784
2016-02-05,20.95,21.38,18.99,19.03,1161147
2016-02-12,18.79,19.11,16.46,17.5,1955522
2016-02-19,17.5,18.04,17.25,17.61,1378368
2016-02-26,17.79,19.63,17.75,19.58,1547591
2016-03-04,19.61,20.97,19.05,20.53,1381470
2016-03-11,20.51,20.72,19.64,20.65,1116143
2016-03-18,20.65,20.83,19.29,20.47,1033830
2016-03-25,20.51,20.75,19.78,20.19,584636
2016-04-01,20.33,21.82,20.03,21.52,1394938
2016-04-08,21.61,21.85,20.85,21.44,1274354
2016-04-15,21.51,21.81,20.7,21.73,1418883
2016-04-22,21.72,21.92,21.14,21.69,1563092
2016-04-29,21.69,22.32,20.8,21.1,1052324
2016-05-06,21.23,21.39,20.23,20.51,1740653
2016-05-13,20.39,21.97,18.96,19.18,2303482
2016-05-20,19.16,19.39,18.57,18.71,1470410
2016-05-27,18.65,18.86,18.13,18.42,1233947
2016-06-03,18.36,18.96,18.19,18.86,993743
2016-06-10,18.85,20.1,18.81,19.42,1426581
2016-06-17,19.04,19.4,17.9,17.93,1449564
2016-06-24,18.18,19.42,18.0,18.79,2029818
2016-07-01,18.56,20.01,18.21,19.66,1675872
2016-07-08,19.56,20.11,19.02,19.99,849961
2016-07-15,19.93,20.65,19.93,20.27,1205297
2016-07-22,20.21,20.67,20.07,20.56,1161041
2016-07-29,20.55,20.61,19.79,20.11,1121167
2016-08-05,20.13,20.35,16.72,18.32,3712531
2016-08-12,18.28,18.77,17.33,17.4,2063705
2016-08-19,17.45,17.97,17.14,17.26,1404453
2016-08-26,17.27,17.64,17.07,17.25,954511
2016-09-02,17.31,18.19,17.27,18.15,807308
2016-09-09,18.12,19.64,17.87,19.23,1504723
2016-09-16,19.18,19.69,19.01,19.48,1646154
2016-09-23,19.48,20.23,19.31,19.98,1229458
2016-09-30,19.83,20.07,18.67,18.83,1379332
2016-10-07,18.68,19.21,18.4,18.76,1106308
2016-10-14,18.88,19.43,17.8,18.39,1209254
2016-10-21,18.38,18.61,18.0,18.04,1360409
2016-10-28,18.15,18.34,16.91,17.04,1126298
2016-11-04,17.13,17.76,16.46,16.74,2590615
2016-11-11,17.12,19.58,16.96,19.37,2143772
2016-11-18,19.59,20.55,19.39,20.38,1286435
2016-11-25,20.28,20.76,20.0,20.64,675180
2016-12-02,20.51,20.9,20.14,20.21,1310167
2016-12-09,20.36,21.18,20.11,21.09,1125122
2016-12-16,21.03,21.4,20.14,21.01,1830128
2016-12-23,21.04,21.68,20.61,21.27,822169
2016-12-30,21.26,21.52,20.56,20.78,513654
2017-01-06,21.07,21.2,18.89,19.12,1992723
2017-01-13,19.18,19.53,19.06,19.45,1293276
2017-01-20,19.3,19.47,18.9,18.95,727989
2017-01-27,18.93,19.34,18.74,19.19,716122
2017-02-03,19.06,19.42,18.5,19.0,1166279
2017-02-10,18.93,19.29,15.68,16.23,3692646
2017-02-17,16.31,17.07,16.13,16.94,2520275
2017-02-24,17.01,17.76,17.01,17.75,1058738
2017-03-03,17.73,17.94,17.35,17.7,1572070
2017-03-10,17.68,17.68,17.12,17.51,1290498
2017-03-17,17.44,17.66,16.84,17.19,1227426
2017-03-24,17.22,17.57,16.84,17.2,999943
2017-03-31,17.15,17.83,16.96,17.59,1323850
2017-04-07,17.61,17.63,16.83,17.31,1090488
2017-04-14,17.4,17.93,17.28,17.35,1231381
2017-04-21,17.35,17.63,15.44,17.32,1619963
2017-04-28,17.57,18.03,15.99,16.79,1791858
2017-05-05,17.58,19.79,17.58,18.38,3192677
2017-05-12,18.38,18.97,18.18,18.46,908970
2017-05-19,18.48,18.55,17.32,17.43,972362
2017-05-26,17.44,18.0,17.1,17.33,825910
2017-06-02,17.26,18.04,16.84,17.74,852527
2017-06-09,17.71,18.71,17.4,18.7,1059272
2017-06-16,18.67,19.57,18.61,19.35,1494356
2017-06-23,19.4,20.29,19.26,20.25,1894269
2017-06-30,20.36,20.8,19.42,20.36,1182955
2017-07-07,20.36,20.62,19.56,20.22,657969
2017-07-14,20.08,20.23,19.7,20.1,806454
2017-07-21,20.09,21.31,19.95,21.23,951303
2017-07-28,21.08,21.84,20.28,20.99,1302897
2017-08-04,21.07,21.07,17.54,18.83,1261634
2017-08-11,18.83,19.2,18.25,18.48,1117425
2017-08-18,18.57,19.05,18.17,18.34,705112
2017-08-25,18.37,19.55,18.15,18.59,824520
2017-09-01,18.69,19.46,18.31,19.44,571168
2017-09-08,19.45,19.73,18.94,19.65,585491
2017-09-15,19.77,19.96,18.78,19.01,1024103
2017-09-22,19.12,20.08,18.65,19.85,645034
2017-09-29,19.69,21.31,19.69,21.13,695385
2017-10-06,21.12,22.16,21.11,21.19,698271
2017-10-13,21.13,21.23,19.47,20.11,1088456
2017-10-20,20.11,22.25,20.07,21.53,640652
2017-10-27,21.46,22.27,21.13,22.26,686404
2017-11-03,22.25,22.25,20.76,21.35,944354
2017-11-10,21.28,22.41,20.72,21.7,892294
2017-11-17,21.67,22.45,21.4,22.24,905658
2017-11-24,22.45,23.18,22.1,23.11,688223
2017-12-01,23.11,23.14,21.6,22.26,1059700
2017-12-08,22.52,22.52,21.06,21.27,771285
2017-12-15,21.09,22.46,20.63,21.35,1511460
2017-12-22,21.51,21.66,20.5,20.94,1472548
2017-12-29,20.96,21.21,20.42,20.77,913675
2018-01-05,20.79,22.54,20.79,22.29,1578806
2018-01-12,22.08,22.54,21.11,22.38,1006998
2018-01-19,22.43,22.7,21.67,22.35,681275
2018-01-26,22.32,22.55,21.57,21.63,606231
2018-02-02,21.6,21.79,20.79,21.08,906940
2018-02-09,20.93,24.13,20.27,23.77,2121003
2018-02-16,23.84,24.92,23.12,24.82,1453627
2018-02-23,24.86,26.01,24.51,25.14,931099
2018-03-02,25.12,26.35,24.49,25.11,1662615
2018-03-09,24.97,26.58,24.93,26.55,1137630
2018-03-16,26.66,27.35,25.55,26.24,2254735
2018-03-23,26.23,26.62,25.28,25.3,1016192
2018-03-30,25.61,25.61,24.42,24.6,1119457
2018-04-06,24.6,25.86,24.13,25.34,1170022
2018-04-13,25.51,26.22,25.03,25.7,1104170
2018-04-20,25.9,26.89,25.54,26.21,797261
2018-04-27,26.3,26.64,25.7,26.01,659573
2018-05-04,26.15,30.65,25.49,30.24,1734025
2018-05-11,30.33,31.63,29.61,30.94,1454910
2018-05-18,31.08,32.79,30.47,32.5,1310701
2018-05-25,32.55,33.9,31.78,33.83,1857922
2018-06-01,33.62,34.8,32.95,34.37,1086960
2018-06-08,34.42,35.97,34.26,35.08,1883685
2018-06-15,35.1,35.68,34.24,35.42,1209254
2018-06-22,35.44,37.5,34.92,35.24,2833705
2018-06-29,35.07,36.3,32.78,33.51,1614511
2018-07-06,33.49,35.49,33.48,34.95,853810
2018-07-13,34.98,35.94,34.46,35.08,797475
2018-07-20,35.0,36.02,34.64,35.47,989146
2018-07-27,35.44,35.86,34.59,34.71,868136
2018-08-03,34.59,35.79,32.45,32.79,1611197
2018-08-10,32.82,34.92,32.82,33.62,1215882
2018-08-17,33.52,35.07,32.87,34.77,1339992
2018-08-24,34.88,36.39,34.61,36.29,1050721
2018-08-31,36.41,36.69,35.55,36.55,765726
2018-09-07,36.43,36.45,34.57,34.85,980273
2018-09-14,34.85,35.14,33.4,34.58,1256824
2018-09-21,34.52,35.56,33.49,33.93,1421664
2018-09-28,33.82,35.57,33.61,35.47,991178
2018-10-05,35.56,36.1,34.01,35.72,1296910
2018-10-12,35.72,38.02,34.87,35.97,1772616
2018-10-19,35.87,36.81,34.89,35.31,1702382
2018-10-26,35.41,36.29,33.61,34.42,1117747
2018-11-02,34.42,44.25,34.13,42.98,3125650
2018-11-09,43.41,45.06,41.22,44.14,2650373
2018-11-16,44.34,44.99,41.24,42.75,2287126
2018-11-23,42.91,43.55,40.52,41.64,1207756
2018-11-30,41.97,43.83,41.27,42.44,1574851
2018-12-07,42.56,44.31,41.51,42.68,1588749
2018-12-14,42.66,45.8,39.59,40.06,2538554
2018-12-21,39.71,40.82,34.71,34.76,3408292
2018-12-28,34.67,36.4,33.87,35.9,1219943
2019-01-04,36.15,36.91,34.89,36.5,1606280
2019-01-11,36.67,39.33,36.37,37.5,1799342
2019-01-18,37.3,40.16,37.3,38.07,1359768
2019-01-25,38.04,40.18,37.9,39.79,1044414
2019-02-01,39.52,41.08,38.86,40.88,1231061
2019-02-08,41.04,46.76,40.48,43.95,2355968
2019-02-15,44.15,48.85,43.26,48.82,2194337
2019-02-22,48.83,51.04,48.83,50.51,1870750
2019-03-01,50.83,51.0,45.67,46.88,1875240
2019-03-08,47.11,48.19,44.57,45.37,1493500
2019-03-15,45.37,48.25,45.29,47.21,1834298
2019-03-22,47.38,48.19,45.68,45.96,1215026
2019-03-29,45.94,48.62,44.84,47.89,1372489
2019-04-05,48.14,49.86,46.73,49.07,1329623
2019-04-12,49.02,49.14,47.0,48.42,1475969
2019-04-19,48.48,49.1,43.09,45.14,1179428
2019-04-26,45.25,48.41,44.86,48.22,1171517
2019-05-03,48.27,48.9,46.91,48.1,1617505
2019-05-10,47.14,50.5,46.6,50.49,1871498
2019-05-17,49.41,53.58,49.11,52.52,2691636
2019-05-24,52.06,54.39,50.09,51.7,1572820
2019-05-31,51.45,52.1,48.96,49.82,1268582
2019-06-07,49.92,51.63,49.09,51.55,1303112
2019-06-14,51.65,53.06,50.43,52.96,1175687
2019-06-21,53.01,54.58,52.1,52.87,1708476
2019-06-28,53.08,54.45,51.21,53.25,1792179
2019-07-05,53.73,55.08,52.63,54.07,857018
2019-07-12,53.89,54.32,51.86,53.8,1211071
2019-07-19,54.09,55.58,53.12,54.99,1138272
2019-07-26,55.36,55.92,53.26,55.62,1187766
2019-08-02,55.66,58.93,50.42,50.57,1805862
2019-08-09,49.51,49.64,46.26,47.83,1871926
2019-08-16,47.62,49.2,46.53,48.44,940186
2019-08-23,49.11,49.11,46.99,47.27,1209468
2019-08-30,47.64,48.63,44.28,46.68,1617612
2019-09-06,46.62,47.18,45.02,46.24,970652
2019-09-13,46.25,46.64,43.78,45.38,1432032
2019-09-20,45.25,47.69,45.25,46.91,1665930
2019-09-27,46.79,47.11,43.41,43.75,1749846
2019-10-04,43.83,44.84,39.03,39.4,2586094
2019-10-11,39.37,40.75,38.65,39.9,1894400
2019-10-18,39.68,42.16,39.28,41.91,1193500
2019-10-25,42.38,42.74,40.55,40.68,973500
2019-11-01,40.77,44.28,40.51,43.07,1313900
2019-11-08,43.19,43.48,41.1,42.19,1140600
2019-11-15,41.81,42.73,39.92,41.4,897200
2019-11-22,41.35,43.67,40.73,43.34,1206400
2019-11-29,43.37,44.35,43.06,43.43,622000
2019-12-06,43.32,44.06,41.85,43.53,1201400
2019-12-13,43.42,44.15,41.82,42.95,1066100
2019-12-20,42.68,45.73,41.86,45.64,2368000
2019-12-27,45.67,45.78,44.04,44.68,471200
2020-01-03,44.68,45.91,43.81,45.31,842100
2020-01-10,44.96,47.12,44.75,46.82,1173700
2020-01-17,46.98,48.09,46.46,47.53,992600
2020-01-24,47.29,47.56,44.76,44.87,963500
2020-01-31,44.37,46.88,44.2,45.2,1000700
