Date,Open,High,Low,Close,Volume
2018-05-11,19.75,21.5,19.5,21.39,43681000
2018-05-18,21.52,21.89,21.22,21.58,27350500
2018-05-25,21.61,22.0,21.39,21.95,13764000
2018-06-01,21.82,21.88,20.51,21.54,14326900
2018-06-08,21.81,22.25,21.01,21.06,15231900
2018-06-15,21.11,21.8,20.75,21.12,20437300
2018-06-22,20.96,21.77,20.52,21.69,20854100
2018-06-29,21.47,21.49,19.9,20.61,11277900
2018-07-06,20.49,21.24,20.42,21.2,5512800
2018-07-13,21.25,21.74,20.7,21.04,7832400
2018-07-20,21.12,21.34,20.72,21.16,5908500
2018-07-27,21.08,22.07,21.08,21.74,7241300
2018-08-03,21.75,22.24,21.27,21.96,5353500
2018-08-10,21.91,22.21,21.11,21.3,4640700
2018-08-17,21.3,22.45,21.06,22.23,7943900
2018-08-24,22.22,22.85,22.19,22.48,5265800
2018-08-31,22.66,23.21,22.6,22.95,5512400
2018-09-07,22.89,23.17,22.16,22.33,4535500
2018-09-14,22.35,22.71,22.14,22.25,5751400
2018-09-21,22.37,22.73,22.15,22.46,18614200
2018-09-28,22.52,22.57,21.16,21.45,6623500
2018-10-05,21.47,22.31,20.86,21.83,7669800
2018-10-12,21.66,21.97,20.33,20.64,6227200
2018-10-19,20.21,21.34,19.94,20.74,5286800
2018-10-26,20.85,21.2,19.83,19.89,6936900
2018-11-02,20.12,20.67,19.67,20.61,9197300
2018-11-09,20.64,21.99,20.44,21.42,6425500
2018-11-16,21.38,21.93,19.86,20.25,39611900
2018-11-23,20.3,20.5,19.38,19.59,18310200
2018-11-30,19.79,20.25,19.58,19.68,30607400
2018-12-07,19.81,20.12,17.23,17.36,20821500
2018-12-14,17.37,17.81,16.73,16.87,26082700
2018-12-21,16.79,17.8,15.31,15.31,21683700
2018-12-28,15.2,16.24,14.72,15.97,10598600
2019-01-04,15.98,17.27,15.94,17.25,17339600
2019-01-11,17.27,18.39,17.15,18.27,17284900
2019-01-18,18.11,19.16,18.11,18.88,13567000
2019-01-25,18.74,18.9,18.29,18.65,8169300
2019-02-01,18.48,18.82,18.31,18.52,9967800
2019-02-08,18.45,18.79,18.0,18.23,7224500
2019-02-15,18.25,19.36,18.12,19.34,12503300
2019-02-22,19.26,19.66,19.15,19.34,6483000
2019-03-01,19.48,20.25,18.93,20.2,12723600
2019-03-08,20.25,20.72,19.45,19.86,8729800
2019-03-15,19.91,20.88,19.91,20.76,10508000
2019-03-22,20.77,21.58,19.5,19.72,40119300
2019-03-29,19.78,20.3,19.33,20.14,18737600
2019-04-05,20.39,21.94,20.39,21.84,18630700
2019-04-12,21.87,22.49,21.53,22.27,13905600
2019-04-19,22.34,22.75,22.16,22.6,9438700
2019-04-26,22.6,22.9,21.74,22.36,13816900
2019-05-03,22.32,22.93,22.18,22.83,9393900
2019-05-10,22.28,22.7,21.51,22.2,15811500
2019-05-17,21.76,21.98,20.65,21.48,14103500
2019-05-24,21.31,21.78,20.76,21.52,9525200
2019-05-31,21.55,21.77,20.48,20.55,11812400
2019-06-07,20.51,21.4,20.45,20.87,39751200
2019-06-14,21.1,21.62,20.87,21.27,26936600
2019-06-21,21.2,21.31,20.67,20.71,17377900
2019-06-28,20.69,20.99,19.7,20.9,19931100
2019-07-05,21.3,21.93,20.85,21.83,19383100
2019-07-12,21.59,22.57,21.42,22.46,25404600
2019-07-19,22.58,22.78,22.16,22.42,14941100
2019-07-26,22.4,22.91,22.13,22.72,9397200
2019-08-02,22.64,22.93,20.52,20.69,9348000
2019-08-09,20.22,21.26,19.47,21.0,12046300
2019-08-16,20.79,21.02,19.69,20.24,12209900
2019-08-23,20.71,20.73,19.81,19.89,10563500
2019-08-30,20.12,20.88,19.67,20.77,8473300
2019-09-06,20.58,21.27,20.11,20.97,5287700
2019-09-13,21.15,22.1,21.08,22.07,14587800
2019-09-20,21.9,22.84,21.55,22.62,20153500
2019-09-27,22.38,22.82,21.68,22.65,11401200
2019-10-04,22.69,22.69,20.4,21.22,10820300
2019-10-11,21.14,21.46,20.16,21.24,8277400
2019-10-18,21.09,21.83,21.08,21.71,7293500
2019-10-25,21.95,22.72,21.9,22.2,7989300
2019-11-01,22.36,22.79,21.37,21.97,11199200
2019-11-08,22.2,23.49,21.99,23.18,78766600
2019-11-15,23.22,23.9,22.95,23.7,51306700
2019-11-22,23.71,24.5,23.44,24.29,34923000
2019-11-29,24.41,25.17,24.37,24.74,18190300
2019-12-06,24.85,25.08,23.58,24.76,18397000
2019-12-13,24.76,25.01,24.09,24.64,19595900
2019-12-20,24.93,25.13,24.43,24.93,19676300
2019-12-27,24.9,24.92,24.49,24.6,5076200
2020-01-03,24.7,24.98,24.28,24.37,8385900
2020-01-10,24.33,26.17,24.22,25.79,17593400
2020-01-17,25.94,26.38,25.58,26.08,23196700
2020-01-24,25.92,26.07,24.75,24.98,13283400
2020-01-31,24.34,24.97,23.89,24.02,14878300
2020-02-07,24.15,25.9,24.03,25.67,13335600
2020-02-14,25.62,27.18,25.54,26.89,10870600
2020-02-21,26.75,27.3,26.5,26.7,9573800
2020-02-28,25.5,25.75,20.39,21.4,28748700
2020-03-06,21.58,22.49,18.42,18.76,34351100
2020-03-13,17.17,17.49,13.42,16.15,33153800
2020-03-20,15.5,15.5,10.02,10.63,34227600
2020-03-27,10.42,16.38,9.89,14.87,29877800
2020-04-03,14.72,15.67,12.57,13.02,19176700
2020-04-10,14.19,17.4,14.01,16.61,15128700
2020-04-17,16.56,16.75,14.16,15.75,26312900
2020-04-24,15.13,16.02,14.08,16.0,20461800
2020-05-01,16.22,19.31,16.08,17.34,18504100
2020-05-08,16.97,18.17,16.3,17.85,15615300
2020-05-15,17.53,17.64,14.53,16.5,16433000
2020-05-22,17.48,18.57,17.14,17.7,13283600
2020-05-29,18.58,20.97,18.43,19.11,15812500
2020-06-05,19.16,24.19,19.0,22.19,15684900
2020-06-12,22.76,23.28,19.35,20.6,23608500
2020-06-19,19.6,21.97,19.25,19.68,26293000
2020-06-26,19.58,20.27,18.45,18.99,23157200
2020-07-03,19.21,19.75,18.74,19.02,10056500
2020-07-10,19.64,20.06,18.06,19.21,13770900
2020-07-17,19.59,20.92,19.17,20.29,12884100
2020-07-24,20.1,20.73,19.85,20.3,12328300
2020-07-31,20.14,20.7,19.74,20.46,10061800
2020-08-07,20.54,21.84,20.25,21.45,12243600
2020-08-14,21.41,22.55,21.17,21.8,10386100
2020-08-21,21.8,21.84,20.52,20.65,10772000
2020-08-28,20.88,21.93,20.78,21.61,12828300
2020-09-04,21.62,22.15,20.62,20.97,15322200
2020-09-11,20.63,20.7,19.12,19.62,11055800
2020-09-18,19.78,20.04,18.56,19.09,18619300
2020-09-25,18.5,18.72,17.33,17.92,15627000
2020-10-02,18.37,18.87,18.0,18.75,10663900
2020-10-09,19.12,21.44,18.98,20.81,16087000
2020-10-16,20.93,21.44,19.88,20.26,10851700
2020-10-23,20.37,20.82,19.67,20.59,13117200
2020-10-30,20.26,21.5,18.44,21.49,22731700
2020-11-06,21.95,23.45,21.25,22.6,19421600
2020-11-13,24.87,25.42,23.95,24.61,19390000
2020-11-20,25.17,25.39,24.17,24.74,18336500
2020-11-27,25.11,26.71,24.98,26.0,12681900
2020-12-04,25.84,27.21,25.28,27.12,15288200
2020-12-11,26.83,27.06,25.73,25.99,11176200
2020-12-18,26.41,26.41,24.97,25.17,18900800
2020-12-25,25.04,25.62,24.57,25.1,7365800
2021-01-01,25.2,25.68,24.83,25.59,4051400
2021-01-08,25.75,27.5,24.59,26.72,14939600
2021-01-15,26.39,28.12,26.34,27.5,14625600
2021-01-22,27.65,28.05,26.8,26.92,13230700
2021-01-29,26.65,26.98,24.56,24.78,18828000
2021-02-05,25.02,26.81,24.67,26.75,17269700
2021-02-12,26.83,27.9,26.79,27.35,12165600
2021-02-19,27.69,28.79,27.57,28.69,13363300
2021-02-26,28.58,31.36,28.43,29.57,25574300
2021-03-05,30.04,31.09,29.35,30.68,16933100
2021-03-12,31.12,32.34,30.88,32.27,21387800
2021-03-19,32.27,33.69,31.56,32.62,24266600
2021-03-26,32.27,32.53,30.32,31.85,15506900
2021-04-02,31.37,33.15,31.03,33.01,14046300
2021-04-09,33.42,33.7,32.83,33.25,9693100
2021-04-16,33.34,34.22,32.86,33.7,12910400
2021-04-23,33.75,34.11,32.29,33.92,11753200
2021-04-30,34.12,35.18,34.05,34.23,11340800
2021-05-07,34.6,35.46,33.74,35.01,18971300
2021-05-14,35.07,35.38,32.1,34.02,17936900
2021-05-21,33.86,34.46,32.66,32.98,13677900
2021-05-28,33.04,33.2,31.41,31.75,25491200
2021-06-04,32.0,32.57,31.34,31.38,11013400
2021-06-11,31.38,31.91,30.31,31.16,15076600
2021-06-18,31.45,32.05,29.29,29.43,20642000
2021-06-25,29.68,31.15,29.67,30.97,12806600
2021-07-02,31.04,31.09,29.81,30.82,11665200
2021-07-09,30.65,30.7,28.16,29.65,16712100
2021-07-16,29.18,30.0,28.72,28.83,13680000
2021-07-23,28.0,30.45,27.81,29.41,14586900
2021-07-30,29.45,31.41,29.19,30.87,12483000
2021-08-06,31.04,32.7,30.28,32.21,20367000
2021-08-13,31.97,33.08,31.72,32.06,11679600
2021-08-20,31.76,32.0,29.49,30.23,17855900
2021-08-27,30.4,31.56,29.95,31.49,11257600
2021-09-03,31.49,31.56,30.63,31.21,10233800
2021-09-10,31.12,31.34,29.45,29.61,10526800
2021-09-17,29.95,30.23,28.84,29.16,19759000
2021-09-24,28.4,29.82,27.53,29.44,14340300
2021-10-01,29.75,30.94,29.64,30.22,12476900
2021-10-08,30.04,31.92,29.76,31.67,9123500
2021-10-15,31.72,32.94,31.24,32.03,10861300
2021-10-22,31.94,34.24,31.76,33.88,10496200
2021-10-29,33.81,34.38,33.42,33.5,11906800
2021-11-05,33.79,36.09,33.67,35.19,13159900
2021-11-12,35.46,35.68,34.26,34.78,10430800
2021-11-19,34.96,35.11,32.56,32.76,12653200
2021-11-26,33.18,34.32,31.18,32.45,9999500
2021-12-03,32.9,32.9,30.57,31.44,24897200
2021-12-10,31.9,33.19,31.62,32.35,11057400
2021-12-17,32.12,33.0,31.49,31.85,16147700
2021-12-24,31.32,33.26,30.09,32.96,10162100
2021-12-31,32.84,33.44,32.76,32.79,7340700
2022-01-07,33.05,36.0,33.05,35.49,14629600
2022-01-14,35.78,36.33,34.81,35.98,13662000
2022-01-21,35.98,36.01,33.22,33.32,12045400
2022-01-28,32.42,33.89,31.08,31.99,20877800
2022-02-04,31.91,35.0,31.75,34.59,20070300
2022-02-11,34.8,37.13,34.26,34.6,23553900
2022-02-18,34.88,35.01,32.89,33.17,17788600
2022-02-25,32.76,33.18,29.91,33.09,16060000
2022-03-04,32.02,32.87,30.13,30.65,18052200
2022-03-11,30.13,30.71,27.94,29.92,26281500
2022-03-18,30.35,32.03,29.98,31.77,17259000
2022-03-25,32.0,32.33,31.14,32.08,13796800
2022-04-01,32.0,32.44,30.67,30.85,12135600
2022-04-08,30.8,31.92,30.17,31.46,14044800
2022-04-15,31.42,32.04,30.12,30.68,8237900
2022-04-22,30.25,32.95,30.24,30.61,10150200
2022-04-29,30.23,30.41,28.71,28.83,16638500
2022-05-06,28.9,31.07,28.51,29.34,14109000
2022-05-13,28.9,29.11,25.73,27.81,25809300
2022-05-20,27.82,29.06,27.04,27.81,14697600
2022-05-27,28.27,30.89,27.8,30.89,13418900
2022-06-03,30.57,30.84,29.38,29.39,15509200
2022-06-10,29.59,30.16,27.31,27.33,9623400
2022-06-17,26.54,27.19,25.22,25.89,18095400
2022-06-24,26.58,27.44,25.85,27.25,15439600
2022-07-01,27.48,27.84,25.51,26.32,14061900
2022-07-08,26.04,26.31,25.07,25.97,10834900
2022-07-15,25.63,26.35,24.61,25.44,10349500
2022-07-22,25.81,27.19,25.31,26.54,10708000
2022-07-29,26.61,28.53,26.45,28.43,11431900
2022-08-05,28.09,29.27,27.44,28.33,16281800
2022-08-12,28.63,30.95,28.42,30.93,9876600
2022-08-19,30.53,32.02,30.52,31.28,13658500
2022-08-26,30.65,31.49,30.05,30.38,10265300
2022-09-02,30.04,30.46,29.09,29.36,11198500
2022-09-09,29.42,30.67,28.74,30.56,8095900
2022-09-16,30.84,31.27,28.64,29.22,15037800
2022-09-23,28.81,29.91,26.88,27.48,12545800
2022-09-30,27.24,27.51,26.06,26.35,12850300
2022-10-07,26.77,29.21,26.34,28.15,10512500
2022-10-14,28.28,28.82,26.31,27.77,9687100
2022-10-21,28.32,29.06,27.17,28.17,11444200
2022-10-28,28.33,31.0,28.26,30.95,11586500
2022-11-04,30.71,31.71,28.02,29.87,15595200
2022-11-11,30.01,31.64,29.17,30.58,14017000
2022-11-18,30.33,31.0,29.75,30.65,13585700
2022-11-25,30.54,31.6,30.29,31.21,7393200
2022-12-02,30.99,32.12,30.5,31.98,15498500
2022-12-09,31.81,31.81,29.61,29.7,17697100
2022-12-16,29.87,31.28,28.64,28.81,18403200
2022-12-23,28.79,29.51,28.09,28.61,9734900
2022-12-30,28.68,29.03,27.91,28.7,6506100
2023-01-06,29.03,30.35,28.33,30.22,7760500
2023-01-13,30.22,30.83,29.54,30.53,10012400
2023-01-20,30.58,31.0,29.29,30.28,8441700
2023-01-27,30.34,31.52,29.93,31.23,8879700
2023-02-03,31.0,32.76,30.73,32.35,11456800
2023-02-10,32.05,32.94,30.8,31.8,12735900
2023-02-17,31.93,33.24,31.68,32.75,9790600
2023-02-24,32.22,32.32,30.74,31.35,8573100
2023-03-03,31.68,32.61,31.1,32.15,13570000
2023-03-10,32.11,32.26,27.17,27.26,14568200
2023-03-17,26.37,26.64,23.35,23.46,37053600
2023-03-24,23.8,26.03,22.58,23.58,19929000
2023-03-31,24.16,25.42,23.48,25.39,15392100
2023-04-07,25.38,25.55,23.86,24.63,14231400
2023-04-14,24.47,25.78,24.29,25.29,12595000
2023-04-21,25.27,26.56,25.24,25.81,12859400
2023-04-28,25.76,26.11,24.81,25.99,12576700
2023-05-05,25.92,26.32,21.89,24.03,23668000
2023-05-12,24.35,24.4,22.16,23.47,27791400
2023-05-19,23.66,25.15,23.45,24.5,12463500
2023-05-26,24.61,25.86,24.31,25.42,13291000
2023-06-02,25.41,26.01,24.23,25.75,20347000
2023-06-09,25.63,26.74,25.19,26.56,12277100
2023-06-16,26.44,27.45,25.67,26.43,17993400
2023-06-23,26.22,26.5,25.14,25.43,23771000
2023-06-30,25.43,27.38,25.43,27.16,8753900
2023-07-07,27.2,27.58,26.4,27.23,9152500
2023-07-14,27.13,28.24,27.13,27.32,15007900
2023-07-21,27.32,28.77,27.29,28.41,9313200
2023-07-28,28.54,29.51,28.48,28.66,11219200
2023-08-04,28.61,28.97,27.71,28.53,14944200
2023-08-11,28.71,29.18,27.86,28.41,11094400
2023-08-18,28.25,28.26,27.16,27.55,7669700
2023-08-25,27.58,28.15,27.02,27.73,7791700
2023-09-01,27.85,29.48,27.8,29.19,11391700
2023-09-08,29.13,29.33,27.69,28.48,9472800
2023-09-15,28.65,29.46,28.27,29.16,10078500
2023-09-22,29.11,29.47,27.9,28.05,8427700
2023-09-29,27.84,28.75,27.45,28.39,10861100
2023-10-06,28.26,28.39,26.42,27.42,12587100
2023-10-13,27.07,28.3,27.04,27.5,11234800
2023-10-20,27.86,28.83,26.76,26.96,9784100
2023-10-27,26.95,27.38,26.01,26.16,8857800
2023-11-03,26.52,27.86,24.65,27.64,16855500
2023-11-10,27.6,27.68,25.88,26.57,10968500
2023-11-17,26.31,28.49,26.31,28.38,8943000
2023-11-24,28.26,29.62,28.02,29.35,8010300
2023-12-01,29.2,31.29,29.2,31.26,20527900
2023-12-08,31.85,32.37,31.31,32.12,26017200
2023-12-15,32.6,34.8,32.4,34.04,76553400
2023-12-22,33.92,34.16,33.08,33.2,21398800
2023-12-29,33.26,33.76,33.15,33.3,7955700
2024-01-05,33.18,33.26,32.2,33.05,13244000
2024-01-12,32.99,33.23,32.33,32.66,11970800
2024-01-19,32.27,33.12,31.79,33.04,7621300
2024-01-26,33.23,33.56,32.96,33.14,12941200
2024-02-02,33.1,33.46,31.76,32.84,13208600
2024-02-09,32.54,34.7,32.21,33.74,16482800
2024-02-16,33.8,34.82,32.72,34.21,12257600
2024-02-23,33.79,35.34,33.79,34.68,8709600
2024-03-01,34.72,34.96,33.42,33.73,14649900
2024-03-08,33.74,33.98,32.96,33.6,15501000
2024-03-15,33.44,35.56,33.38,35.22,19014100
2024-03-22,35.22,37.18,35.18,36.39,12159300
2024-03-29,36.41,38.32,36.41,38.01,7437400
2024-04-05,38.05,38.44,37.04,37.79,10405200
2024-04-12,37.98,38.13,36.26,36.5,12822200
2024-04-19,37.01,37.25,35.49,36.56,12511000
2024-04-26,36.88,38.13,36.56,36.89,10897600
2024-05-03,36.93,39.11,36.85,38.54,15833900
2024-05-10,38.77,39.94,38.7,39.84,13770100
2024-05-17,40.0,40.76,39.83,40.73,12804900
2024-05-24,40.73,41.26,40.22,40.99,12524600
2024-05-31,40.98,41.64,39.87,41.49,13455300
2024-06-07,41.35,41.45,40.03,40.16,12532600
2024-06-14,39.88,41.46,39.37,39.68,15222800
2024-06-21,39.58,41.29,39.24,41.12,14107600
2024-06-28,41.28,41.95,40.19,40.86,11811400
2024-07-05,41.07,41.54,40.34,40.42,9793400
2024-07-12,40.39,42.55,40.08,42.39,16223700
2024-07-19,42.66,43.53,41.68,41.73,10547900
2024-07-26,41.87,43.24,41.56,43.07,7930500
2024-08-02,43.24,44.5,39.01,39.18,14168300
2024-08-09,37.69,38.87,36.46,38.55,13632000
2024-08-16,38.68,40.78,38.1,40.76,8276700
2024-08-23,40.69,41.79,39.97,41.62,8289800
2024-08-30,42.0,42.78,41.67,42.52,8185700
2024-09-06,41.99,42.35,39.46,39.58,7142300
2024-09-13,39.96,40.3,37.99,40.12,11825700
2024-09-20,40.38,42.62,40.38,42.11,12793700
2024-09-27,42.06,42.69,41.83,41.98,7492600
2024-10-04,41.68,42.93,40.81,42.89,11143900
2024-10-11,42.76,44.43,42.47,43.91,12872200
2024-10-18,44.0,46.15,43.82,45.98,13385800
2024-10-25,45.96,46.3,44.65,44.97,7155300
2024-11-01,45.3,46.48,44.96,45.13,10095600
2024-11-08,45.25,50.51,43.02,47.36,18765300
2024-11-15,48.37,49.49,47.13,47.44,11413300
2024-11-22,47.41,47.81,45.96,47.62,11643100
2024-11-29,47.77,49.22,47.5,48.23,10747100
2024-12-06,48.53,48.79,46.95,47.25,10537800
2024-12-13,47.85,47.98,45.78,47.47,11997300
2024-12-20,47.4,47.56,44.3,46.52,19290800
