Date,Open,High,Low,Close,Volume
2015-04-03,230.82,236.71,229.31,235.6,2640200
2015-04-10,233.33,241.24,231.92,239.65,2209300
2015-04-17,239.76,242.96,233.19,236.14,3067400
2015-04-24,238.0,248.3,236.96,246.07,2975500
2015-05-01,244.99,262.0,242.77,258.88,5139900
2015-05-08,260.3,270.46,256.04,267.93,5187600
2015-05-15,268.28,269.8,256.9,260.4,2952000
2015-05-22,260.49,270.15,259.16,268.0,4601800
2015-05-29,265.03,270.52,263.54,268.07,2685100
2015-06-05,274.13,274.13,261.89,263.05,4021100
2015-06-12,263.61,264.81,257.0,260.72,2169700
2015-06-19,258.1,263.19,252.62,262.79,5458000
2015-06-26,264.07,264.98,254.81,258.87,2717500
2015-07-03,256.66,257.21,249.96,255.34,2316300
2015-07-10,253.14,261.66,251.45,258.78,2944700
2015-07-17,260.18,263.87,258.75,263.5,2098100
2015-07-24,263.94,276.12,263.07,276.06,2806700
2015-07-31,274.85,288.12,271.35,278.91,3801100
2015-08-07,279.77,284.27,273.02,280.39,2370800
2015-08-14,282.89,287.78,275.23,284.4,3764000
2015-08-21,282.83,288.5,271.31,271.31,3144500
2015-08-28,260.0,270.0,250.86,268.78,4971200
2015-09-04,267.52,275.18,260.43,269.88,9089600
2015-09-11,271.22,289.62,270.26,289.62,4050900
2015-09-18,289.87,294.49,283.29,285.51,4899300
2015-09-25,287.52,292.46,277.6,279.3,3606100
2015-10-02,279.0,284.61,268.12,279.58,4329000
2015-10-09,281.25,285.0,262.6,269.88,3926600
2015-10-16,269.41,286.56,269.33,286.3,3112500
2015-10-23,284.97,297.58,283.96,294.84,4576300
2015-10-30,295.27,301.77,285.74,296.68,4919800
2015-11-06,297.77,304.73,287.0,290.37,3249900
2015-11-13,291.01,301.55,287.13,291.07,3339400
2015-11-20,290.09,302.76,282.8,298.6,6704600
2015-11-27,297.76,300.8,292.14,297.75,1823800
2015-12-04,297.75,303.14,291.95,301.2,3209200
2015-12-11,302.41,302.41,287.3,289.94,3410000
2015-12-18,290.79,298.69,289.35,289.35,6006400
2015-12-25,291.07,298.53,289.22,297.19,2213600
2016-01-01,296.56,305.0,295.29,302.4,1479900
2016-01-08,299.75,312.29,293.25,309.79,6082000
2016-01-15,311.74,318.36,297.29,303.19,8643600
