Date,Open,High,Low,Close,Volume
2015-03-27,51.11,51.61,49.54,50.12,6404000
2015-04-03,50.22,51.12,49.86,50.64,3854200
2015-04-10,50.73,51.42,49.76,50.5,4664700
2015-04-17,50.31,50.93,49.46,50.05,6910500
2015-04-24,50.16,50.94,49.33,50.29,8351800
2015-05-01,50.38,50.57,48.32,48.89,7033600
2015-05-08,49.26,49.91,47.32,48.46,8118600
2015-05-15,48.54,49.19,47.82,49.17,9737100
2015-05-22,49.03,49.86,48.87,49.29,5677300
2015-05-29,49.2,49.52,48.54,49.25,5012200
2015-06-05,49.26,49.52,46.35,46.69,6616600
2015-06-12,46.62,46.86,46.05,46.1,4792600
2015-06-19,46.01,47.71,45.73,46.74,6711800
2015-06-26,46.55,46.95,45.2,45.99,7154000
2015-07-03,46.15,46.56,45.31,46.51,7078800
2015-07-10,44.88,47.77,44.64,46.89,19219800
2015-07-17,47.15,48.49,46.81,47.92,6927700
2015-07-24,47.85,48.44,46.93,47.21,11640200
2015-07-31,47.27,49.99,47.27,49.72,7045300
2015-08-07,49.77,50.22,48.98,49.8,7350000
2015-08-14,49.97,51.22,49.8,51.18,6612500
2015-08-21,51.23,52.15,51.01,51.04,7675300
2015-08-28,49.33,50.61,47.06,48.29,9590200
2015-09-04,48.12,48.29,45.63,45.74,10959900
2015-09-11,46.14,46.62,45.14,46.09,7206200
2015-09-18,46.08,48.33,45.97,47.22,11402900
2015-09-25,47.37,49.37,47.09,48.89,8707800
2015-10-02,48.83,50.71,48.67,50.51,10223300
2015-10-09,50.68,51.19,50.17,50.63,6547900
2015-10-16,50.73,52.53,50.71,52.24,6174500
2015-10-23,52.06,52.85,51.55,51.72,5950600
2015-10-30,51.78,52.25,49.83,50.94,5628600
2015-11-06,50.97,51.98,48.84,49.02,6841700
2015-11-13,48.82,51.38,48.66,49.8,6426100
2015-11-20,49.85,51.9,49.4,51.44,9058200
2015-11-27,51.5,51.69,50.21,50.53,4810900
2015-12-04,50.7,51.54,49.15,50.63,10331000
2015-12-11,50.42,51.68,48.18,48.91,8395500
2015-12-18,48.95,51.92,48.6,50.45,9122500
2015-12-25,50.59,51.92,49.73,51.74,4414800
2016-01-01,51.71,52.24,50.55,51.07,4528400
2016-01-08,50.65,51.65,50.01,50.82,7374800
2016-01-15,50.91,52.22,50.4,51.39,12200000
2016-01-22,51.45,52.75,50.16,51.58,10373200
2016-01-29,51.62,54.15,51.22,53.8,10101000
2016-02-05,53.6,55.97,53.39,54.66,13049100
2016-02-12,54.14,55.28,52.93,53.51,12755200
2016-02-19,53.85,54.74,53.12,54.67,7448500
2016-02-26,54.83,56.92,54.66,54.77,7230200
2016-03-04,54.28,55.69,52.62,55.54,8740900
2016-03-11,55.32,57.25,55.32,56.55,10079400
2016-03-18,56.59,58.09,56.05,57.19,10660800
2016-03-25,57.1,58.29,56.74,57.83,6316900
2016-04-01,58.1,58.94,57.63,58.8,7143600
2016-04-08,58.87,59.09,56.54,57.05,9226800
2016-04-15,57.06,57.43,55.84,56.72,8804100
2016-04-22,56.63,57.33,54.51,55.4,9251200
2016-04-29,55.18,56.56,55.06,56.44,7103800
2016-05-06,56.6,58.26,55.64,57.16,8296000
2016-05-13,57.21,58.07,56.92,57.39,8600800
2016-05-20,57.28,57.45,54.28,54.91,11161600
2016-05-27,54.91,55.08,53.9,55.01,9066400
2016-06-03,54.87,56.6,54.67,56.16,7769400
2016-06-10,56.16,57.19,55.56,56.68,6333800
2016-06-17,56.86,57.36,56.35,56.89,6944400
2016-06-24,56.85,57.69,55.88,57.22,7943200
2016-07-01,57.12,60.08,57.12,59.71,10162600
2016-07-08,59.81,60.44,58.48,59.57,6774900
2016-07-15,59.33,59.43,57.53,57.87,9667800
2016-07-22,57.93,59.03,57.51,58.88,6240600
2016-07-29,58.78,58.99,57.24,58.49,5673000
2016-08-05,58.62,59.28,56.46,56.74,8379400
2016-08-12,56.89,57.62,56.43,57.25,4638700
2016-08-19,57.37,57.37,54.18,55.54,10941400
2016-08-26,55.65,56.18,54.06,54.12,5655100
2016-09-02,54.29,54.68,53.49,54.37,6459900
2016-09-09,54.61,55.14,53.24,53.25,6005100
2016-09-16,53.34,54.41,53.04,54.18,11201300
2016-09-23,54.39,56.41,54.18,56.23,8642300
2016-09-30,56.24,56.84,53.81,54.18,8012900
2016-10-07,54.0,54.03,51.99,52.44,10187100
2016-10-14,52.46,53.81,51.88,53.18,8367300
2016-10-21,53.24,54.59,53.24,54.0,7290100
2016-10-28,54.19,54.52,53.55,54.2,6256800
2016-11-04,54.36,55.47,52.76,53.18,8781000
2016-11-11,53.48,55.33,50.99,51.95,10012200
2016-11-18,51.46,52.7,51.28,51.82,6542700
2016-11-25,51.94,52.7,51.65,52.59,5941200
2016-12-02,52.87,54.32,50.56,51.68,10861700
2016-12-09,51.44,53.82,51.04,53.76,7881400
2016-12-16,53.54,54.78,52.59,54.57,8345600
2016-12-23,54.94,55.7,54.49,55.46,5823000
2016-12-30,55.48,55.74,54.63,55.23,4254300
2017-01-06,55.25,55.62,54.77,55.26,5202600
2017-01-13,55.31,55.51,54.08,55.15,6688200
2017-01-20,55.46,55.9,54.72,55.0,5198700
2017-01-27,55.17,55.37,54.1,54.25,7129700
2017-02-03,54.4,56.14,54.12,55.72,7143900
2017-02-10,55.91,56.71,55.53,56.42,4813800
2017-02-17,56.34,56.56,55.2,56.15,5587300
2017-02-24,56.02,59.11,55.85,59.03,7205600
2017-03-03,58.98,59.1,57.6,58.28,7982000
2017-03-10,58.26,58.77,57.28,57.71,6762200
2017-03-17,57.68,59.45,57.63,58.93,10387700
2017-03-24,58.98,60.28,58.34,60.01,7171000
2017-03-31,60.26,60.36,58.37,58.78,7430600
2017-04-07,58.76,59.84,58.27,59.4,8441500
2017-04-14,59.31,59.92,58.85,59.62,4589700
2017-04-21,59.78,60.5,59.03,59.8,6726000
2017-04-28,60.0,60.3,59.18,59.4,6990400
2017-05-05,59.58,59.89,58.11,59.55,5208700
2017-05-12,59.68,59.97,58.87,59.88,5286300
2017-05-19,59.89,60.78,59.6,60.11,6268400
2017-05-26,60.1,61.94,59.95,61.4,6249100
2017-06-02,61.4,62.68,61.3,62.37,5957500
2017-06-09,62.47,62.98,61.49,62.3,7735700
2017-06-16,62.34,63.28,61.67,63.24,7217900
2017-06-23,63.22,63.34,62.11,62.25,5367600
2017-06-30,62.41,62.84,60.52,60.71,6691700
2017-07-07,60.74,60.81,59.66,60.07,4712600
2017-07-14,60.15,60.56,59.55,60.22,6440200
2017-07-21,60.21,61.56,59.96,61.54,4972800
2017-07-28,61.55,61.56,60.22,60.53,6223600
2017-08-04,60.4,61.88,60.26,61.58,7281400
2017-08-11,61.59,62.54,61.4,61.86,7516700
2017-08-18,61.89,63.18,61.85,63.06,5285400
2017-08-25,63.12,63.4,62.64,63.08,7720100
2017-09-01,63.11,63.67,62.51,62.57,5562100
2017-09-08,62.62,63.66,62.36,63.49,5795400
2017-09-15,63.44,64.19,62.15,62.86,7362600
2017-09-22,62.55,62.56,60.67,60.71,7275100
2017-09-29,60.78,61.64,60.01,60.44,9433500
2017-10-06,60.51,60.85,59.59,60.38,7218800
2017-10-13,60.44,62.2,60.08,61.65,8484100
2017-10-20,61.54,62.21,60.99,62.13,7170400
2017-10-27,62.26,62.84,61.59,62.79,8056100
2017-11-03,62.62,64.04,61.98,63.54,9893200
2017-11-10,63.58,65.01,63.27,64.07,9283500
2017-11-17,64.1,66.15,64.01,64.21,8072500
2017-11-24,64.25,64.33,63.44,64.33,4875800
2017-12-01,64.2,66.12,64.01,65.43,11008000
2017-12-08,65.53,66.11,64.32,65.22,9861400
2017-12-15,65.22,65.79,64.13,64.62,9714300
2017-12-22,64.58,64.83,61.68,62.37,6591100
2017-12-29,62.62,63.41,61.93,63.18,4365100
2018-01-05,63.18,63.44,61.37,61.82,11121100
2018-01-12,61.82,62.39,60.99,61.35,10403000
2018-01-19,61.36,61.78,60.33,60.79,10424000
2018-01-26,61.12,64.99,60.18,64.07,21011500
2018-02-02,63.52,63.84,58.04,59.35,19990000
2018-02-09,59.06,59.59,55.93,57.02,16138700
2018-02-16,57.08,59.38,56.51,59.12,11207600
2018-02-23,58.78,59.59,57.13,59.47,8764800
2018-03-02,59.39,59.39,56.45,57.1,10782600
2018-03-09,56.42,57.85,56.13,57.24,9834100
2018-03-16,57.34,58.48,56.34,58.26,13728900
2018-03-23,58.33,58.81,56.65,56.79,8609400
2018-03-30,57.0,59.39,56.9,58.92,7991500
2018-04-06,59.05,60.41,58.3,59.65,11468500
2018-04-13,59.62,60.24,58.61,59.03,7533200
2018-04-20,59.3,60.82,58.93,59.22,7316100
2018-04-27,59.37,60.89,58.75,60.62,7981000
2018-05-04,60.59,60.87,58.52,59.04,10506000
2018-05-11,59.1,59.18,56.38,58.04,7740700
2018-05-18,58.06,58.28,56.8,57.32,10076400
2018-05-25,57.49,57.96,55.31,56.26,14480000
2018-06-01,56.45,57.43,55.59,55.8,9899100
2018-06-08,55.97,56.24,53.15,53.56,9402200
2018-06-15,53.61,54.7,52.76,54.63,11658900
2018-06-22,54.56,56.73,54.5,56.03,9346500
2018-06-29,56.33,58.91,56.28,58.61,11289600
2018-07-06,58.6,60.44,58.36,60.31,6826700
2018-07-13,60.61,60.68,57.8,59.14,10111100
2018-07-20,59.18,59.39,58.34,58.75,9210400
2018-07-27,58.76,60.59,57.49,60.08,9016900
2018-08-03,59.98,61.0,59.3,60.93,9168500
2018-08-10,60.84,61.8,60.38,61.35,5211900
2018-08-17,61.48,63.47,61.23,63.24,6797400
2018-08-24,63.31,63.53,62.06,62.76,4632200
2018-08-31,62.93,62.93,61.69,62.43,5821900
2018-09-07,62.48,63.85,62.3,62.81,4516500
2018-09-14,62.92,63.75,62.69,63.53,5345400
2018-09-21,63.57,63.88,61.04,62.16,7134800
2018-09-28,61.99,62.27,60.15,61.44,6897000
2018-10-05,61.27,62.61,60.56,62.4,5973800
2018-10-12,62.65,64.02,60.98,61.52,8655700
2018-10-19,61.5,63.72,61.09,63.33,8270800
2018-10-26,63.32,65.29,62.22,62.77,7491200
2018-11-02,63.04,64.4,61.57,62.19,8032200
2018-11-09,62.43,65.5,62.22,65.14,5882300
2018-11-16,64.74,67.05,64.48,67.04,8258400
2018-11-23,66.98,68.31,66.1,66.82,7393800
2018-11-30,66.91,68.39,66.31,68.34,11093200
2018-12-07,68.25,69.83,67.52,69.46,8253200
2018-12-14,69.42,70.53,68.18,69.77,9101400
2018-12-21,69.5,69.63,66.25,66.47,11564200
2018-12-28,66.64,66.95,62.61,64.67,5440800
2019-01-04,64.65,65.05,63.1,64.09,5623500
2019-01-11,63.77,66.25,63.54,65.99,7136100
2019-01-18,65.33,67.82,64.73,67.67,9033300
2019-01-25,67.8,68.58,66.82,67.28,5883600
2019-02-01,67.42,69.82,66.68,69.14,10299000
2019-02-08,68.64,70.08,68.04,70.05,7874600
2019-02-15,69.71,70.62,69.65,70.2,7490800
2019-02-22,70.17,70.57,69.48,70.3,9118000
2019-03-01,69.48,70.11,68.92,69.74,11608600
2019-03-08,69.89,69.89,68.38,69.68,10217400
2019-03-15,69.76,71.96,69.54,71.73,14161200
2019-03-22,71.6,72.15,69.9,71.69,8813600
2019-03-29,71.72,72.26,69.94,70.95,8325500
2019-04-05,70.94,71.12,69.09,71.08,7855100
2019-04-12,71.14,71.4,69.87,70.68,6798600
2019-04-19,70.67,71.1,69.89,69.96,5766900
2019-04-26,69.88,71.78,69.78,71.02,8057900
2019-05-03,70.86,72.5,70.37,72.08,7434500
2019-05-10,72.1,73.27,70.06,71.76,5327900
2019-05-17,71.63,73.8,71.28,73.53,5901300
2019-05-24,73.69,75.43,73.1,74.88,5675900
2019-05-31,75.07,75.24,72.5,73.84,10140800
2019-06-07,74.15,77.73,72.86,76.3,11417400
2019-06-14,76.12,77.52,75.09,77.41,6407700
2019-06-21,77.44,77.87,75.85,77.4,9969100
2019-06-28,77.83,77.87,75.19,75.76,9154600
2019-07-05,75.76,77.64,74.77,76.99,5421700
2019-07-12,77.08,78.09,76.42,77.54,8488300
2019-07-19,77.4,78.53,76.6,76.77,8512800
2019-07-26,76.95,77.17,75.63,76.24,7691900
2019-08-02,76.54,77.75,75.43,76.7,8917700
2019-08-09,76.94,78.88,75.48,78.43,8261300
2019-08-16,78.63,79.11,76.91,78.64,7477000
2019-08-23,78.68,80.17,78.34,79.17,6620300
2019-08-30,79.27,81.15,79.12,80.13,6012600
2019-09-06,80.03,83.1,79.87,82.35,7835300
2019-09-13,81.82,83.22,80.95,82.38,10368700
2019-09-20,82.6,83.62,82.18,83.26,9495500
2019-09-27,83.35,85.62,83.04,85.34,7227600
2019-10-04,85.5,85.93,84.0,85.61,8944400
2019-10-11,85.31,86.26,84.82,85.57,7203500
2019-10-18,85.79,85.88,83.57,85.6,6316400
2019-10-25,85.65,86.55,85.2,85.31,5982600
2019-11-01,84.82,85.15,82.21,82.79,8772200
2019-11-08,82.61,82.73,78.58,79.41,9023300
2019-11-15,79.38,81.43,78.9,81.27,9416100
2019-11-22,81.67,83.12,81.24,82.23,11351900
2019-11-29,82.25,83.49,81.83,82.64,8190600
2019-12-06,82.32,83.08,81.1,81.2,10779200
