Date,Open,High,Low,Close,Volume
2015-03-27,71.62,72.53,70.11,70.17,110300
2015-04-03,72.78,74.61,72.16,74.22,68600
2015-04-10,74.42,74.67,72.66,72.66,76300
2015-04-17,73.24,79.7,73.12,79.25,269200
2015-04-24,82.58,83.42,79.89,81.17,146900
2015-05-01,79.59,80.46,77.45,78.62,130900
2015-05-08,78.62,79.97,76.57,77.94,71600
2015-05-15,80.05,80.1,77.88,79.17,57500
2015-05-22,77.8,78.31,75.12,77.15,87400
2015-05-29,74.85,74.87,72.28,72.7,81400
2015-06-05,75.22,76.64,74.56,74.9,63500
2015-06-12,77.87,78.61,77.24,78.24,96700
2015-06-19,77.36,78.71,76.43,78.3,50300
2015-06-26,78.45,79.99,76.88,77.45,50100
2015-07-03,76.61,79.4,76.01,79.37,41700
2015-07-10,78.55,78.79,77.1,78.77,40000
2015-07-17,79.8,80.0,78.54,78.8,34100
2015-07-24,81.53,83.58,81.46,82.23,66500
2015-07-31,81.83,82.89,80.55,82.36,44600
2015-08-07,84.54,86.0,83.08,85.4,62600
2015-08-14,85.46,86.22,81.16,83.26,62100
2015-08-21,82.5,82.79,79.74,79.76,44300
2015-08-28,71.5,77.76,69.28,76.63,106900
2015-09-04,76.05,79.28,75.51,77.99,51900
2015-09-11,79.57,80.0,77.41,78.71,29300
2015-09-18,79.0,79.0,74.77,75.11,63200
2015-09-25,74.5,75.13,72.68,73.55,53600
2015-10-02,72.8,75.36,72.05,75.36,69300
2015-10-09,76.45,77.3,75.08,76.02,46900
2015-10-16,76.84,76.89,74.46,76.06,51400
2015-10-23,76.91,80.3,76.2,79.72,50500
2015-10-30,81.31,82.2,78.93,79.53,71700
2015-11-06,80.45,81.68,79.99,80.7,40300
2015-11-13,80.09,85.6,79.4,83.87,152600
2015-11-20,82.91,87.71,82.78,86.09,114300
2015-11-27,87.01,90.4,86.47,88.53,94000
2015-12-04,88.8,89.29,87.12,89.07,92800
2015-12-11,87.84,88.31,82.58,82.85,86700
