Date,Open,High,Low,Close,Volume
2015-04-03,67.0,68.3,66.98,67.68,9490100
2015-04-10,67.02,69.36,66.95,68.69,10847800
2015-04-17,68.78,70.0,67.76,69.11,11979900
2015-04-24,69.42,70.25,68.42,68.58,11686700
2015-05-01,68.68,70.57,68.13,70.52,19307300
2015-05-08,70.55,72.76,70.29,72.1,14786800
2015-05-15,71.9,73.82,71.44,73.32,11881100
2015-05-22,73.05,73.62,72.39,73.09,14610500
2015-05-29,72.8,73.13,71.37,71.59,8614800
2015-06-05,71.79,73.28,71.28,71.75,9226500
2015-06-12,71.67,72.99,71.4,71.88,7648100
2015-06-19,71.33,71.33,69.89,70.2,11160900
2015-06-26,70.61,70.76,68.1,68.28,10529300
2015-07-03,67.75,68.23,66.86,67.41,9423200
2015-07-10,66.66,67.72,65.21,65.77,10916800
2015-07-17,66.28,66.61,64.91,65.11,10088400
2015-07-24,65.04,65.51,60.48,61.15,17956200
2015-07-31,60.85,62.52,59.5,60.58,20146600
2015-08-07,60.45,60.71,59.49,59.85,14109300
2015-08-14,60.26,61.4,59.43,59.96,11826200
2015-08-21,59.66,60.43,56.69,56.69,15232700
2015-08-28,51.77,57.45,49.21,57.05,22385200
2015-09-04,56.7,57.54,54.13,55.05,15968400
2015-09-11,55.98,57.63,55.34,55.72,9786200
2015-09-18,55.64,56.65,52.51,52.93,20986600
2015-09-25,53.03,53.49,50.86,51.92,24438600
2015-10-02,51.48,51.68,49.46,51.4,21098300
2015-10-09,51.57,55.65,51.5,54.82,21575200
2015-10-16,54.86,55.0,50.68,51.15,19427500
2015-10-23,50.75,55.34,50.61,54.31,22912600
2015-10-30,54.49,56.49,51.89,55.91,19864200
2015-11-06,55.49,57.81,55.19,57.22,24539600
2015-11-13,57.23,57.29,53.99,54.11,21262900
2015-11-20,54.1,57.68,54.04,57.59,17976200
2015-11-27,57.45,58.18,56.55,58.1,10766900
2015-12-04,58.2,58.59,55.15,56.05,17861800
2015-12-11,55.85,55.88,50.66,50.87,22837000
2015-12-18,50.71,52.19,49.65,49.74,25216600
2015-12-25,50.26,53.5,50.1,53.25,16378800
2016-01-01,53.1,53.46,52.02,52.04,8507800
2016-01-08,52.04,52.34,49.06,49.17,16850200
2016-01-15,49.64,50.59,46.98,47.86,19410600
2016-01-22,48.6,49.47,46.19,48.51,14804400
2016-01-29,48.23,50.71,47.15,50.51,22351500
2016-02-05,50.04,55.26,48.61,54.66,27456600
2016-02-12,54.0,55.3,52.35,54.2,23922200
2016-02-19,54.18,56.77,53.51,56.01,12496600
2016-02-26,56.01,57.98,54.91,57.27,14463700
2016-03-04,57.43,58.58,56.68,57.95,16017900
2016-03-11,57.77,60.63,57.71,60.13,16029200
2016-03-18,59.69,63.99,59.36,63.47,20091200
2016-03-25,63.46,63.96,61.31,62.37,12029100
2016-04-01,62.52,63.8,61.44,63.66,11043100
2016-04-08,62.89,63.33,58.13,59.91,22039400
2016-04-15,60.16,63.39,60.1,62.83,11793100
2016-04-22,62.59,63.44,61.83,62.99,10809300
2016-04-29,62.55,63.98,61.85,63.27,11557500
2016-05-06,63.48,63.62,60.32,61.3,13568800
2016-05-13,61.11,62.64,60.31,60.87,8472000
2016-05-20,61.06,62.38,58.86,59.8,12604100
2016-05-27,59.67,62.29,59.32,61.63,8423900
2016-06-03,61.7,62.03,60.75,61.45,7531900
2016-06-10,61.74,63.57,61.19,61.62,8327100
2016-06-17,61.25,61.85,59.62,61.62,10948800
2016-06-24,62.54,63.25,57.92,58.03,12150200
2016-07-01,57.28,60.93,54.3,60.27,18570100
2016-07-08,59.66,62.0,58.28,61.92,10255600
2016-07-15,62.22,64.71,62.0,63.83,12915000
2016-07-22,63.57,63.86,62.63,63.38,9023600
2016-07-29,63.39,64.85,62.93,63.41,10464500
2016-08-05,63.43,65.71,62.63,65.46,18077100
2016-08-12,65.72,67.46,65.49,67.21,13423800
2016-08-19,67.39,68.01,67.14,67.66,9429200
2016-08-26,67.58,68.2,66.86,67.32,7515200
2016-09-02,67.28,67.94,65.91,67.54,9227300
2016-09-09,67.69,67.69,63.55,63.57,8972800
2016-09-16,63.11,65.35,61.95,62.35,16279400
2016-09-23,63.06,64.67,62.73,63.31,10342000
2016-09-30,63.1,66.21,62.23,65.71,10707500
2016-10-07,65.48,66.25,64.05,64.48,10559300
2016-10-14,65.01,65.27,62.63,63.3,13208600
2016-10-21,63.24,64.14,62.09,63.71,11046000
2016-10-28,64.16,64.36,61.97,62.38,12976700
2016-11-04,62.76,63.85,59.07,60.76,26131400
2016-11-11,62.25,68.95,61.89,67.31,24193000
2016-11-18,67.37,68.32,63.94,64.15,21939000
2016-11-25,64.66,66.97,64.62,66.81,10020700
2016-12-02,66.4,68.19,65.35,67.76,12852900
2016-12-09,68.03,69.8,67.48,69.53,12615300
2016-12-16,69.43,70.0,67.04,68.06,15068300
2016-12-23,68.1,68.65,67.34,68.26,8501400
2016-12-30,68.47,68.61,66.8,67.09,3821700
2017-01-06,67.59,68.82,66.6,68.01,8850500
2017-01-13,68.48,68.94,66.77,68.66,9667100
2017-01-20,68.34,68.5,67.28,67.93,6340000
2017-01-27,67.92,71.68,66.98,70.95,10668100
2017-02-03,71.02,72.0,69.41,70.22,16608000
2017-02-10,70.11,71.27,69.45,71.0,11224800
2017-02-17,71.31,72.28,70.89,71.63,11030500
2017-02-24,71.64,72.92,71.13,72.39,8985400
2017-03-03,72.21,73.86,71.4,71.93,11707000
2017-03-10,71.22,72.59,71.08,72.49,10716600
2017-03-17,72.67,74.35,71.48,73.25,11320900
2017-03-24,73.27,74.02,71.78,72.84,10132000
2017-03-31,72.55,74.63,71.46,74.15,10540500
2017-04-07,74.32,76.36,73.42,74.57,11750700
2017-04-14,74.79,76.39,73.51,73.51,9792900
2017-04-21,73.86,75.18,73.46,73.85,11622100
2017-04-28,75.03,77.39,74.68,75.64,12358900
2017-05-05,75.9,79.31,75.16,76.86,15826100
2017-05-12,76.8,77.25,76.28,76.68,8055200
2017-05-19,77.13,78.19,75.11,78.01,12188700
2017-05-26,78.11,78.45,77.0,77.56,8984600
2017-06-02,77.47,78.61,76.73,77.88,6351400
2017-06-09,77.87,77.92,74.26,75.74,14580100
2017-06-16,75.74,77.05,74.43,76.8,9993800
2017-06-23,77.28,78.42,75.66,76.88,10947800
2017-06-30,77.14,78.32,76.0,77.83,8261100
2017-07-07,78.37,79.9,77.71,79.36,7137200
2017-07-14,79.28,81.63,79.28,80.61,9936600
2017-07-21,80.48,80.6,78.36,78.97,9116200
2017-07-28,79.0,79.59,77.62,78.43,10294200
2017-08-04,78.43,79.08,72.16,74.53,27522000
2017-08-11,73.76,74.44,71.38,71.48,15133400
2017-08-18,72.19,72.94,71.2,71.2,12531800
2017-08-25,71.13,72.11,70.53,70.7,9899300
2017-09-01,70.98,72.15,69.82,71.63,10526500
2017-09-08,71.61,72.42,70.63,72.14,6949200
2017-09-15,72.69,76.98,72.48,76.91,14189100
2017-09-22,77.0,78.51,76.53,78.1,11938700
2017-09-29,78.14,78.23,75.43,76.79,11825000
2017-10-06,76.95,78.25,76.39,77.75,10296600
2017-10-13,77.76,79.19,77.31,78.53,9818900
2017-10-20,78.82,79.31,76.6,78.93,11913900
2017-10-27,79.03,80.14,78.33,79.77,11246300
2017-11-03,79.65,82.34,77.08,78.1,20081100
2017-11-10,78.1,79.49,77.48,77.92,10313400
2017-11-17,77.7,78.16,75.42,75.64,10058400
2017-11-24,75.86,76.67,75.5,75.92,6429700
2017-12-01,75.94,78.42,75.53,77.7,10351900
2017-12-08,78.31,78.61,74.9,77.29,14232800
2017-12-15,77.61,78.49,76.41,77.29,13315900
2017-12-22,78.11,78.43,76.74,77.51,10435500
2017-12-29,77.6,79.65,77.01,79.01,6140900
2018-01-05,79.23,81.99,77.52,81.39,13406100
2018-01-12,81.37,84.35,80.31,84.24,10476400
2018-01-19,84.44,84.5,82.7,83.95,8794500
2018-01-26,83.93,86.51,83.51,86.49,12124800
2018-02-02,86.21,89.85,83.43,85.09,19476600
2018-02-09,85.67,85.68,78.99,80.77,22508400
2018-02-16,81.45,83.91,80.99,82.79,10238500
2018-02-23,82.43,83.04,81.26,82.22,9547700
2018-03-02,82.36,83.1,78.39,79.7,14471600
2018-03-09,79.18,83.16,78.4,83.14,17174900
2018-03-16,83.09,83.24,79.88,80.98,16424200
2018-03-23,80.75,82.1,78.09,78.18,11322200
2018-03-30,80.18,81.6,78.57,79.91,13582200
2018-04-06,79.47,79.63,75.66,75.97,16441500
2018-04-13,76.72,78.45,75.78,77.26,14478600
2018-04-20,77.89,79.67,77.26,79.06,14126400
2018-04-27,79.24,79.63,74.71,76.15,14521500
2018-05-04,76.2,76.58,71.62,74.87,22578200
2018-05-11,75.01,77.32,74.08,76.47,15624200
2018-05-18,76.76,79.05,76.03,78.59,10999900
2018-05-25,79.18,80.5,77.85,78.27,12880400
2018-06-01,77.48,78.21,76.24,76.9,8435900
2018-06-08,77.25,80.59,76.78,80.35,14425500
2018-06-15,80.42,81.18,77.94,79.25,12045400
2018-06-22,78.51,79.28,76.15,76.59,13515900
2018-06-29,76.34,76.84,73.48,74.74,18658300
2018-07-06,74.19,76.66,74.11,76.02,7340400
2018-07-13,76.15,78.66,75.44,77.76,9756600
2018-07-20,77.94,78.96,76.96,77.64,10716100
2018-07-27,77.62,80.91,76.7,80.57,15559900
2018-08-03,81.0,83.63,79.69,81.57,15359100
2018-08-10,81.72,82.82,80.26,80.55,10395100
2018-08-17,81.52,81.52,78.75,81.0,12335400
2018-08-24,81.27,82.37,80.47,81.68,9971500
2018-08-31,82.0,83.88,81.84,83.14,10307800
2018-09-07,83.09,84.92,81.91,83.81,10132600
2018-09-14,84.56,87.41,84.35,87.15,10907100
2018-09-21,87.16,89.46,86.03,88.5,13445200
2018-09-28,88.25,88.39,86.45,86.73,11014900
2018-10-05,87.47,89.02,86.31,86.67,11046500
2018-10-12,86.43,86.84,78.69,79.77,15961500
2018-10-19,79.8,80.74,77.08,77.29,9913000
2018-10-26,77.57,77.94,70.2,72.01,21310400
2018-11-02,73.45,74.58,67.7,73.24,23577700
2018-11-09,73.64,76.16,72.75,73.43,17328200
2018-11-16,73.5,74.53,71.64,74.24,12436200
2018-11-23,73.93,74.82,72.34,74.09,8250800
2018-11-30,74.91,77.0,74.26,76.94,12162500
2018-12-07,78.76,79.17,70.99,71.25,11870300
2018-12-14,71.19,72.87,69.45,70.58,11114400
2018-12-21,70.39,70.79,66.19,66.37,20241600
2018-12-28,65.94,69.26,64.46,68.24,10166700
2019-01-04,68.52,68.96,66.22,68.53,11653000
2019-01-11,68.75,70.37,67.75,70.22,13780800
2019-01-18,69.73,72.54,69.22,71.87,9378200
2019-01-25,71.45,71.45,69.55,71.07,12406300
2019-02-01,69.8,76.58,67.97,76.48,22325800
2019-02-08,76.73,77.46,75.12,75.83,12203600
2019-02-15,75.89,78.81,75.33,78.73,10695900
2019-02-22,78.31,80.87,78.05,80.79,8841000
2019-03-01,81.51,81.51,79.04,80.23,12474500
2019-03-08,81.27,82.08,78.74,79.38,16281600
2019-03-15,79.2,81.42,79.15,80.58,15466100
2019-03-22,80.82,82.84,78.86,79.02,14154300
2019-03-29,79.0,80.67,78.62,80.56,10940200
2019-04-05,81.56,83.68,81.26,83.25,9364400
2019-04-12,83.0,83.9,81.98,83.88,7669800
