Date,Open,High,Low,Close,Volume
2015-03-27,39.49,39.58,37.95,38.34,11193600
2015-04-03,38.44,39.04,38.12,38.83,8589200
2015-04-10,38.96,39.73,38.35,39.04,9463800
2015-04-17,38.85,39.38,38.34,38.65,7553000
2015-04-24,38.78,39.92,38.56,39.57,10726400
2015-05-01,39.71,39.71,38.29,38.6,12982400
2015-05-08,38.59,39.23,37.44,38.2,12000800
2015-05-15,38.2,38.37,36.75,37.49,15765000
2015-05-22,37.31,38.31,37.29,38.02,8984400
2015-05-29,38.04,38.54,37.47,38.24,9117800
2015-06-05,38.27,38.58,35.97,36.06,13736000
2015-06-12,36.12,36.31,35.32,35.35,15759000
2015-06-19,35.24,36.18,35.06,35.78,14581400
2015-06-26,35.91,35.95,34.53,35.26,11758200
2015-07-03,35.28,36.33,34.92,35.94,19261800
2015-07-10,35.87,37.04,35.74,36.24,16109800
2015-07-17,36.41,36.72,35.87,36.19,12045600
2015-07-24,36.17,36.22,34.58,34.6,11988600
2015-07-31,34.62,35.75,34.62,35.51,11933000
2015-08-07,35.62,35.78,33.62,35.13,21124600
2015-08-14,35.16,35.35,34.12,35.05,16884200
2015-08-21,35.04,35.78,34.69,34.69,13755000
2015-08-28,33.7,34.74,31.6,32.95,22011400
2015-09-04,32.81,32.82,30.64,30.76,14488200
2015-09-11,31.14,31.43,30.78,31.34,12490200
2015-09-18,31.34,32.73,31.27,32.12,13951200
2015-09-25,32.19,32.62,31.15,32.29,15849800
2015-10-02,32.16,32.97,31.95,32.94,11848800
2015-10-09,33.09,34.11,32.82,33.78,13441200
2015-10-16,33.87,35.0,33.62,34.65,12230600
2015-10-23,34.76,35.33,34.29,34.33,10739000
2015-10-30,34.44,34.49,33.01,34.08,12201200
2015-11-06,33.88,34.97,32.71,32.83,19129800
2015-11-13,32.42,33.24,32.06,32.58,15827200
2015-11-20,32.6,33.53,32.24,33.47,12364600
2015-11-27,33.45,33.65,32.7,33.08,6607600
2015-12-04,33.06,33.97,32.09,32.97,12221400
2015-12-11,32.87,34.31,32.54,32.83,17615000
2015-12-18,32.82,33.83,32.1,33.13,23594200
2015-12-25,33.32,34.49,32.87,34.35,7362600
2016-01-01,34.19,34.74,33.83,34.18,6012200
2016-01-08,33.96,34.58,33.38,33.76,13704200
2016-01-15,33.87,34.79,33.53,34.04,14662400
2016-01-22,34.42,34.62,32.69,34.37,11017400
2016-01-29,34.33,35.78,33.62,35.29,11731200
