Date,Open,High,Low,Close,Volume
2015-03-27,52.23,53.15,50.78,50.88,1865400
2015-04-03,51.22,52.04,50.52,50.66,1430600
2015-04-10,50.28,50.5,46.75,48.94,5130100
2015-04-17,49.22,49.66,47.86,48.93,1900800
2015-04-24,49.44,51.27,49.26,50.49,2221800
2015-05-01,50.57,50.77,48.21,48.3,1787700
2015-05-08,48.45,49.58,48.43,49.34,1308900
2015-05-15,49.46,49.78,47.97,48.77,1223400
2015-05-22,48.49,50.71,48.35,49.98,1375600
2015-05-29,49.61,51.41,48.83,50.97,1780300
2015-06-05,51.32,54.06,50.65,53.93,2127600
2015-06-12,54.02,55.34,53.02,54.17,1467400
2015-06-19,53.37,55.4,52.72,55.24,1798100
2015-06-26,55.54,56.42,53.68,55.11,1799700
2015-07-03,54.31,55.54,53.12,54.42,1560600
2015-07-10,53.88,56.07,52.63,55.3,2579400
2015-07-17,55.97,57.67,55.79,57.32,1737000
2015-07-24,57.7,59.06,56.46,57.48,3045400
2015-07-31,56.71,59.4,56.6,58.8,2354700
2015-08-07,58.89,59.29,56.75,57.57,1998500
2015-08-14,58.09,58.51,55.89,57.38,1349500
2015-08-21,56.98,58.11,53.59,53.71,1312700
2015-08-28,49.38,53.29,46.08,52.81,2701600
2015-09-04,52.49,53.02,50.24,50.76,1599400
2015-09-11,51.36,53.01,50.73,52.09,1128300
2015-09-18,52.02,54.44,51.02,51.2,1457200
2015-09-25,51.85,54.03,51.14,53.42,1780500
2015-10-02,53.01,53.01,47.91,49.5,1952500
2015-10-09,50.12,52.19,49.22,51.46,1754400
2015-10-16,51.43,52.05,49.46,51.87,1475600
2015-10-23,51.65,53.39,51.5,53.37,1063900
2015-10-30,53.14,55.98,52.06,54.0,2260700
2015-11-06,53.49,60.63,52.3,59.04,6130600
2015-11-13,58.39,59.05,54.55,54.78,2452800
2015-11-20,54.65,55.97,53.63,55.06,1640100
2015-11-27,55.02,55.87,53.83,55.79,624900
2015-12-04,55.77,56.39,54.3,55.89,1028000
2015-12-11,55.8,56.66,53.17,53.53,1666700
2015-12-18,53.69,56.07,52.32,52.37,2199800
2015-12-25,52.85,54.66,52.41,54.22,479900
2016-01-01,53.9,56.01,53.54,54.07,636300
2016-01-08,52.32,53.19,48.26,48.3,1951200
2016-01-15,48.28,49.79,43.94,44.69,3308300
2016-01-22,45.67,46.55,41.57,44.58,2349800
2016-01-29,44.16,45.25,42.7,45.17,2119800
2016-02-05,44.77,47.12,42.61,46.03,2937000
2016-02-12,44.82,47.14,43.0,45.65,2591700
2016-02-19,46.44,47.98,45.64,46.55,1489900
2016-02-26,47.42,47.74,43.28,46.8,2265100
2016-03-04,46.45,50.92,46.17,50.21,1694900
2016-03-11,49.89,51.48,49.09,51.46,1728100
2016-03-18,51.19,52.18,48.4,52.0,1642000
2016-03-25,52.08,53.09,49.64,50.75,845200
2016-04-01,50.75,53.01,50.13,52.23,1131100
2016-04-08,52.28,52.38,46.14,46.4,1953000
2016-04-15,46.62,51.21,46.31,50.33,1791300
2016-04-22,50.12,52.46,49.71,52.37,1514100
2016-04-29,51.87,52.47,50.04,51.64,2511200
2016-05-06,51.69,52.46,49.25,50.12,2144000
2016-05-13,49.97,50.92,48.41,48.79,1774300
2016-05-20,48.77,50.41,47.77,50.12,1508600
2016-05-27,50.0,51.84,49.82,51.6,1317900
2016-06-03,51.86,52.29,50.23,51.47,882800
2016-06-10,51.52,52.49,49.61,49.94,851100
2016-06-17,49.53,50.39,47.98,49.31,1316500
2016-06-24,50.41,53.04,45.9,46.65,2870700
2016-07-01,46.2,46.2,40.35,43.62,6762000
2016-07-08,43.13,46.45,42.74,45.59,1791700
2016-07-15,46.15,49.99,45.97,49.59,1985800
2016-07-22,49.63,50.13,48.82,50.04,1717900
2016-07-29,49.94,51.99,47.31,50.67,2446900
2016-08-05,50.35,51.89,48.75,51.48,1789000
2016-08-12,51.53,52.51,50.88,51.4,1788100
2016-08-19,51.38,52.2,50.63,51.46,1517700
2016-08-26,51.23,52.04,50.63,51.61,1722500
2016-09-02,51.06,51.89,50.16,51.51,1547100
2016-09-09,51.77,52.55,50.7,51.56,1230900
2016-09-16,51.07,52.2,50.31,51.05,1337200
2016-09-23,51.24,52.96,50.86,52.03,1524900
2016-09-30,51.43,51.74,49.47,51.51,2133800
2016-10-07,50.94,52.97,50.58,52.86,1251400
2016-10-14,53.02,53.6,50.54,52.08,1105700
2016-10-21,52.1,53.25,51.45,53.2,885700
2016-10-28,53.65,57.1,52.85,55.4,3039900
2016-11-04,55.8,56.0,52.65,54.85,2051400
2016-11-11,55.75,61.65,54.95,61.45,3194100
2016-11-18,62.0,66.05,61.55,65.55,3531700
2016-11-25,65.8,67.3,64.75,67.2,1701800
2016-12-02,66.89,70.45,65.55,68.6,2820200
2016-12-09,69.0,71.97,68.75,70.15,2103700
2016-12-16,70.2,70.8,67.1,67.7,2467900
2016-12-23,68.0,71.6,67.55,70.2,1763300
2016-12-30,70.2,71.0,68.3,68.7,709600
2017-01-06,69.95,72.65,68.55,72.0,1296900
2017-01-13,71.75,74.1,70.8,73.45,2050400
2017-01-20,73.05,73.56,71.5,72.9,1411300
2017-01-27,72.45,77.6,72.45,77.5,1752000
2017-02-03,77.0,80.2,75.7,80.0,3563700
2017-02-10,78.8,81.75,74.75,78.55,3071900
2017-02-17,78.6,80.6,77.65,80.45,1922500
2017-02-24,80.8,81.3,78.7,79.65,1686500
2017-03-03,79.4,82.29,78.5,81.15,2253100
2017-03-10,80.75,82.45,80.1,81.8,1713300
2017-03-17,81.8,83.3,80.7,81.9,2045100
2017-03-24,82.15,82.15,75.55,77.3,1930600
2017-03-31,75.8,78.3,73.75,77.9,1501700
2017-04-07,77.9,78.25,74.0,75.4,2167100
2017-04-14,75.65,76.1,73.72,73.8,2080100
2017-04-21,73.95,77.95,73.45,76.9,1850200
2017-04-28,78.7,79.3,73.4,73.75,3690600
2017-05-05,74.1,75.9,73.4,74.7,2478100
2017-05-12,74.75,75.15,70.75,71.3,2558400
2017-05-19,71.4,72.8,68.01,70.3,2253500
2017-05-26,70.8,71.5,68.4,70.95,2289900
2017-06-02,70.55,70.65,66.8,69.55,2072500
2017-06-09,69.55,72.0,67.8,71.75,2484400
2017-06-16,72.15,72.95,70.2,71.9,2495200
2017-06-23,72.75,73.05,70.85,71.05,1445700
2017-06-30,71.2,72.4,69.6,70.5,1917400
2017-07-07,70.85,71.95,70.2,71.6,1436800
2017-07-14,71.25,72.9,70.65,72.0,1933300
2017-07-21,72.0,74.9,71.15,74.7,2043700
2017-07-28,74.65,81.35,74.25,77.4,3116800
2017-08-04,77.9,79.38,77.2,77.85,1756400
2017-08-11,77.9,78.5,75.51,76.35,1618700
2017-08-18,77.25,79.08,73.95,74.6,1590200
2017-08-25,74.6,75.85,73.85,75.1,1300600
2017-09-01,75.45,76.1,74.3,75.65,1124900
2017-09-08,75.1,75.1,69.55,70.35,1505300
2017-09-15,71.05,74.65,70.6,73.75,2090200
2017-09-22,74.05,77.4,73.55,76.9,1632200
2017-09-29,76.7,81.5,76.45,80.25,1720300
2017-10-06,80.55,82.1,78.5,79.0,1970500
2017-10-13,79.2,79.2,75.25,76.0,1713500
2017-10-20,76.05,78.8,75.35,78.55,1724100
2017-10-27,78.65,79.75,76.3,79.4,2462400
2017-11-03,78.8,80.95,76.85,78.4,1997200
2017-11-10,78.25,81.6,76.6,80.8,1938200
2017-11-17,80.7,85.0,80.5,82.75,2454300
2017-11-24,83.25,87.65,82.95,85.45,1161200
2017-12-01,85.55,88.05,84.3,87.0,2225500
2017-12-08,88.1,90.7,87.2,90.15,1767500
2017-12-15,90.05,90.9,88.3,89.7,1707900
2017-12-22,90.95,93.0,89.65,91.75,1320100
2017-12-29,91.8,92.7,89.9,90.0,852900
2018-01-05,90.3,92.1,89.1,91.65,1351500
2018-01-12,91.8,98.4,91.05,97.45,1861500
2018-01-19,98.25,98.98,93.3,96.6,1823800
2018-01-26,96.75,100.15,96.2,98.75,2089200
2018-02-02,98.75,103.05,96.25,99.6,3168500
2018-02-09,97.7,98.95,90.5,93.3,3689600
2018-02-16,93.8,97.65,93.1,96.6,2181400
2018-02-23,95.95,97.7,93.25,93.9,1837000
2018-03-02,94.2,97.45,90.2,91.85,2260200
2018-03-09,91.2,98.5,90.65,98.25,1807600
2018-03-16,98.2,99.7,93.45,94.25,3349200
2018-03-23,93.75,94.5,83.65,84.0,9453300
2018-03-30,86.15,87.7,82.9,87.2,3565000
2018-04-06,87.0,92.0,84.8,88.45,3275400
2018-04-13,89.65,94.55,88.9,92.9,2184500
2018-04-20,93.7,95.4,93.35,93.7,1708300
2018-04-27,93.8,101.3,91.35,100.55,3177300
2018-05-04,100.8,103.85,99.25,102.8,2510600
2018-05-11,103.61,108.9,102.3,107.95,1582300
2018-05-18,108.05,109.45,106.8,108.25,1362800
2018-05-25,109.0,111.85,107.95,109.75,1259400
2018-06-01,108.4,108.7,104.13,105.4,1743000
2018-06-08,106.05,111.35,105.15,110.9,1840100
2018-06-15,111.1,112.1,107.45,110.75,2253200
2018-06-22,109.75,112.6,107.0,107.75,4775300
2018-06-29,107.65,111.35,105.35,105.45,3063400
2018-07-06,104.6,108.3,103.4,107.6,1789600
2018-07-13,108.25,109.7,103.5,106.35,2164800
2018-07-20,107.0,112.35,106.8,109.95,1728000
2018-07-27,110.59,117.49,110.1,112.75,3248300
2018-08-03,113.0,116.85,110.9,114.45,1921400
2018-08-10,114.29,116.0,108.5,109.95,2036900
2018-08-17,110.25,113.15,109.6,109.65,1916000
2018-08-24,109.85,110.35,106.75,108.6,1339800
2018-08-31,109.15,110.42,104.9,106.15,1682600
2018-09-07,105.0,105.65,100.0,101.0,1908100
2018-09-14,101.45,105.25,100.75,104.75,1579200
2018-09-21,105.1,105.22,99.95,102.8,2075300
2018-09-28,102.85,103.65,100.15,100.55,1573100
2018-10-05,101.19,101.88,94.9,95.79,2004000
2018-10-12,94.88,94.99,87.5,89.94,2435100
2018-10-19,89.62,92.69,86.6,88.42,2073600
2018-10-26,88.7,89.11,80.8,81.28,4476000
2018-11-02,82.55,85.13,80.12,82.66,3105300
2018-11-09,82.47,86.76,81.45,84.09,1949200
2018-11-16,83.89,83.93,78.47,81.7,1979500
2018-11-23,81.32,81.84,78.06,80.88,1607900
2018-11-30,82.35,84.27,80.72,82.56,2524100
2018-12-07,84.2,85.03,75.94,76.82,2209900
2018-12-14,76.35,78.2,73.55,73.67,1938800
