Date,Open,High,Low,Close,Volume
2015-03-27,41.07,41.21,39.54,40.03,3227300
2015-04-03,40.25,41.11,39.94,40.73,2980800
2015-04-10,40.39,41.34,39.88,41.3,3270800
2015-04-17,41.21,42.09,41.07,41.41,2793000
2015-04-24,41.62,42.56,40.79,41.11,5240800
2015-05-01,41.23,41.5,40.2,40.36,4428500
2015-05-08,40.4,41.42,40.38,41.37,2526900
2015-05-15,41.41,43.49,41.2,42.57,4768400
2015-05-22,42.69,43.87,42.65,43.32,3091900
2015-05-29,42.6,43.31,42.42,42.9,3370500
2015-06-05,43.13,44.55,42.28,44.54,4835700
2015-06-12,44.32,45.81,44.0,45.26,4597500
2015-06-19,45.0,45.68,44.22,44.5,5252300
2015-06-26,44.97,46.5,44.81,45.77,4302000
2015-07-03,45.2,45.7,44.04,44.45,4489700
2015-07-10,43.9,45.09,43.47,44.97,5394700
2015-07-17,45.39,45.91,44.08,44.33,6390200
2015-07-24,44.63,45.67,44.22,44.6,5101100
2015-07-31,44.31,44.99,42.83,44.76,6447100
2015-08-07,44.67,45.49,44.41,44.88,4190700
2015-08-14,45.22,45.67,43.29,45.14,4496900
2015-08-21,44.58,45.48,41.35,41.41,7179100
2015-08-28,39.52,40.56,37.19,40.36,11769400
2015-09-04,40.0,40.54,38.28,38.85,4896400
2015-09-11,39.78,40.53,39.29,39.82,3847400
2015-09-18,39.89,40.92,38.1,38.23,5678500
2015-09-25,38.53,39.46,37.96,38.72,4383800
2015-10-02,38.45,38.57,36.4,37.53,5194500
2015-10-09,37.54,39.35,37.48,38.79,5165800
2015-10-16,38.61,39.4,37.79,38.75,3503900
2015-10-23,38.6,40.41,38.12,40.39,4577300
2015-10-30,40.31,41.96,39.5,40.39,4969800
2015-11-06,40.55,43.76,40.33,43.49,4194900
2015-11-13,43.41,43.6,40.37,40.6,5370400
2015-11-20,40.28,42.8,40.12,42.54,4247100
2015-11-27,42.72,43.47,42.37,43.35,2432100
2015-12-04,43.52,43.94,42.26,43.57,3747700
2015-12-11,43.38,43.54,41.19,41.53,4402400
2015-12-18,41.69,43.05,40.68,41.03,5810700
2015-12-25,41.24,42.46,40.75,42.25,2354800
2016-01-01,42.0,42.79,41.32,41.56,1707300
2016-01-08,41.07,41.07,37.43,37.52,5096800
2016-01-15,37.65,38.0,34.94,35.65,6807800
2016-01-22,36.19,36.19,33.54,34.45,5374800
2016-01-29,34.32,34.77,31.33,32.42,12531400
2016-02-05,32.37,32.95,30.25,30.94,8760700
2016-02-12,30.06,30.09,27.25,28.89,11915400
2016-02-19,29.36,30.66,28.74,29.17,5394100
2016-02-26,29.42,31.01,28.27,30.49,6393000
2016-03-04,30.48,32.41,29.96,32.14,7336700
2016-03-11,32.03,32.65,30.8,32.61,5753600
2016-03-18,32.49,33.38,31.02,33.32,8058200
2016-03-25,33.4,33.89,31.69,32.49,3462800
2016-04-01,32.5,33.36,31.7,32.97,4191500
2016-04-08,32.93,33.14,31.37,31.74,3326000
2016-04-15,31.83,35.61,31.82,34.94,4407200
2016-04-22,34.58,40.0,34.58,38.3,6432200
2016-04-29,38.14,38.73,37.26,37.49,5481700
2016-05-06,37.33,37.87,35.55,36.06,3956400
2016-05-13,36.09,36.85,35.18,35.56,4051100
2016-05-20,35.69,38.2,35.33,37.54,5043200
2016-05-27,37.43,38.86,36.93,38.75,3515500
2016-06-03,39.0,39.34,36.82,37.69,4322400
2016-06-10,37.86,38.74,36.72,36.89,3938100
2016-06-17,36.53,36.82,35.03,35.51,6675700
2016-06-24,36.31,37.34,33.74,33.86,5170700
2016-07-01,33.12,34.19,31.34,33.57,6901500
2016-07-08,33.13,34.16,31.34,33.54,5464900
2016-07-15,34.0,36.16,33.85,35.9,4432100
2016-07-22,35.79,36.19,34.4,35.03,5722800
2016-07-29,34.88,35.27,33.94,34.22,4577800
2016-08-05,34.34,35.25,33.02,35.22,3452800
2016-08-12,35.35,35.58,33.89,34.08,3044800
2016-08-19,34.14,34.79,34.02,34.27,3825200
2016-08-26,34.08,35.75,34.08,35.56,4095600
2016-09-02,35.67,37.49,35.67,37.46,4479800
2016-09-09,37.46,37.59,36.14,36.61,3274300
2016-09-16,36.32,36.56,35.33,35.76,4012700
2016-09-23,36.0,36.91,35.67,36.58,3770300
2016-09-30,36.21,37.07,35.53,36.71,5440300
2016-10-07,36.39,39.19,36.31,39.11,5562700
2016-10-14,39.39,39.67,37.75,38.56,5043500
2016-10-21,38.6,39.95,38.12,39.79,4395100
2016-10-28,40.03,40.46,39.13,39.36,3247200
2016-11-04,39.53,39.93,38.13,38.65,3309700
2016-11-11,39.64,44.96,38.69,44.84,6230400
2016-11-18,45.3,47.18,45.26,46.71,6161800
2016-11-25,46.8,47.8,45.8,47.62,3205800
2016-12-02,47.38,49.04,46.31,48.58,4322100
2016-12-09,49.16,50.84,48.46,50.65,5091900
2016-12-16,50.38,50.58,48.21,49.6,5330100
2016-12-23,49.6,51.48,49.05,51.43,3864500
2016-12-30,51.5,51.73,50.55,50.83,1762200
2017-01-06,51.58,52.02,50.13,50.73,2867000
2017-01-13,50.29,52.4,49.73,51.2,3045300
2017-01-20,50.56,50.59,48.83,49.55,2114300
2017-01-27,49.53,54.04,48.99,52.65,4845700
2017-02-03,52.14,52.82,50.2,52.72,4395300
2017-02-10,52.48,53.15,51.1,52.65,2712400
2017-02-17,53.04,54.5,52.59,53.81,3283600
2017-02-24,54.05,54.92,53.29,53.68,2589000
2017-03-03,53.8,56.97,53.57,54.95,4002800
2017-03-10,54.77,55.83,53.95,54.82,3443000
2017-03-17,54.72,55.6,53.96,54.72,4708600
2017-03-24,54.59,54.59,49.1,50.48,5611500
2017-03-31,49.23,52.65,48.07,51.61,4138600
2017-04-07,51.64,52.93,50.21,51.66,3707700
2017-04-14,51.58,52.16,49.42,49.43,4163500
2017-04-21,49.57,54.89,48.76,54.09,7559700
2017-04-28,55.31,57.24,54.23,54.27,7755000
2017-05-05,54.69,56.35,54.1,55.7,5680500
2017-05-12,55.84,56.16,54.03,54.99,4590100
2017-05-19,55.17,56.49,53.08,54.45,6721400
2017-05-26,54.8,56.17,54.07,54.89,4045600
2017-06-02,54.58,55.19,53.2,54.19,12109900
2017-06-09,54.21,58.89,53.27,58.43,6509600
2017-06-16,58.5,59.78,57.61,59.15,7076100
2017-06-23,59.55,59.97,55.76,56.21,6260400
2017-06-30,56.2,60.04,56.01,58.58,4532400
2017-07-07,58.99,60.42,58.42,59.38,3620200
2017-07-14,59.13,59.41,56.63,57.41,4577300
2017-07-21,57.33,58.03,56.41,57.0,4973500
