Date,Open,High,Low,Close,Volume
2015-04-03,23.18,24.06,23.04,23.81,68208001
2015-04-10,23.87,24.31,23.61,23.81,34950739
2015-04-17,23.74,24.27,23.4,23.53,39237354
2015-04-24,23.64,24.5,23.5,24.29,43566589
2015-05-01,24.32,24.41,23.62,24.34,46781515
2015-05-08,24.33,24.95,23.64,24.2,46567709
2015-05-15,24.14,24.76,23.5,24.61,45737026
2015-05-22,24.51,24.79,24.36,24.54,32860497
2015-05-29,24.51,24.52,23.95,24.13,28656880
2015-06-05,24.26,24.41,23.59,23.84,43006769
2015-06-12,23.91,24.55,23.49,24.18,45750485
2015-06-19,24.07,24.63,23.89,23.92,50034014
2015-06-26,24.02,24.07,22.63,22.9,45875402
2015-07-03,22.88,23.12,22.31,22.86,31190574
2015-07-10,22.79,23.47,22.56,23.36,48890264
2015-07-17,23.44,24.09,23.15,23.89,54143557
2015-07-24,23.85,23.85,22.04,22.05,77489242
2015-07-31,22.04,23.17,21.85,22.89,82266415
2015-08-07,22.87,23.29,22.3,23.14,51165150
2015-08-14,23.15,23.65,22.69,23.59,43638792
2015-08-21,23.5,24.56,23.48,23.54,58601777
2015-08-28,23.3,23.92,21.66,22.4,111898386
2015-09-04,22.23,22.25,21.11,21.2,56608695
2015-09-11,21.45,21.76,21.08,21.18,26460226
2015-09-18,21.32,22.78,21.32,22.05,48254038
2015-09-25,22.06,22.25,20.26,21.04,98124578
2015-10-02,20.9,21.28,20.64,21.27,53398394
2015-10-09,21.39,22.13,21.29,21.98,56713283
2015-10-16,22.07,22.38,21.25,21.73,62719592
2015-10-23,21.66,22.15,21.28,21.3,46184404
2015-10-30,21.31,21.4,19.76,19.91,65670942
2015-11-06,19.95,20.83,19.78,20.04,57489711
2015-11-13,20.11,20.83,20.09,20.21,67637107
2015-11-20,20.21,20.55,19.61,19.97,58479522
2015-11-27,19.96,20.02,19.54,19.7,29950085
2015-12-04,19.7,19.89,19.01,19.05,55379000
2015-12-11,19.05,19.3,18.46,18.5,49671317
2015-12-18,18.54,19.29,17.9,19.19,81389745
2015-12-25,19.31,19.87,19.14,19.79,32401622
2016-01-01,19.72,19.97,19.49,19.81,27194594
2016-01-08,19.6,20.17,19.49,19.84,46401433
2016-01-15,19.94,20.23,19.23,19.59,59937323
2016-01-22,19.71,20.04,18.73,19.99,50171972
2016-01-29,19.97,21.16,19.36,21.09,56398674
2016-02-05,20.97,23.5,20.87,23.47,83587801
2016-02-12,23.37,23.62,21.38,21.73,68914188
2016-02-19,21.96,22.57,21.72,22.28,44278244
2016-02-26,22.46,22.92,22.11,22.63,60640005
2016-03-04,22.63,23.99,22.02,23.79,62573784
2016-03-11,23.88,24.95,23.75,24.77,50989478
2016-03-18,24.73,25.04,24.28,24.85,42551682
2016-03-25,24.79,25.32,24.5,25.19,38292406
2016-04-01,25.16,25.64,24.86,25.44,43742120
2016-04-08,25.46,25.51,24.32,24.75,39336334
2016-04-15,24.76,25.06,24.51,24.51,38851243
2016-04-22,24.37,24.94,23.67,24.32,37237821
2016-04-29,24.17,25.39,24.07,25.03,34547944
2016-05-06,25.15,25.64,24.64,25.45,40081358
2016-05-13,25.45,25.52,24.81,24.92,31549206
2016-05-20,24.85,24.98,23.93,24.44,33791845
2016-05-27,24.48,24.53,23.73,24.49,33141878
2016-06-03,24.49,25.19,24.22,24.94,30106407
2016-06-10,25.0,25.14,24.49,24.68,26893024
2016-06-17,24.73,24.85,23.97,24.71,39540185
2016-06-24,24.78,24.97,24.37,24.53,35514341
2016-07-01,24.44,26.01,24.2,25.97,49978216
2016-07-08,25.71,26.16,25.23,25.76,26579537
2016-07-15,25.72,26.23,25.51,26.03,35183611
2016-07-22,26.03,26.72,25.85,26.68,29792080
2016-07-29,26.63,26.78,25.87,26.59,27013175
2016-08-05,26.53,26.89,25.7,25.78,35692116
2016-08-12,25.88,26.02,24.68,24.92,50977982
2016-08-19,24.89,25.02,24.09,24.51,37556916
2016-08-26,24.6,24.85,24.17,24.18,23043132
2016-09-02,24.29,24.4,23.97,24.3,26043412
2016-09-09,24.44,24.96,23.82,23.82,21171742
2016-09-16,23.79,24.22,23.44,24.13,42078927
2016-09-23,24.17,25.16,24.14,24.82,31654076
2016-09-30,24.81,24.94,23.54,23.74,33034344
2016-10-07,23.72,23.72,22.6,22.95,37917931
2016-10-14,23.1,23.72,22.9,23.32,31508969
2016-10-21,23.4,23.73,23.1,23.18,25392604
2016-10-28,23.27,23.93,23.04,23.7,33787218
2016-11-04,23.78,24.34,23.12,23.32,34296845
2016-11-11,23.52,24.12,21.27,21.4,62315815
2016-11-18,21.33,22.97,21.28,22.63,56220901
2016-11-25,22.72,23.45,22.72,23.24,24951114
2016-12-02,23.35,24.06,22.66,23.54,53719312
2016-12-09,23.54,24.96,23.35,24.89,48238054
2016-12-16,24.72,25.93,24.49,25.48,66369559
2016-12-23,25.58,25.62,25.03,25.18,49419519
2016-12-30,25.14,25.59,25.05,25.31,23372180
2017-01-06,25.44,25.83,24.9,25.73,35638701
2017-01-13,25.74,25.8,24.97,25.28,36331568
2017-01-20,25.36,25.71,25.26,25.53,24241561
2017-01-27,25.57,25.59,24.98,25.02,28770302
2017-02-03,25.06,25.61,24.82,25.52,40589161
2017-02-10,25.6,25.89,24.59,24.98,45508921
2017-02-17,24.8,25.41,24.8,25.38,32126128
2017-02-24,25.24,26.53,25.14,26.52,31108558
2017-03-03,26.46,26.46,25.58,25.91,32254693
2017-03-10,25.82,25.93,25.33,25.66,26450132
2017-03-17,25.66,26.06,25.36,25.68,32233242
2017-03-24,25.76,25.99,25.24,25.76,34301892
2017-03-31,25.86,25.98,25.18,25.66,33701416
2017-04-07,25.64,26.01,25.34,25.66,36569768
2017-04-14,25.68,25.9,25.37,25.66,26353955
2017-04-21,25.66,25.76,24.84,24.99,29697023
2017-04-28,25.11,25.41,24.63,24.7,30604819
2017-05-05,24.71,24.75,24.02,24.49,37946813
2017-05-12,24.52,24.59,23.75,24.34,41771888
2017-05-19,24.51,25.2,24.45,25.01,48416668
2017-05-26,24.9,25.73,24.9,25.55,48042615
2017-06-02,25.48,26.27,25.44,26.11,25190014
2017-06-09,26.08,26.29,25.85,26.12,29429523
2017-06-16,26.15,26.48,25.94,26.45,29907605
2017-06-23,26.49,26.5,26.0,26.03,27933027
2017-06-30,26.15,26.7,25.53,25.73,32396015
2017-07-07,25.82,25.86,25.23,25.38,23387042
2017-07-14,25.39,25.87,25.33,25.72,26197632
2017-07-21,26.03,26.93,26.0,26.73,32609259
2017-07-28,26.73,27.42,26.34,27.39,34125802
2017-08-04,27.38,27.66,26.9,27.23,39663280
2017-08-11,27.21,27.45,26.57,26.75,26854188
2017-08-18,26.79,27.24,26.68,27.1,26610101
2017-08-25,27.15,27.52,26.99,27.32,23691556
2017-09-01,27.37,27.42,26.69,26.78,31699220
2017-09-08,26.81,27.31,26.7,27.23,27917605
2017-09-15,27.2,27.46,26.74,26.83,45606779
2017-09-22,26.81,27.01,26.13,26.48,37752636
2017-09-29,26.49,27.08,26.27,26.87,35748197
2017-10-06,26.97,27.38,26.78,27.21,39853392
2017-10-13,27.22,28.12,27.05,27.99,29312595
