Date,Open,High,Low,Close,Volume
2021-02-12,43.0,50.0,41.55,42.51,5577200
2021-02-19,44.2,45.54,42.78,44.0,5917000
2021-02-26,44.84,45.5,42.0,44.18,8442000
2021-03-05,44.45,48.79,44.02,45.03,4338000
2021-03-12,44.69,46.31,43.01,45.75,3056400
2021-03-19,45.92,46.25,42.8,43.31,3311500
2021-03-26,43.23,43.5,40.0,43.33,2675000
2021-04-02,43.4,45.79,41.29,44.93,1749900
2021-04-09,44.82,46.0,43.5,45.54,3666500
2021-04-16,45.67,46.89,45.25,45.65,2630000
2021-04-23,45.71,47.22,44.31,46.46,3145500
2021-04-30,46.34,48.5,45.32,45.57,3501400
2021-05-07,45.97,49.5,45.41,49.17,6598000
2021-05-14,49.63,52.68,48.16,48.87,6956900
2021-05-21,48.97,52.0,48.81,50.43,7501500
2021-05-28,50.7,53.25,49.83,52.8,5542900
2021-06-04,53.57,55.0,52.48,54.43,4194200
2021-06-11,55.59,56.54,54.23,56.22,7294200
2021-06-18,56.15,56.99,52.01,53.11,11873200
2021-06-25,53.54,55.21,52.39,53.13,22463300
2021-07-02,53.1,54.92,49.21,54.59,7020500
2021-07-09,54.6,54.95,52.67,54.81,3074600
2021-07-16,54.51,55.02,48.83,50.14,4333900
2021-07-23,49.5,54.81,48.19,54.79,5154500
2021-07-30,54.99,55.92,53.67,54.05,3908400
2021-08-06,53.98,55.5,52.74,55.04,2641800
2021-08-13,54.6,59.3,53.81,56.79,7650600
2021-08-20,56.07,56.87,50.71,52.67,5835500
2021-08-27,52.76,56.5,51.59,55.38,6333200
2021-09-03,55.61,59.19,54.64,59.03,6012300
2021-09-10,59.02,62.16,59.02,59.54,6815100
2021-09-17,60.56,65.36,60.14,61.07,15389100
2021-09-24,59.67,61.5,58.03,58.59,5938000
2021-10-01,60.06,64.0,60.06,62.08,7408900
2021-10-08,63.11,67.0,62.93,65.78,7232600
2021-10-15,67.15,67.41,61.13,62.75,5458400
2021-10-22,62.8,63.88,60.5,62.07,3601600
2021-10-29,64.41,69.4,62.72,63.74,8189700
2021-11-05,64.25,69.38,64.25,65.82,8426500
2021-11-12,66.35,67.94,62.76,62.92,6261500
2021-11-19,63.66,64.47,61.03,61.74,6483000
2021-11-26,61.74,64.77,61.14,63.92,3791500
2021-12-03,64.35,64.78,56.75,60.33,7879000
2021-12-10,61.44,64.79,58.19,63.8,4500500
2021-12-17,62.85,63.8,60.06,60.76,5570500
2021-12-24,59.64,63.94,58.83,63.18,3588800
2021-12-31,63.13,66.26,62.13,64.52,3085300
2022-01-07,64.9,69.69,64.73,69.3,6150300
2022-01-14,68.99,73.66,68.32,71.52,8412000
2022-01-21,73.0,73.19,62.32,63.04,7057200
2022-01-28,61.54,70.7,61.45,68.39,9687000
2022-02-04,68.23,71.28,66.69,66.98,7915000
2022-02-11,66.21,69.6,64.51,69.15,7900100
2022-02-18,69.13,69.98,65.73,65.78,4470000
2022-02-25,67.45,75.86,64.81,75.08,11732300
2022-03-04,75.05,85.21,74.57,85.0,10024500
2022-03-11,85.81,88.75,78.13,80.55,10894900
2022-03-18,79.02,79.59,73.26,78.51,10301100
2022-03-25,80.4,90.58,78.3,89.32,10317300
2022-04-01,87.19,90.76,83.18,90.0,8690300
2022-04-08,91.77,92.9,87.35,92.17,8405900
2022-04-15,92.01,95.28,90.58,94.36,5463700
2022-04-22,95.37,97.61,85.34,86.53,8799300
2022-04-29,84.14,85.92,81.22,82.02,8216500
2022-05-06,81.0,97.49,80.44,93.15,14730600
2022-05-13,90.6,91.53,82.07,85.89,11176800
2022-05-20,87.15,91.76,84.93,91.13,10060400
2022-05-27,92.03,103.92,90.29,103.15,10825800
2022-06-03,104.57,105.0,95.29,98.79,7437000
2022-06-10,99.35,103.95,95.02,98.17,8635500
2022-06-17,95.01,96.45,78.0,80.28,15128700
2022-06-24,82.8,85.5,75.02,83.8,25140600
2022-07-01,84.27,90.67,79.97,82.9,12146200
2022-07-08,80.07,80.58,72.5,78.45,9148200
2022-07-15,78.62,84.34,75.22,83.18,8914000
2022-07-22,85.89,92.52,85.52,89.75,9529600
2022-07-29,90.94,94.79,89.94,94.17,7819800
2022-08-05,92.19,95.36,86.5,92.0,13138400
2022-08-12,91.86,98.41,91.53,98.21,13872700
2022-08-19,95.06,102.29,92.5,96.33,13851900
2022-08-26,97.95,105.55,94.97,103.66,10750700
2022-09-02,102.39,105.5,94.85,99.74,9027400
2022-09-09,99.17,104.27,92.88,102.78,6921800
2022-09-16,104.59,105.93,99.18,100.58,11774100
2022-09-23,98.02,105.36,90.58,92.93,9976000
2022-09-30,92.02,95.84,90.9,94.21,10048400
2022-10-07,95.98,103.87,95.98,100.46,12671900
2022-10-14,102.7,105.45,94.81,95.32,8688400
2022-10-21,95.11,101.65,94.96,97.02,7798800
2022-10-28,96.81,101.45,95.12,97.86,8273800
2022-11-04,99.51,107.31,97.89,100.87,12060300
2022-11-11,102.86,106.25,98.62,102.43,9492200
2022-11-18,100.27,102.71,96.61,98.86,7188900
2022-11-25,97.79,104.93,94.04,102.94,4630000
2022-12-02,99.85,105.15,98.01,101.75,16591800
2022-12-09,102.15,104.32,92.91,94.72,9164300
2022-12-16,96.84,102.35,95.73,97.65,12154800
2022-12-23,97.38,98.56,92.88,97.37,5882700
2022-12-30,98.12,99.49,92.6,94.37,3375900
2023-01-06,93.07,93.53,84.57,87.79,7527900
2023-01-13,89.66,92.28,86.59,91.21,7172900
2023-01-20,92.64,93.12,86.87,90.88,6977000
2023-01-27,91.82,92.98,85.65,87.64,8144500
2023-02-03,87.1,87.38,82.48,84.6,8273400
2023-02-10,84.6,85.77,81.19,83.84,8030500
2023-02-17,82.66,85.4,79.6,80.09,6539100
2023-02-24,79.42,85.6,77.17,85.4,10092900
2023-03-03,86.01,86.59,79.01,84.17,8948500
2023-03-10,81.02,81.53,74.61,75.18,7619400
2023-03-17,73.21,76.52,69.68,72.07,9344400
2023-03-24,72.21,75.77,71.93,74.3,7459900
2023-03-31,74.44,77.04,73.53,76.04,5110500
2023-04-07,77.95,79.0,74.96,75.28,4711000
2023-04-14,76.13,81.27,75.98,80.98,8015400
2023-04-21,82.0,82.19,79.68,80.85,5268300
2023-04-28,81.07,83.28,77.83,82.68,6233300
2023-05-05,81.71,82.96,74.83,78.64,8727300
2023-05-12,80.24,80.75,76.8,79.78,6648200
2023-05-19,80.76,83.05,77.53,81.22,8916700
2023-05-26,80.07,82.91,76.78,77.63,6252900
2023-06-02,76.39,80.21,74.16,79.63,5712200
2023-06-09,81.0,82.05,76.67,79.9,5611900
2023-06-16,79.0,83.37,78.26,82.36,5181800
2023-06-23,82.07,82.8,79.99,80.59,4360500
2023-06-30,80.77,84.67,80.2,83.68,5909300
2023-07-07,83.7,84.74,80.35,82.15,3928800
2023-07-14,82.76,84.98,80.85,81.12,6029400
2023-07-21,80.92,83.99,79.74,83.09,5614300
2023-07-28,83.45,84.96,81.81,84.48,6885100
2023-08-04,85.0,86.74,81.1,85.37,8455900
2023-08-11,86.06,89.06,84.57,84.95,7437400
2023-08-18,85.1,88.16,81.37,85.93,33838800
2023-08-25,85.93,87.57,83.92,85.13,8611800
2023-09-01,86.0,90.46,84.89,90.26,6661400
2023-09-08,89.88,90.6,87.32,88.49,6992200
2023-09-15,89.24,89.31,84.84,85.45,8053100
2023-09-22,85.7,86.67,81.84,82.07,5351700
2023-09-29,81.92,87.19,81.86,86.23,4987700
2023-10-06,85.97,88.07,80.75,87.28,7694600
2023-10-13,88.68,89.92,86.81,88.92,7561100
2023-10-20,89.12,91.0,87.07,88.02,10896500
2023-10-27,87.18,87.75,84.25,85.79,6737100
2023-11-03,85.29,89.95,84.29,89.36,8312900
2023-11-10,88.66,89.09,78.27,79.09,9956500
2023-11-17,80.15,83.71,79.33,81.58,7198400
2023-11-24,81.24,82.9,79.94,82.15,4108200
2023-12-01,81.45,81.84,79.35,80.6,7811900
2023-12-08,79.64,80.12,73.87,75.05,8916800
2023-12-15,73.42,76.69,72.84,75.77,10669200
2023-12-22,77.18,77.8,75.12,77.28,8321600
2023-12-29,77.16,78.87,76.84,76.94,3957100
2024-01-05,77.86,80.05,75.72,79.2,8843700
2024-01-12,77.72,83.0,76.73,82.87,16653800
2024-01-19,82.0,82.38,74.84,75.94,11267100
2024-01-26,75.45,77.96,74.18,77.51,10248700
2024-02-02,77.9,79.3,76.18,76.59,8009200
2024-02-09,76.11,77.32,74.76,76.83,9755400
2024-02-16,76.77,79.12,74.7,78.73,9863100
2024-02-23,78.38,84.33,77.54,81.93,12435700
2024-03-01,82.13,83.67,81.23,82.81,7984000
2024-03-08,83.91,84.26,81.23,82.01,8501300
2024-03-15,81.89,85.46,81.27,83.47,17641100
2024-03-22,83.68,86.91,82.81,86.31,7690000
2024-03-29,86.55,89.12,85.23,88.83,6910200
2024-04-05,89.34,91.03,87.99,89.51,7154900
2024-04-12,89.6,90.74,87.2,88.59,7955800
2024-04-19,88.75,89.24,85.44,87.51,6398700
2024-04-26,87.13,92.25,86.62,92.06,7204200
2024-05-03,91.93,93.58,85.08,86.67,13086300
2024-05-10,87.42,90.01,86.29,87.12,7827900
2024-05-17,87.46,92.28,87.05,91.69,7878300
2024-05-24,91.49,92.98,88.57,89.72,6119500
2024-05-31,90.21,91.65,88.83,90.93,5197500
2024-06-07,91.47,92.07,87.49,88.29,8348400
2024-06-14,88.29,89.7,84.99,85.14,5753000
2024-06-21,85.43,86.14,82.27,82.42,9025000
2024-06-28,83.05,85.33,81.75,82.19,8115700
2024-07-05,82.19,84.09,81.43,82.31,5815800
2024-07-12,82.42,84.39,81.75,83.48,7184800
2024-07-19,83.58,84.25,79.84,81.01,8771800
2024-07-26,81.02,81.64,76.49,77.79,10958900
2024-08-02,77.83,77.83,71.47,72.43,16068200
2024-08-09,70.07,73.49,69.42,72.52,9684100
2024-08-16,72.79,73.96,71.75,72.93,5012900
2024-08-23,73.2,74.55,71.54,73.44,6106400
2024-08-30,74.3,75.01,70.96,74.49,7286900
2024-09-06,73.24,73.33,70.04,70.84,15401400
2024-09-13,70.58,73.49,69.12,73.22,7444800
2024-09-20,73.61,79.0,72.7,78.46,10463600
2024-09-27,78.52,83.86,77.41,82.6,15504300
2024-10-04,82.28,86.0,80.75,85.63,23334800
2024-10-11,85.82,88.17,83.26,87.39,12984000
2024-10-18,86.89,87.95,84.5,86.66,14207200
2024-10-25,86.49,87.5,82.7,84.79,8190300
2024-11-01,82.73,90.41,82.69,83.66,12665500
2024-11-08,83.42,93.46,83.42,92.49,13446500
2024-11-15,94.25,96.62,93.63,94.99,11216900
2024-11-22,95.92,101.27,95.01,99.43,17071900
2024-11-29,100.19,100.5,97.78,98.96,12975500
2024-12-06,99.0,99.23,95.7,96.57,8550700
2024-12-13,99.12,100.51,96.74,98.53,13002600
2024-12-20,98.31,98.45,94.0,94.87,16398000
2024-12-27,94.44,97.79,94.09,96.61,4807000
2025-01-03,97.49,101.93,97.49,100.01,9688200
2025-01-10,101.4,105.0,100.77,102.15,11662800
2025-01-17,103.25,109.47,101.02,106.36,18663200
2025-01-24,105.7,108.32,105.14,106.0,9672300
2025-01-31,103.86,104.2,99.07,101.6,14490000
2025-02-07,102.09,105.85,101.37,103.0,11038300
2025-02-14,104.08,106.66,103.11,105.33,10792800
2025-02-21,105.33,109.06,103.4,104.14,13964000
2025-02-28,104.3,104.42,96.92,98.88,20883400
2025-03-07,99.89,102.03,93.09,96.03,21925000
2025-03-14,97.56,103.21,96.39,102.6,19372700
