Date,Open,High,Low,Close,Volume
2015-04-03,10.35,10.5,10.23,10.26,29478400
2015-04-10,10.23,10.34,9.97,10.0,58979200
2015-04-17,10.03,10.5,9.95,10.14,100844400
2015-04-24,10.19,10.56,10.11,10.41,56418800
2015-05-01,10.44,10.85,10.39,10.71,74088800
2015-05-08,10.71,10.81,10.31,10.68,48058800
2015-05-15,10.65,10.85,10.52,10.69,38309200
2015-05-22,10.66,10.74,10.53,10.6,24283600
2015-05-29,10.6,10.69,10.36,10.38,27103600
2015-06-05,10.56,10.64,10.32,10.47,28217600
2015-06-12,10.45,10.6,10.36,10.51,27248000
2015-06-19,10.45,10.86,10.34,10.74,34862800
2015-06-26,10.82,10.88,10.66,10.77,25946800
2015-07-03,10.71,10.72,10.43,10.52,29809200
2015-07-10,10.47,10.7,10.44,10.58,41176800
2015-07-17,10.65,10.72,10.24,10.47,75690000
2015-07-24,10.48,10.59,9.94,10.02,53904800
2015-07-31,10.02,10.51,9.93,10.47,39039600
2015-08-07,10.44,10.49,9.92,10.0,45532000
2015-08-14,10.07,10.2,9.88,10.05,37342400
2015-08-21,10.01,10.2,9.77,9.8,43592800
2015-08-28,9.48,9.77,9.23,9.67,87446400
2015-09-04,9.61,9.72,9.27,9.38,46481600
2015-09-11,9.52,9.81,9.5,9.67,32578400
2015-09-18,9.65,9.74,9.28,9.3,56436800
2015-09-25,9.34,9.4,8.99,9.18,35238400
2015-10-02,9.16,9.31,8.61,8.99,77287600
2015-10-09,9.03,9.85,9.02,9.74,64685600
2015-10-16,9.79,9.79,9.27,9.37,86344400
2015-10-23,9.32,9.72,9.17,9.69,55981200
2015-10-30,9.65,9.84,9.41,9.79,43719200
2015-11-06,9.8,10.41,9.77,10.27,60088800
2015-11-13,10.24,10.25,9.61,9.65,59493200
2015-11-20,9.64,10.02,9.62,9.93,35984800
2015-11-27,9.91,10.1,9.82,10.08,25776800
2015-12-04,10.1,10.27,9.79,10.03,51994400
2015-12-11,10.03,10.23,9.82,9.87,45778400
2015-12-18,9.9,10.14,9.76,9.77,57936800
2015-12-25,9.81,10.44,9.61,10.38,42317600
2016-01-01,10.35,10.49,10.2,10.2,27139600
2016-01-08,10.06,10.14,9.66,9.7,67048000
2016-01-15,9.75,9.94,8.77,9.42,128774800
2016-01-22,9.51,9.61,8.8,9.49,73494000
2016-01-29,9.45,10.14,9.19,10.14,77325200
2016-02-05,9.98,11.11,9.62,10.81,109536400
2016-02-12,10.73,11.06,10.24,10.76,90011200
2016-02-19,10.94,11.28,10.76,11.16,42500400
2016-02-26,11.26,11.41,10.86,11.31,42914400
2016-03-04,11.31,11.79,11.18,11.56,72209600
2016-03-11,11.49,11.84,11.39,11.72,53476400
2016-03-18,11.71,12.3,11.3,12.26,56221200
2016-03-25,12.26,12.5,12.11,12.23,38438000
2016-04-01,12.26,12.32,11.89,12.23,47141200
2016-04-08,12.19,12.19,11.53,11.78,65778800
2016-04-15,11.83,11.9,11.25,11.45,77703200
2016-04-22,11.44,11.66,11.29,11.41,35489200
2016-04-29,11.38,12.0,11.36,11.7,71723600
2016-05-06,11.73,11.76,11.32,11.62,58694400
2016-05-13,11.61,11.7,11.31,11.37,44826400
2016-05-20,11.4,11.52,11.02,11.22,47033200
2016-05-27,11.23,11.55,11.18,11.5,36797200
2016-06-03,11.52,11.65,11.37,11.55,34460400
2016-06-10,11.41,11.53,11.07,11.14,49365200
2016-06-17,11.1,11.2,10.88,11.12,50558000
2016-06-24,11.28,11.41,10.88,10.94,45291200
2016-07-01,10.82,11.35,10.55,11.32,56554800
2016-07-08,11.26,11.31,10.88,11.31,39327200
2016-07-15,11.36,11.46,10.77,10.86,97416000
2016-07-22,10.84,10.86,10.37,10.53,71094000
2016-07-29,10.49,10.74,10.41,10.69,67732400
2016-08-05,10.69,10.81,10.41,10.72,59944000
2016-08-12,10.74,10.91,10.56,10.86,30458800
2016-08-19,10.85,11.01,10.81,11.0,23130800
2016-08-26,10.94,11.14,10.87,10.94,24345600
2016-09-02,10.93,11.05,10.61,10.83,30473600
2016-09-09,10.86,10.9,10.14,10.14,34601200
2016-09-16,10.06,10.22,9.96,10.02,71606800
2016-09-23,10.08,10.19,9.98,10.11,40941200
2016-09-30,10.05,10.5,10.01,10.44,37394800
2016-10-07,10.4,10.7,10.32,10.57,44520400
2016-10-14,10.62,10.69,9.43,9.59,98935200
2016-10-21,9.58,9.78,9.47,9.59,48196000
2016-10-28,9.65,9.85,9.59,9.69,33929200
2016-11-04,9.73,9.95,9.52,9.86,46067200
2016-11-11,9.98,11.32,9.94,11.07,85002400
2016-11-18,11.12,11.36,11.1,11.2,54668800
2016-11-25,11.25,11.63,11.19,11.59,28046800
2016-12-02,11.57,12.09,11.49,11.96,66600000
2016-12-09,12.11,12.33,11.8,12.25,78337200
2016-12-16,12.27,12.29,11.99,12.01,51509600
2016-12-23,11.99,12.23,11.92,12.03,28494800
2016-12-30,12.05,12.17,11.66,11.74,20532400
