Date,Open,High,Low,Close,Volume
2015-04-03,133.0,134.88,132.38,133.94,7882212
2015-04-10,133.26,140.61,132.96,140.51,17541039
2015-04-17,139.92,141.26,134.83,135.37,10765302
2015-04-24,135.61,137.74,135.61,136.95,6681668
2015-05-01,137.28,138.57,135.66,138.38,8800179
2015-05-08,138.28,140.28,135.75,139.69,6997254
2015-05-15,140.22,141.25,138.33,141.13,8237386
2015-05-22,141.13,144.07,140.76,141.16,6978887
2015-05-29,141.02,142.54,139.4,139.58,5238137
2015-06-05,140.1,147.49,139.34,146.85,9307127
2015-06-12,146.59,149.23,144.24,147.97,10023557
2015-06-19,147.08,147.86,140.62,141.77,16509768
2015-06-26,142.43,143.15,138.94,139.94,10202758
2015-07-03,138.29,139.5,136.7,137.9,8043790
2015-07-10,136.99,137.97,134.3,135.75,9741352
2015-07-17,136.74,138.58,136.2,137.17,7894869
2015-07-24,137.47,138.57,131.56,132.24,7344488
2015-07-31,131.14,139.08,130.85,138.13,9209213
2015-08-07,138.16,139.4,133.79,134.56,6162559
2015-08-14,135.68,137.86,131.75,132.8,11867187
2015-08-21,132.3,134.82,125.57,125.73,11106702
2015-08-28,118.06,123.89,104.86,122.88,16381202
2015-09-04,122.44,123.51,118.71,119.75,11754131
2015-09-11,121.68,124.9,118.92,121.74,10354160
2015-09-18,121.47,125.41,116.74,117.08,22984064
2015-09-25,117.48,118.3,113.7,116.4,12845343
2015-10-02,115.23,117.31,112.82,117.26,9764063
2015-10-09,117.7,126.67,117.7,125.17,12237750
2015-10-16,125.03,125.17,120.67,122.87,7256872
2015-10-23,122.16,130.3,122.08,128.54,9805762
2015-10-30,128.98,129.26,123.99,125.75,11200769
2015-11-06,125.94,130.94,125.94,130.85,9625320
2015-11-13,130.14,130.91,126.83,127.41,11008415
2015-11-20,127.31,132.91,127.31,132.26,8316314
2015-11-27,132.26,132.76,130.27,132.22,4440546
2015-12-04,131.83,132.54,123.52,125.28,14623448
2015-12-11,123.98,124.37,116.18,116.24,12888406
2015-12-18,115.23,126.92,113.53,118.57,24897191
2015-12-25,118.9,121.87,116.62,120.59,8948852
2016-01-01,120.06,121.15,118.47,120.06,6875141
2016-01-08,117.98,118.45,108.21,108.55,15784777
2016-01-15,108.67,109.85,100.6,102.27,15669858
2016-01-22,104.12,104.55,96.46,102.79,14585349
2016-01-29,102.34,107.2,101.3,107.07,14209822
2016-02-05,106.05,109.66,102.68,106.29,12573688
2016-02-12,104.98,106.18,98.94,103.63,12668004
2016-02-19,105.11,108.52,103.2,104.56,10709954
2016-02-26,104.56,112.34,104.56,110.7,12039190
2016-03-04,110.62,117.87,110.13,115.96,11774112
2016-03-11,115.43,117.11,112.47,116.37,8224356
2016-03-18,116.12,132.05,113.77,131.92,24112506
2016-03-25,131.8,132.83,129.36,131.06,7632151
