Date,Open,High,Low,Close,Volume
2015-04-03,62.81,62.81,62.81,62.81,0
2015-04-10,62.81,62.81,62.81,62.81,0
2015-04-17,62.81,62.81,62.81,62.81,0
2015-04-24,63.69,63.69,63.16,63.16,947
2015-05-01,63.16,63.16,63.16,63.16,0
2015-05-08,63.16,64.48,63.16,64.48,568
2015-05-15,64.48,64.48,64.48,64.48,0
2015-05-22,64.48,64.48,64.48,64.48,0
2015-05-29,64.48,64.48,64.48,64.48,0
2015-06-05,64.48,64.48,64.48,64.48,0
2015-06-12,65.05,68.6,65.05,68.6,473
2015-06-19,68.6,68.6,68.6,68.6,0
2015-06-26,68.6,70.81,68.6,69.8,24811
2015-07-03,69.8,69.8,69.8,69.8,0
2015-07-10,69.8,69.8,69.8,69.8,0
2015-07-17,69.8,72.12,69.8,71.3,948
2015-07-24,71.3,71.3,69.31,69.31,947
2015-07-31,68.37,68.37,68.37,68.37,284
2015-08-07,69.9,69.9,68.48,68.64,2746
2015-08-14,68.64,68.64,68.64,68.64,0
2015-08-21,68.64,68.64,67.74,67.74,95
2015-08-28,67.74,67.74,66.84,66.84,190
2015-09-04,66.84,66.84,66.84,66.84,0
2015-09-11,66.84,69.22,66.84,69.22,1421
2015-09-18,69.22,69.22,69.22,69.22,0
2015-09-25,69.22,69.22,67.74,67.74,95
2015-10-02,67.74,67.74,57.92,59.14,1231
2015-10-09,59.14,59.14,59.14,59.14,0
2015-10-16,59.14,60.4,59.14,60.4,189
2015-10-23,60.4,61.96,60.4,61.94,1231
2015-10-30,61.94,61.94,60.74,60.74,1136
2015-11-06,60.74,62.13,60.74,61.66,284
2015-11-13,61.66,61.66,57.16,57.16,95
2015-11-20,57.16,60.19,57.16,60.19,3977
2015-11-27,60.13,60.13,60.13,60.13,95
2015-12-04,60.13,61.45,60.13,61.45,284
2015-12-11,61.45,61.45,61.45,61.45,0
2015-12-18,61.45,61.45,57.97,57.97,473
2015-12-25,57.97,58.01,56.98,58.01,1515
2016-01-01,56.19,58.37,56.19,58.37,758
2016-01-08,58.37,58.37,58.37,58.37,0
2016-01-15,58.37,58.37,52.27,52.27,284
2016-01-22,52.27,52.27,52.27,52.27,2083
2016-01-29,51.35,51.78,51.11,51.78,1894
2016-02-05,51.78,51.78,51.78,51.78,0
2016-02-12,51.78,51.78,51.78,51.78,0
2016-02-19,52.9,54.4,52.9,54.4,284
2016-02-26,54.4,54.4,52.51,53.33,4166
2016-03-04,53.33,58.48,53.33,58.48,757
2016-03-11,58.48,58.48,56.28,56.28,1705
2016-03-18,56.28,58.88,56.28,58.6,2274
2016-03-25,58.3,58.3,57.88,57.88,8523
2016-04-01,58.2,59.96,58.2,59.96,1231
2016-04-08,59.96,59.96,58.5,58.76,947
2016-04-15,58.76,58.79,58.33,58.63,10322
2016-04-22,58.63,58.63,58.63,58.63,0
2016-04-29,58.63,58.63,58.63,58.63,0
2016-05-06,58.63,58.63,58.63,58.63,0
2016-05-13,58.63,59.5,58.63,59.5,379
2016-05-20,59.37,60.95,59.37,60.87,1231
2016-05-27,60.87,63.17,60.87,63.17,947
2016-06-03,63.17,63.17,57.86,57.86,3125
2016-06-10,56.49,56.49,56.49,56.49,189
2016-06-17,56.49,56.49,52.23,55.4,1610
2016-06-24,55.4,55.4,55.4,55.4,0
2016-07-01,55.4,55.4,51.72,53.98,2557
2016-07-08,53.98,53.98,53.98,53.98,0
2016-07-15,53.98,53.98,53.98,53.98,0
2016-07-22,56.92,56.92,56.92,56.92,189
2016-07-29,56.92,56.92,56.84,56.86,474
2016-08-05,56.86,58.29,56.86,58.29,663
2016-08-12,58.29,58.29,58.29,58.29,0
2016-08-19,58.29,59.13,58.29,59.13,189
2016-08-26,59.13,60.19,59.13,59.68,853
2016-09-02,59.68,61.59,59.68,61.59,948
2016-09-09,62.54,62.54,62.48,62.48,758
2016-09-16,62.48,62.48,60.29,60.29,189
2016-09-23,60.52,60.88,60.52,60.88,190
2016-09-30,60.88,60.88,60.88,60.88,0
2016-10-07,60.88,60.88,60.72,60.72,189
2016-10-14,59.39,59.39,58.61,58.61,1421
2016-10-21,58.61,58.61,58.61,58.61,0
2016-10-28,57.46,57.55,55.97,55.97,757
2016-11-04,54.49,54.54,54.49,54.54,3030
2016-11-11,54.54,61.03,54.54,61.03,1042
2016-11-18,61.03,61.03,61.03,61.03,0
2016-11-25,61.03,61.19,61.03,61.19,379
2016-12-02,60.88,60.98,60.88,60.98,379
2016-12-09,62.78,65.68,62.78,65.68,1705
2016-12-16,65.79,65.79,65.79,65.79,4356
2016-12-23,65.79,65.79,64.04,64.04,474
2016-12-30,63.57,63.67,63.32,63.67,568
2017-01-06,63.67,64.84,63.67,64.84,189
2017-01-13,64.84,64.84,64.15,64.15,15626
2017-01-20,63.52,64.04,63.52,64.04,758
2017-01-27,64.04,65.68,64.04,65.68,189
2017-02-03,65.68,65.68,65.21,65.21,8334
2017-02-10,64.73,65.42,64.73,65.42,378
2017-02-17,66.47,66.47,66.1,66.1,663
2017-02-24,66.1,66.1,66.1,66.1,947
2017-03-03,66.1,66.1,64.41,64.41,95
2017-03-10,64.41,64.41,64.41,64.41,0
2017-03-17,64.41,66.05,64.36,66.05,947
2017-03-24,66.05,66.05,66.05,66.05,947
2017-03-31,66.05,66.05,66.05,66.05,0
2017-04-07,66.05,66.05,66.05,66.05,0
2017-04-14,66.05,66.05,66.05,66.05,0
2017-04-21,66.05,66.05,65.03,65.68,284
2017-04-28,66.16,66.16,66.16,66.16,189
2017-05-05,66.16,67.74,66.16,67.74,947
2017-05-12,67.74,68.64,67.74,68.54,473
2017-05-19,68.54,68.54,67.95,67.95,189
2017-05-26,67.95,67.95,67.95,67.95,0
2017-06-02,67.95,69.43,67.95,68.32,1231
2017-06-09,68.64,68.64,67.05,67.05,568
2017-06-16,67.05,67.05,63.94,63.94,569
2017-06-23,63.94,65.52,63.94,65.52,189
2017-06-30,65.52,65.52,65.52,65.52,0
2017-07-07,65.52,65.52,65.52,65.52,0
2017-07-14,63.62,63.62,63.62,63.62,474
2017-07-21,63.62,63.62,63.62,63.62,0
2017-07-28,63.62,63.62,63.62,63.62,0
2017-08-04,63.62,63.94,63.62,63.94,189
2017-08-11,63.94,64.19,63.94,64.19,95
2017-08-18,64.19,64.19,64.19,64.19,0
2017-08-25,64.19,64.19,61.74,61.74,473
2017-09-01,61.74,61.74,61.4,61.4,284
2017-09-08,61.4,61.4,61.4,61.4,95
2017-09-15,61.4,61.4,61.4,61.4,0
2017-09-22,64.84,66.74,64.84,66.74,474
2017-09-29,66.74,68.74,66.74,68.74,189
2017-10-06,68.74,72.33,68.74,71.28,1894
2017-10-13,71.28,73.13,71.28,73.13,947
2017-10-20,73.13,73.13,72.76,72.76,95
2017-10-27,74.66,74.66,74.66,74.66,474
2017-11-03,74.66,74.66,74.66,74.66,0
2017-11-10,74.48,74.48,73.88,73.88,1516
2017-11-17,73.88,73.88,73.88,73.88,0
2017-11-24,73.88,73.88,73.88,73.88,0
2017-12-01,73.88,77.24,73.88,77.24,2841
2017-12-08,77.24,77.24,75.56,75.56,1800
2017-12-15,75.21,75.21,73.65,73.65,3125
2017-12-22,74.82,77.3,74.82,77.09,3126
2017-12-29,77.09,77.09,75.98,75.98,14868
2018-01-05,76.17,77.46,76.17,77.13,1042
2018-01-12,76.47,78.15,76.35,77.67,1988
2018-01-19,81.94,83.21,81.94,83.21,758
2018-01-26,83.21,83.21,81.75,82.73,9376
2018-02-02,82.84,82.84,81.32,81.32,2842
2018-02-09,81.32,81.32,81.32,81.32,1894
2018-02-16,81.32,81.32,81.32,81.32,0
2018-02-23,77.86,78.12,76.82,76.82,1800
2018-03-02,77.35,77.35,75.13,75.13,758
2018-03-09,75.13,78.04,75.13,78.04,1988
2018-03-16,77.32,77.32,77.32,77.32,189
2018-03-23,77.32,79.04,77.32,79.04,379
2018-03-30,79.04,79.04,79.04,79.04,0
2018-04-06,79.04,79.04,77.88,77.88,473
2018-04-13,77.88,79.36,77.88,79.36,379
2018-04-20,79.36,83.26,79.36,83.26,284
2018-04-27,82.52,83.26,81.47,81.47,3408
2018-05-04,81.47,81.47,81.47,81.47,663
2018-05-11,81.47,81.47,81.47,81.47,0
2018-05-18,80.99,80.99,80.99,80.99,95
2018-05-25,80.99,83.54,80.99,81.46,3315
2018-06-01,81.46,81.46,81.46,81.46,0
2018-06-08,82.73,82.73,82.73,82.73,95
2018-06-15,79.76,81.15,79.76,81.15,300
2018-06-22,81.15,81.15,80.38,80.38,100
2018-06-29,79.22,79.32,79.22,79.32,300
2018-07-06,79.32,79.9,79.32,79.9,200
2018-07-13,79.9,79.9,79.9,79.9,0
2018-07-20,79.9,81.2,79.9,81.2,800
2018-07-27,81.2,81.2,79.55,79.55,2100
2018-08-03,79.55,79.55,76.75,77.35,1700
2018-08-10,77.6,79.1,77.6,79.1,2000
2018-08-17,79.1,79.1,77.68,77.68,1300
2018-08-24,77.68,77.83,77.68,77.83,200
2018-08-31,77.83,80.0,77.83,79.9,400
2018-09-07,79.9,79.9,79.9,79.9,0
2018-09-14,79.9,82.7,79.9,82.7,400
2018-09-21,82.7,84.75,82.7,84.75,9300
2018-09-28,84.75,85.85,84.75,85.85,200
2018-10-05,85.85,85.85,77.55,78.45,2200
2018-10-12,78.45,78.45,72.77,73.17,1500
2018-10-19,73.17,73.17,73.17,73.17,0
2018-10-26,73.17,73.17,65.86,65.86,2300
2018-11-02,65.86,65.86,65.86,65.86,200
2018-11-09,65.86,69.0,65.86,68.9,800
2018-11-16,68.9,68.9,65.04,65.04,300
2018-11-23,62.65,62.65,61.2,62.39,6100
2018-11-30,62.39,64.25,61.35,64.25,500
2018-12-07,64.25,64.25,63.1,63.1,400
2018-12-14,63.1,63.65,62.15,63.65,2800
2018-12-21,63.65,63.65,61.4,61.4,1500
2018-12-28,61.4,63.55,61.4,62.92,2400
2019-01-04,62.92,64.49,60.72,64.49,1100
2019-01-11,64.04,67.3,64.0,67.3,8800
2019-01-18,67.87,67.87,67.87,67.87,500
