Date,Open,High,Low,Close,Volume
2015-04-03,24.32,25.03,24.28,24.94,8287317
2015-04-10,24.82,25.39,24.61,24.9,6647540
2015-04-17,24.82,25.17,24.16,24.58,4994168
2015-04-24,24.66,25.92,24.46,25.61,7753023
2015-05-01,25.63,25.63,24.01,24.04,13001268
2015-05-08,24.05,25.39,23.83,25.14,12037388
2015-05-15,25.15,25.54,24.86,25.43,9450158
2015-05-22,25.42,26.2,25.39,25.43,9185924
2015-05-29,25.3,25.89,25.04,25.41,8754098
2015-06-05,25.42,25.61,24.62,24.68,7050389
2015-06-12,24.65,24.78,24.15,24.32,7294757
2015-06-19,24.17,24.74,24.03,24.6,6790934
2015-06-26,24.76,25.12,24.59,24.68,11095164
2015-07-03,24.48,25.28,24.25,25.19,7679384
2015-07-10,25.18,26.14,24.9,25.95,9232378
2015-07-17,26.24,26.27,25.31,25.62,6259926
2015-07-24,25.62,26.11,25.18,26.1,6536410
2015-07-31,26.0,26.44,25.82,26.17,11667249
2015-08-07,26.24,26.95,25.95,26.14,8623549
2015-08-14,26.26,26.43,25.67,26.18,6513107
2015-08-21,26.1,26.67,25.65,25.65,9891097
2015-08-28,24.47,25.13,23.54,24.69,11869048
2015-09-04,24.65,24.82,23.95,24.04,8032792
2015-09-11,24.33,24.68,23.86,24.24,7019918
2015-09-18,24.2,24.75,24.14,24.58,11018688
2015-09-25,24.67,24.96,24.31,24.46,7448757
2015-10-02,24.38,24.5,23.15,24.41,13228609
2015-10-09,24.56,24.79,24.05,24.36,12308045
2015-10-16,24.32,24.52,23.93,24.16,7768855
2015-10-23,24.07,24.13,22.86,23.1,15506792
2015-10-30,23.13,23.8,22.97,23.62,16935511
2015-11-06,23.59,24.05,23.44,23.71,9714094
2015-11-13,23.59,23.68,22.74,23.05,8615482
2015-11-20,23.01,23.91,22.88,23.84,6141326
2015-11-27,23.8,24.08,23.54,24.03,3322424
2015-12-04,24.03,24.58,23.89,24.16,9348887
2015-12-11,24.1,24.3,22.92,22.99,13636687
2015-12-18,23.0,23.13,21.72,21.75,17610962
2015-12-25,21.89,23.13,21.7,23.05,8012477
2016-01-01,22.99,23.55,22.78,23.21,5981201
2016-01-08,22.82,23.0,21.63,21.64,11054835
2016-01-15,21.66,22.11,21.26,21.29,14069858
2016-01-22,21.45,21.64,20.34,21.45,5852446
2016-01-29,21.42,21.77,21.1,21.68,7676844
2016-02-05,21.54,21.93,20.36,20.48,11067682
2016-02-12,20.23,22.18,18.91,21.79,11606457
2016-02-19,22.03,22.36,21.54,22.05,7058006
2016-02-26,22.21,22.44,21.49,22.03,6634545
2016-03-04,22.02,22.23,21.28,21.83,9483618
2016-03-11,21.74,21.8,20.77,21.56,6234234
2016-03-18,21.44,21.95,20.83,21.58,8309274
2016-03-25,21.54,22.2,21.44,22.05,6125643
2016-04-01,22.05,23.06,21.97,22.69,7532405
2016-04-08,22.68,22.85,22.01,22.6,7731662
2016-04-15,22.59,22.62,21.49,22.0,8351098
2016-04-22,21.83,22.21,21.71,21.87,6673977
2016-04-29,21.7,22.05,20.5,21.36,14259110
2016-05-06,21.34,22.05,21.14,22.03,9881687
2016-05-13,22.02,22.7,22.02,22.45,9312738
2016-05-20,22.42,22.59,21.84,22.43,8025323
2016-05-27,22.41,23.34,22.23,23.13,8099112
2016-06-03,23.16,23.49,23.06,23.28,6732083
2016-06-10,23.4,24.04,23.38,23.84,8342733
2016-06-17,23.65,23.71,22.92,23.27,9979375
2016-06-24,23.4,24.01,23.02,23.21,10808375
2016-07-01,22.98,25.36,22.8,24.8,12270253
2016-07-08,24.8,24.86,24.42,24.68,8673287
2016-07-15,24.74,25.15,24.66,24.97,8148254
2016-07-22,25.05,25.71,24.54,25.54,14444925
2016-07-29,25.59,25.78,25.03,25.22,7313876
2016-08-05,25.25,25.39,24.14,24.4,9415057
