Date,Open,High,Low,Close,Volume
2019-03-15,38.6,41.05,38.0,41.02,749900
2019-03-22,41.73,41.73,36.55,37.46,22037800
2019-03-29,37.57,37.81,35.39,35.88,15157100
2019-04-05,36.17,37.09,35.21,36.98,13000600
2019-04-12,36.94,37.08,35.53,36.95,8719900
2019-04-19,36.91,38.37,36.47,37.92,7197500
2019-04-26,37.84,37.94,37.04,37.91,12279400
2019-05-03,37.74,38.91,36.5,37.02,8859200
2019-05-10,36.72,38.63,36.27,38.05,10146600
2019-05-17,37.48,38.15,36.08,36.83,7899800
2019-05-24,36.54,37.53,36.18,36.45,5787200
2019-05-31,36.59,36.95,34.25,34.71,6638400
2019-06-07,34.61,34.81,33.32,33.68,7976800
2019-06-14,33.86,35.16,33.56,34.96,8315000
2019-06-21,35.18,37.0,35.04,35.88,13198400
2019-06-28,35.72,36.64,34.9,36.53,13548600
2019-07-05,36.82,36.87,35.72,36.56,6149500
2019-07-12,36.36,37.01,35.79,36.96,6539000
2019-07-19,37.12,37.21,36.0,36.45,9785800
2019-07-26,36.47,38.03,35.99,37.49,7121900
2019-08-02,37.44,38.06,36.29,36.56,7413900
2019-08-09,36.28,37.34,34.88,35.37,10063100
2019-08-16,35.28,35.53,32.71,33.01,7822300
2019-08-23,33.31,33.9,31.33,31.44,7641200
2019-08-30,31.67,33.31,31.28,32.8,7296700
2019-09-06,32.4,34.35,32.16,33.87,3715600
2019-09-13,33.68,34.42,33.31,33.71,5386500
2019-09-20,33.52,33.66,31.63,32.08,4919200
2019-09-27,32.16,32.35,31.13,31.48,5673900
2019-10-04,31.68,32.01,29.67,30.49,4762200
2019-10-11,30.51,31.48,29.61,31.16,6064600
2019-10-18,31.06,32.07,30.75,31.52,7988900
2019-10-25,31.71,33.01,31.2,31.7,6740200
2019-11-01,31.72,32.66,30.94,31.86,8957000
2019-11-08,32.04,34.52,31.67,34.43,9456500
2019-11-15,34.24,34.37,33.28,33.6,5693100
2019-11-22,33.58,35.55,33.55,34.88,6314100
2019-11-29,34.88,35.39,34.58,34.98,3867800
2019-12-06,34.96,35.23,33.99,34.6,5380500
2019-12-13,34.67,36.11,34.48,35.86,6621700
2019-12-20,36.03,36.4,35.56,36.22,7675500
2019-12-27,36.16,36.95,36.16,36.72,3025800
2020-01-03,36.79,36.86,35.97,36.1,3976500
2020-01-10,35.94,36.92,35.73,36.08,5465900
2020-01-17,36.09,38.84,35.82,38.58,7035900
2020-01-24,38.4,38.6,35.64,36.04,7907600
2020-01-31,35.81,36.82,35.53,36.33,6650800
2020-02-07,36.5,38.44,35.89,36.37,7719400
2020-02-14,36.22,37.74,36.1,37.31,5086500
2020-02-21,37.26,37.72,35.48,35.5,4838400
2020-02-28,35.27,35.44,29.86,30.45,12868600
2020-03-06,30.48,32.28,27.55,28.52,14743000
2020-03-13,26.75,28.98,24.24,25.38,16579000
2020-03-20,23.3,24.44,19.92,20.05,15288900
2020-03-27,20.13,24.78,19.13,22.04,12505100
2020-04-03,22.11,24.32,21.2,21.59,8971500
2020-04-10,22.78,26.56,22.69,25.64,6285600
2020-04-17,25.46,26.33,24.32,26.23,6647700
2020-04-24,25.46,26.44,23.91,24.52,7776200
2020-05-01,24.83,28.24,24.67,25.02,6092100
2020-05-08,24.85,26.73,23.39,25.73,7303300
2020-05-15,25.81,25.81,23.36,25.5,5822500
2020-05-22,26.66,27.76,26.22,27.37,4233500
