Date,Open,High,Low,Close,Volume
2015-03-27,26.93,26.98,25.27,25.58,6201486
2015-04-03,25.76,26.64,25.72,26.54,6028959
2015-04-10,26.41,26.89,26.31,26.48,4636837
2015-04-17,26.44,26.68,25.39,25.6,4043402
2015-04-24,25.64,26.5,25.59,26.49,4257722
2015-05-01,26.55,26.55,25.68,26.06,4541204
2015-05-08,26.2,26.38,25.35,25.5,3574006
2015-05-15,25.42,25.63,24.92,25.42,4294310
2015-05-22,25.43,25.7,25.21,25.58,9533657
2015-05-29,25.46,25.91,25.15,25.76,6385170
2015-06-05,25.91,26.35,25.54,26.26,7051187
2015-06-12,26.16,26.36,25.55,25.84,6029109
2015-06-19,25.72,25.99,25.31,25.8,4540013
2015-06-26,25.93,26.09,25.03,25.05,5980324
2015-07-03,24.86,24.96,24.1,24.35,6177246
2015-07-10,24.2,24.28,23.39,24.03,11510143
2015-07-17,24.14,25.03,24.12,24.69,5787123
2015-07-24,24.86,24.86,24.09,24.22,4215036
2015-07-31,24.2,25.52,23.79,25.42,8739433
2015-08-07,25.41,27.23,25.24,25.63,11733834
2015-08-14,25.85,26.09,25.33,25.74,5401910
2015-08-21,25.62,26.01,24.24,24.24,6217253
2015-08-28,22.86,25.2,21.97,25.13,12639754
2015-09-04,25.13,25.4,24.51,24.92,10333681
2015-09-11,25.38,25.77,25.06,25.25,4283452
2015-09-18,25.22,25.82,24.9,25.07,5936150
2015-09-25,25.25,25.46,24.41,24.54,3901511
2015-10-02,24.49,25.0,23.5,24.99,8394377
2015-10-09,25.17,25.81,25.06,25.68,5692976
2015-10-16,25.68,26.12,25.54,26.09,4006219
2015-10-23,26.03,26.78,25.5,26.76,6871668
2015-10-30,26.83,27.72,26.59,27.41,9284233
2015-11-06,27.4,27.93,27.07,27.22,8513213
2015-11-13,27.1,28.39,26.66,27.7,8640823
2015-11-20,27.61,28.12,27.26,27.56,6121322
2015-11-27,27.5,27.69,26.95,27.38,3286360
2015-12-04,27.39,27.63,26.5,26.89,8240588
2015-12-11,26.91,26.95,25.74,25.89,6696166
2015-12-18,26.02,26.77,25.39,25.66,10561091
2015-12-25,25.89,26.6,25.66,26.38,3554819
2016-01-01,26.33,26.69,25.97,26.39,2756581
2016-01-08,25.92,26.01,24.56,24.6,7021887
2016-01-15,24.68,24.84,23.08,23.45,5883649
2016-01-22,23.76,24.39,22.44,24.14,7716462
2016-01-29,23.96,24.66,23.69,24.62,6274663
2016-02-05,24.41,24.72,22.17,22.21,10839217
2016-02-12,21.87,22.4,20.96,21.84,11368998
2016-02-19,22.06,22.79,21.72,22.76,6439159
2016-02-26,22.97,24.2,22.46,23.88,8728129
2016-03-04,23.9,25.72,23.86,25.57,8484210
2016-03-11,25.6,25.83,24.91,25.66,6206396
2016-03-18,25.58,26.18,25.27,25.95,5426450
2016-03-25,25.92,26.04,25.23,25.5,3975431
2016-04-01,25.5,26.2,25.44,26.06,5742354
2016-04-08,26.14,26.25,25.39,25.87,7189955
2016-04-15,25.93,26.43,25.52,26.26,5905067
2016-04-22,26.26,26.26,17.43,17.92,10609288
2016-04-29,17.72,18.0,17.39,17.52,3037940
2016-05-06,17.51,18.93,17.42,18.59,2403947
2016-05-13,18.4,18.8,17.7,17.85,1928193
2016-05-20,17.89,18.35,17.54,18.27,2431835
2016-05-27,18.25,19.08,18.16,18.99,2194636
