Date,Open,High,Low,Close,Volume
2015-03-27,136.45,137.17,132.28,135.04,7637100
2015-04-03,135.66,138.05,132.68,133.73,4332100
2015-04-10,133.26,136.82,133.01,135.91,5753300
2015-04-17,135.64,136.4,130.91,131.27,6073000
2015-04-24,132.05,134.2,131.94,134.1,5231100
2015-05-01,134.49,140.31,132.2,140.14,9849600
2015-05-08,139.84,141.96,137.06,141.66,8027200
2015-05-15,141.5,141.5,138.45,140.11,4879300
2015-05-22,140.2,141.1,138.77,139.64,5339000
2015-05-29,139.46,140.99,137.51,140.16,5541400
2015-06-05,140.35,141.85,137.58,139.22,5654800
2015-06-12,139.17,142.67,137.83,142.05,6276400
2015-06-19,140.74,147.03,140.18,145.09,7884100
2015-06-26,145.7,146.1,144.08,145.74,8147600
2015-07-03,144.37,144.89,140.68,143.15,5306400
2015-07-10,142.24,146.98,141.45,146.1,7911000
2015-07-17,147.23,148.84,145.9,148.65,7537300
2015-07-24,148.64,149.34,142.31,142.62,7573800
2015-07-31,142.12,153.4,141.8,149.11,10444600
2015-08-07,149.13,150.83,147.64,149.72,4398100
2015-08-14,150.67,152.37,147.67,151.61,4754200
2015-08-21,151.08,153.76,145.13,145.17,7396800
2015-08-28,136.01,146.08,132.02,144.53,10613000
2015-09-04,143.76,144.54,138.28,141.18,7017100
2015-09-11,143.41,145.85,140.02,141.88,5432700
2015-09-18,142.0,143.76,138.72,139.24,7634800
2015-09-25,139.54,140.58,134.64,138.02,6395900
2015-10-02,136.81,139.15,134.1,139.13,7586600
2015-10-09,140.48,144.59,138.62,142.72,7336100
2015-10-16,143.07,144.01,139.22,141.7,3965900
2015-10-23,140.93,148.8,140.37,148.28,5576700
2015-10-30,148.22,152.51,147.21,148.58,8907400
2015-11-06,149.24,149.38,144.84,145.92,7429900
2015-11-13,145.46,145.68,140.18,140.6,7139400
2015-11-20,141.25,146.72,141.08,145.5,7350900
2015-11-27,145.76,146.01,143.64,145.56,4089500
2015-12-04,146.5,148.4,141.58,143.84,10027200
2015-12-11,143.76,144.19,137.57,137.84,7522600
2015-12-18,138.33,140.48,136.08,136.71,9346900
2015-12-25,137.28,140.87,136.66,139.84,3550800
2016-01-01,139.75,141.29,136.62,137.36,3060300
2016-01-08,135.62,137.35,129.87,130.19,9090500
2016-01-15,131.4,132.89,124.57,125.99,9560400
2016-01-22,126.9,128.1,121.61,126.37,6569600
2016-01-29,126.01,135.34,122.67,133.77,15663000
